step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.54108	0.99999	0.30618	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.61800	0.66400	0.29103	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		1.00000	0.59800	0.65800	0.28905	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99800	0.56400	0.55000	0.28553	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		1.00000	0.58600	0.44200	0.28442	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99800	0.62200	0.43300	0.28217	0.000759375000000	1.000000000000000	0.050625000000000	0
3500		0.99400	0.58000	0.44800	0.28176	0.001139062500000	1.000000000000000	0.050625000000000	0
4000		0.99800	0.56200	0.46200	0.28067	0.001708593750000	1.000000000000000	0.050625000000000	0
4500		0.97600	0.59200	0.46240	0.27921	0.002562890625000	1.000000000000000	0.050625000000000	0
5000		0.98000	0.59800	0.46833	0.27948	0.003844335937500	1.000000000000000	0.050625000000000	0
5500		0.98800	0.56400	0.47371	0.28008	0.005766503906250	1.000000000000000	0.050625000000000	0
6000		0.97200	0.58000	0.46300	0.28008	0.008649755859375	1.000000000000000	0.050625000000000	0
6500		0.95000	0.56800	0.44933	0.27881	0.012974633789063	1.000000000000000	0.050625000000000	0
7000		0.93400	0.57000	0.44720	0.27838	0.019461950683594	1.000000000000000	0.050625000000000	0
7500		0.94400	0.60000	0.44709	0.27832	0.029192926025391	1.000000000000000	0.050625000000000	0
8000		0.94400	0.60400	0.45483	0.27840	0.043789389038086	1.000000000000000	0.050625000000000	0
8500		0.96000	0.65000	0.46031	0.27852	0.065684083557129	1.000000000000000	0.050625000000000	0
9000		0.97400	0.64400	0.46557	0.27818	0.098526125335693	1.000000000000000	0.050625000000000	0
9500		0.94400	0.70000	0.46720	0.27819	0.147789188003540	1.000000000000000	0.050625000000000	0
10000		0.96200	0.69800	0.46737	0.27827	0.221683782005310	1.000000000000000	0.050625000000000	0
10500		0.91000	0.67000	0.46812	0.27813	0.332525673007965	1.000000000000000	0.050625000000000	0
11000		0.88400	0.69000	0.47044	0.27847	0.498788509511948	1.000000000000000	0.050625000000000	0
11500		0.78400	0.72400	0.46874	0.27830	0.748182764267921	1.000000000000000	0.050625000000000	0
12000		0.71600	0.69400	0.46760	0.27826	1.000000000000000	1.000000000000000	0.050625000000000	0
12500		0.72900	0.70100	0.46962	0.27820	1.000000000000000	1.000000000000000	0.050625000000000	0
13000		0.72200	0.70667	0.47064	0.27816	1.000000000000000	1.000000000000000	0.050625000000000	0
13500		0.71950	0.69950	0.46722	0.27822	1.000000000000000	1.000000000000000	0.050625000000000	0
14000		0.71920	0.69480	0.46758	0.27824	1.000000000000000	1.000000000000000	0.050625000000000	0
14500		0.72067	0.69033	0.46696	0.27824	1.000000000000000	1.000000000000000	0.050625000000000	0
15000		0.72486	0.69400	0.46762	0.27816	1.000000000000000	1.000000000000000	0.050625000000000	0
15500		0.72125	0.69350	0.47156	0.27837	1.000000000000000	1.000000000000000	0.050625000000000	0
16000		0.72244	0.69422	0.46836	0.27820	1.000000000000000	1.000000000000000	0.050625000000000	0
16500		0.72620	0.70000	0.46869	0.27825	1.000000000000000	1.000000000000000	0.050625000000000	0
17000		0.72673	0.69909	0.46613	0.27799	1.000000000000000	1.000000000000000	0.050625000000000	0
17500		0.72933	0.69933	0.46471	0.27796	1.000000000000000	1.000000000000000	0.050625000000000	0
18000		0.72908	0.70231	0.46637	0.27792	1.000000000000000	1.000000000000000	0.050625000000000	0
18500		0.72971	0.70043	0.46715	0.27785	1.000000000000000	1.000000000000000	0.050625000000000	0
19000		0.73067	0.69920	0.46529	0.27780	1.000000000000000	1.000000000000000	0.050625000000000	0
19500		0.73075	0.70100	0.46291	0.27788	1.000000000000000	1.000000000000000	0.050625000000000	0
20000		0.73247	0.70024	0.46106	0.27767	1.000000000000000	1.000000000000000	0.050625000000000	0
20500		0.73367	0.70067	0.46200	0.27775	1.000000000000000	1.000000000000000	0.050625000000000	0
21000		0.73295	0.70053	0.46174	0.27782	1.000000000000000	1.000000000000000	0.050625000000000	0
21500		0.73370	0.70030	0.46421	0.27782	1.000000000000000	1.000000000000000	0.050625000000000	0
22000		0.73267	0.69971	0.46670	0.27791	1.000000000000000	1.000000000000000	0.050625000000000	0
22500		0.73100	0.69845	0.46420	0.27792	1.000000000000000	1.000000000000000	0.050625000000000	0
23000		0.72983	0.69713	0.46429	0.27801	1.000000000000000	1.000000000000000	0.050625000000000	0
23500		0.72992	0.69700	0.46433	0.27807	1.000000000000000	1.000000000000000	0.050625000000000	0
24000		0.72944	0.69688	0.46495	0.27795	1.000000000000000	1.000000000000000	0.050625000000000	0
24500		0.72854	0.69554	0.46382	0.27774	1.000000000000000	1.000000000000000	0.050625000000000	0
