step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108
1	-672.731767558665865	-671.269685474146968	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.375459948638714	0	1	3	6	6	7	6	8	8	7	7	8	8	8	8	9	9	11	8	8	10	9	9	8	10	10	11	11	10	11	10	10	10	12	10	10	12	12	10	11	11	10	13	12	11	12	12	12	11	11	11	11	11	11	11	13	13	14	13	13	13	15	12	13	14	13	14	13	13	15	13	15	15	15	15	16	14	15	16	17	17	19	16	16	15	16	18	17	16	18	18	19	20	21	24	24	25	25	26	25	25	27	26	27	28	30	33	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	4	4	4	4	4	4	4	4	5	5	6	4	4	5	5	5	4	5	5	6	6	5	6	5	5	5	6	5	5	6	6	5	6	6	5	7	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	8	6	7	7	7	7	7	7	8	7	8	8	8	8	8	7	8	8	9	9	10	8	8	8	8	9	9	8	9	9	10	10	11	12	12	13	13	13	13	13	14	13	14	14	15	17	17
500	-421.090975069195167	-419.628892984676270	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.402109170866935	0	1	3	5	6	6	6	7	8	7	8	9	8	7	8	10	9	11	9	7	11	9	9	8	10	10	11	9	11	10	11	10	10	12	11	10	12	12	10	10	11	10	14	12	12	13	13	12	11	11	10	11	11	12	12	14	14	14	13	13	13	15	12	13	14	13	14	13	14	16	13	14	14	16	16	15	15	16	14	17	18	19	15	17	15	16	18	17	17	18	19	19	21	21	24	24	24	26	26	26	26	28	27	27	28	30	32	34	0	1	2	3	4	1	2	2	7	7	4	24	10	3	4	4	8	12	5	3	23	9	5	5	24	9	28	10	8	17	9	8	11	25	24	22	14	50	5	22	33	28	16	18	21	34	20	36	1	22	13	19	17	33	51	45	52	41	21	48	18	54	36	36	31	35	11	52	55	71	21	42	49	16	83	71	44	49	6	76	86	31	59	63	44	59	31	52	83	89	24	1	58	77	77	57	84	1	93	37	95	80	91	75	27	87	99	99	1	1	1	1	1	3	2	2	1	1	2	1	1	2	2	3	1	1	1	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	2	1	1	1	2	1	1	1	3	1	6	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	3	1	1	2	1	1	1	3	1	1	2	2	5	1	1	4	1	2	2	2	3	3	1	1	5	8	4	2	5	5	3	14	3	6	1	5	5	4	8	6	2	4
1000	-357.443316999868614	-355.981234915349717	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.666237624303010	0	2	2	6	7	8	7	8	8	6	7	8	9	8	5	9	9	12	9	8	11	9	10	6	9	10	11	11	10	10	11	10	11	13	10	10	12	12	10	11	11	10	14	11	12	12	12	12	11	12	11	11	11	11	10	13	14	13	12	13	13	16	13	14	13	12	14	14	13	14	14	15	15	15	15	17	13	15	15	17	17	16	16	16	15	16	19	17	16	18	18	19	20	21	23	24	24	26	26	24	25	27	26	27	28	29	33	35	0	1	1	2	15	4	10	7	15	3	4	7	8	4	3	7	14	36	8	4	42	4	8	2	5	9	19	16	13	12	55	20	25	44	17	13	26	53	6	23	36	12	59	14	33	12	16	24	25	21	5	16	9	13	11	44	50	44	39	30	41	77	59	59	66	7	40	59	32	39	28	57	59	50	69	72	31	27	70	59	73	51	35	40	58	47	67	67	64	67	55	81	92	72	93	59	95	81	97	94	100	82	96	84	103	93	104	107	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	3	1	2	1	2	3	3	1	2	3	2	1	2	3	1	1	2	1	5	1	5	1	1	1	4	1	5	1	4	4	1
1500	-280.842291621518825	-279.380209536999928	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.919042267874366	0	1	3	7	6	8	6	9	7	5	7	7	9	8	8	10	10	12	8	8	9	9	9	9	10	10	10	12	10	12	10	11	10	13	10	10	11	12	11	11	12	10	12	12	11	9	12	12	12	11	11	11	12	12	10	13	13	14	13	13	13	15	12	12	13	14	14	12	13	15	13	16	16	14	15	16	13	15	16	17	16	18	15	16	15	16	17	17	15	18	19	19	20	22	24	24	25	25	26	24	23	24	26	27	28	30	33	35	0	1	2	5	10	9	10	9	7	3	7	5	12	12	9	9	46	42	7	7	11	11	11	4	15	20	9	55	13	55	23	6	19	51	6	12	13	33	23	55	27	14	36	55	27	11	40	22	33	23	46	13	27	22	13	39	37	34	29	28	51	35	52	24	52	30	41	21	52	59	16	89	71	38	71	74	37	77	28	70	28	80	55	56	65	71	75	73	65	84	73	86	82	91	94	94	94	95	100	93	92	101	97	100	99	104	106	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1
2000	-269.531751316429848	-268.069669231910950	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.938741777328087	-1	1	3	7	5	7	7	9	8	7	7	9	7	6	9	8	9	11	9	9	11	9	8	9	9	10	11	11	9	12	10	11	8	13	11	11	12	12	10	12	12	9	14	13	12	12	12	12	12	11	12	11	10	10	11	13	13	15	11	14	14	15	12	13	14	12	15	14	13	15	13	14	16	14	16	16	12	15	17	17	17	18	16	17	15	16	17	17	16	18	19	19	20	21	24	24	26	25	26	25	25	27	27	26	28	31	33	35	0	1	1	5	3	14	14	6	13	14	14	33	14	5	16	4	33	19	10	4	17	10	14	4	7	15	19	23	11	50	12	17	5	18	39	8	54	28	6	28	59	10	45	45	21	52	22	33	36	19	31	42	11	22	22	49	38	56	23	64	38	30	54	54	51	39	34	21	52	49	18	55	44	63	71	58	24	71	85	89	60	83	69	85	51	70	58	85	43	89	90	86	88	82	94	94	95	96	100	95	96	98	101	96	101	105	105	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
2500	-256.062167699183817	-254.600085614664920	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.970676611478059	-1	1	3	5	6	8	7	8	9	7	8	8	8	9	8	9	9	12	7	8	10	8	10	8	9	10	10	11	9	9	11	11	10	12	10	10	11	13	9	10	11	10	14	12	11	13	12	13	11	12	12	11	11	11	12	13	13	14	13	13	13	16	12	12	14	11	15	13	14	15	14	15	16	15	15	17	14	13	15	17	16	19	16	15	15	17	18	18	16	19	17	19	19	21	23	24	25	25	26	25	23	27	25	26	27	29	33	34	0	1	2	3	4	5	5	7	19	4	7	10	10	12	5	22	20	31	5	5	4	5	24	4	15	15	13	29	24	10	39	42	11	41	11	11	7	66	12	11	17	29	50	66	17	45	42	35	25	40	25	17	36	14	66	23	32	41	53	51	45	70	35	27	55	11	61	45	68	58	34	43	77	46	56	75	28	31	69	79	77	88	84	28	69	79	91	83	58	62	84	58	87	90	94	95	95	96	96	96	94	95	95	95	98	102	106	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
3000	-263.743304983983137	-262.281222899464240	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.978268806988102	0	2	3	7	7	8	5	8	6	8	7	8	8	9	8	9	10	11	7	8	10	9	9	9	9	9	12	11	11	10	11	10	10	12	10	10	10	11	9	10	12	10	12	11	12	11	12	13	12	11	10	11	11	10	11	13	13	14	14	12	13	15	13	13	11	14	14	13	13	15	14	13	15	15	13	15	14	15	16	17	17	20	15	16	16	14	17	17	16	17	18	19	20	20	24	25	26	25	26	25	26	28	27	28	28	30	33	34	0	1	1	7	9	19	3	19	3	19	9	19	5	15	7	13	22	26	9	5	8	15	13	8	19	6	54	16	14	15	12	4	13	51	16	12	16	19	13	26	52	13	31	25	36	37	51	38	17	54	24	26	32	39	39	44	47	72	47	17	43	72	46	43	42	27	50	51	44	69	60	38	64	75	53	49	27	86	77	73	78	90	56	59	66	46	58	61	72	79	84	88	81	90	93	95	100	95	96	95	95	101	97	101	100	102	106	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
3500	-267.107650814487158	-265.645568729968261	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.906619675025572	1	2	4	6	6	6	6	9	9	7	7	9	8	9	9	9	8	11	8	8	10	10	9	7	9	9	11	11	10	11	11	10	11	11	10	11	12	12	11	12	11	11	12	12	11	11	12	13	11	12	10	10	12	9	10	12	13	14	13	13	13	15	11	12	15	12	13	13	13	16	13	16	15	15	15	17	13	16	16	17	18	20	17	16	14	16	19	18	15	18	17	20	21	21	23	24	25	26	26	23	25	27	26	28	27	30	31	34	0	1	2	3	3	3	1	6	4	4	7	11	5	19	10	24	7	20	4	4	16	19	24	6	4	20	26	23	8	32	35	26	14	52	17	25	9	31	23	33	12	15	21	41	23	51	13	18	16	15	20	54	33	6	9	39	27	71	45	45	18	61	14	21	57	42	45	41	46	65	42	58	57	68	57	57	50	48	58	73	70	90	74	74	38	85	83	70	61	75	74	76	91	81	93	95	96	101	100	82	100	97	101	103	99	102	102	107	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
4000	-253.089755754206010	-251.627673669687141	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.990023871261564	-1	1	4	7	3	8	6	8	8	8	8	8	7	8	8	8	10	11	8	6	10	9	10	9	10	11	10	10	11	12	10	9	10	12	11	10	11	13	10	11	12	9	14	12	10	12	12	11	11	11	11	12	10	11	11	13	13	13	14	14	13	13	12	13	15	13	14	13	13	16	13	14	15	12	15	16	14	14	15	16	17	19	16	17	16	17	19	18	16	18	19	18	21	20	23	25	25	26	27	24	25	28	27	26	28	31	33	35	0	1	2	7	2	13	3	13	20	7	13	20	20	20	7	7	4	12	4	3	22	15	12	9	12	11	15	8	53	48	4	16	7	49	28	11	21	35	19	24	25	6	30	37	16	25	28	6	9	22	24	54	11	22	31	46	24	35	44	52	63	52	28	40	52	34	41	34	18	78	35	50	71	23	66	43	44	38	46	77	79	70	71	75	64	79	84	89	65	84	89	60	91	88	93	95	95	100	101	95	95	104	100	97	101	105	106	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-248.233955035193901	-246.771872950675032	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.998543288058390	-1	1	3	6	4	8	6	8	9	8	7	9	8	9	8	10	9	12	8	9	10	10	9	7	10	9	12	11	10	11	9	11	9	11	10	10	12	10	10	11	11	9	13	13	11	13	12	13	8	11	11	10	12	11	11	11	13	15	13	14	12	15	12	13	14	13	14	14	13	14	11	12	16	15	13	16	12	15	17	18	15	19	16	16	15	16	17	16	15	18	18	19	20	21	24	24	25	25	26	23	26	26	26	27	28	30	32	34	0	1	2	5	3	4	5	7	11	4	7	11	24	24	4	10	10	21	24	24	20	19	49	5	31	10	32	21	19	26	11	36	7	20	49	31	30	9	15	22	23	11	71	47	26	25	35	45	11	33	49	33	45	11	26	21	61	59	27	18	34	57	9	40	64	22	55	37	55	57	16	38	68	48	37	62	52	66	78	84	59	87	44	57	64	64	62	85	46	76	76	90	92	92	94	100	95	95	98	94	98	96	95	99	104	105	106	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
