step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
1	-396.280355483985375	-394.818273399466477	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.069666365489737	0	2	1	2	4	6	3	5	5	6	6	6	6	6	8	8	8	8	7	8	9	9	10	8	9	9	9	10	10	9	10	10	10	12	10	11	11	11	12	12	11	12	15	13	13	13	13	13	14	12	15	15	14	14	13	13	14	14	15	16	16	15	15	16	16	17	16	17	18	19	19	21	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	4	5	5	5	5	5	5	5	5	5	6	5	6	6	6	6	6	6	6	8	7	7	7	7	7	7	6	8	8	7	7	7	7	7	7	8	8	8	8	8	8	8	9	8	9	9	10	10	11	12
500	-352.856408711489223	-350.947240288469288	-1.909168423019923	0.000010018444494	0.000001541723712	0.153888531546775	0.189432304411328	0	2	1	2	5	5	3	5	5	6	6	7	6	6	8	8	8	9	8	8	9	7	10	7	9	9	10	11	9	9	10	10	10	12	10	11	11	11	13	13	10	11	15	13	13	13	13	10	14	12	15	15	14	14	13	14	14	15	15	17	17	14	14	16	15	18	15	17	18	18	19	22	20	0	1	1	3	1	3	3	1	2	3	2	2	3	1	10	22	1	19	11	5	10	11	18	11	17	16	5	3	14	12	20	12	18	23	2	2	19	21	12	16	7	19	22	42	4	16	35	19	41	33	63	5	30	40	33	4	27	24	44	52	48	30	38	40	29	51	9	50	27	3	66	69	50	1	1	1	1	2	2	2	3	3	3	3	2	3	5	1	1	5	1	1	2	2	1	1	1	1	1	2	5	2	1	1	2	1	2	3	5	1	1	2	2	3	1	5	1	6	2	2	1	3	1	1	4	4	1	1	5	2	4	1	1	5	3	1	1	3	2	4	3	5	10	1	2	4
1000	-279.178387913109816	-277.515855194431765	-1.662532718678077	0.000009940990265	0.000002145087395	0.215782063747017	0.568697523244195	-1	3	2	1	4	6	4	5	6	5	6	7	5	5	7	8	7	9	6	7	9	10	10	9	9	9	9	10	10	8	10	11	10	12	10	12	12	11	12	10	11	13	15	13	12	14	13	13	14	13	14	16	14	12	14	12	13	12	15	16	17	15	15	15	17	18	15	16	16	19	19	21	24	0	4	1	1	1	5	1	2	8	2	4	14	5	2	14	6	8	30	13	5	13	21	20	20	20	8	3	15	27	11	20	28	13	40	11	31	23	26	38	27	40	14	47	28	22	10	28	45	38	26	36	18	12	26	16	23	23	30	57	36	59	53	22	41	53	49	51	47	48	51	53	60	72	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	3	1	1	1	2	1	3	1	2	1	1	1	1	1	1	5	2	1	1	5	1	1	2	2	1	3	3	2	2	1	1	3	1	2	1	1	3	2	2	2	1	1	2	2	3	3	1
1500	-184.222486563194906	-182.129197929197630	-2.093288633997267	0.000009902825955	0.000001242841432	0.125503713546551	0.962194376434926	-1	2	0	2	4	6	4	4	5	6	5	7	6	7	8	8	8	9	7	8	9	7	11	9	9	10	10	11	10	10	10	9	11	13	11	11	11	11	11	12	12	12	16	13	13	14	13	13	14	12	15	15	14	15	13	14	14	13	15	16	17	15	15	13	15	18	16	18	18	18	18	20	22	0	3	1	3	4	5	2	2	8	4	5	13	5	9	6	13	19	19	11	10	20	11	25	22	19	15	14	24	21	19	12	16	20	35	31	26	30	25	26	18	31	27	56	41	50	25	40	28	42	37	47	58	50	64	37	41	55	38	23	63	56	56	57	28	58	43	59	67	60	65	49	61	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-211.425551213233746	-210.046220763292780	-1.379330449940954	0.000009945657577	0.000004455789907	0.448013605177391	0.943950704259445	0	2	2	3	5	7	3	6	5	6	7	6	5	7	9	9	7	9	8	9	10	9	9	7	10	8	9	11	11	9	10	11	9	12	10	11	12	10	12	13	11	12	15	13	13	13	13	14	15	12	12	16	15	14	12	13	13	14	14	14	17	15	13	17	16	18	16	17	18	20	20	21	23	0	1	1	2	7	4	3	5	7	4	13	7	7	2	6	17	8	8	8	26	15	6	6	9	17	9	24	27	31	17	24	23	26	27	24	15	31	26	23	28	33	11	35	50	23	37	36	63	63	36	32	58	47	56	32	34	34	56	50	51	52	60	39	59	57	61	48	62	49	60	64	71	72	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
2500	-188.934921886368556	-187.355306932913209	-1.579614953455354	0.000009748772540	0.000002429734483	0.249234913681707	0.954556599407929	0	3	2	3	4	5	4	5	5	5	6	7	6	7	9	9	8	8	8	8	9	10	11	7	10	8	9	11	10	10	10	10	10	12	11	11	12	12	13	11	11	10	14	13	13	11	13	13	14	13	13	14	15	14	11	13	14	15	15	16	16	16	14	15	15	18	16	17	18	20	18	21	22	0	1	1	3	4	1	3	2	7	5	6	10	7	4	19	24	24	11	13	13	20	21	15	9	19	10	12	32	18	18	20	17	19	32	16	12	28	30	55	19	32	26	38	40	55	27	23	23	56	42	32	50	39	36	25	46	50	43	34	52	57	63	37	47	56	64	59	59	53	69	67	66	70	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-192.118627409039618	-190.659635189292260	-1.458992219747361	0.000009206061020	0.000003014733793	0.327472714545359	0.930037897173725	0	2	2	3	3	7	3	5	5	6	6	6	6	6	9	9	8	8	7	8	9	9	10	9	10	8	9	11	10	9	10	10	10	13	10	11	12	9	12	12	11	12	14	13	11	13	13	12	14	12	15	16	13	15	14	12	14	13	15	16	15	16	15	15	15	17	16	18	18	18	20	20	23	0	1	1	2	3	9	3	7	5	5	5	4	4	3	12	18	13	9	11	19	18	26	26	10	18	14	18	24	17	14	6	24	18	36	21	22	31	6	32	24	27	35	41	40	15	25	28	23	44	29	48	54	30	49	56	41	39	28	50	64	58	65	34	50	47	59	63	37	59	67	68	70	72	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
3500	-176.145316535804824	-174.747362535415220	-1.397954000389593	0.000009067697764	0.000003675252676	0.405312657223476	0.992321905040223	-1	3	1	2	4	6	4	5	6	6	6	7	7	6	8	9	8	8	8	8	9	10	10	8	9	10	9	10	10	8	10	10	9	12	10	10	11	11	11	12	11	12	14	14	12	14	13	13	15	11	16	14	13	13	13	13	14	13	16	16	15	15	16	15	16	15	16	17	19	19	17	21	23	0	3	1	1	2	8	4	3	7	8	5	6	10	4	9	13	11	10	8	14	20	33	24	6	12	15	17	24	18	6	17	15	12	39	18	30	21	16	15	26	23	31	53	38	17	40	42	38	54	15	66	45	26	31	37	26	41	27	62	57	55	56	44	55	62	45	43	51	59	51	60	69	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-232.583749344324104	-231.107525956769734	-1.476223387554377	0.000008806729089	0.000002752523480	0.312547763483987	0.834136768119909	0	3	1	3	4	7	4	5	5	6	7	6	7	6	8	8	9	9	7	8	9	8	10	8	9	9	9	10	10	9	8	11	11	12	10	10	11	12	12	13	10	13	13	13	13	13	13	13	13	12	15	16	14	15	14	13	14	15	15	17	16	15	16	17	17	18	16	16	18	18	19	22	23	0	3	1	3	3	4	4	4	5	4	4	7	2	9	8	11	13	24	10	4	11	10	15	7	11	10	9	30	22	10	19	24	35	32	20	30	27	33	21	23	18	32	29	32	32	13	33	21	33	17	46	44	41	47	34	26	38	44	12	57	38	47	40	58	51	61	53	51	44	67	65	69	49	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	2	1	1	1	1	2	1	1	2	1	1	4	1	2	1	1	1	1	1	1	1	2	1	1	1	5
4500	-183.242923153027476	-181.253612812950479	-1.989310340077007	0.000008486184880	0.000001190666977	0.140306509159714	0.933688744990084	0	3	1	3	4	5	3	6	5	6	6	7	7	6	7	7	8	8	8	8	8	9	10	8	8	9	9	10	10	10	10	10	11	12	11	11	10	11	13	13	10	12	14	13	12	13	13	12	15	12	14	15	15	12	13	14	13	14	15	16	17	13	16	16	15	15	17	17	18	19	19	22	24	0	3	1	1	7	2	3	4	7	4	2	9	11	9	8	9	10	14	13	14	11	24	22	14	16	16	14	17	27	17	24	18	30	31	28	24	20	18	35	38	25	31	45	33	30	38	35	23	40	31	45	46	58	27	45	62	36	42	47	47	59	28	62	52	47	50	64	65	60	67	64	70	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
