step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.00200	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.85800	0.00100	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91000	0.00067	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89000	0.00050	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.80200	0.00040	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.75000	0.00033	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.63000	0.00029	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.49400	0.00025	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.46900	0.00022	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.46733	0.00020	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.48300	0.00018	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.47960	0.00017	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.47700	0.00015	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.47857	0.00014	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.47900	0.00013	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.47667	0.00013	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.48180	0.00012	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.48345	0.00011	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.48600	0.00011	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.48708	0.00010	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.48714	0.00010	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.48760	0.00009	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.48888	0.00009	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.49035	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.49033	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.49221	0.00008	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.49280	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.49305	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.49164	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.49043	0.00007	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.48917	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.48840	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.48892	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.48919	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.49057	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.49076	0.00006	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.49027	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.48994	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.49112	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.49127	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.49088	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.48954	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.48989	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.49016	0.00005	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.48974	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.48964	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.48955	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.48956	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.49033	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.48949	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.48973	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.48956	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.48957	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.48936	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.48862	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.48833	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.48904	0.00004	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.48886	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.48981	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.48962	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.49022	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.49087	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.49075	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.48996	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.49048	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.49092	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.49087	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.49043	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.49071	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.49073	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.49081	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.49098	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.49155	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.49149	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.49144	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.49090	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.49166	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.49206	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.49211	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.49274	0.00003	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.49200	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.49205	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.49218	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.49218	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.49249	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.49241	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.49243	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.49242	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.49229	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.49224	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
45500		-nan	-nan	0.49229	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
46000		-nan	-nan	0.49252	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
46500		-nan	-nan	0.49212	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
47000		-nan	-nan	0.49232	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
47500		-nan	-nan	0.49218	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
48000		-nan	-nan	0.49236	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
48500		-nan	-nan	0.49247	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
49000		-nan	-nan	0.49253	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
49500		-nan	-nan	0.49287	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
50000		-nan	-nan	0.49282	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
50500		-nan	-nan	0.49313	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
51000		-nan	-nan	0.49324	0.00002	0.000150000000000	1.000000000000000	0.170859375000000	0
