step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-1163.394291584437724	-1161.932209499918827	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.800343758764970	1	0	2	5	3	5	5	6	6	6	7	7	7	7	7	7	7	7	8	8	8	7	8	9	9	9	9	9	8	8	10	9	9	10	10	9	10	10	10	11	12	13	11	12	11	12	12	13	16	14	16	15	14	16	15	15	18	16	15	16	16	16	16	19	19	20	19	20	20	19	21	21	21	21	21	23	24	24	24	25	26	27	27	27	28	28	28	28	31	31	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	6	6	7	6	6	6	6	6	7	8	7	8	8	7	8	8	8	9	8	8	8	8	8	8	10	10	10	10	10	10	10	11	11	11	11	11	12	12	12	12	13	13	14	14	14	14	14	14	14	16	16
500	-370.212863659294840	-368.766867135756456	-1.445996523538399	0.000010010147197	0.000003404890590	0.340143908261200	0.457215295536150	1	0	3	6	3	5	6	5	6	6	7	7	8	7	7	8	7	6	8	8	9	7	8	10	10	9	8	10	9	9	11	10	9	10	11	9	10	9	10	11	11	12	10	12	12	10	13	13	15	14	14	15	13	17	15	15	18	16	15	17	16	16	17	20	18	18	19	21	20	18	21	21	20	22	21	23	24	25	25	25	26	26	28	27	29	28	27	29	31	32	2	0	2	6	2	5	3	3	8	5	7	5	5	18	5	6	5	2	17	14	20	5	15	33	27	14	4	13	11	6	37	13	19	12	23	8	27	11	1	34	26	20	8	6	34	22	44	3	21	32	25	50	27	50	23	28	28	35	48	52	45	45	47	56	63	59	65	35	41	60	62	73	60	73	69	50	73	52	60	74	76	71	78	78	29	87	79	51	86	77	1	1	1	1	2	1	1	1	1	2	1	1	3	1	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	3	1	1	2	3	2	1	2	1	5	4	2	3	1	2	2	4	2	4	2	1	1	2	1	2	3	1	1	1	4	5	1	2	1	1	1	1	5	2	6	4	2	1	3	1	1	8	1	1	8	1	4
1000	-270.458541301865807	-269.090099639286052	-1.368441662579751	0.000009928825496	0.000004848817025	0.488357563221046	0.818188920560284	2	0	2	5	3	5	6	4	6	6	8	6	8	8	7	8	8	7	7	9	8	7	9	10	9	10	9	9	9	8	10	9	10	11	10	10	10	9	10	11	11	13	8	12	12	12	13	13	16	15	17	15	15	16	15	15	19	17	15	15	16	15	14	19	20	20	18	19	21	17	22	21	21	21	22	23	23	23	24	26	25	27	28	26	28	29	28	28	32	30	2	0	2	2	1	1	8	1	8	8	9	1	10	6	6	10	22	12	7	19	12	9	13	30	13	20	43	11	18	15	20	18	19	37	16	14	14	17	17	32	28	26	12	35	35	40	46	39	46	42	63	34	42	47	48	41	58	48	33	46	47	35	20	58	63	67	54	58	68	50	65	64	66	70	66	69	74	73	73	73	77	80	78	79	80	77	81	79	83	87	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	2	3	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1
1500	-263.661319756634668	-261.812718226674860	-1.848601529959822	0.000009888232875	0.000001639232751	0.165776107000441	0.905273217829695	1	0	3	6	3	5	5	6	6	6	8	7	7	8	7	7	7	5	9	9	8	8	9	10	10	9	10	9	9	8	11	9	9	10	11	8	10	10	11	10	13	13	12	12	11	10	12	13	15	15	17	14	14	14	15	15	18	17	16	17	16	15	15	18	19	21	20	21	20	20	22	20	21	20	22	24	24	25	24	25	24	28	27	27	27	26	29	26	31	31	2	0	1	3	1	5	3	18	7	3	13	6	6	9	8	8	8	5	22	9	9	10	36	16	22	16	16	22	13	8	20	36	17	21	19	9	18	6	26	28	35	24	23	34	22	12	27	37	37	44	49	43	35	25	42	52	56	49	62	62	53	41	53	58	61	70	58	74	65	58	68	58	60	61	72	73	69	77	68	76	68	86	80	81	88	81	83	77	86	83	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
2000	-234.380883189701706	-232.845588885213090	-1.535294304488627	0.000009728911712	0.000002649124506	0.272294022646661	0.972096940307336	2	1	2	5	3	5	5	6	5	5	8	8	7	6	7	7	7	8	9	9	7	7	9	8	6	8	10	9	8	8	11	9	9	10	11	10	9	9	11	11	10	13	12	13	11	12	13	13	16	14	17	16	14	17	16	16	17	15	15	15	16	16	16	19	19	19	19	19	18	19	19	22	21	21	21	23	23	25	25	25	26	27	27	27	26	29	27	28	31	32	2	0	2	2	2	5	1	9	5	3	9	8	5	10	6	25	9	8	22	16	6	9	21	13	9	7	38	30	15	15	32	22	29	29	28	30	21	13	28	11	12	39	41	36	41	19	35	40	50	40	55	53	39	58	44	53	62	47	50	42	60	53	50	62	51	62	62	51	52	51	63	67	65	66	68	73	69	77	76	70	78	79	79	78	79	84	81	85	86	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
2500	-255.519227652253221	-253.066738911267549	-2.452488740985673	0.000009861980568	0.000000886195348	0.089859774330335	0.911040964250344	2	0	2	5	3	5	6	7	5	7	8	6	7	8	6	7	8	7	9	9	9	7	8	10	9	9	9	9	9	8	10	10	9	10	9	9	9	11	8	12	12	13	11	11	11	13	12	14	17	12	16	15	15	16	16	15	19	17	15	15	15	16	16	19	19	21	18	20	19	19	20	22	22	21	21	24	25	24	23	25	26	27	27	27	28	28	28	29	31	31	2	0	2	1	1	1	9	9	3	5	18	9	15	9	6	9	6	4	22	22	8	15	15	21	16	22	6	23	8	18	29	21	39	14	14	16	7	27	10	43	37	45	31	29	25	43	43	50	19	11	48	50	42	42	48	50	58	46	48	45	43	53	50	58	63	65	56	67	49	51	69	64	57	70	64	72	73	79	75	78	80	77	81	77	81	80	72	82	88	83	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2
3000	-243.182470922679414	-241.375757236525118	-1.806713686154291	0.000009737564875	0.000001704166083	0.175009471553281	0.920458254307215	1	-1	3	5	4	6	5	6	6	7	8	8	7	7	6	7	8	7	9	9	8	8	8	10	9	9	10	10	8	8	10	9	9	10	10	9	10	10	9	10	13	13	10	11	11	12	12	12	16	14	16	14	14	16	15	15	18	16	16	17	17	15	16	17	20	17	19	21	21	19	21	22	21	21	22	23	24	23	24	26	25	27	27	26	28	27	29	28	32	31	2	0	1	5	2	5	5	4	4	9	10	10	6	4	4	4	6	4	23	6	8	4	9	19	13	7	26	14	9	18	33	14	18	16	17	18	11	32	13	33	46	48	36	26	35	34	28	28	53	28	52	42	48	46	41	48	60	45	42	58	55	42	42	62	57	62	64	67	67	61	65	54	57	67	68	57	75	68	69	81	75	79	81	76	83	79	82	80	87	87	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-232.072709349358519	-230.413983117583115	-1.658726231775410	0.000009669978028	0.000002099469074	0.217112083130077	0.982420486945681	2	0	2	5	3	5	5	5	6	7	8	7	8	7	7	7	6	8	8	9	8	7	8	9	9	9	10	8	9	8	10	9	10	11	10	9	10	10	10	11	12	14	12	11	11	13	12	14	17	15	17	16	12	15	15	15	18	17	14	16	17	16	16	20	18	19	20	20	21	18	20	22	21	20	22	23	23	24	22	25	26	28	26	27	28	28	28	29	31	31	2	0	2	1	3	5	5	5	4	6	17	4	15	7	1	7	6	9	16	7	22	7	17	15	11	14	13	17	10	4	10	7	20	18	36	14	30	23	28	21	35	53	39	19	24	33	44	40	52	46	52	59	38	42	46	47	60	54	43	42	60	54	59	57	60	63	66	61	64	50	70	64	57	66	64	68	72	69	65	76	80	81	80	83	81	83	84	84	85	85	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-254.500723653048595	-252.286550185758756	-2.214173467289830	0.000009003897471	0.000001002158999	0.111302799998681	0.937905101865274	2	0	3	5	4	4	5	6	4	6	8	8	6	7	7	6	7	8	8	8	8	7	9	9	9	10	10	10	9	7	8	7	9	11	10	9	9	11	11	12	13	13	11	12	11	12	12	13	14	14	17	14	14	16	15	15	16	15	16	14	16	15	14	19	19	20	20	21	20	20	22	21	22	21	20	23	23	23	24	25	26	28	27	27	28	28	29	27	32	30	2	0	1	3	3	3	5	4	1	9	14	9	9	8	7	9	5	9	14	8	17	10	12	16	14	36	19	22	16	4	15	10	15	26	32	16	22	26	37	38	44	27	25	27	31	18	43	43	46	40	56	44	35	49	42	63	53	42	42	47	41	50	40	51	57	64	64	66	58	45	67	70	67	65	59	73	67	75	72	79	80	83	81	80	81	81	85	80	90	84	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-254.203496230448252	-252.672957114530732	-1.530539115917531	0.000009487271624	0.000002609635095	0.275066973826559	0.913171625258275	2	1	3	6	4	4	5	5	7	7	7	7	8	7	8	7	4	7	8	9	9	7	7	9	10	9	8	10	8	7	11	9	10	10	10	9	9	10	9	10	12	13	11	12	11	12	12	13	16	14	16	16	15	17	14	16	18	17	15	15	17	15	17	19	19	20	17	20	21	18	21	22	22	21	22	23	24	22	24	25	26	25	28	27	28	28	29	28	31	30	2	0	2	6	3	3	6	6	7	7	6	5	10	3	30	4	1	8	12	12	10	6	5	22	10	12	16	19	16	7	25	11	13	39	19	18	27	16	9	12	33	41	20	38	33	28	24	31	42	44	60	55	47	53	48	59	49	49	48	43	42	42	55	54	58	61	62	67	68	53	51	69	69	57	71	73	75	70	75	75	77	76	84	82	78	81	81	77	85	84	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1
