step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.57515	1.00000	0.40148	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.55600	0.93000	0.39107	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		1.00000	0.53000	0.86600	0.38168	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99200	0.57000	0.87400	0.37977	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99400	0.57600	0.75600	0.37660	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99200	0.53400	0.68600	0.37557	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.99200	0.59800	0.59800	0.37341	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.98600	0.53200	0.47400	0.37214	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.97600	0.56200	0.45300	0.37077	0.002562890625000	1.000000000000000	0.170859375000000	0
5000		0.95800	0.57800	0.46600	0.36834	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.96200	0.60800	0.46900	0.36651	0.005766503906250	1.000000000000000	0.170859375000000	0
6000		0.94600	0.52000	0.47000	0.36567	0.008649755859375	1.000000000000000	0.170859375000000	0
6500		0.95000	0.54200	0.46800	0.36447	0.012974633789063	1.000000000000000	0.170859375000000	0
7000		0.95800	0.60400	0.45743	0.36285	0.019461950683594	1.000000000000000	0.170859375000000	0
7500		0.97400	0.60000	0.45800	0.36144	0.029192926025391	1.000000000000000	0.170859375000000	0
8000		0.97400	0.58400	0.45511	0.35941	0.043789389038086	1.000000000000000	0.170859375000000	0
8500		0.95400	0.65600	0.45280	0.35829	0.065684083557129	1.000000000000000	0.170859375000000	0
9000		0.97000	0.67800	0.45109	0.35707	0.098526125335693	1.000000000000000	0.170859375000000	0
9500		0.96400	0.65400	0.44767	0.35590	0.147789188003540	1.000000000000000	0.170859375000000	0
10000		0.90200	0.66400	0.44385	0.35551	0.221683782005310	1.000000000000000	0.170859375000000	0
10500		0.91200	0.69000	0.44029	0.35412	0.332525673007965	1.000000000000000	0.170859375000000	0
11000		0.86200	0.68600	0.43573	0.35265	0.498788509511948	1.000000000000000	0.170859375000000	0
11500		0.80600	0.67200	0.42975	0.35083	0.748182764267921	1.000000000000000	0.170859375000000	0
12000		0.74800	0.68000	0.42541	0.34914	1.000000000000000	1.000000000000000	0.170859375000000	0
12500		0.74000	0.70100	0.41978	0.34704	1.000000000000000	1.000000000000000	0.170859375000000	0
13000		0.73467	0.68933	0.41663	0.34553	1.000000000000000	1.000000000000000	0.170859375000000	0
13500		0.73800	0.69950	0.41170	0.34358	1.000000000000000	1.000000000000000	0.170859375000000	0
