step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-773.068085337155480	-771.606003252636583	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.512271116155086	0	2	2	2	3	4	4	5	5	6	6	6	6	6	7	8	7	7	8	7	7	8	8	8	9	9	8	9	9	10	10	10	10	10	9	9	10	10	9	10	9	10	11	11	11	14	10	11	11	11	13	12	12	11	12	12	13	12	12	13	13	12	13	13	15	14	14	13	14	13	15	14	14	15	15	15	16	17	16	16	17	18	17	17	17	16	19	20	19	19	18	20	22	18	19	20	19	20	20	20	20	21	22	21	23	25	23	25	25	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	7	5	6	6	6	7	6	6	6	6	6	7	6	6	7	7	6	7	7	8	7	7	7	7	7	8	7	7	8	8	8	8	9	8	8	9	9	9	9	9	8	10	10	10	10	9	10	11	9	10	10	10	10	10	10	10	11	11	11	12	13	12	13	13	14
500	-366.601774475267973	-365.139692390749076	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.543822009032021	0	2	2	3	3	4	4	6	5	7	7	6	6	7	7	7	6	7	8	7	8	9	8	8	7	9	7	9	8	9	10	11	10	9	9	9	10	9	8	11	9	10	11	10	11	14	10	12	11	11	13	12	11	11	12	12	12	13	13	13	11	10	13	13	16	15	13	13	14	13	16	15	15	15	14	15	16	17	16	17	17	18	16	16	18	17	18	20	18	20	18	20	22	17	19	20	18	20	20	20	20	22	23	21	22	25	24	25	26	27	0	1	1	2	2	2	1	2	2	6	6	6	9	6	1	9	5	9	13	9	1	18	12	27	4	18	3	18	12	12	24	19	39	16	5	14	11	27	16	23	29	36	25	24	62	67	19	32	31	26	36	36	42	23	44	35	53	32	50	27	20	18	45	57	76	70	34	55	50	50	58	57	68	61	70	55	51	73	58	61	73	66	67	55	80	74	84	97	81	78	49	84	78	77	97	76	86	72	46	65	94	79	102	33	101	103	96	90	104	93	1	1	2	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	4	1	1	1	2	1	2	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	3	1	1	2	2	1	1	1	1	1	1	3	1	3	1	1	2	1	2	4	2	2	2	1	4	1	1	2	2	2	2
1000	-319.759878641710600	-318.297796557191703	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.884335348864090	0	2	3	3	4	5	4	5	5	6	5	6	5	5	7	9	7	8	9	8	7	7	8	9	10	9	8	9	9	10	10	8	10	10	10	10	10	11	9	10	9	11	12	8	10	14	10	12	12	10	14	12	12	11	12	12	13	13	12	12	13	13	14	12	16	15	15	13	13	13	16	14	13	15	16	15	16	15	16	15	17	18	17	17	15	17	19	21	19	16	18	20	22	19	19	19	20	20	18	20	21	20	22	22	23	25	23	26	25	27	0	1	1	2	3	4	1	7	4	14	4	2	4	7	6	21	14	3	17	10	9	14	17	21	32	44	14	13	21	39	32	9	5	29	27	12	23	19	20	29	12	20	34	12	27	70	44	31	21	14	53	32	30	29	39	38	34	43	35	37	30	36	42	31	74	52	61	50	52	54	58	57	60	53	59	48	66	61	46	73	80	71	67	74	70	75	74	99	86	51	81	86	99	84	71	86	82	99	78	86	100	71	95	96	100	101	103	109	105	107	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2
1500	-292.899214523390924	-291.437132438872027	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.870251928047300	0	3	2	2	4	4	4	6	4	6	6	5	5	6	7	7	7	7	7	7	7	8	7	8	9	8	9	10	9	10	11	11	9	11	8	8	8	11	10	8	9	10	11	11	12	15	9	12	12	11	13	11	13	11	12	11	13	12	12	13	14	10	13	13	15	14	14	14	15	12	15	13	15	15	14	16	16	18	17	16	16	19	17	17	17	17	19	20	19	19	18	20	22	18	20	20	17	20	20	19	20	20	23	22	23	25	21	24	25	27	0	4	1	1	3	3	3	7	4	9	3	6	2	6	13	9	13	13	12	13	13	17	2	11	36	8	19	5	10	22	62	25	20	33	9	17	13	39	35	8	21	24	29	39	28	70	40	56	27	27	49	40	50	62	29	35	27	54	23	32	55	20	38	48	32	58	43	51	51	42	72	52	75	63	53	74	72	85	71	68	51	81	71	74	77	44	79	97	86	85	79	97	92	80	78	91	73	94	67	79	79	97	107	95	98	103	101	103	98	109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1
2000	-291.609383688050514	-290.147301603531616	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.947702354777009	-1	2	1	3	3	4	4	5	6	5	6	5	6	6	7	9	8	8	9	7	7	9	7	8	9	7	7	9	10	11	10	11	10	11	10	9	8	9	10	9	10	11	12	11	11	14	11	11	11	12	13	12	11	12	12	11	13	13	13	13	13	10	13	12	16	13	15	10	13	14	15	13	14	14	16	15	15	17	16	15	18	18	15	17	17	14	19	21	19	17	18	20	21	18	19	20	18	20	20	20	20	20	21	21	22	25	23	25	25	26	0	1	1	3	3	4	2	5	8	5	8	7	7	4	11	27	11	13	21	12	12	9	5	23	37	14	14	18	38	31	19	40	18	24	18	9	14	9	24	21	25	19	48	62	68	50	39	19	21	37	41	68	22	40	29	41	24	42	53	47	44	14	44	34	83	30	47	38	48	58	64	45	52	49	72	56	50	80	67	86	84	79	60	75	77	56	84	94	75	86	79	91	85	79	84	89	83	78	81	82	84	91	92	87	99	107	104	105	105	107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-316.224299438094874	-314.762217353575977	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.890045881526472	0	2	2	3	4	5	5	5	6	6	7	7	7	6	7	7	8	5	9	7	8	8	7	8	10	9	8	7	9	10	9	10	10	10	10	8	11	9	9	9	9	10	12	11	9	14	9	12	11	12	13	13	13	12	12	11	13	12	11	12	13	11	14	13	14	13	15	13	14	14	16	14	14	15	15	16	17	16	17	16	17	19	16	17	17	14	19	21	16	18	15	20	23	19	20	17	18	17	20	21	18	21	22	19	23	25	24	26	25	26	0	1	1	1	3	3	4	5	6	4	7	6	14	5	18	6	10	2	21	6	13	20	18	15	18	11	28	18	9	20	23	13	13	45	15	9	17	36	13	20	17	24	59	33	24	48	27	35	11	33	62	60	34	41	33	36	55	37	42	31	44	47	60	34	48	47	50	49	61	68	69	56	43	61	70	68	73	63	89	68	63	83	86	67	58	48	71	87	69	76	53	101	100	96	90	63	67	70	104	104	80	87	82	83	100	102	103	109	107	103	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2
3000	-289.191768061152743	-287.729685976633846	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.884432336967559	0	2	3	2	4	5	4	4	5	5	5	6	6	7	8	7	7	7	7	7	8	8	8	8	9	9	9	9	9	10	10	11	10	10	8	9	11	9	9	9	8	11	11	11	11	14	11	12	12	10	14	11	11	12	12	13	13	13	12	14	13	11	14	13	16	15	14	12	14	14	14	13	15	15	15	15	17	17	16	16	17	17	18	17	18	16	20	19	19	19	18	20	21	18	18	20	20	21	19	19	18	21	22	21	23	25	23	26	26	27	0	1	4	1	4	3	2	4	7	3	3	7	9	10	10	11	10	12	6	11	12	17	14	14	17	24	20	41	13	24	19	24	36	20	10	20	24	20	24	41	16	26	31	14	22	24	38	27	30	24	68	28	50	27	32	42	53	33	28	72	34	15	56	49	59	57	27	36	57	47	59	68	72	47	70	47	75	66	56	60	75	74	56	75	79	71	84	83	77	77	80	101	99	73	80	94	79	88	94	78	79	100	87	97	104	82	102	106	103	109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	2	1
3500	-279.979307490281201	-278.517225405762304	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.920503511928959	0	1	2	2	4	4	4	5	6	7	4	6	6	6	7	8	7	8	7	6	6	8	8	8	9	9	9	8	9	11	10	10	9	9	10	8	11	11	9	11	8	10	10	11	11	15	10	11	11	11	13	11	13	11	13	12	12	12	11	12	13	12	14	12	16	15	14	13	15	13	16	15	14	15	15	15	16	17	17	17	18	19	16	17	17	15	19	20	19	18	18	20	20	17	19	19	19	19	20	21	20	21	22	20	22	24	24	24	24	27	0	1	1	1	3	2	4	5	5	13	2	6	7	7	12	15	7	14	8	11	6	19	21	20	10	10	9	10	8	16	29	16	9	17	18	12	22	39	15	29	6	18	24	22	25	63	27	33	41	26	38	33	29	29	30	47	18	43	29	26	49	12	55	38	46	67	55	50	52	30	53	68	68	70	51	55	86	74	60	53	65	81	70	69	86	70	79	87	81	73	79	91	87	76	94	94	80	75	84	89	98	96	102	90	97	105	103	103	105	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3
4000	-268.219305511265588	-266.757223426746691	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.975369230419696	1	2	2	3	4	4	4	3	6	6	6	6	6	6	7	8	6	7	8	7	7	8	7	8	9	10	8	10	9	8	10	10	9	9	9	8	9	10	9	9	9	11	10	11	11	14	9	11	11	11	13	12	10	11	13	11	13	13	12	14	14	10	13	12	16	14	15	12	15	14	15	14	12	16	16	15	16	18	17	17	17	19	17	16	18	16	18	21	18	20	19	19	23	18	20	20	19	19	20	20	21	21	23	21	23	25	24	26	25	27	0	1	1	1	2	3	1	1	6	4	8	7	2	5	9	9	7	17	17	5	7	21	5	15	16	30	9	27	15	10	30	27	23	27	14	11	36	47	23	10	30	22	27	25	53	42	22	62	47	34	44	26	36	16	62	62	73	49	32	42	58	36	49	24	61	52	46	50	54	56	66	63	53	51	72	55	66	65	84	46	67	84	77	70	69	66	57	97	81	97	83	78	78	81	89	91	84	79	97	85	95	82	88	95	100	105	102	107	103	109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-248.248458675372973	-246.786376590854104	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.976403015716016	0	1	3	3	3	4	2	5	5	6	7	5	5	7	7	9	8	7	8	7	7	8	9	8	9	9	8	10	9	10	10	8	11	11	9	9	8	10	9	10	9	11	11	12	10	14	9	11	11	11	13	11	13	11	11	11	12	9	13	14	14	11	12	13	15	15	14	13	14	14	15	14	14	13	15	15	16	17	17	16	17	18	16	16	15	16	19	20	19	18	17	19	22	19	19	20	19	20	18	21	21	21	22	21	23	24	20	25	25	27	0	1	2	2	2	3	1	3	7	8	9	3	3	8	10	24	11	9	11	6	8	20	20	21	18	14	10	19	11	16	35	13	45	38	15	24	20	24	22	16	11	26	39	34	20	44	15	24	31	16	50	58	62	23	32	29	30	20	62	56	53	31	40	43	69	64	63	63	57	42	61	57	51	56	70	44	74	85	46	65	75	84	61	68	68	61	86	81	81	77	77	91	107	78	78	89	77	82	84	89	89	94	88	98	93	103	89	103	105	109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
