step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.00200	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93400	0.00100	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90000	0.00067	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.91400	0.00050	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.84000	0.00040	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.75400	0.00033	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.71600	0.00029	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.59600	0.00025	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45400	0.00022	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.44500	0.00020	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.44067	0.00018	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.45700	0.00017	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.45760	0.00015	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.45667	0.00014	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.46114	0.00013	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.46100	0.00013	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.46044	0.00012	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.45720	0.00011	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.45691	0.00011	0.000150000000000	1.000000000000000	0.256289062500000	0
10000		-nan	-nan	0.45533	0.00010	0.000150000000000	1.000000000000000	0.256289062500000	0
10500		-nan	-nan	0.45538	0.00010	0.000150000000000	1.000000000000000	0.256289062500000	0
11000		-nan	-nan	0.45371	0.00009	0.000150000000000	1.000000000000000	0.256289062500000	0
11500		-nan	-nan	0.45347	0.00009	0.000150000000000	1.000000000000000	0.256289062500000	0
12000		-nan	-nan	0.45363	0.00008	0.000150000000000	1.000000000000000	0.256289062500000	0
12500		-nan	-nan	0.45353	0.00008	0.000150000000000	1.000000000000000	0.256289062500000	0
13000		-nan	-nan	0.45511	0.00008	0.000150000000000	1.000000000000000	0.256289062500000	0
13500		-nan	-nan	0.45463	0.00007	0.000150000000000	1.000000000000000	0.256289062500000	0
14000		-nan	-nan	0.45390	0.00007	0.000150000000000	1.000000000000000	0.256289062500000	0
14500		-nan	-nan	0.45419	0.00007	0.000150000000000	1.000000000000000	0.256289062500000	0
15000		-nan	-nan	0.45445	0.00007	0.000150000000000	1.000000000000000	0.256289062500000	0
15500		-nan	-nan	0.45678	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
16000		-nan	-nan	0.45733	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
16500		-nan	-nan	0.45712	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
17000		-nan	-nan	0.45792	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
17500		-nan	-nan	0.45763	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
18000		-nan	-nan	0.45836	0.00006	0.000150000000000	1.000000000000000	0.256289062500000	0
18500		-nan	-nan	0.45669	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
19000		-nan	-nan	0.45633	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
19500		-nan	-nan	0.45613	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
20000		-nan	-nan	0.45575	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
20500		-nan	-nan	0.45570	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
21000		-nan	-nan	0.45535	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
21500		-nan	-nan	0.45571	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
22000		-nan	-nan	0.45556	0.00005	0.000150000000000	1.000000000000000	0.256289062500000	0
22500		-nan	-nan	0.45503	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
23000		-nan	-nan	0.45553	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
23500		-nan	-nan	0.45569	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
24000		-nan	-nan	0.45635	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
24500		-nan	-nan	0.45746	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
25000		-nan	-nan	0.45729	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
25500		-nan	-nan	0.45791	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
26000		-nan	-nan	0.45814	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
26500		-nan	-nan	0.45764	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
27000		-nan	-nan	0.45739	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
27500		-nan	-nan	0.45762	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
28000		-nan	-nan	0.45737	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
28500		-nan	-nan	0.45731	0.00004	0.000150000000000	1.000000000000000	0.256289062500000	0
29000		-nan	-nan	0.45736	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
29500		-nan	-nan	0.45780	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
30000		-nan	-nan	0.45831	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
30500		-nan	-nan	0.45789	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
31000		-nan	-nan	0.45826	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
31500		-nan	-nan	0.45775	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
32000		-nan	-nan	0.45757	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
32500		-nan	-nan	0.45758	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
33000		-nan	-nan	0.45690	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
33500		-nan	-nan	0.45661	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
34000		-nan	-nan	0.45643	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
34500		-nan	-nan	0.45679	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
35000		-nan	-nan	0.45668	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
35500		-nan	-nan	0.45673	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
36000		-nan	-nan	0.45731	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
36500		-nan	-nan	0.45769	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
37000		-nan	-nan	0.45806	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
37500		-nan	-nan	0.45848	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
38000		-nan	-nan	0.45847	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
38500		-nan	-nan	0.45803	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
39000		-nan	-nan	0.45777	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
39500		-nan	-nan	0.45699	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
40000		-nan	-nan	0.45711	0.00003	0.000150000000000	1.000000000000000	0.256289062500000	0
40500		-nan	-nan	0.45729	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
41000		-nan	-nan	0.45754	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
41500		-nan	-nan	0.45789	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
42000		-nan	-nan	0.45768	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
42500		-nan	-nan	0.45769	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
43000		-nan	-nan	0.45795	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
43500		-nan	-nan	0.45803	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
44000		-nan	-nan	0.45775	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
44500		-nan	-nan	0.45738	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
45000		-nan	-nan	0.45710	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
45500		-nan	-nan	0.45725	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
46000		-nan	-nan	0.45740	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
46500		-nan	-nan	0.45774	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
47000		-nan	-nan	0.45723	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
47500		-nan	-nan	0.45733	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
48000		-nan	-nan	0.45745	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
48500		-nan	-nan	0.45766	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
49000		-nan	-nan	0.45807	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
49500		-nan	-nan	0.45815	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
50000		-nan	-nan	0.45798	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
50500		-nan	-nan	0.45791	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
51000		-nan	-nan	0.45762	0.00002	0.000150000000000	1.000000000000000	0.256289062500000	0
