step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109
1	-746.737338675113620	-745.275256590594722	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.229121899495147	1	2	3	3	4	6	6	6	8	8	7	9	9	10	10	10	11	11	11	12	12	12	13	13	12	14	16	16	15	15	15	14	14	16	16	17	18	19	19	18	18	18	21	19	19	21	21	22	22	24	23	24	24	24	26	26	29	27	28	27	27	28	28	28	29	30	28	29	30	31	30	30	31	31	32	32	33	32	32	33	34	34	35	35	37	35	36	37	37	38	37	36	40	38	38	38	39	39	39	39	40	39	40	40	40	40	40	43	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	3	4	4	5	5	5	5	5	5	6	6	6	6	6	6	7	8	8	7	7	7	7	7	8	8	8	9	9	9	9	9	9	10	9	9	10	10	11	11	12	11	12	12	12	13	13	14	13	14	13	13	14	14	14	14	15	14	14	15	15	15	15	15	15	16	16	16	16	16	16	17	17	17	17	18	17	18	18	18	19	18	18	20	19	19	19	19	19	19	19	20	19	20	20	20	20	20	21	23
500	-658.278198854149423	-656.816116769630526	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.125358101236400	0	3	1	3	5	7	7	6	9	9	8	9	7	10	8	11	11	9	11	12	13	12	12	12	12	14	17	16	15	14	14	15	14	15	16	17	18	19	20	17	19	19	21	18	20	21	21	23	23	25	23	22	25	25	27	25	29	26	29	26	28	28	28	27	29	30	28	26	30	32	30	29	31	32	32	33	33	32	33	33	32	34	34	35	37	35	36	37	37	37	38	36	40	37	38	38	39	40	39	39	40	39	40	41	40	39	39	42	46	0	1	1	3	4	2	3	5	13	7	8	4	4	9	4	9	4	4	9	14	20	16	8	16	4	5	15	20	22	3	3	31	22	13	33	33	14	12	28	28	40	36	45	20	11	1	5	13	8	43	35	20	51	51	68	38	44	41	31	30	6	6	35	49	30	8	11	54	13	20	47	3	55	23	26	51	81	36	1	13	2	14	49	23	6	52	12	3	62	7	43	29	30	2	40	14	15	33	3	12	84	12	17	6	99	62	42	16	1	1	1	1	1	1	2	3	1	1	1	2	2	1	1	3	1	4	3	1	1	1	1	3	1	7	5	4	2	2	6	8	1	1	6	1	1	3	5	1	1	1	1	1	4	5	11	10	10	8	1	3	4	1	1	1	4	6	4	9	6	11	12	6	3	8	11	10	1	14	10	6	12	2	13	11	5	1	9	16	12	13	13	5	11	18	8	16	20	5	15	10	13	13	19	10	11	17	13	19	13	4	14	14	17	1	5	12	15	25
1000	-572.146280425002374	-570.684198340483476	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.201148042441923	0	3	2	3	4	6	7	6	9	8	8	9	6	11	8	10	11	12	10	11	12	12	13	13	11	14	17	17	16	13	16	12	15	17	17	17	18	19	20	18	19	18	22	19	19	21	21	21	22	24	23	23	25	24	26	27	29	27	26	26	27	28	29	28	29	30	28	29	31	30	31	31	32	31	31	32	33	31	32	32	34	34	34	35	37	35	36	37	37	37	37	36	40	39	38	37	40	37	38	40	40	39	40	40	40	40	40	44	46	0	1	1	1	4	1	3	3	13	13	8	3	3	4	5	12	12	19	7	6	16	1	19	15	13	16	32	24	22	17	9	19	25	11	32	5	17	24	22	33	40	9	38	27	30	34	23	44	24	34	12	47	46	49	51	24	41	29	47	52	44	36	43	60	58	63	37	21	61	62	51	38	72	16	40	74	74	33	52	10	17	66	77	12	35	68	47	8	69	21	48	21	43	26	26	31	39	18	28	81	96	27	46	9	85	69	56	42	38	1	2	1	2	1	3	2	2	2	1	2	4	3	4	2	1	1	1	2	2	1	7	1	3	3	2	3	3	3	1	3	1	2	4	3	5	4	3	4	1	1	3	1	1	3	2	3	1	4	4	10	1	3	1	1	6	6	5	3	1	4	5	4	1	1	1	5	10	2	1	5	6	1	10	7	1	1	9	4	11	13	2	1	12	9	3	9	18	3	12	8	12	8	11	12	10	11	12	12	4	1	12	8	13	1	5	5	14	11
1500	-487.967430303396327	-486.505348218877430	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.361535461857242	-1	2	4	3	5	7	7	6	9	9	8	9	8	10	10	9	11	10	11	12	13	12	12	13	13	14	17	17	14	16	15	14	15	16	15	16	19	18	20	19	18	19	20	20	18	22	20	20	23	23	22	25	24	24	26	26	28	25	29	27	27	28	29	28	30	30	28	29	30	32	30	30	31	31	31	32	33	33	33	33	34	35	35	36	37	33	36	37	37	37	37	37	40	38	38	39	40	39	40	39	39	38	39	40	41	40	40	44	47	0	1	2	2	4	5	1	1	5	8	6	7	7	3	11	13	13	2	6	16	10	16	16	3	11	20	35	34	10	32	24	23	25	26	25	26	28	33	32	23	35	29	41	38	31	39	41	45	41	38	15	37	46	26	43	43	61	53	57	45	24	46	49	31	56	57	43	21	57	57	57	61	52	53	68	65	70	69	71	75	70	75	65	66	66	76	53	11	63	80	27	67	46	65	69	102	38	36	94	68	76	91	89	88	107	102	101	61	80	1	1	2	1	1	1	4	4	1	3	1	1	1	3	2	1	1	2	2	2	2	1	2	3	3	1	1	1	3	1	1	1	1	1	1	2	1	2	2	3	1	3	1	1	2	1	1	1	3	3	6	2	1	5	2	3	1	1	1	4	7	3	3	8	1	1	4	9	1	2	1	1	3	4	1	1	1	1	1	1	1	2	3	2	3	1	7	13	3	3	11	5	9	3	5	1	11	11	1	6	4	1	1	2	1	1	1	7	8
2000	-443.928963923343190	-442.466881838824293	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.508677531223239	0	2	4	3	4	6	6	5	9	8	7	9	9	10	7	9	11	12	11	10	12	9	13	13	11	15	14	16	15	15	15	14	14	16	16	18	17	19	19	18	18	17	21	19	19	21	21	21	22	25	24	24	24	24	25	26	29	27	28	27	27	28	28	26	29	30	26	29	30	31	30	30	31	31	32	32	32	33	33	34	34	35	36	34	37	33	36	37	36	38	37	36	40	38	38	37	40	39	38	39	40	40	40	40	41	41	38	43	45	0	1	2	1	2	3	4	1	15	7	6	8	2	10	6	11	22	16	13	13	25	11	14	9	14	7	21	24	21	10	27	3	18	33	8	42	26	30	35	33	21	22	39	34	33	39	27	40	45	40	41	47	49	34	53	54	64	52	42	55	54	56	52	53	56	39	53	61	49	38	34	58	57	62	53	62	54	50	70	60	61	86	72	70	82	72	82	56	86	81	34	80	58	86	92	92	98	72	89	68	99	94	65	87	66	90	89	101	83	1	1	1	1	1	1	1	2	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	2	1	4	1	1	2	4	1	5	1	1	6	1	1	2	1	3	4	4	1	2	2	1	3	1	1	3	2	1	1	3	1	1	1	1	5	1	1	1	2	1	2	7	1	2	4	5	4	1	1	2	4	2	4	5	1	2	3	1	3	1	1	2	1	6	1	2	12	1	6	1	1	1	1	4	1	5	1	1	4	2	5	1	1	2	6
2500	-367.973453064114096	-366.511370979595199	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.649173678817921	0	2	2	3	5	7	5	6	7	8	7	10	10	10	11	11	11	11	12	12	12	12	13	13	11	15	16	16	15	15	15	15	13	16	17	17	19	19	20	18	18	19	22	20	19	20	22	23	23	24	24	25	25	25	26	25	29	26	28	27	27	28	28	29	28	29	29	29	29	32	31	30	30	31	32	32	33	32	31	33	33	33	35	35	35	35	37	37	37	36	35	36	41	39	37	38	39	40	40	40	40	38	39	40	40	40	41	44	47	0	1	1	1	2	5	4	4	8	7	8	6	6	10	4	12	10	8	16	16	13	13	21	25	12	33	26	29	22	19	23	19	21	20	31	28	36	26	19	32	24	30	32	45	36	35	46	41	43	44	47	47	47	50	52	49	52	48	52	52	53	56	58	54	54	60	60	63	61	73	52	51	52	66	74	60	71	68	53	56	69	71	64	71	72	66	90	75	85	85	78	85	90	95	75	84	87	94	102	87	91	92	96	88	88	96	91	106	93	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	4	1	2	2	4	1	1	1	1	3	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	1	2	3	3	1	1	2	1	2	3	3	2	1	3	2	2	3	1	3	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	2	2	2
3000	-315.665331771157241	-314.203249686638344	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.883311254390282	1	3	4	4	5	6	6	6	8	8	7	8	8	8	10	10	11	11	10	12	12	13	13	13	9	14	14	16	15	16	14	14	15	15	17	16	17	19	19	18	18	19	20	18	20	21	21	22	22	23	24	23	25	23	27	26	29	27	28	26	27	29	28	28	30	30	27	29	30	31	31	30	31	32	32	32	34	32	33	34	35	34	35	35	36	34	36	36	38	39	37	37	40	37	38	37	39	39	40	37	40	40	40	39	40	40	39	43	47	0	1	1	2	2	4	5	2	11	4	5	6	6	6	14	10	25	11	8	16	25	20	18	17	8	21	21	27	22	29	22	18	24	26	33	21	34	37	30	37	34	40	44	37	37	28	45	41	43	49	46	48	47	47	60	50	67	56	58	50	53	53	55	53	63	63	40	55	58	63	68	59	68	72	72	59	74	72	68	74	73	74	82	73	83	79	55	80	85	84	80	88	104	77	79	83	100	87	95	82	95	98	91	87	92	98	89	105	99	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3500	-275.751970386658172	-274.289888302139275	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.866692753248951	0	2	3	4	5	6	6	5	7	8	8	8	10	11	9	10	12	10	12	11	12	12	12	12	13	15	17	15	15	15	15	14	14	17	17	17	19	19	19	18	18	19	20	20	20	21	22	22	22	24	23	25	24	24	26	27	29	26	29	28	27	28	28	29	30	30	29	29	30	31	30	30	32	32	32	32	34	32	32	34	35	34	34	36	37	35	36	38	36	38	38	37	40	39	38	38	38	38	38	39	40	38	41	40	40	40	41	44	46	0	1	2	2	3	8	4	1	7	6	7	6	15	15	2	12	16	6	14	18	15	18	18	16	14	24	28	17	33	25	25	25	20	29	26	33	35	41	35	28	30	36	40	27	42	39	38	42	42	42	46	50	51	48	54	58	61	54	61	58	52	56	58	62	64	60	60	56	67	59	63	64	69	65	69	67	76	72	57	73	76	79	79	82	89	60	83	89	81	84	87	80	90	95	81	84	79	84	87	98	88	81	97	100	97	102	100	100	108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1
4000	-264.247806553164082	-262.785724468645185	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.993445381244674	1	3	3	3	2	5	7	6	9	7	8	9	9	11	11	10	11	11	11	11	13	12	13	14	13	14	15	16	15	16	16	14	15	15	17	17	17	19	19	18	18	19	21	19	20	19	21	21	22	25	23	25	24	23	24	27	28	26	26	28	27	28	29	27	30	29	28	27	30	30	30	30	31	32	32	32	33	33	33	32	34	34	36	36	38	36	37	38	35	37	36	37	41	38	38	39	39	40	39	39	41	39	40	40	40	40	40	43	46	0	1	5	5	1	3	6	5	7	8	7	7	7	12	9	10	13	9	7	11	18	16	19	14	18	16	32	24	25	34	25	18	21	15	27	24	33	31	36	35	30	35	45	28	46	37	46	44	42	51	39	54	49	49	54	58	61	50	55	50	52	52	68	50	68	56	59	50	67	58	67	62	63	69	65	69	73	70	73	65	72	79	82	82	91	81	81	84	81	83	89	84	105	87	83	89	83	94	86	92	107	87	94	96	90	85	102	98	108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-265.686552311609034	-264.224470227090137	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.993385892406515	1	3	4	3	4	6	6	6	9	8	7	9	8	11	9	10	12	11	11	13	12	12	14	13	13	13	17	16	16	16	16	14	14	15	17	17	17	19	19	16	18	19	20	19	20	20	21	21	23	24	23	24	24	24	25	26	28	26	28	28	26	29	29	28	27	30	29	30	31	31	31	30	31	32	33	33	33	33	32	34	34	35	35	36	37	35	37	36	38	38	36	37	40	36	39	38	39	39	40	39	40	38	39	41	40	39	40	42	44	0	1	2	1	2	2	4	5	11	7	8	11	7	16	8	15	15	12	9	19	15	18	19	14	12	14	29	33	20	20	25	14	25	26	29	23	29	31	34	20	29	41	38	32	41	38	39	42	45	51	48	49	48	49	50	53	56	53	61	53	50	58	57	65	53	67	65	60	67	62	68	59	65	72	74	69	79	71	63	70	69	75	78	76	81	77	86	80	86	88	78	94	100	86	87	83	87	92	96	90	102	83	87	98	96	88	96	99	108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
