step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.31463	1.00000	0.35591	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.31131	0.97400	0.34885	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99800	0.31688	0.95200	0.34630	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99600	0.32616	0.92000	0.33767	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99200	0.32773	0.93000	0.33257	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99000	0.32711	0.84200	0.33014	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.97800	0.32524	0.79200	0.32824	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.97200	0.32383	0.64200	0.32726	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.96000	0.32763	0.56200	0.32812	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.95600	0.33227	0.41600	0.32905	0.003844335937500	1.000000000000000	0.384433593750000	0
5500		0.91800	0.33406	0.43700	0.32815	0.005766503906250	1.000000000000000	0.384433593750000	0
6000		0.90600	0.33372	0.43467	0.32852	0.008649755859375	1.000000000000000	0.384433593750000	0
6500		0.87600	0.33421	0.43400	0.32887	0.012974633789063	1.000000000000000	0.384433593750000	0
7000		0.92800	0.33233	0.43120	0.32839	0.019461950683594	1.000000000000000	0.384433593750000	0
7500		0.91400	0.32924	0.43867	0.33047	0.029192926025391	1.000000000000000	0.384433593750000	0
8000		0.82200	0.32492	0.43486	0.32938	0.043789389038086	1.000000000000000	0.384433593750000	0
8500		0.79800	0.32098	0.43650	0.32937	0.065684083557129	1.000000000000000	0.384433593750000	0
9000		0.71800	0.31715	0.43689	0.32981	0.098526125335693	1.000000000000000	0.384433593750000	0
9500		0.59000	0.31372	0.43600	0.33069	0.147789188003540	1.000000000000000	0.384433593750000	0
10000		0.47000	0.31123	0.43655	0.33121	0.221683782005310	1.000000000000000	0.384433593750000	0
10500		0.48500	0.30689	0.43917	0.33278	0.221683782005310	1.000000000000000	0.384433593750000	0
11000		0.48600	0.30666	0.44185	0.33252	0.221683782005310	1.000000000000000	0.384433593750000	0
11500		0.49950	0.30724	0.44371	0.33263	0.221683782005310	1.000000000000000	0.384433593750000	0
12000		0.51000	0.30536	0.44640	0.33288	0.221683782005310	1.000000000000000	0.384433593750000	0
12500		0.51300	0.30458	0.44600	0.33293	0.221683782005310	1.000000000000000	0.384433593750000	0
13000		0.51000	0.30425	0.44765	0.33328	0.221683782005310	1.000000000000000	0.384433593750000	0
13500		0.51100	0.30173	0.44778	0.33327	0.221683782005310	1.000000000000000	0.384433593750000	0
14000		0.51089	0.30131	0.44821	0.33345	0.221683782005310	1.000000000000000	0.384433593750000	0
14500		0.50540	0.29933	0.44960	0.33370	0.221683782005310	1.000000000000000	0.384433593750000	0
15000		0.50491	0.29889	0.44971	0.33304	0.221683782005310	1.000000000000000	0.384433593750000	0
15500		0.50300	0.29705	0.45073	0.33378	0.221683782005310	1.000000000000000	0.384433593750000	0
16000		0.50462	0.29596	0.45217	0.33401	0.221683782005310	1.000000000000000	0.384433593750000	0
16500		0.50614	0.29402	0.45175	0.33391	0.221683782005310	1.000000000000000	0.384433593750000	0
17000		0.50907	0.29378	0.45048	0.33391	0.221683782005310	1.000000000000000	0.384433593750000	0
17500		0.51050	0.29402	0.45062	0.33384	0.221683782005310	1.000000000000000	0.384433593750000	0
18000		0.50906	0.29429	0.45104	0.33375	0.221683782005310	1.000000000000000	0.384433593750000	0
18500		0.51011	0.29564	0.45036	0.33303	0.221683782005310	1.000000000000000	0.384433593750000	0
19000		0.51158	0.29507	0.45131	0.33265	0.221683782005310	1.000000000000000	0.384433593750000	0
19500		0.51010	0.29478	0.44993	0.33277	0.221683782005310	1.000000000000000	0.384433593750000	0
20000		0.50829	0.29331	0.44923	0.33310	0.221683782005310	1.000000000000000	0.384433593750000	0
20500		0.50845	0.29221	0.44931	0.33293	0.221683782005310	1.000000000000000	0.384433593750000	0
21000		0.51009	0.29187	0.44891	0.33305	0.221683782005310	1.000000000000000	0.384433593750000	0
21500		0.50883	0.29229	0.44900	0.33349	0.221683782005310	1.000000000000000	0.384433593750000	0
22000		0.50472	0.29110	0.44920	0.33362	0.221683782005310	1.000000000000000	0.384433593750000	0
22500		0.50331	0.28917	0.44944	0.33378	0.221683782005310	1.000000000000000	0.384433593750000	0
23000		0.50378	0.28853	0.44941	0.33414	0.221683782005310	1.000000000000000	0.384433593750000	0
23500		0.50429	0.28763	0.45047	0.33450	0.221683782005310	1.000000000000000	0.384433593750000	0
24000		0.50214	0.28630	0.45185	0.33486	0.221683782005310	1.000000000000000	0.384433593750000	0
24500		0.50153	0.28479	0.45190	0.33527	0.221683782005310	1.000000000000000	0.384433593750000	0
25000		0.50142	0.28369	0.45176	0.33565	0.221683782005310	1.000000000000000	0.384433593750000	0
25500		0.50125	0.28299	0.45148	0.33581	0.221683782005310	1.000000000000000	0.384433593750000	0
26000		0.50200	0.28320	0.45065	0.33579	0.221683782005310	1.000000000000000	0.384433593750000	0
26500		0.50159	0.28280	0.45036	0.33610	0.221683782005310	1.000000000000000	0.384433593750000	0
27000		0.50131	0.28268	0.45049	0.33609	0.221683782005310	1.000000000000000	0.384433593750000	0
27500		0.50072	0.28223	0.45078	0.33645	0.221683782005310	1.000000000000000	0.384433593750000	0
28000		0.50038	0.28222	0.45004	0.33624	0.221683782005310	1.000000000000000	0.384433593750000	0
28500		0.50079	0.28159	0.45062	0.33643	0.221683782005310	1.000000000000000	0.384433593750000	0
29000		0.50159	0.28108	0.45033	0.33642	0.221683782005310	1.000000000000000	0.384433593750000	0
29500		0.50215	0.28096	0.44984	0.33632	0.221683782005310	1.000000000000000	0.384433593750000	0
30000		0.50161	0.28041	0.44824	0.33641	0.221683782005310	1.000000000000000	0.384433593750000	0
30500		0.50233	0.28017	0.44846	0.33643	0.221683782005310	1.000000000000000	0.384433593750000	0
31000		0.50256	0.28020	0.44808	0.33632	0.221683782005310	1.000000000000000	0.384433593750000	0
31500		0.50282	0.28058	0.44826	0.33601	0.221683782005310	1.000000000000000	0.384433593750000	0
32000		0.50360	0.28079	0.44815	0.33604	0.221683782005310	1.000000000000000	0.384433593750000	0
32500		0.50352	0.28099	0.44814	0.33579	0.221683782005310	1.000000000000000	0.384433593750000	0
