step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-774.936503526203637	-773.474421441684740	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.397948506360684	0	4	7	5	7	8	7	7	7	9	9	10	12	12	12	12	13	13	16	16	16	17	16	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	4	4	4	4	5	5	5	6	6	6	6	7	7	8	8	8	9	8	12
500	-281.181132683754981	-278.180256403556086	-3.000876280198879	0.000009992388789	0.000054773169708	5.481489047556336	0.287637995763988	1	3	7	5	8	8	6	7	8	9	9	10	12	11	12	13	11	14	14	17	17	17	16	22	0	1	7	2	4	3	1	7	8	8	7	6	4	11	5	3	10	0	13	18	16	18	16	4	1	1	1	2	2	1	3	1	1	2	1	1	6	2	2	3	1	1	2	2	2	1	2	7
1000	-277.151593070467641	-274.248317918185649	-2.903275152281990	0.000010006237301	0.000051223024066	5.119109463896672	0.545425562274779	1	5	6	4	7	9	6	8	6	8	7	11	13	10	12	11	13	13	16	16	16	16	17	24	0	4	1	1	9	3	4	9	2	9	2	6	7	11	5	3	15	0	7	18	16	18	16	19	1	1	2	1	1	2	1	1	1	1	1	1	3	1	3	1	1	1	6	1	3	2	3	5
1500	-272.361041494475387	-269.644319313505889	-2.716722180969523	0.000009986652777	0.000044575524985	4.463510044710324	0.533285899318368	1	4	7	3	7	8	6	6	7	9	8	10	11	12	12	13	14	14	17	16	15	17	15	23	0	4	7	1	8	3	4	2	8	5	7	3	2	11	10	3	10	0	13	18	16	18	16	19	1	1	1	2	1	1	2	1	1	2	1	2	3	2	2	3	3	1	3	1	1	2	1	3
2000	-255.472249338897171	-252.899736032443428	-2.572513306453734	0.000010018601450	0.000039958347633	3.988415731687636	0.463291148831094	1	5	7	6	8	8	6	6	7	10	8	11	12	13	12	11	13	14	17	16	16	17	17	22	0	1	7	2	8	3	1	2	8	5	7	6	7	11	10	3	10	0	13	18	16	18	16	7	1	2	1	1	1	1	3	1	1	1	2	2	2	2	1	2	2	1	2	1	2	2	2	8
2500	-286.437178463749831	-283.218252976019755	-3.218925487730075	0.000009887384374	0.000062704696979	6.341889281282895	0.528631449528546	-1	5	7	4	6	8	8	5	7	9	9	10	12	12	13	12	12	14	17	16	15	17	15	24	0	4	4	1	8	3	2	1	5	8	7	3	4	11	8	3	10	0	13	18	16	18	16	4	1	1	1	2	1	1	2	3	1	2	1	2	4	1	5	2	3	1	4	2	1	1	1	10
3000	-265.871322631577812	-263.000608466755466	-2.870714164822356	0.000010051727229	0.000050270984529	5.001228483803866	0.538566482936266	0	3	5	5	8	8	6	8	7	10	8	11	13	12	12	11	14	14	16	16	16	17	15	25	0	1	2	1	9	3	2	9	4	8	2	3	4	11	10	3	10	0	13	18	16	18	16	13	1	2	1	2	1	2	2	1	1	2	3	3	4	1	1	3	2	1	2	2	2	2	2	6
3500	-274.807709274660283	-272.205202243648500	-2.602507031011764	0.000010527715142	0.000043006115521	4.085037915698039	0.506338353755411	0	4	6	5	7	9	6	8	6	10	9	10	13	12	12	13	14	13	16	15	16	18	16	24	0	1	2	2	9	3	1	9	2	5	2	3	4	11	10	3	10	0	13	18	16	18	16	13	1	2	1	1	1	2	3	1	1	2	2	3	2	1	1	2	2	1	1	1	2	2	2	4
4000	-260.751132740687183	-258.323816286244721	-2.427316454442446	0.000010603257410	0.000037496481274	3.536317173441804	0.671090818366014	0	4	7	5	8	9	8	6	7	9	9	9	11	11	12	12	13	14	17	17	16	17	16	22	0	1	1	2	9	3	4	2	8	5	2	3	7	11	10	3	7	0	13	18	16	18	16	7	1	2	4	1	1	1	2	1	1	1	3	1	2	2	2	2	3	1	2	1	2	2	2	7
4500	-244.008777377876072	-241.472570681429602	-2.536206696446459	0.000011921108213	0.000046169978959	3.872960309951314	0.572396591362790	-1	4	7	5	7	9	8	5	7	9	10	10	13	13	12	11	12	12	16	16	16	17	16	24	0	1	2	2	8	3	4	2	8	5	2	6	7	11	10	3	10	0	13	18	16	18	16	2	1	3	1	1	1	1	1	1	1	2	3	1	2	1	2	2	1	1	2	2	2	3	2	8
5000	-249.604286288059342	-247.704111900208943	-1.900174387850399	0.000013909225977	0.000029029110528	2.087039967298181	0.361528503659753	1	4	7	6	5	6	8	7	6	9	10	10	13	12	12	12	13	14	16	16	15	18	15	25	0	1	6	2	2	2	4	5	5	8	2	6	2	11	10	3	10	0	13	18	16	18	16	13	1	2	1	1	1	1	1	1	1	1	3	3	4	1	2	2	2	1	2	1	2	2	2	8
5500	-253.120146922418343	-250.685834314004637	-2.434312608413694	0.000015466591367	0.000055022725383	3.557521116180718	0.657541277427891	1	5	8	6	7	7	7	8	7	10	8	10	11	11	11	12	12	14	15	17	15	17	17	22	0	1	6	1	2	2	2	5	4	9	4	6	4	11	10	3	10	0	13	18	16	18	16	2	1	2	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	3	7
6000	-230.805069070887754	-229.256043000568496	-1.549026070319263	0.000028379589360	0.000034815094095	1.226765252083251	0.452102620715508	1	4	7	5	7	9	6	7	6	9	9	10	12	13	12	11	13	13	15	16	16	16	14	24	0	1	2	2	2	3	4	9	2	5	2	3	5	11	10	3	10	0	13	18	16	18	16	13	1	1	1	1	2	1	1	1	1	1	3	2	4	2	2	2	2	1	2	1	2	2	3	10
6500	-175.956211247535663	-174.594034112677207	-1.362177134858465	0.000109582150208	0.000066620159291	0.607947180856516	0.660320203527746	1	3	7	5	7	8	6	6	7	9	9	10	12	11	13	12	13	14	16	16	16	17	16	24	0	1	4	1	8	4	2	2	4	5	7	6	1	11	8	3	4	0	13	18	16	18	16	15	1	1	1	3	1	2	1	1	1	1	2	1	4	2	3	2	3	1	2	1	2	1	2	3
7000	-190.802997959524276	-189.325048785359314	-1.477949174164961	0.000243510976000	0.000075769072563	0.311152596927876	0.425913407404027	0	5	6	6	6	7	6	7	7	9	9	8	13	13	11	12	12	13	17	16	16	16	16	23	0	1	2	1	1	3	1	1	2	9	4	5	7	11	9	8	8	0	4	18	7	18	4	13	1	2	1	3	4	1	3	4	1	1	2	1	5	2	2	3	3	1	5	1	5	2	4	6
7500	-186.617006704670871	-185.205984956127907	-1.411021748542964	0.000167470729241	0.000064217443180	0.383454729497596	0.466040500877876	1	5	8	3	8	6	6	6	7	10	10	10	11	11	12	12	12	13	17	16	16	18	14	25	0	4	6	1	8	1	4	4	8	5	6	3	4	11	9	3	13	0	7	18	23	18	3	13	1	1	1	1	1	2	1	1	1	1	1	1	5	1	2	2	1	1	6	2	2	2	3	11
8000	-199.373497573779218	-197.986984570840860	-1.386513002938347	0.000201106764442	0.000086318725697	0.429218410112005	0.432081698491890	1	4	8	5	7	9	7	6	8	9	8	9	12	12	11	13	13	13	16	15	17	17	15	24	0	1	1	1	8	3	2	2	8	5	2	3	9	2	7	15	15	0	23	18	16	18	3	15	1	1	3	2	1	1	2	1	1	2	1	1	2	5	2	1	2	1	1	1	2	1	4	9
8500	-180.902564145568789	-179.425710667654357	-1.476853477914433	0.000206964456856	0.000064580456019	0.312036457853425	0.333238019409345	0	5	7	4	8	9	7	8	6	9	8	10	11	12	13	13	12	12	16	16	16	17	15	25	0	1	2	1	9	7	1	3	4	5	7	7	4	11	8	13	10	0	13	18	3	18	12	7	1	3	2	2	1	1	3	1	1	1	1	2	2	2	3	1	2	1	2	2	3	3	2	8
9000	-183.563026310841991	-181.729173543366073	-1.833852767475906	0.000231288534987	0.000039070112076	0.168923686934729	0.679416168877656	1	4	8	5	8	8	6	8	7	9	9	8	12	13	13	12	13	13	16	16	15	16	17	24	0	1	7	2	9	2	2	1	4	4	7	1	5	11	5	3	13	0	13	18	16	18	21	22	1	1	1	1	1	2	1	3	1	1	1	2	2	2	2	2	1	1	2	1	2	2	1	4
9500	-196.052749481708901	-194.489503879546135	-1.563245602162777	0.000221964731395	0.000057093670342	0.257219559084095	0.380241199216717	-1	4	8	6	7	8	7	8	7	10	8	10	12	13	13	11	13	12	17	17	16	18	15	23	0	1	9	1	2	2	2	5	1	7	4	9	8	9	7	9	9	0	15	18	9	20	9	13	1	2	1	3	1	2	1	1	4	2	1	2	2	3	3	2	3	1	3	2	4	1	3	6
10000	-174.997694547812841	-173.594282760094785	-1.403411787718047	0.000158405150570	0.000062669816555	0.395629916887169	0.491460255288264	0	4	8	3	7	6	8	7	8	9	9	10	13	13	12	12	13	14	16	16	16	16	17	23	0	4	6	1	6	1	4	4	2	2	7	3	10	11	9	3	9	0	13	18	16	18	21	10	1	1	1	1	1	2	2	2	2	3	1	1	3	2	2	2	3	1	2	1	3	1	1	7
10500	-192.392667076150985	-190.979416358226672	-1.413250717924303	0.000196232478230	0.000074594574470	0.380133681962848	0.387748222611637	-1	4	6	6	7	8	8	6	8	10	10	9	12	13	12	10	12	12	17	16	16	17	16	25	0	1	1	1	8	2	8	2	8	7	4	2	7	4	5	12	10	0	7	18	4	18	4	3	1	4	4	4	1	2	1	1	1	1	2	3	2	2	2	1	1	1	3	2	5	3	5	12
11000	-187.150094855520251	-185.766769592911430	-1.383325262608817	0.000251302355291	0.000109840792396	0.437086203464809	0.609961733280259	1	4	7	5	8	9	8	8	7	10	9	11	12	12	13	11	14	13	16	16	16	16	14	24	0	1	4	2	4	8	4	2	2	3	9	6	9	9	16	9	16	0	23	18	3	18	6	20	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	3	1	1	1	2	4	1	3	4
11500	-189.323881086938115	-187.874622362619192	-1.449258724318918	0.000371704079086	0.000125201440091	0.336830955417001	0.708346231499285	1	3	5	5	6	7	7	7	7	10	9	11	13	12	13	12	13	14	15	16	17	16	16	24	0	1	1	1	4	3	3	5	3	7	6	4	16	11	12	8	10	0	7	18	12	18	12	19	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	4	1	1	3	1	2	1	2	5
12000	-186.462412787404389	-185.097145329606008	-1.365267457798372	0.000188989792802	0.000095723344826	0.506500078161869	0.632496454377020	1	2	6	5	8	8	7	7	7	9	9	9	13	12	9	12	13	13	14	16	16	17	16	23	0	1	2	2	8	7	1	4	2	3	9	7	15	11	5	7	3	0	10	18	16	18	16	13	1	1	3	2	1	1	3	1	2	1	1	1	2	1	1	2	3	1	3	2	2	2	2	5
12500	-177.097973492278101	-175.554953433933633	-1.543020058344462	0.000194140589420	0.000052015308730	0.267925985420073	0.687629018519591	1	4	7	5	8	8	7	7	6	10	9	10	13	13	12	12	12	12	15	16	16	17	17	25	0	1	4	1	8	3	9	9	2	5	4	6	8	11	8	3	5	0	13	18	16	18	21	22	1	2	1	3	1	1	1	1	1	1	1	1	2	2	3	2	1	1	1	2	2	2	1	5
13000	-186.354033250247426	-184.865653642107844	-1.488379608139578	0.000319642016349	0.000096869526409	0.303056298779843	0.426615737333994	0	3	8	6	7	8	8	5	7	9	8	10	12	11	13	12	12	14	16	16	16	16	15	25	0	1	9	2	4	8	2	1	4	9	2	7	10	11	5	7	5	0	9	18	12	18	3	21	1	1	1	1	1	1	3	2	1	1	3	2	1	2	2	2	2	1	4	1	3	1	2	4
13500	-175.631212588516348	-174.034128112265677	-1.597084476250668	0.000304244098478	0.000073412413503	0.241294453598828	0.583170966425343	1	4	7	5	8	8	6	6	8	10	9	10	12	13	12	12	13	12	16	16	14	17	16	22	0	1	7	2	8	3	4	2	8	5	2	3	5	11	9	2	10	0	13	18	3	18	12	22	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	3	2	1	2	2	4	3	3	2
14000	-220.782593194734829	-219.339767499064010	-1.442825695670807	0.000284352636589	0.000097663065565	0.343457569925174	0.498377955434894	1	4	7	6	8	9	7	6	7	9	10	10	12	12	12	13	13	13	16	16	15	16	14	22	0	1	1	2	9	3	4	2	8	8	4	3	3	11	5	7	7	0	17	4	6	18	4	23	1	1	4	1	1	2	1	1	1	2	2	1	3	1	2	3	3	1	2	6	4	1	5	5
14500	-188.766662505972164	-187.223892777109910	-1.542769728862249	0.000302914339815	0.000081200719271	0.268064956319094	0.432440793410140	0	3	7	5	6	8	8	8	7	8	9	11	12	11	12	12	13	13	16	16	16	17	17	24	0	1	4	2	2	5	4	9	5	9	2	3	7	11	11	3	8	0	9	18	6	18	15	16	1	2	1	1	2	1	2	1	1	1	2	2	3	1	2	3	3	1	3	2	5	2	2	5
15000	-174.186620475738181	-172.673595113664476	-1.513025362073692	0.000247769998384	0.000070835508641	0.285892194791629	0.734381632904379	0	3	8	5	8	6	6	7	7	10	8	10	12	12	11	12	12	13	15	17	16	18	15	22	0	1	6	2	8	2	2	4	7	4	2	3	7	11	8	3	10	0	10	18	16	20	3	13	1	2	1	1	1	1	1	1	1	2	2	1	3	2	2	1	1	1	2	1	1	1	3	4
15500	-175.703939262430765	-174.314956779594326	-1.388982482836434	0.000219613579991	0.000093016061828	0.423544217219826	0.420790421124371	1	3	8	4	7	9	7	7	8	9	9	11	11	10	12	12	14	13	16	16	16	16	16	24	0	1	4	2	4	3	4	2	5	5	4	6	11	11	7	6	7	0	13	18	3	18	3	23	1	1	2	1	2	1	2	2	1	1	2	1	1	1	3	2	4	1	2	2	4	2	4	4
16000	-212.457741175335542	-211.046420389695527	-1.411320785640017	0.000204086854189	0.000078165931033	0.383003262723262	0.435200400119244	-1	4	7	5	8	9	7	8	8	7	10	10	13	12	12	13	13	12	17	15	15	17	16	25	0	1	4	1	2	3	1	1	10	2	4	8	2	11	7	3	4	0	16	18	4	20	8	10	1	3	1	3	2	2	3	4	1	1	2	1	3	1	2	3	4	1	2	2	5	1	5	9
16500	-171.006235342805951	-169.569308285566450	-1.436927057239500	0.000227405449839	0.000079566283171	0.349887319005967	0.655170872247699	1	3	8	5	8	9	7	7	7	9	8	10	13	11	13	12	13	14	17	16	16	17	16	25	0	1	8	2	8	3	4	4	4	8	7	3	9	11	4	3	5	0	10	18	3	18	17	21	1	1	1	1	1	1	1	1	1	1	1	1	3	2	4	1	3	1	3	1	5	2	1	6
17000	-194.825893818290524	-193.422518312347023	-1.403375505943513	0.000241387154306	0.000095514825876	0.395691420077465	0.546682917530320	1	4	7	5	7	9	7	5	8	9	10	9	11	13	11	13	14	12	14	16	16	17	16	25	0	1	1	2	4	4	4	1	1	4	9	3	5	15	4	15	13	0	9	18	3	18	3	19	1	1	2	1	1	3	2	1	4	2	2	1	2	1	3	2	1	1	4	2	5	3	4	7
