step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27
1	-941.637293148551407	-940.175211064032510	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.114690249364198	3	2	7	7	8	9	8	10	9	11	15	17	16	19	18	19	19	20	20	20	20	19	23	22	22	23	25	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	3	4	3	4	4	5	7	8	7	9	8	9	9	9	9	9	9	9	11	10	10	11	12
500	-381.881785359981961	-378.710926808699526	-3.170858551282425	0.000010028920955	0.000061637940701	6.146019195898170	0.110975533844826	3	2	6	7	9	8	9	11	9	9	16	16	16	20	18	20	18	21	21	20	21	18	23	23	22	24	26	2	0	1	3	2	2	4	10	2	3	8	2	10	2	8	11	11	0	2	13	10	2	2	17	2	13	13	1	1	2	1	4	3	2	1	3	2	2	9	3	11	3	2	1	1	9	2	8	7	10	3	10	6	5
1000	-382.938013694399217	-380.377678076277789	-2.560335618121420	0.000009959163081	0.000039333795555	3.949508129810001	0.183836141080169	4	1	6	7	9	8	9	11	10	8	16	17	16	19	15	19	19	20	19	20	20	18	23	22	22	24	26	2	0	1	3	2	2	4	10	6	4	10	2	15	2	10	11	8	0	2	8	10	2	2	17	2	15	13	1	1	1	1	5	4	1	2	2	1	3	8	1	7	5	2	5	1	8	5	7	9	12	1	12	5	5
1500	-356.464599151881032	-354.076472106538688	-2.388127045342320	0.000010024303672	0.000034269049914	3.418596546635766	0.278533114660677	4	2	8	7	8	6	8	11	10	10	15	18	16	17	18	19	18	19	21	21	20	18	23	22	22	23	26	2	0	4	1	2	2	4	10	2	4	10	2	10	2	8	11	10	0	2	15	11	14	2	17	2	13	13	1	1	1	3	2	3	1	1	4	1	3	8	4	9	2	2	3	1	9	2	2	1	12	2	9	5	6
2000	-346.533074349563265	-344.204762028239884	-2.328312321323384	0.000009965804950	0.000032312218375	3.242308929227584	0.236004726663388	4	2	6	8	8	10	9	11	10	10	15	18	17	19	17	19	19	20	19	20	21	20	23	21	23	23	26	2	0	1	3	2	2	4	10	2	4	10	2	10	2	8	11	11	0	2	15	11	14	2	17	2	13	13	1	1	1	1	2	3	1	1	3	1	3	9	4	7	2	2	3	1	8	2	3	1	11	1	11	2	6
2500	-360.556667543517221	-358.398031278261783	-2.158636265255451	0.000009944427798	0.000027480585641	2.763415472219137	0.286756626973233	3	2	7	8	8	8	9	11	8	10	14	17	17	19	18	18	19	20	21	19	20	20	23	22	22	23	25	2	0	1	3	2	2	4	10	2	3	8	2	8	2	13	11	10	0	2	15	15	14	2	17	2	13	13	1	1	2	1	3	4	1	1	3	2	2	11	3	7	1	2	6	1	6	1	1	1	12	2	11	2	5
3000	-343.638852957114068	-341.255542772345393	-2.383310184768654	0.000010271201394	0.000034965734269	3.404249700303733	0.265434374398023	4	3	7	8	8	9	8	11	9	10	16	16	16	17	18	20	19	21	19	19	20	18	23	23	22	23	26	2	0	1	3	2	2	3	10	2	4	10	2	8	2	10	11	8	0	2	15	15	14	2	17	2	13	13	1	1	2	1	2	3	1	1	3	2	2	5	3	7	4	3	4	1	8	1	1	1	11	2	9	2	5
3500	-347.083475078011247	-344.802307503737211	-2.281167574274063	0.000010314102421	0.000032037392984	3.106173632695772	0.296326393205943	2	1	6	7	9	8	9	11	8	9	16	17	17	19	17	20	19	20	20	20	21	19	24	22	23	23	24	2	0	1	3	2	2	4	10	2	4	8	2	8	2	8	11	15	0	2	15	11	12	2	17	2	13	13	1	1	2	1	5	3	1	2	2	1	3	7	2	11	3	2	1	1	9	2	2	1	12	2	12	4	3
4000	-351.189383835969579	-348.455456770825435	-2.733927065144155	0.000011131349059	0.000050335943331	4.521998462603873	0.267883465768335	3	1	6	8	8	10	9	11	8	10	15	17	16	19	17	19	20	20	20	21	21	19	24	22	21	23	24	2	0	1	3	2	2	4	10	2	4	10	2	8	2	10	15	15	0	5	15	11	12	2	17	2	15	13	2	1	1	1	3	4	1	1	2	1	2	10	2	9	3	1	2	1	6	2	4	1	10	1	10	3	4
4500	-296.966410736329124	-294.796407557982548	-2.170003178346582	0.000010676618071	0.000029836489070	2.794563678510591	0.307800954013263	3	1	8	7	9	10	9	11	8	10	15	18	16	17	15	19	19	20	20	20	20	19	23	21	22	22	26	2	0	4	1	2	2	4	10	2	4	8	2	15	2	10	11	15	0	12	15	4	14	2	17	14	13	26	1	1	1	2	3	4	1	1	4	1	1	9	1	8	3	2	2	1	1	3	6	1	11	2	3	3	3
5000	-296.025029569472963	-293.838848094420541	-2.186181475052418	0.000012589194434	0.000035742229825	2.839119692077100	0.389898799765253	3	2	5	6	9	10	8	11	9	10	15	18	17	17	16	19	18	19	18	20	20	19	24	22	22	22	25	2	0	1	3	2	2	4	10	2	3	10	2	15	2	8	11	8	0	14	15	15	14	2	17	19	13	26	1	1	1	1	3	4	1	1	3	3	3	7	1	7	2	2	4	1	1	2	3	1	8	1	1	3	2
5500	-253.187925859490093	-251.647722104438287	-1.540203755051801	0.000018263291934	0.000022000891516	1.204650924693547	0.501012596750226	3	1	5	7	6	10	9	11	9	10	14	17	17	19	16	16	20	20	21	20	19	20	24	22	23	23	26	2	0	1	3	2	2	4	10	2	4	10	2	15	2	11	11	16	0	14	15	16	14	14	17	19	13	26	1	1	1	1	2	5	1	1	4	1	2	7	1	7	1	2	2	1	1	2	2	1	3	1	1	3	1
6000	-229.249464367258810	-227.863787851293637	-1.385676515965163	0.000040575730299	0.000030548256004	0.752870146243712	0.383893687655941	3	2	5	7	6	9	9	10	10	12	15	18	17	19	18	20	18	20	20	21	19	20	23	21	22	24	26	2	0	1	3	2	2	4	4	6	8	8	6	8	6	10	10	11	0	12	8	10	12	22	17	19	13	20	1	1	1	1	2	4	2	2	1	1	2	5	2	6	3	4	2	1	1	7	4	1	2	2	2	3	2
6500	-207.384124744246577	-206.010450687385401	-1.373674056861182	0.000092726666779	0.000043242701088	0.466345902319882	0.703310916659366	4	2	6	7	9	10	9	10	10	12	14	17	16	19	17	20	18	20	19	19	21	19	23	23	22	24	26	2	0	2	3	2	2	3	7	5	8	8	2	11	2	11	15	10	0	12	15	15	12	22	16	19	13	26	1	1	2	1	3	3	1	1	1	1	2	8	1	8	2	2	3	1	1	1	1	1	2	1	1	3	1
7000	-206.457871865738923	-204.940967896818734	-1.516903968920186	0.000221263160834	0.000062707428362	0.283406546873954	0.413369357943925	4	2	8	7	8	10	9	11	8	11	14	17	16	18	18	20	19	20	20	20	19	19	23	22	22	23	26	2	0	1	1	2	2	4	7	2	9	6	2	11	9	10	7	8	0	22	10	15	14	22	14	19	24	17	1	1	2	1	2	4	1	1	5	1	2	9	1	6	4	5	4	1	1	5	1	1	2	3	2	1	4
7500	-204.779280985459224	-203.313110992785624	-1.466169992673612	0.000216119322447	0.000069379243124	0.321022860603551	0.574966901153814	3	1	7	8	8	8	8	11	10	11	15	17	16	20	18	19	19	20	20	20	21	18	23	23	22	22	24	2	0	1	1	2	3	1	5	7	3	4	4	8	11	13	13	15	0	22	15	13	4	26	17	19	11	15	1	1	2	2	3	1	2	2	1	3	3	4	2	2	1	2	1	1	1	1	3	5	1	2	1	4	2
8000	-221.026634011618398	-219.552812996828123	-1.473821014790276	0.000176976000641	0.000055662130087	0.314517956588401	0.385118289286804	3	1	7	8	8	9	8	11	8	12	15	15	16	19	15	16	19	20	20	20	21	18	24	23	23	23	25	2	0	1	1	1	2	3	3	2	8	7	6	8	11	4	10	16	0	6	15	15	11	22	20	12	20	11	1	1	3	3	2	5	1	1	2	1	4	3	2	2	3	2	2	1	5	3	3	2	2	1	5	2	4
8500	-199.649472139438444	-198.065509597701777	-1.583962541736665	0.000171195051958	0.000042320390875	0.247205689597426	0.512134238223097	4	3	7	7	5	9	9	10	9	12	15	18	15	20	18	18	18	20	21	19	20	19	21	22	23	23	24	2	0	2	1	2	3	4	3	3	3	8	6	10	22	8	11	11	0	14	13	15	12	12	11	19	20	20	1	1	3	2	1	1	1	2	1	3	1	4	1	1	3	2	1	1	1	2	1	1	1	4	1	3	2
9000	-190.667525419904848	-189.149076523622654	-1.518448896282199	0.000284458055324	0.000080339783768	0.282431037772873	0.569109830024766	4	2	6	7	8	8	9	10	10	11	13	17	17	19	18	20	20	21	21	20	21	19	23	23	23	23	25	2	0	1	3	1	2	4	4	5	1	8	10	11	1	13	15	15	0	12	15	14	12	22	17	19	14	24	1	1	1	1	3	3	1	1	1	5	1	2	1	7	1	1	1	1	1	1	1	1	2	2	2	2	2
