step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-1940.754348483221520	-1939.292266398702623	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.780203025541863	2	8	10	13	11	14	16	21	19	21	20	22	21	23	23	23	24	26	26	27	31	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	6	5	6	7	10	9	10	9	10	10	11	11	11	11	12	12	13	15	16
500	-324.610655943064444	-322.819219676505895	-1.791436266558572	0.000010009924751	0.000018194029391	1.817599017290606	0.385510745097944	3	8	11	13	11	15	14	21	19	21	17	22	21	23	23	23	24	27	26	28	32	33	0	0	1	3	0	4	3	4	7	6	7	5	5	11	5	9	8	10	3	14	11	14	1	1	4	1	1	1	1	5	3	3	2	6	4	2	4	2	2	3	6	5	10	6
1000	-289.663167164313222	-288.118663711876877	-1.544503452436336	0.000009994575501	0.000012147854505	1.215444768407774	0.221266305948792	2	9	9	13	11	15	15	21	18	21	18	23	20	22	23	23	25	27	25	27	30	33	0	0	1	3	0	4	3	4	7	6	7	5	5	11	13	9	8	10	4	7	14	21	1	1	2	2	1	2	2	3	3	3	1	6	4	2	2	3	2	4	5	3	6	2
1500	-242.720632261255702	-240.673660696071806	-2.046971565183902	0.000010007029502	0.000024657760647	2.464043964450771	0.371438828162207	3	9	10	12	12	14	15	22	19	21	21	22	20	23	24	23	25	27	26	27	31	33	0	0	1	3	0	4	3	4	7	6	7	5	5	11	12	9	8	10	17	11	11	21	1	1	4	1	1	2	3	5	2	3	3	5	2	1	1	2	2	2	1	3	4	1
2000	-255.800142492752485	-254.153538313826914	-1.646604178925565	0.000009996401978	0.000014654273448	1.465954798585917	0.268748202392251	3	8	8	13	10	14	17	21	19	21	21	20	21	23	22	24	24	26	26	27	31	33	0	0	1	3	0	4	3	4	7	6	7	5	5	11	12	9	8	10	17	11	7	21	1	1	3	3	1	1	6	4	1	5	1	3	8	1	1	3	2	3	1	2	6	1
2500	-226.691664223256538	-225.244568591336900	-1.447095631919640	0.000010167700694	0.000009736881191	0.957628620654363	0.506121840959424	2	6	10	12	12	14	16	21	18	21	21	23	21	23	23	22	24	26	27	27	30	33	0	0	1	3	0	4	3	4	7	6	7	13	5	11	13	9	8	10	17	11	11	21	1	1	4	1	1	2	5	3	2	4	4	2	3	1	1	2	2	2	2	2	3	1
3000	-222.807017147058360	-221.297917270552148	-1.509099876506218	0.000010283373619	0.000011573487142	1.125456253042708	0.498044675998793	3	8	10	13	11	15	16	19	18	22	18	22	20	23	23	24	24	25	25	26	31	32	0	0	1	3	0	4	3	4	7	6	7	13	2	11	13	9	8	10	17	14	14	21	1	1	3	1	1	2	3	3	1	4	1	1	6	3	1	4	3	2	1	1	4	1
3500	-215.838343351469717	-214.053629420831896	-1.784713930637819	0.000010500765995	0.000018913467887	1.801151258489440	0.386150673570492	2	6	10	12	12	15	15	22	20	21	20	23	21	23	24	23	24	24	26	27	28	32	0	0	1	3	0	4	3	4	7	6	7	13	5	7	13	9	8	10	17	14	14	21	1	1	6	1	1	2	2	4	2	2	2	1	5	4	2	1	1	2	1	2	2	2
4000	-207.858028790473128	-206.351372474190811	-1.506656316282316	0.000010764961028	0.000012047444952	1.119135027116622	0.391413750951897	0	7	10	13	12	14	17	21	19	21	20	22	21	24	23	23	25	25	26	27	30	33	0	0	1	3	0	4	3	4	7	6	7	13	5	7	13	9	8	10	17	14	14	21	1	1	5	2	1	1	3	4	1	4	3	1	4	3	1	2	1	3	1	2	3	1
4500	-219.284181245216644	-217.756842751609554	-1.527338493607096	0.000012039336465	0.000014111923985	1.172151307993487	0.646686613428048	2	9	10	13	12	14	16	21	18	21	20	23	22	24	24	23	23	26	27	25	29	32	0	0	1	3	0	4	3	4	7	6	7	13	5	11	13	9	8	10	17	7	14	21	1	1	3	2	1	1	2	4	1	3	2	1	4	2	1	3	1	3	2	3	2	2
