step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-2454.817396277214812	-2453.355314192695914	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.623248851555821	-1	2	6	8	11	12	14	19	17	18	20	20	21	22	22	22	22	22	24	23	24	25	25	29	31	34	34	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	6	7	8	10	9	10	11	11	11	12	12	12	12	12	13	12	13	13	13	15	16	18	18	20
500	-1100.206004466821469	-1096.957089397243863	-3.248915069577596	0.000010052562631	0.000064999042027	6.465917638529976	0.289030262391120	-1	2	6	8	11	11	13	19	15	19	20	20	20	23	22	23	23	21	25	23	23	25	26	29	32	34	34	39	0	1	2	3	3	3	3	7	7	9	8	7	7	18	11	7	7	7	18	11	5	14	18	21	21	5	3	3	1	2	2	1	3	2	4	3	2	3	1	2	4	1	1	6	5	5	2	2	5	2	2	2	7	14	19	17
1000	-984.772857919906414	-981.453375867756677	-3.319482052149713	0.000010042611687	0.000067921896173	6.763369757474491	0.249428446571684	0	2	7	9	11	11	13	19	17	19	18	20	21	22	23	22	23	21	24	22	21	26	25	29	30	34	35	38	0	1	2	3	3	4	6	7	7	9	7	7	8	18	11	11	18	7	18	11	5	14	18	21	21	21	21	21	1	1	3	1	3	1	1	3	2	1	2	4	1	1	2	3	1	4	2	2	8	3	2	3	7	10	7	10
1500	-825.916962475167452	-822.823399656048764	-3.093562819118731	0.000010079450633	0.000058848568371	5.838469824552468	0.390058607489562	-1	2	5	7	11	11	14	19	16	18	20	20	21	22	23	23	23	21	25	24	24	26	26	30	28	35	35	38	0	1	2	3	3	4	6	7	6	9	8	8	8	18	11	11	14	8	14	16	4	14	14	21	6	25	25	21	1	2	1	2	3	1	2	3	2	1	1	1	1	1	2	2	1	1	1	1	11	2	2	3	10	6	3	4
2000	-759.837911893408773	-757.442012631531725	-2.395899261877079	0.000010159648351	0.000034967498476	3.441802045500524	0.350710673935724	-1	3	5	8	11	11	14	19	17	19	19	21	22	22	22	21	23	21	24	23	25	24	25	29	32	35	34	39	0	1	2	3	4	4	6	7	7	9	7	8	11	18	11	11	14	8	18	11	3	14	14	21	2	25	25	25	1	2	1	2	1	2	2	3	2	1	2	1	2	1	2	1	1	1	2	3	9	1	2	2	12	3	2	4
2500	-747.459315796956844	-744.905501961848927	-2.553813835107861	0.000010457410537	0.000041084520185	3.928746991412006	0.350127874793308	0	2	7	8	10	12	14	18	17	19	20	21	22	22	22	23	22	19	25	24	24	25	26	29	32	34	33	36	0	1	2	3	3	4	6	7	7	9	8	8	8	18	11	11	18	7	14	11	3	18	14	21	3	25	25	25	1	1	2	1	1	2	2	2	1	1	1	1	2	2	2	2	2	3	2	2	10	3	2	2	14	1	1	1
3000	-816.361088644491701	-813.794928665535963	-2.566159978955755	0.000010766695865	0.000042723259539	3.968093839823728	0.511415355783911	0	2	6	8	12	13	14	18	14	18	19	21	22	22	23	22	22	20	25	24	24	24	26	29	31	34	34	37	0	1	2	3	3	3	6	7	6	9	8	7	8	18	16	11	18	8	14	11	3	18	18	21	3	25	25	25	1	1	1	1	3	3	1	2	1	2	1	4	3	1	1	2	1	1	2	3	10	2	2	3	13	2	1	2
3500	-735.476455664507171	-733.071514829522926	-2.404940834984295	0.000011205675085	0.000038871199891	3.468885149353307	0.407113089248535	-2	2	6	8	11	11	14	18	17	19	18	21	22	22	21	22	22	21	24	23	24	25	25	29	32	35	34	37	0	1	2	3	4	3	6	7	7	9	7	8	11	18	11	15	18	8	18	11	3	18	14	21	3	25	25	25	1	2	2	2	1	2	1	2	1	1	2	3	2	1	2	1	1	2	1	2	8	2	2	3	15	1	1	2
4000	-683.667247408486787	-681.629390425254201	-2.037856983232543	0.000012848669054	0.000031352242578	2.440115972009692	0.352559886220396	-1	2	6	9	11	12	14	19	17	18	20	21	22	21	23	22	22	20	24	23	25	25	25	30	30	35	34	36	0	1	2	3	4	4	6	7	6	9	7	8	11	18	11	11	18	7	18	11	2	14	18	21	2	27	25	21	1	2	2	2	1	2	1	3	3	1	3	1	1	1	2	1	1	3	2	1	11	2	2	3	12	1	2	3
4500	-699.504066559156513	-697.060880395363483	-2.443186163793075	0.000015132582716	0.000054242710633	3.584497877989940	0.474263448355040	-1	2	7	8	11	12	14	19	17	19	20	20	21	22	23	22	22	20	24	24	23	25	26	28	31	34	35	37	0	1	2	3	3	3	6	7	7	9	8	8	11	18	16	11	18	7	14	11	3	18	14	21	2	25	25	21	1	2	2	1	3	2	1	2	1	1	1	1	1	1	1	2	1	3	1	1	7	3	2	2	9	1	2	5
