step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.34068	1.00000	0.33976	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.36837	0.96000	0.33195	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99800	0.36358	0.93000	0.33068	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99200	0.35868	0.89400	0.32751	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.98800	0.37135	0.86000	0.32681	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99000	0.36946	0.81400	0.32542	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.97000	0.37382	0.73800	0.32211	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.96200	0.37334	0.61000	0.32098	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.94600	0.37230	0.47200	0.32043	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.92000	0.37387	0.50700	0.32206	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		0.89000	0.37370	0.41000	0.32249	0.005766503906250	1.000000000000000	0.384433593750000	0
6000		0.85600	0.37473	0.40300	0.32284	0.008649755859375	1.000000000000000	0.384433593750000	0
6500		0.84400	0.37421	0.40067	0.32290	0.012974633789063	1.000000000000000	0.384433593750000	0
7000		0.89200	0.37234	0.40400	0.32333	0.019461950683594	1.000000000000000	0.384433593750000	0
7500		0.86600	0.36778	0.40040	0.32473	0.029192926025391	1.000000000000000	0.384433593750000	0
8000		0.81800	0.36805	0.40167	0.32466	0.043789389038086	1.000000000000000	0.384433593750000	0
8500		0.73200	0.36204	0.40000	0.32516	0.065684083557129	1.000000000000000	0.384433593750000	0
9000		0.67400	0.35871	0.40025	0.32558	0.098526125335693	1.000000000000000	0.384433593750000	0
9500		0.54000	0.35520	0.39533	0.32590	0.147789188003540	1.000000000000000	0.384433593750000	0
10000		0.45000	0.35384	0.39580	0.32689	0.221683782005310	1.000000000000000	0.384433593750000	0
10500		0.45000	0.35261	0.39491	0.32756	0.221683782005310	1.000000000000000	0.384433593750000	0
