step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-2373.798408673685117	-2372.336326589166219	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.836263034836830	1	4	6	8	8	10	8	9	13	11	13	11	12	12	13	14	17	19	20	19	20	21	21	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	5	4	4	6	5	6	5	6	6	6	7	8	9	10	9	10	10	10	11
500	-276.216300641434259	-272.939142684030458	-3.277157957403821	0.000010026507668	0.000066014689920	6.584016299929672	0.401491942232142	1	4	6	7	8	10	8	9	13	11	14	11	12	13	14	14	15	18	21	19	21	21	21	23	0	0	2	1	3	7	4	3	5	8	13	3	4	12	14	8	14	12	17	17	10	14	12	18	1	1	2	3	2	1	1	1	2	1	1	3	4	1	1	2	1	3	4	2	6	3	6	5
1000	-255.236663403833973	-252.200512456591696	-3.036150947242263	0.000010001555177	0.000056167259001	5.615852535739865	0.526020166251415	1	5	7	6	8	10	8	10	13	12	13	10	10	12	13	14	17	19	19	19	20	22	22	22	0	0	2	1	3	7	4	5	8	8	13	2	4	12	14	5	14	12	17	17	10	19	18	18	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	3	3	5	1	1	5	2	1	2
1500	-255.274352359414991	-252.453311236404033	-2.821041123010958	0.000009903959581	0.000047779108287	4.824243061372023	0.508066118149745	1	4	5	7	8	11	9	10	13	10	13	11	11	12	14	13	17	18	20	19	20	22	22	23	0	0	2	1	3	7	4	3	5	5	13	2	4	8	14	8	14	12	17	17	10	19	18	18	1	1	1	3	1	1	2	2	2	1	1	4	3	1	1	1	2	4	2	1	6	1	2	3
2000	-243.903635681194373	-241.215970940551898	-2.687664740642474	0.000009870359807	0.000043090201820	4.365616113424668	0.573588684889574	1	5	6	7	8	9	8	10	13	12	13	12	11	13	14	15	17	20	20	19	20	21	22	22	0	0	2	1	3	7	4	3	5	5	13	2	4	12	14	8	14	12	17	17	10	17	18	18	1	1	1	3	1	1	1	2	2	2	1	2	2	1	1	2	2	4	1	1	4	2	1	1
2500	-254.351679905149894	-251.165135524979519	-3.186544380170366	0.000009848282066	0.000061153351748	6.209545110175036	0.515418244238248	2	4	6	7	9	11	8	8	11	11	14	11	12	12	14	13	16	18	20	18	19	21	22	21	0	0	2	1	3	7	4	3	8	5	13	2	4	12	14	5	14	12	17	17	10	19	18	18	1	1	1	2	2	2	1	1	2	1	1	2	2	1	1	2	2	4	2	1	3	1	2	2
3000	-245.859548871399767	-242.883155188218666	-2.976393683181101	0.000009871293176	0.000053199368636	5.389300843217458	0.465265055503165	1	4	6	7	8	10	8	9	13	10	14	11	13	12	14	12	17	19	20	19	21	21	22	23	0	0	2	1	3	7	4	5	8	3	13	2	4	12	14	5	14	12	17	17	10	17	18	18	1	1	1	3	1	1	1	1	2	2	1	2	3	1	1	2	3	3	1	1	6	2	2	2
3500	-253.387070552206808	-250.787534264590647	-2.599536287616171	0.000009812974721	0.000039991967480	4.075417354933498	0.622120520147467	1	5	6	8	8	11	9	9	14	11	13	10	12	12	13	14	17	19	20	19	18	21	21	22	0	0	2	1	3	7	4	3	5	5	13	2	4	12	14	5	14	12	17	17	10	17	18	18	1	1	1	3	2	1	1	1	3	2	1	2	2	1	1	4	2	2	2	1	3	2	2	2
4000	-249.143243596267126	-246.193607135896741	-2.949636460370387	0.000010370112800	0.000054853114305	5.289538827963970	0.364460141948882	1	4	6	8	8	11	9	10	12	12	14	12	12	12	13	14	17	20	20	19	20	22	22	22	0	0	2	1	3	7	4	3	5	8	13	8	4	8	14	9	14	12	17	17	10	19	18	18	1	1	1	3	2	2	1	2	2	1	1	1	2	1	1	1	2	4	2	1	3	1	1	1
4500	-232.591958789088835	-230.185398572668703	-2.406560216420126	0.000010655130563	0.000037013215353	3.473745829262464	0.607090130885849	1	4	7	7	8	10	8	10	13	11	13	12	9	11	13	14	18	19	20	19	20	21	21	23	0	0	2	1	3	7	4	5	5	3	13	14	4	2	14	8	14	12	17	17	10	17	18	18	1	1	2	4	1	1	1	1	3	1	1	1	2	3	1	1	3	4	1	1	3	1	1	2
