step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-817.573840881138153	-824.429328832097553	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497214317129732	1	3	3	6	6	7	8	10	10	12	13	13	13	15	14	15	15	16	18	19	20	24	24	26	27	27	30	32	33	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	5	5	6	6	6	6	7	7	7	7	8	9	9	10	12	12	13	13	13	15	16	16	18
500	-263.883989341474603	-270.739477292434003	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.289857723559232	1	3	3	7	6	8	6	10	9	12	12	11	13	15	13	15	15	16	18	19	20	23	24	27	28	24	30	32	34	37	0	1	1	2	1	7	2	9	7	8	8	7	3	11	10	11	13	13	14	12	14	18	19	13	13	0	11	0	26	26	1	1	1	2	2	1	2	1	2	1	1	3	5	1	1	1	1	1	2	4	2	3	3	8	7	1	10	1	10	12
1000	-251.166486050905661	-258.021974001865033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451416780679881	1	4	3	7	5	6	9	10	11	12	12	12	14	15	15	14	14	16	18	18	21	23	25	25	28	25	29	32	33	37	0	1	1	2	1	5	2	4	7	9	2	7	3	16	8	11	12	12	11	13	19	13	21	22	24	0	19	0	26	26	1	2	1	2	1	1	2	1	1	1	4	1	6	1	3	1	1	3	3	2	2	3	2	1	2	1	4	1	5	12
1500	-223.460562698073772	-230.316050649033144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451126938268978	1	4	3	5	6	8	7	9	10	12	13	13	13	15	14	15	16	17	17	19	20	25	23	26	27	26	30	33	32	37	0	1	1	1	1	5	2	7	8	9	7	2	7	11	10	11	12	13	14	12	19	18	21	22	24	0	19	0	26	26	1	2	1	2	2	1	1	1	1	2	3	5	3	1	1	1	2	1	1	3	2	4	2	1	1	1	7	1	2	10
2000	-206.098170586020586	-212.953658536979958	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401392004032329	1	3	3	6	6	7	8	10	10	12	12	13	14	16	14	15	15	16	18	19	20	24	22	25	28	27	30	33	32	37	0	1	1	2	1	5	2	7	7	9	7	7	7	16	9	11	12	13	14	12	14	18	11	22	24	0	19	0	26	26	1	1	1	2	2	1	2	1	1	1	2	3	3	1	3	1	1	2	2	3	2	4	5	1	1	1	6	1	2	7
2500	-196.865392026554986	-203.720879977514358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.518501348737853	1	3	3	5	6	8	6	9	10	13	13	13	12	14	14	16	15	16	18	19	21	24	25	25	27	27	29	31	33	36	0	1	1	2	1	5	1	7	8	9	7	13	7	11	10	8	12	13	11	12	14	18	21	22	24	0	19	0	26	29	1	1	1	1	2	2	2	1	1	2	3	1	3	1	1	3	1	3	2	3	4	4	2	1	1	1	4	1	3	2
3000	-187.810628527501279	-194.666116478460651	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616231976070942	1	4	3	6	6	7	8	9	10	12	14	13	12	16	13	15	15	16	18	19	20	24	23	26	25	27	27	32	33	35	0	1	1	2	2	5	2	7	8	9	7	13	7	11	10	11	12	13	14	12	14	18	11	25	22	0	19	0	26	29	1	2	1	1	1	1	1	1	1	2	3	1	2	1	1	1	1	2	1	3	2	3	4	1	1	1	3	1	2	1
3500	-188.424006698364366	-195.279494649323738	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557303553489792	1	3	3	7	6	8	8	9	10	12	13	14	12	16	14	15	16	16	18	18	18	24	24	26	28	28	31	33	33	36	0	1	1	1	2	5	2	7	8	9	7	13	7	11	10	11	12	13	14	12	11	18	14	22	24	0	19	0	26	29	1	1	1	4	1	1	3	1	1	1	2	1	2	2	1	1	2	2	1	2	2	5	4	1	2	1	5	1	2	2
4000	-192.558302640543332	-199.413790591502703	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595105947662715	1	3	3	6	5	7	8	10	10	12	12	13	12	16	14	15	15	17	18	18	20	24	24	25	27	26	29	32	32	36	0	1	1	1	1	5	4	7	7	9	8	13	2	16	9	11	12	13	14	12	16	18	21	22	24	0	19	0	26	29	1	1	2	3	2	2	1	1	1	2	1	1	4	1	2	2	1	3	1	2	2	3	2	1	1	1	4	1	2	2
4500	-220.110881023092759	-226.966368974052131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476137877980737	0	3	3	6	5	7	8	11	11	12	14	14	12	15	15	15	15	15	18	19	20	23	21	27	28	26	30	32	34	36	0	1	1	2	2	3	4	7	7	9	2	13	4	11	8	11	12	13	14	12	19	18	19	22	24	0	19	0	26	29	1	1	1	2	1	2	1	2	1	1	5	1	2	1	2	1	1	1	2	2	1	4	2	2	1	1	5	1	4	2
