step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.21042	1.00000	0.35485	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.33800	0.98400	0.35700	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97800	0.34500	0.96200	0.35881	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.35467	0.90200	0.35807	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98000	0.35650	0.89000	0.35817	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96800	0.34760	0.80400	0.35979	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97400	0.34733	0.74200	0.35816	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.94600	0.34029	0.62600	0.35818	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93600	0.33975	0.51000	0.35641	0.002562890625000	0.666666666666667	0.256289062500000	0
5000		0.88600	0.33844	0.36200	0.35637	0.003844335937500	0.666666666666667	0.384433593750000	0
5500		0.86600	0.34140	0.38300	0.35601	0.005766503906250	0.666666666666667	0.384433593750000	0
6000		0.79400	0.34164	0.38800	0.35576	0.008649755859375	0.666666666666667	0.384433593750000	0
6500		0.83000	0.33833	0.40250	0.35589	0.012974633789063	0.666666666666667	0.384433593750000	0
7000		0.86600	0.33015	0.40240	0.35652	0.019461950683594	0.666666666666667	0.384433593750000	0
7500		0.85000	0.32643	0.40700	0.35889	0.029192926025391	0.666666666666667	0.384433593750000	0
8000		0.77000	0.32040	0.40714	0.36044	0.043789389038086	0.666666666666667	0.384433593750000	0
8500		0.66000	0.31550	0.41225	0.36303	0.065684083557129	0.666666666666667	0.384433593750000	0
9000		0.60400	0.31071	0.41533	0.36480	0.098526125335693	0.666666666666667	0.384433593750000	0
9500		0.47600	0.30733	0.41700	0.36640	0.147789188003540	0.666666666666667	0.384433593750000	0
10000		0.44000	0.30379	0.41600	0.36787	0.147789188003540	0.666666666666667	0.384433593750000	0
10500		0.43600	0.30160	0.41917	0.36964	0.147789188003540	0.666666666666667	0.384433593750000	0
11000		0.44150	0.29838	0.42092	0.37077	0.147789188003540	0.666666666666667	0.384433593750000	0
11500		0.44240	0.29536	0.42329	0.37155	0.147789188003540	0.666666666666667	0.384433593750000	0
12000		0.44533	0.29383	0.42427	0.37253	0.147789188003540	0.666666666666667	0.384433593750000	0
12500		0.44657	0.29292	0.42712	0.37311	0.147789188003540	0.666666666666667	0.384433593750000	0
13000		0.44775	0.29032	0.42576	0.37374	0.147789188003540	0.666666666666667	0.384433593750000	0
13500		0.44733	0.28808	0.42533	0.37386	0.147789188003540	0.666666666666667	0.384433593750000	0
14000		0.44960	0.28733	0.42505	0.37413	0.147789188003540	0.666666666666667	0.384433593750000	0
14500		0.44691	0.28607	0.42480	0.37494	0.147789188003540	0.666666666666667	0.384433593750000	0
15000		0.45000	0.28531	0.42390	0.37517	0.147789188003540	0.666666666666667	0.384433593750000	0
15500		0.44954	0.28360	0.42382	0.37584	0.147789188003540	0.666666666666667	0.384433593750000	0
16000		0.45014	0.28232	0.42383	0.37609	0.147789188003540	0.666666666666667	0.384433593750000	0
16500		0.45013	0.28163	0.42117	0.37618	0.147789188003540	0.666666666666667	0.384433593750000	0
17000		0.45225	0.28218	0.42040	0.37620	0.147789188003540	0.666666666666667	0.384433593750000	0
17500		0.45176	0.28159	0.42015	0.37681	0.147789188003540	0.666666666666667	0.384433593750000	0
18000		0.45389	0.28109	0.42022	0.37705	0.147789188003540	0.666666666666667	0.384433593750000	0
18500		0.45484	0.28089	0.42043	0.37780	0.147789188003540	0.666666666666667	0.384433593750000	0
19000		0.45230	0.28076	0.42048	0.37848	0.147789188003540	0.666666666666667	0.384433593750000	0
19500		0.45219	0.27932	0.42080	0.37855	0.147789188003540	0.666666666666667	0.384433593750000	0
20000		0.45245	0.27815	0.42045	0.37866	0.147789188003540	0.666666666666667	0.384433593750000	0
20500		0.45278	0.27730	0.41975	0.37914	0.147789188003540	0.666666666666667	0.384433593750000	0
21000		0.45517	0.27688	0.41885	0.37927	0.147789188003540	0.666666666666667	0.384433593750000	0
21500		0.45720	0.27657	0.41941	0.37932	0.147789188003540	0.666666666666667	0.384433593750000	0
22000		0.45662	0.27591	0.42034	0.37964	0.147789188003540	0.666666666666667	0.384433593750000	0
22500		0.45637	0.27532	0.42083	0.37948	0.147789188003540	0.666666666666667	0.384433593750000	0
23000		0.45836	0.27449	0.42114	0.37949	0.147789188003540	0.666666666666667	0.384433593750000	0
23500		0.45738	0.27378	0.42200	0.37969	0.147789188003540	0.666666666666667	0.384433593750000	0
24000		0.45880	0.27281	0.42287	0.37978	0.147789188003540	0.666666666666667	0.384433593750000	0
24500		0.45942	0.27217	0.42370	0.37990	0.147789188003540	0.666666666666667	0.384433593750000	0
25000		0.45956	0.27184	0.42307	0.37972	0.147789188003540	0.666666666666667	0.384433593750000	0
25500		0.46030	0.27128	0.42352	0.37940	0.147789188003540	0.666666666666667	0.384433593750000	0
26000		0.46041	0.27102	0.42274	0.37930	0.147789188003540	0.666666666666667	0.384433593750000	0
26500		0.46051	0.27069	0.42195	0.37948	0.147789188003540	0.666666666666667	0.384433593750000	0
27000		0.46000	0.27004	0.42236	0.37966	0.147789188003540	0.666666666666667	0.384433593750000	0
27500		0.45870	0.27067	0.42174	0.37995	0.147789188003540	0.666666666666667	0.384433593750000	0
28000		0.45884	0.27080	0.42255	0.37994	0.147789188003540	0.666666666666667	0.384433593750000	0
28500		0.45856	0.27032	0.42304	0.37994	0.147789188003540	0.666666666666667	0.384433593750000	0
29000		0.45740	0.27014	0.42367	0.37970	0.147789188003540	0.666666666666667	0.384433593750000	0
