step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98597	0.20441	1.00000	0.35867	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.32600	0.96000	0.34597	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.35500	0.88800	0.33956	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98200	0.35933	0.81600	0.33405	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98800	0.35700	0.77200	0.32599	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98400	0.35480	0.64200	0.32292	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97200	0.35400	0.48200	0.31812	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96600	0.36057	0.50400	0.31464	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.95200	0.36675	0.39600	0.31215	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.91800	0.36867	0.41500	0.31105	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.87600	0.37000	0.41133	0.30950	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.88400	0.37182	0.42000	0.30878	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90600	0.37050	0.42120	0.30743	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.90400	0.36385	0.42733	0.30757	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.83400	0.36129	0.42629	0.30812	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.78200	0.35493	0.42450	0.30820	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.72000	0.35213	0.42622	0.30849	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.56000	0.35024	0.42380	0.30913	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.43000	0.34656	0.42782	0.31030	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.40500	0.34011	0.43217	0.31134	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.41800	0.33490	0.43585	0.31179	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.43000	0.33333	0.43400	0.31179	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.42400	0.33245	0.43640	0.31226	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.42867	0.32983	0.43850	0.31294	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.42857	0.32633	0.44094	0.31333	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.42725	0.32328	0.44222	0.31395	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.42889	0.32223	0.44347	0.31414	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.43060	0.32089	0.44390	0.31425	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.42709	0.31850	0.44648	0.31494	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.42233	0.31517	0.44764	0.31566	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.42446	0.31520	0.44783	0.31594	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.42671	0.31542	0.44767	0.31627	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.42667	0.31362	0.44560	0.31653	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.42788	0.31267	0.44562	0.31643	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.43059	0.31282	0.44689	0.31668	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.42956	0.31160	0.44571	0.31676	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.42821	0.30944	0.44614	0.31722	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.42910	0.30832	0.44593	0.31750	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.42943	0.30705	0.44755	0.31805	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.42973	0.30564	0.44850	0.31830	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.42809	0.30400	0.44836	0.31838	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.42733	0.30307	0.44871	0.31880	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.42712	0.30176	0.44943	0.31917	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.42838	0.30047	0.45039	0.31955	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.42726	0.30000	0.45103	0.31980	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.42893	0.30004	0.45021	0.31998	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.43000	0.29996	0.45056	0.32009	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.43147	0.29970	0.45095	0.32012	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.43039	0.29892	0.45059	0.32012	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.43075	0.29812	0.44933	0.32010	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.43164	0.29780	0.44995	0.32019	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.43247	0.29714	0.44995	0.32028	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.43251	0.29677	0.44991	0.32038	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.43311	0.29645	0.45061	0.32051	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.43292	0.29489	0.45043	0.32070	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.43216	0.29502	0.45092	0.32075	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.43267	0.29511	0.45131	0.32090	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.43170	0.29442	0.45156	0.32103	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.43156	0.29472	0.45114	0.32112	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.43181	0.29451	0.45081	0.32117	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.43163	0.29383	0.45102	0.32125	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.43177	0.29361	0.45141	0.32138	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.43133	0.29319	0.45167	0.32152	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.43130	0.29298	0.45193	0.32179	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.43060	0.29222	0.45200	0.32195	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.43108	0.29175	0.45317	0.32194	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.43061	0.29133	0.45295	0.32217	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.43088	0.29107	0.45297	0.32239	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.43110	0.29121	0.45275	0.32241	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.43115	0.29099	0.45265	0.32243	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.43042	0.29046	0.45210	0.32251	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.43100	0.29070	0.45244	0.32240	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.43153	0.29064	0.45277	0.32252	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.43136	0.29066	0.45236	0.32237	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.43221	0.29046	0.45230	0.32238	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.43228	0.29077	0.45250	0.32228	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.43254	0.29061	0.45206	0.32229	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.43427	0.29109	0.45140	0.32217	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.43452	0.29090	0.45130	0.32202	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.43445	0.29063	0.45156	0.32210	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.43441	0.29073	0.45205	0.32220	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.43375	0.29015	0.45232	0.32225	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.43323	0.28927	0.45272	0.32247	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.43315	0.28894	0.45321	0.32260	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.43310	0.28881	0.45369	0.32275	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.43312	0.28814	0.45408	0.32278	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.43313	0.28821	0.45418	0.32293	0.147789188003540	0.666666666666667	0.170859375000000	0
44000		0.43349	0.28816	0.45453	0.32309	0.147789188003540	0.666666666666667	0.170859375000000	0
44500		0.43338	0.28850	0.45457	0.32306	0.147789188003540	0.666666666666667	0.170859375000000	0
45000		0.43311	0.28800	0.45451	0.32298	0.147789188003540	0.666666666666667	0.170859375000000	0
45500		0.43367	0.28793	0.45424	0.32287	0.147789188003540	0.666666666666667	0.170859375000000	0
46000		0.43370	0.28793	0.45388	0.32285	0.147789188003540	0.666666666666667	0.170859375000000	0
46500		0.43325	0.28752	0.45391	0.32293	0.147789188003540	0.666666666666667	0.170859375000000	0
47000		0.43313	0.28708	0.45384	0.32302	0.147789188003540	0.666666666666667	0.170859375000000	0
47500		0.43314	0.28672	0.45375	0.32306	0.147789188003540	0.666666666666667	0.170859375000000	0
48000		0.43333	0.28653	0.45407	0.32307	0.147789188003540	0.666666666666667	0.170859375000000	0
48500		0.43311	0.28656	0.45436	0.32311	0.147789188003540	0.666666666666667	0.170859375000000	0
49000		0.43300	0.28606	0.45400	0.32317	0.147789188003540	0.666666666666667	0.170859375000000	0
49500		0.43314	0.28594	0.45400	0.32323	0.147789188003540	0.666666666666667	0.170859375000000	0
50000		0.43266	0.28539	0.45378	0.32331	0.147789188003540	0.666666666666667	0.170859375000000	0
50500		0.43224	0.28540	0.45374	0.32331	0.147789188003540	0.666666666666667	0.170859375000000	0
51000		0.43219	0.28541	0.45364	0.32329	0.147789188003540	0.666666666666667	0.170859375000000	0
51500		0.43240	0.28541	0.45366	0.32320	0.147789188003540	0.666666666666667	0.170859375000000	0
52000		0.43312	0.28559	0.45350	0.32315	0.147789188003540	0.666666666666667	0.170859375000000	0
52500		0.43333	0.28544	0.45365	0.32327	0.147789188003540	0.666666666666667	0.170859375000000	0
53000		0.43280	0.28499	0.45402	0.32336	0.147789188003540	0.666666666666667	0.170859375000000	0
53500		0.43218	0.28457	0.45416	0.32343	0.147789188003540	0.666666666666667	0.170859375000000	0
54000		0.43184	0.28413	0.45422	0.32355	0.147789188003540	0.666666666666667	0.170859375000000	0
54500		0.43200	0.28406	0.45430	0.32358	0.147789188003540	0.666666666666667	0.170859375000000	0
55000		0.43215	0.28415	0.45471	0.32365	0.147789188003540	0.666666666666667	0.170859375000000	0
55500		0.43178	0.28378	0.45474	0.32386	0.147789188003540	0.666666666666667	0.170859375000000	0
56000		0.43153	0.28368	0.45462	0.32382	0.147789188003540	0.666666666666667	0.170859375000000	0
56500		0.43133	0.28370	0.45455	0.32383	0.147789188003540	0.666666666666667	0.170859375000000	0
57000		0.43154	0.28336	0.45477	0.32382	0.147789188003540	0.666666666666667	0.170859375000000	0
57500		0.43173	0.28339	0.45499	0.32382	0.147789188003540	0.666666666666667	0.170859375000000	0
58000		0.43157	0.28285	0.45485	0.32379	0.147789188003540	0.666666666666667	0.170859375000000	0
58500		0.43152	0.28250	0.45532	0.32383	0.147789188003540	0.666666666666667	0.170859375000000	0
59000		0.43122	0.28224	0.45538	0.32389	0.147789188003540	0.666666666666667	0.170859375000000	0
59500		0.43127	0.28198	0.45537	0.32389	0.147789188003540	0.666666666666667	0.170859375000000	0
60000		0.43122	0.28145	0.45552	0.32387	0.147789188003540	0.666666666666667	0.170859375000000	0
60500		0.43120	0.28140	0.45565	0.32395	0.147789188003540	0.666666666666667	0.170859375000000	0
61000		0.43131	0.28137	0.45558	0.32398	0.147789188003540	0.666666666666667	0.170859375000000	0
61500		0.43124	0.28118	0.45572	0.32411	0.147789188003540	0.666666666666667	0.170859375000000	0
62000		0.43111	0.28120	0.45566	0.32418	0.147789188003540	0.666666666666667	0.170859375000000	0
62500		0.43114	0.28102	0.45583	0.32425	0.147789188003540	0.666666666666667	0.170859375000000	0
63000		0.43072	0.28091	0.45600	0.32425	0.147789188003540	0.666666666666667	0.170859375000000	0
