step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.97395	0.13627	1.00000	0.33172	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98600	0.22400	0.93600	0.33438	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.38400	0.90800	0.33356	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98400	0.38100	0.88600	0.32963	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.97200	0.39333	0.80600	0.32703	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.98000	0.39750	0.68200	0.32450	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.96000	0.40480	0.55200	0.32189	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.96600	0.41767	0.42200	0.31894	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.93200	0.42143	0.39600	0.31702	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.90800	0.42950	0.39133	0.31597	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.87400	0.43089	0.40200	0.31547	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.85400	0.42940	0.40040	0.31422	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.91800	0.43091	0.39667	0.31401	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.92200	0.43083	0.40029	0.31339	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.84000	0.43200	0.39825	0.31410	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.80800	0.43086	0.40111	0.31453	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.71200	0.42973	0.40280	0.31530	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.61400	0.42838	0.40255	0.31535	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.48600	0.42529	0.40333	0.31545	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.52200	0.42389	0.40308	0.31556	0.147789188003540	0.444444444444444	0.170859375000000	0
10500		0.51467	0.42442	0.40171	0.31558	0.147789188003540	0.444444444444444	0.170859375000000	0
11000		0.50100	0.42350	0.40200	0.31535	0.147789188003540	0.444444444444444	0.170859375000000	0
11500		0.49200	0.42410	0.40225	0.31569	0.147789188003540	0.444444444444444	0.170859375000000	0
12000		0.49567	0.42518	0.40553	0.31585	0.147789188003540	0.444444444444444	0.170859375000000	0
12500		0.49400	0.42496	0.40544	0.31575	0.147789188003540	0.444444444444444	0.170859375000000	0
13000		0.48825	0.42433	0.40568	0.31607	0.147789188003540	0.444444444444444	0.170859375000000	0
13500		0.49044	0.42224	0.40610	0.31655	0.147789188003540	0.444444444444444	0.170859375000000	0
14000		0.49000	0.42154	0.40543	0.31678	0.147789188003540	0.444444444444444	0.170859375000000	0
14500		0.49036	0.42022	0.40655	0.31682	0.147789188003540	0.444444444444444	0.170859375000000	0
15000		0.48700	0.41771	0.40713	0.31743	0.147789188003540	0.444444444444444	0.170859375000000	0
15500		0.48569	0.41690	0.40717	0.31817	0.147789188003540	0.444444444444444	0.170859375000000	0
16000		0.48400	0.41493	0.40936	0.31877	0.147789188003540	0.444444444444444	0.170859375000000	0
16500		0.48347	0.41445	0.41031	0.31871	0.147789188003540	0.444444444444444	0.170859375000000	0
17000		0.48450	0.41431	0.41111	0.31865	0.147789188003540	0.444444444444444	0.170859375000000	0
17500		0.48671	0.41479	0.41293	0.31863	0.147789188003540	0.444444444444444	0.170859375000000	0
18000		0.48456	0.41382	0.41290	0.31858	0.147789188003540	0.444444444444444	0.170859375000000	0
18500		0.48558	0.41360	0.41367	0.31865	0.147789188003540	0.444444444444444	0.170859375000000	0
19000		0.48440	0.41339	0.41297	0.31883	0.147789188003540	0.444444444444444	0.170859375000000	0
19500		0.48448	0.41254	0.41187	0.31904	0.147789188003540	0.444444444444444	0.170859375000000	0
20000		0.48564	0.41232	0.41036	0.31925	0.147789188003540	0.444444444444444	0.170859375000000	0
20500		0.48470	0.41179	0.40859	0.31914	0.147789188003540	0.444444444444444	0.170859375000000	0
21000		0.48583	0.41165	0.40840	0.31914	0.147789188003540	0.444444444444444	0.170859375000000	0
21500		0.48680	0.41127	0.40850	0.31909	0.147789188003540	0.444444444444444	0.170859375000000	0
22000		0.48562	0.41071	0.40881	0.31920	0.147789188003540	0.444444444444444	0.170859375000000	0
22500		0.48548	0.41112	0.40958	0.31919	0.147789188003540	0.444444444444444	0.170859375000000	0
23000		0.48621	0.41041	0.40949	0.31939	0.147789188003540	0.444444444444444	0.170859375000000	0
23500		0.48621	0.41076	0.40900	0.31953	0.147789188003540	0.444444444444444	0.170859375000000	0
24000		0.48533	0.41061	0.40859	0.31954	0.147789188003540	0.444444444444444	0.170859375000000	0
24500		0.48503	0.40957	0.40881	0.31955	0.147789188003540	0.444444444444444	0.170859375000000	0
25000		0.48650	0.40950	0.40940	0.31952	0.147789188003540	0.444444444444444	0.170859375000000	0
25500		0.48667	0.41008	0.40932	0.31944	0.147789188003540	0.444444444444444	0.170859375000000	0
26000		0.48629	0.40980	0.40924	0.31945	0.147789188003540	0.444444444444444	0.170859375000000	0
26500		0.48549	0.40910	0.40939	0.31953	0.147789188003540	0.444444444444444	0.170859375000000	0
27000		0.48428	0.40831	0.40974	0.31962	0.147789188003540	0.444444444444444	0.170859375000000	0
27500		0.48384	0.40834	0.41046	0.31961	0.147789188003540	0.444444444444444	0.170859375000000	0
28000		0.48416	0.40815	0.41078	0.31967	0.147789188003540	0.444444444444444	0.170859375000000	0
28500		0.48338	0.40764	0.41096	0.31977	0.147789188003540	0.444444444444444	0.170859375000000	0
29000		0.48320	0.40782	0.41090	0.31977	0.147789188003540	0.444444444444444	0.170859375000000	0
29500		0.48341	0.40775	0.41038	0.31967	0.147789188003540	0.444444444444444	0.170859375000000	0
30000		0.48443	0.40831	0.41034	0.31963	0.147789188003540	0.444444444444444	0.170859375000000	0
30500		0.48470	0.40885	0.40996	0.31962	0.147789188003540	0.444444444444444	0.170859375000000	0
31000		0.48495	0.40900	0.41040	0.31961	0.147789188003540	0.444444444444444	0.170859375000000	0
31500		0.48502	0.40889	0.41118	0.31964	0.147789188003540	0.444444444444444	0.170859375000000	0
32000		0.48478	0.40897	0.41196	0.31956	0.147789188003540	0.444444444444444	0.170859375000000	0
32500		0.48494	0.40886	0.41200	0.31958	0.147789188003540	0.444444444444444	0.170859375000000	0
33000		0.48454	0.40863	0.41163	0.31955	0.147789188003540	0.444444444444444	0.170859375000000	0
33500		0.48531	0.40818	0.41217	0.31958	0.147789188003540	0.444444444444444	0.170859375000000	0
34000		0.48448	0.40764	0.41289	0.31986	0.147789188003540	0.444444444444444	0.170859375000000	0
34500		0.48498	0.40710	0.41306	0.32004	0.147789188003540	0.444444444444444	0.170859375000000	0
35000		0.48515	0.40700	0.41333	0.32012	0.147789188003540	0.444444444444444	0.170859375000000	0
35500		0.48528	0.40693	0.41353	0.32006	0.147789188003540	0.444444444444444	0.170859375000000	0
36000		0.48541	0.40766	0.41302	0.32012	0.147789188003540	0.444444444444444	0.170859375000000	0
36500		0.48476	0.40746	0.41306	0.32033	0.147789188003540	0.444444444444444	0.170859375000000	0
37000		0.48504	0.40731	0.41269	0.32039	0.147789188003540	0.444444444444444	0.170859375000000	0
37500		0.48565	0.40693	0.41271	0.32041	0.147789188003540	0.444444444444444	0.170859375000000	0
38000		0.48645	0.40724	0.41333	0.32033	0.147789188003540	0.444444444444444	0.170859375000000	0
38500		0.48637	0.40744	0.41291	0.32032	0.147789188003540	0.444444444444444	0.170859375000000	0
39000		0.48700	0.40800	0.41186	0.32027	0.147789188003540	0.444444444444444	0.170859375000000	0
39500		0.48748	0.40834	0.41189	0.32023	0.147789188003540	0.444444444444444	0.170859375000000	0
40000		0.48835	0.40821	0.41175	0.32027	0.147789188003540	0.444444444444444	0.170859375000000	0
40500		0.48911	0.40790	0.41205	0.32024	0.147789188003540	0.444444444444444	0.170859375000000	0
41000		0.48906	0.40773	0.41200	0.32018	0.147789188003540	0.444444444444444	0.170859375000000	0
41500		0.48902	0.40847	0.41211	0.32025	0.147789188003540	0.444444444444444	0.170859375000000	0
42000		0.48864	0.40859	0.41229	0.32026	0.147789188003540	0.444444444444444	0.170859375000000	0
42500		0.48824	0.40865	0.41238	0.32025	0.147789188003540	0.444444444444444	0.170859375000000	0
43000		0.48850	0.40855	0.41230	0.32019	0.147789188003540	0.444444444444444	0.170859375000000	0
43500		0.48890	0.40842	0.41220	0.32023	0.147789188003540	0.444444444444444	0.170859375000000	0
44000		0.48917	0.40860	0.41202	0.32017	0.147789188003540	0.444444444444444	0.170859375000000	0
44500		0.48927	0.40807	0.41234	0.32025	0.147789188003540	0.444444444444444	0.170859375000000	0
45000		0.48922	0.40807	0.41260	0.32022	0.147789188003540	0.444444444444444	0.170859375000000	0
45500		0.48885	0.40793	0.41283	0.32027	0.147789188003540	0.444444444444444	0.170859375000000	0
46000		0.48878	0.40773	0.41200	0.32028	0.147789188003540	0.444444444444444	0.170859375000000	0
46500		0.48872	0.40758	0.41205	0.32028	0.147789188003540	0.444444444444444	0.170859375000000	0
47000		0.48918	0.40757	0.41225	0.32016	0.147789188003540	0.444444444444444	0.170859375000000	0
47500		0.48917	0.40710	0.41234	0.32011	0.147789188003540	0.444444444444444	0.170859375000000	0
48000		0.48928	0.40700	0.41218	0.32012	0.147789188003540	0.444444444444444	0.170859375000000	0
48500		0.48957	0.40724	0.41191	0.32015	0.147789188003540	0.444444444444444	0.170859375000000	0
49000		0.48997	0.40729	0.41207	0.32018	0.147789188003540	0.444444444444444	0.170859375000000	0
49500		0.48980	0.40755	0.41224	0.32030	0.147789188003540	0.444444444444444	0.170859375000000	0
50000		0.48993	0.40739	0.41213	0.32031	0.147789188003540	0.444444444444444	0.170859375000000	0
50500		0.48952	0.40685	0.41245	0.32042	0.147789188003540	0.444444444444444	0.170859375000000	0
51000		0.48998	0.40658	0.41255	0.32054	0.147789188003540	0.444444444444444	0.170859375000000	0
51500		0.49019	0.40661	0.41306	0.32056	0.147789188003540	0.444444444444444	0.170859375000000	0
52000		0.48977	0.40665	0.41322	0.32058	0.147789188003540	0.444444444444444	0.170859375000000	0
52500		0.48977	0.40703	0.41306	0.32055	0.147789188003540	0.444444444444444	0.170859375000000	0
53000		0.49041	0.40756	0.41309	0.32061	0.147789188003540	0.444444444444444	0.170859375000000	0
53500		0.49002	0.40739	0.41302	0.32065	0.147789188003540	0.444444444444444	0.170859375000000	0
54000		0.48971	0.40734	0.41349	0.32074	0.147789188003540	0.444444444444444	0.170859375000000	0
54500		0.48985	0.40802	0.41339	0.32071	0.147789188003540	0.444444444444444	0.170859375000000	0
55000		0.49009	0.40824	0.41317	0.32068	0.147789188003540	0.444444444444444	0.170859375000000	0
55500		0.48998	0.40778	0.41317	0.32069	0.147789188003540	0.444444444444444	0.170859375000000	0
56000		0.48996	0.40700	0.41347	0.32067	0.147789188003540	0.444444444444444	0.170859375000000	0
56500		0.49013	0.40690	0.41302	0.32060	0.147789188003540	0.444444444444444	0.170859375000000	0
57000		0.49006	0.40652	0.41277	0.32054	0.147789188003540	0.444444444444444	0.170859375000000	0
57500		0.49049	0.40688	0.41239	0.32052	0.147789188003540	0.444444444444444	0.170859375000000	0
58000		0.49090	0.40660	0.41261	0.32052	0.147789188003540	0.444444444444444	0.170859375000000	0
58500		0.49097	0.40682	0.41287	0.32058	0.147789188003540	0.444444444444444	0.170859375000000	0
59000		0.49116	0.40719	0.41317	0.32068	0.147789188003540	0.444444444444444	0.170859375000000	0
59500		0.49117	0.40706	0.41364	0.32065	0.147789188003540	0.444444444444444	0.170859375000000	0
60000		0.49210	0.40725	0.41320	0.32053	0.147789188003540	0.444444444444444	0.170859375000000	0
60500		0.49231	0.40750	0.41298	0.32048	0.147789188003540	0.444444444444444	0.170859375000000	0
61000		0.49204	0.40700	0.41301	0.32043	0.147789188003540	0.444444444444444	0.170859375000000	0
61500		0.49236	0.40711	0.41295	0.32043	0.147789188003540	0.444444444444444	0.170859375000000	0
62000		0.49253	0.40716	0.41291	0.32039	0.147789188003540	0.444444444444444	0.170859375000000	0
62500		0.49275	0.40730	0.41293	0.32031	0.147789188003540	0.444444444444444	0.170859375000000	0
63000		0.49239	0.40719	0.41277	0.32028	0.147789188003540	0.444444444444444	0.170859375000000	0
63500		0.49229	0.40723	0.41282	0.32034	0.147789188003540	0.444444444444444	0.170859375000000	0
64000		0.49253	0.40722	0.41274	0.32033	0.147789188003540	0.444444444444444	0.170859375000000	0
64500		0.49254	0.40721	0.41292	0.32036	0.147789188003540	0.444444444444444	0.170859375000000	0
65000		0.49271	0.40731	0.41293	0.32029	0.147789188003540	0.444444444444444	0.170859375000000	0
65500		0.49255	0.40750	0.41319	0.32028	0.147789188003540	0.444444444444444	0.170859375000000	0
66000		0.49268	0.40782	0.41302	0.32029	0.147789188003540	0.444444444444444	0.170859375000000	0
