step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37368	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94000	0.37484	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.90400	0.36862	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.86800	0.36288	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.77400	0.35681	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.67600	0.35192	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.51600	0.34754	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.40800	0.34417	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.41800	0.34119	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.44667	0.33844	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.43850	0.33630	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.44000	0.33321	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.44767	0.33261	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.44457	0.33183	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.44350	0.33060	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.43933	0.32979	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.43800	0.32869	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.43509	0.32775	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.43383	0.32706	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.42969	0.32543	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.43000	0.32437	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.42853	0.32352	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.42725	0.32292	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.42576	0.32213	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.42633	0.32163	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.42432	0.32121	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.42450	0.32135	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.42571	0.32129	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.42555	0.32124	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.42609	0.32073	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.42592	0.32029	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.42504	0.32028	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.42585	0.32027	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.42444	0.31977	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.42371	0.31940	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.42290	0.31929	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.42413	0.31899	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.42523	0.31868	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.42531	0.31854	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.42533	0.31862	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.42394	0.31820	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.42366	0.31812	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.42217	0.31795	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.42205	0.31765	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.42237	0.31764	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.42046	0.31777	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.42010	0.31779	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.42039	0.31751	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.42010	0.31760	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.42042	0.31749	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.42086	0.31747	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.42009	0.31732	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.41978	0.31721	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.41936	0.31718	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.41925	0.31682	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.41918	0.31677	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.41908	0.31689	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.41843	0.31668	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.41854	0.31662	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.41849	0.31666	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.41781	0.31648	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.41825	0.31638	0.000150000000000	1.000000000000000	0.170859375000000	0
31500		-nan	-nan	0.41793	0.31634	0.000150000000000	1.000000000000000	0.170859375000000	0
32000		-nan	-nan	0.41761	0.31623	0.000150000000000	1.000000000000000	0.170859375000000	0
32500		-nan	-nan	0.41769	0.31621	0.000150000000000	1.000000000000000	0.170859375000000	0
33000		-nan	-nan	0.41766	0.31627	0.000150000000000	1.000000000000000	0.170859375000000	0
33500		-nan	-nan	0.41800	0.31635	0.000150000000000	1.000000000000000	0.170859375000000	0
34000		-nan	-nan	0.41823	0.31637	0.000150000000000	1.000000000000000	0.170859375000000	0
34500		-nan	-nan	0.41871	0.31629	0.000150000000000	1.000000000000000	0.170859375000000	0
35000		-nan	-nan	0.41822	0.31613	0.000150000000000	1.000000000000000	0.170859375000000	0
35500		-nan	-nan	0.41819	0.31591	0.000150000000000	1.000000000000000	0.170859375000000	0
36000		-nan	-nan	0.41782	0.31577	0.000150000000000	1.000000000000000	0.170859375000000	0
36500		-nan	-nan	0.41727	0.31568	0.000150000000000	1.000000000000000	0.170859375000000	0
37000		-nan	-nan	0.41672	0.31558	0.000150000000000	1.000000000000000	0.170859375000000	0
37500		-nan	-nan	0.41621	0.31542	0.000150000000000	1.000000000000000	0.170859375000000	0
38000		-nan	-nan	0.41600	0.31522	0.000150000000000	1.000000000000000	0.170859375000000	0
38500		-nan	-nan	0.41671	0.31519	0.000150000000000	1.000000000000000	0.170859375000000	0
39000		-nan	-nan	0.41592	0.31499	0.000150000000000	1.000000000000000	0.170859375000000	0
39500		-nan	-nan	0.41578	0.31490	0.000150000000000	1.000000000000000	0.170859375000000	0
40000		-nan	-nan	0.41551	0.31485	0.000150000000000	1.000000000000000	0.170859375000000	0
40500		-nan	-nan	0.41616	0.31476	0.000150000000000	1.000000000000000	0.170859375000000	0
41000		-nan	-nan	0.41611	0.31474	0.000150000000000	1.000000000000000	0.170859375000000	0
41500		-nan	-nan	0.41539	0.31481	0.000150000000000	1.000000000000000	0.170859375000000	0
42000		-nan	-nan	0.41577	0.31474	0.000150000000000	1.000000000000000	0.170859375000000	0
42500		-nan	-nan	0.41567	0.31462	0.000150000000000	1.000000000000000	0.170859375000000	0
43000		-nan	-nan	0.41557	0.31470	0.000150000000000	1.000000000000000	0.170859375000000	0
43500		-nan	-nan	0.41545	0.31469	0.000150000000000	1.000000000000000	0.170859375000000	0
44000		-nan	-nan	0.41558	0.31467	0.000150000000000	1.000000000000000	0.170859375000000	0
44500		-nan	-nan	0.41561	0.31463	0.000150000000000	1.000000000000000	0.170859375000000	0
45000		-nan	-nan	0.41578	0.31461	0.000150000000000	1.000000000000000	0.170859375000000	0
