step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.47727	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	0.80443	0.37282	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.93200	0.35757	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91000	0.35195	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89000	0.35098	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.81000	0.35025	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.73200	0.34788	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.58400	0.34690	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.53200	0.34777	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.37400	0.34764	0.000150000000000	1.000000000000000	0.256289062500000	0
5000		-nan	-nan	0.41100	0.34672	0.000150000000000	1.000000000000000	0.256289062500000	0
5500		-nan	-nan	0.42000	0.34607	0.000150000000000	1.000000000000000	0.256289062500000	0
6000		-nan	-nan	0.41600	0.34384	0.000150000000000	1.000000000000000	0.256289062500000	0
6500		-nan	-nan	0.41160	0.34288	0.000150000000000	1.000000000000000	0.256289062500000	0
7000		-nan	-nan	0.40100	0.34234	0.000150000000000	1.000000000000000	0.256289062500000	0
7500		-nan	-nan	0.39657	0.34159	0.000150000000000	1.000000000000000	0.256289062500000	0
8000		-nan	-nan	0.38950	0.33989	0.000150000000000	1.000000000000000	0.256289062500000	0
8500		-nan	-nan	0.39244	0.33924	0.000150000000000	1.000000000000000	0.256289062500000	0
9000		-nan	-nan	0.39200	0.33873	0.000150000000000	1.000000000000000	0.256289062500000	0
9500		-nan	-nan	0.38764	0.33791	0.000150000000000	1.000000000000000	0.256289062500000	0
10000		-nan	-nan	0.38567	0.33718	0.000150000000000	1.000000000000000	0.256289062500000	0
10500		-nan	-nan	0.38308	0.33663	0.000150000000000	1.000000000000000	0.256289062500000	0
11000		-nan	-nan	0.38100	0.33548	0.000150000000000	1.000000000000000	0.256289062500000	0
11500		-nan	-nan	0.37987	0.33474	0.000150000000000	1.000000000000000	0.256289062500000	0
12000		-nan	-nan	0.37950	0.33497	0.000150000000000	1.000000000000000	0.256289062500000	0
