step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.23848	1.00000	0.34893	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.34000	0.77800	0.34023	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97800	0.35900	0.90000	0.33224	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98200	0.35600	0.84800	0.32605	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.35100	0.75400	0.32243	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96800	0.35400	0.68400	0.31912	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96400	0.35733	0.51600	0.31793	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96400	0.35743	0.43200	0.31736	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.93800	0.35600	0.43300	0.31561	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.92200	0.35800	0.42800	0.31446	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.91000	0.36160	0.43350	0.31394	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.85600	0.35927	0.43280	0.31280	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90000	0.35800	0.42367	0.31323	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.89200	0.35631	0.42686	0.31264	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.85600	0.35414	0.42150	0.31297	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.78400	0.34720	0.42311	0.31329	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.74000	0.34425	0.42100	0.31381	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.64400	0.34200	0.42164	0.31357	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.48800	0.33922	0.41900	0.31373	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.48000	0.33579	0.42092	0.31476	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.43267	0.32760	0.42357	0.31601	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.42000	0.32305	0.42693	0.31711	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.42080	0.31845	0.43012	0.31820	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.41667	0.31426	0.43047	0.31902	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.41543	0.31142	0.43078	0.31952	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.41775	0.30864	0.43158	0.31961	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.42200	0.30808	0.43080	0.31977	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.43500	0.31030	0.42905	0.31948	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.43782	0.30857	0.43209	0.31985	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.43583	0.30552	0.43296	0.32071	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.43585	0.30300	0.43400	0.32157	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.42971	0.30058	0.43520	0.32207	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.42827	0.29712	0.43592	0.32255	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.43075	0.29800	0.43696	0.32278	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.43365	0.29871	0.43600	0.32280	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.43500	0.29783	0.43607	0.32294	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.43653	0.29756	0.43693	0.32300	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.43570	0.29654	0.43600	0.32328	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.43381	0.29358	0.43712	0.32367	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.43091	0.29138	0.43752	0.32421	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.42896	0.28950	0.43835	0.32455	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.42792	0.28698	0.43880	0.32494	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.42640	0.28590	0.43922	0.32514	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.42292	0.28502	0.44081	0.32556	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.42178	0.28314	0.44089	0.32595	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.42093	0.28218	0.44251	0.32643	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.41876	0.28078	0.44315	0.32688	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.41867	0.27974	0.44395	0.32711	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.41755	0.27921	0.44338	0.32715	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.41731	0.27784	0.44316	0.32732	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.41655	0.27624	0.44350	0.32747	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.41612	0.27514	0.44404	0.32784	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.41531	0.27469	0.44352	0.32784	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.41506	0.27340	0.44430	0.32812	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.41378	0.27207	0.44479	0.32841	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.41268	0.27127	0.44514	0.32869	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.41328	0.27100	0.44568	0.32892	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.41230	0.26940	0.44608	0.32926	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.41205	0.26869	0.44585	0.32944	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.41090	0.26786	0.44600	0.32967	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.40977	0.26637	0.44730	0.33003	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.40955	0.26607	0.44702	0.33028	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.40969	0.26532	0.44789	0.33043	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.40922	0.26483	0.44832	0.33068	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.40911	0.26391	0.44852	0.33093	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.40846	0.26326	0.44871	0.33104	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.40759	0.26270	0.44923	0.33110	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.40728	0.26206	0.44961	0.33121	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.40796	0.26182	0.44955	0.33111	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.40785	0.26136	0.44990	0.33119	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.40626	0.26060	0.45028	0.33139	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.40626	0.25989	0.45025	0.33162	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.40680	0.25969	0.45018	0.33167	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.40654	0.25929	0.45036	0.33184	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.40582	0.25854	0.45074	0.33197	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.40566	0.25824	0.45116	0.33210	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.40553	0.25763	0.45106	0.33235	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.40490	0.25745	0.45104	0.33252	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.40397	0.25690	0.45172	0.33265	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.40390	0.25635	0.45151	0.33280	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.40410	0.25622	0.45205	0.33295	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.40359	0.25583	0.45245	0.33291	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.40406	0.25615	0.45203	0.33276	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.40488	0.25655	0.45192	0.33276	0.147789188003540	0.666666666666667	0.170859375000000	0
42500		0.40570	0.25671	0.45185	0.33272	0.147789188003540	0.666666666666667	0.170859375000000	0
43000		0.40603	0.25631	0.45157	0.33261	0.147789188003540	0.666666666666667	0.170859375000000	0
43500		0.40548	0.25642	0.45132	0.33262	0.147789188003540	0.666666666666667	0.170859375000000	0
44000		0.40500	0.25611	0.45153	0.33275	0.147789188003540	0.666666666666667	0.170859375000000	0
44500		0.40510	0.25632	0.45171	0.33284	0.147789188003540	0.666666666666667	0.170859375000000	0
45000		0.40442	0.25649	0.45113	0.33284	0.147789188003540	0.666666666666667	0.170859375000000	0
45500		0.40515	0.25618	0.45114	0.33287	0.147789188003540	0.666666666666667	0.170859375000000	0
46000		0.40543	0.25604	0.45099	0.33294	0.147789188003540	0.666666666666667	0.170859375000000	0
46500		0.40459	0.25565	0.45177	0.33300	0.147789188003540	0.666666666666667	0.170859375000000	0
47000		0.40411	0.25508	0.45193	0.33305	0.147789188003540	0.666666666666667	0.170859375000000	0
47500		0.40369	0.25491	0.45202	0.33311	0.147789188003540	0.666666666666667	0.170859375000000	0
48000		0.40331	0.25436	0.45225	0.33320	0.147789188003540	0.666666666666667	0.170859375000000	0
48500		0.40286	0.25396	0.45204	0.33331	0.147789188003540	0.666666666666667	0.170859375000000	0
49000		0.40275	0.25396	0.45211	0.33341	0.147789188003540	0.666666666666667	0.170859375000000	0
49500		0.40240	0.25386	0.45200	0.33348	0.147789188003540	0.666666666666667	0.170859375000000	0
50000		0.40210	0.25347	0.45215	0.33357	0.147789188003540	0.666666666666667	0.170859375000000	0
50500		0.40166	0.25356	0.45226	0.33357	0.147789188003540	0.666666666666667	0.170859375000000	0
51000		0.40133	0.25313	0.45215	0.33365	0.147789188003540	0.666666666666667	0.170859375000000	0
51500		0.40118	0.25327	0.45223	0.33367	0.147789188003540	0.666666666666667	0.170859375000000	0
52000		0.40123	0.25293	0.45241	0.33375	0.147789188003540	0.666666666666667	0.170859375000000	0
52500		0.40087	0.25248	0.45253	0.33381	0.147789188003540	0.666666666666667	0.170859375000000	0
53000		0.40066	0.25208	0.45265	0.33389	0.147789188003540	0.666666666666667	0.170859375000000	0
53500		0.40036	0.25145	0.45288	0.33401	0.147789188003540	0.666666666666667	0.170859375000000	0
54000		0.40029	0.25099	0.45323	0.33410	0.147789188003540	0.666666666666667	0.170859375000000	0
54500		0.39991	0.25091	0.45329	0.33421	0.147789188003540	0.666666666666667	0.170859375000000	0
55000		0.39965	0.25048	0.45330	0.33429	0.147789188003540	0.666666666666667	0.170859375000000	0
55500		0.39920	0.25042	0.45312	0.33441	0.147789188003540	0.666666666666667	0.170859375000000	0
56000		0.39889	0.25005	0.45312	0.33449	0.147789188003540	0.666666666666667	0.170859375000000	0
56500		0.39872	0.24986	0.45298	0.33457	0.147789188003540	0.666666666666667	0.170859375000000	0
57000		0.39896	0.24966	0.45284	0.33457	0.147789188003540	0.666666666666667	0.170859375000000	0
57500		0.39932	0.24979	0.45274	0.33457	0.147789188003540	0.666666666666667	0.170859375000000	0
58000		0.39988	0.24988	0.45294	0.33457	0.147789188003540	0.666666666666667	0.170859375000000	0
58500		0.39968	0.24974	0.45311	0.33456	0.147789188003540	0.666666666666667	0.170859375000000	0
59000		0.39962	0.24944	0.45292	0.33468	0.147789188003540	0.666666666666667	0.170859375000000	0
59500		0.39907	0.24929	0.45318	0.33477	0.147789188003540	0.666666666666667	0.170859375000000	0
60000		0.39906	0.24886	0.45313	0.33485	0.147789188003540	0.666666666666667	0.170859375000000	0
60500		0.39920	0.24848	0.45300	0.33483	0.147789188003540	0.666666666666667	0.170859375000000	0
61000		0.39906	0.24820	0.45303	0.33490	0.147789188003540	0.666666666666667	0.170859375000000	0
61500		0.39903	0.24784	0.45338	0.33496	0.147789188003540	0.666666666666667	0.170859375000000	0
62000		0.39887	0.24779	0.45350	0.33500	0.147789188003540	0.666666666666667	0.170859375000000	0
62500		0.39880	0.24737	0.45383	0.33505	0.147789188003540	0.666666666666667	0.170859375000000	0
63000		0.39915	0.24733	0.45395	0.33509	0.147789188003540	0.666666666666667	0.170859375000000	0
63500		0.39928	0.24751	0.45415	0.33512	0.147789188003540	0.666666666666667	0.170859375000000	0
64000		0.39911	0.24720	0.45421	0.33511	0.147789188003540	0.666666666666667	0.170859375000000	0
64500		0.39908	0.24695	0.45443	0.33520	0.147789188003540	0.666666666666667	0.170859375000000	0
65000		0.39923	0.24718	0.45442	0.33521	0.147789188003540	0.666666666666667	0.170859375000000	0
65500		0.39929	0.24666	0.45461	0.33530	0.147789188003540	0.666666666666667	0.170859375000000	0
66000		0.39905	0.24646	0.45443	0.33536	0.147789188003540	0.666666666666667	0.170859375000000	0
66500		0.39946	0.24648	0.45424	0.33529	0.147789188003540	0.666666666666667	0.170859375000000	0
67000		0.39988	0.24621	0.45417	0.33533	0.147789188003540	0.666666666666667	0.170859375000000	0
67500		0.40014	0.24601	0.45452	0.33533	0.147789188003540	0.666666666666667	0.170859375000000	0
68000		0.40002	0.24579	0.45457	0.33536	0.147789188003540	0.666666666666667	0.170859375000000	0
68500		0.40020	0.24551	0.45449	0.33537	0.147789188003540	0.666666666666667	0.170859375000000	0
69000		0.40008	0.24521	0.45463	0.33538	0.147789188003540	0.666666666666667	0.170859375000000	0
69500		0.39977	0.24509	0.45468	0.33541	0.147789188003540	0.666666666666667	0.170859375000000	0
70000		0.39974	0.24489	0.45454	0.33541	0.147789188003540	0.666666666666667	0.170859375000000	0
70500		0.39950	0.24473	0.45460	0.33541	0.147789188003540	0.666666666666667	0.170859375000000	0
71000		0.39965	0.24478	0.45484	0.33546	0.147789188003540	0.666666666666667	0.170859375000000	0
71500		0.39947	0.24463	0.45487	0.33556	0.147789188003540	0.666666666666667	0.170859375000000	0
72000		0.39911	0.24452	0.45483	0.33559	0.147789188003540	0.666666666666667	0.170859375000000	0
72500		0.39918	0.24424	0.45497	0.33561	0.147789188003540	0.666666666666667	0.170859375000000	0
73000		0.39905	0.24406	0.45501	0.33565	0.147789188003540	0.666666666666667	0.170859375000000	0
73500		0.39921	0.24408	0.45523	0.33569	0.147789188003540	0.666666666666667	0.170859375000000	0
74000		0.39946	0.24396	0.45508	0.33576	0.147789188003540	0.666666666666667	0.170859375000000	0
74500		0.39937	0.24393	0.45531	0.33580	0.147789188003540	0.666666666666667	0.170859375000000	0
75000		0.39926	0.24374	0.45534	0.33577	0.147789188003540	0.666666666666667	0.170859375000000	0
75500		0.39895	0.24359	0.45542	0.33579	0.147789188003540	0.666666666666667	0.170859375000000	0
76000		0.39876	0.24366	0.45542	0.33574	0.147789188003540	0.666666666666667	0.170859375000000	0
76500		0.39880	0.24374	0.45544	0.33573	0.147789188003540	0.666666666666667	0.170859375000000	0
77000		0.39850	0.24366	0.45525	0.33576	0.147789188003540	0.666666666666667	0.170859375000000	0
77500		0.39816	0.24338	0.45549	0.33579	0.147789188003540	0.666666666666667	0.170859375000000	0
78000		0.39830	0.24332	0.45550	0.33586	0.147789188003540	0.666666666666667	0.170859375000000	0
78500		0.39813	0.24309	0.45561	0.33587	0.147789188003540	0.666666666666667	0.170859375000000	0
79000		0.39789	0.24304	0.45543	0.33589	0.147789188003540	0.666666666666667	0.170859375000000	0
79500		0.39833	0.24301	0.45532	0.33585	0.147789188003540	0.666666666666667	0.170859375000000	0
80000		0.39883	0.24321	0.45532	0.33574	0.147789188003540	0.666666666666667	0.170859375000000	0
80500		0.39895	0.24335	0.45535	0.33574	0.147789188003540	0.666666666666667	0.170859375000000	0
81000		0.39914	0.24339	0.45520	0.33574	0.147789188003540	0.666666666666667	0.170859375000000	0
81500		0.39928	0.24325	0.45549	0.33575	0.147789188003540	0.666666666666667	0.170859375000000	0
82000		0.39949	0.24323	0.45546	0.33580	0.147789188003540	0.666666666666667	0.170859375000000	0
82500		0.39943	0.24301	0.45546	0.33584	0.147789188003540	0.666666666666667	0.170859375000000	0
83000		0.39958	0.24305	0.45538	0.33586	0.147789188003540	0.666666666666667	0.170859375000000	0
83500		0.39937	0.24289	0.45525	0.33590	0.147789188003540	0.666666666666667	0.170859375000000	0
84000		0.39933	0.24298	0.45522	0.33594	0.147789188003540	0.666666666666667	0.170859375000000	0
84500		0.39958	0.24305	0.45544	0.33593	0.147789188003540	0.666666666666667	0.170859375000000	0
85000		0.39955	0.24307	0.45551	0.33582	0.147789188003540	0.666666666666667	0.170859375000000	0
85500		0.39949	0.24295	0.45533	0.33583	0.147789188003540	0.666666666666667	0.170859375000000	0
86000		0.39943	0.24316	0.45548	0.33586	0.147789188003540	0.666666666666667	0.170859375000000	0
86500		0.39954	0.24298	0.45551	0.33590	0.147789188003540	0.666666666666667	0.170859375000000	0
87000		0.39945	0.24282	0.45543	0.33593	0.147789188003540	0.666666666666667	0.170859375000000	0
87500		0.39949	0.24277	0.45527	0.33597	0.147789188003540	0.666666666666667	0.170859375000000	0
88000		0.39958	0.24262	0.45528	0.33602	0.147789188003540	0.666666666666667	0.170859375000000	0
88500		0.39947	0.24244	0.45524	0.33606	0.147789188003540	0.666666666666667	0.170859375000000	0
89000		0.39945	0.24251	0.45531	0.33606	0.147789188003540	0.666666666666667	0.170859375000000	0
89500		0.39914	0.24242	0.45535	0.33610	0.147789188003540	0.666666666666667	0.170859375000000	0
90000		0.39942	0.24241	0.45511	0.33614	0.147789188003540	0.666666666666667	0.170859375000000	0
90500		0.39925	0.24227	0.45505	0.33618	0.147789188003540	0.666666666666667	0.170859375000000	0
91000		0.39904	0.24213	0.45501	0.33622	0.147789188003540	0.666666666666667	0.170859375000000	0
91500		0.39905	0.24213	0.45500	0.33625	0.147789188003540	0.666666666666667	0.170859375000000	0
92000		0.39924	0.24208	0.45514	0.33625	0.147789188003540	0.666666666666667	0.170859375000000	0
92500		0.39919	0.24183	0.45517	0.33627	0.147789188003540	0.666666666666667	0.170859375000000	0
93000		0.39921	0.24183	0.45507	0.33634	0.147789188003540	0.666666666666667	0.170859375000000	0
93500		0.39923	0.24177	0.45499	0.33639	0.147789188003540	0.666666666666667	0.170859375000000	0
94000		0.39933	0.24165	0.45490	0.33644	0.147789188003540	0.666666666666667	0.170859375000000	0
94500		0.39945	0.24136	0.45484	0.33645	0.147789188003540	0.666666666666667	0.170859375000000	0
95000		0.39950	0.24127	0.45495	0.33646	0.147789188003540	0.666666666666667	0.170859375000000	0
95500		0.39945	0.24120	0.45511	0.33645	0.147789188003540	0.666666666666667	0.170859375000000	0
96000		0.39926	0.24104	0.45537	0.33649	0.147789188003540	0.666666666666667	0.170859375000000	0
96500		0.39912	0.24091	0.45545	0.33651	0.147789188003540	0.666666666666667	0.170859375000000	0
97000		0.39897	0.24083	0.45553	0.33656	0.147789188003540	0.666666666666667	0.170859375000000	0
97500		0.39893	0.24084	0.45553	0.33658	0.147789188003540	0.666666666666667	0.170859375000000	0
98000		0.39917	0.24098	0.45544	0.33656	0.147789188003540	0.666666666666667	0.170859375000000	0
98500		0.39934	0.24096	0.45543	0.33661	0.147789188003540	0.666666666666667	0.170859375000000	0
99000		0.39934	0.24104	0.45551	0.33665	0.147789188003540	0.666666666666667	0.170859375000000	0
99500		0.39929	0.24095	0.45544	0.33669	0.147789188003540	0.666666666666667	0.170859375000000	0
100000		0.39916	0.24108	0.45532	0.33670	0.147789188003540	0.666666666666667	0.170859375000000	0
