step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-2669.463633976863093	-2668.001551892344196	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.102382991936903	0	1	2	3	3	4	3	4	3	5	6	5	6	7	8	8	9	11	10	13	11	12	14	15	16	17	16	16	19	19	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	4	4	4	5	6	5	7	6	6	7	8	8	9	8	8	10	10	11
500	-305.241809080042060	-302.741893406959548	-2.499915673082494	0.000009979115591	0.000037513253197	3.759176137102647	0.164183382476679	1	0	1	3	3	2	4	3	4	6	7	5	7	7	8	8	9	10	10	13	12	11	15	12	16	17	16	17	20	18	23	0	0	2	1	2	2	2	3	3	1	1	8	8	12	7	13	8	15	17	6	13	17	6	0	11	24	24	24	24	25	30	1	1	1	1	2	1	2	1	2	4	3	1	3	2	2	1	2	1	1	6	4	1	7	1	5	3	3	2	7	2	3
1000	-277.905917050369851	-275.828918126525878	-2.076998923843989	0.000010001576797	0.000025438011115	2.543400069045016	0.604027153390174	1	0	2	3	4	5	2	4	3	5	4	6	7	8	8	8	8	11	11	12	11	11	14	14	15	16	16	16	20	19	23	0	0	2	1	7	2	2	3	3	1	4	8	8	12	12	12	8	15	12	6	12	17	20	0	11	24	24	24	28	25	30	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	5	1	1	1	2	3	2
1500	-254.474289863021795	-252.312648914154209	-2.161640948867582	0.000010061816979	0.000027887699681	2.771636548325142	0.526775316397581	1	1	3	4	4	5	3	4	4	6	6	5	6	7	7	7	10	12	10	13	12	12	15	15	15	18	16	17	20	18	23	0	0	2	1	2	2	2	3	3	1	4	8	8	12	12	13	13	15	8	6	17	17	20	0	10	24	24	24	27	25	30	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	3	4	1	1	2	1	2	2	1	1	2	2	3
2000	-237.633873160779018	-235.839654899251741	-1.794218261527285	0.000010074955344	0.000018380867201	1.824411778932477	0.680230532529197	1	1	3	3	3	5	3	4	4	4	6	5	6	7	8	8	9	12	11	12	11	12	14	14	17	18	15	16	17	20	22	0	0	2	1	2	2	2	3	3	1	1	8	8	12	12	13	13	15	17	6	17	16	20	0	11	24	24	24	27	25	30	1	1	1	2	1	2	1	1	1	1	3	1	1	1	1	1	2	2	1	3	1	2	1	1	3	3	1	1	1	1	1
2500	-194.266177990600454	-192.096462502638531	-2.169715487961929	0.000009946148316	0.000027787288013	2.793773743411121	0.701240444790166	0	0	2	3	3	5	3	3	4	5	6	5	6	7	8	8	9	10	10	11	10	12	13	14	17	17	17	16	19	19	22	0	0	2	1	2	7	2	3	3	1	10	8	8	12	13	8	8	15	13	6	12	17	20	0	24	24	24	24	27	25	25	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	3	2	2	1	1	1	1	2	1	2	1	1
3000	-190.246089398152151	-188.691417861352704	-1.554671536799458	0.000009936838868	0.000012330147470	1.240852109443297	0.652750058736937	1	1	2	3	4	4	3	5	3	5	7	6	6	7	8	8	10	12	10	11	12	13	15	15	16	17	16	17	20	20	23	0	0	2	1	2	7	2	3	3	4	1	8	8	12	12	8	13	15	13	6	12	16	20	0	24	24	24	24	27	25	30	1	1	1	1	2	1	1	2	1	1	4	1	1	1	1	1	2	2	2	2	3	3	2	1	1	2	1	1	3	2	1
3500	-185.475010520130212	-183.982581066124027	-1.492429454006191	0.000009846364707	0.000010653448893	1.081967732221165	0.676802693718307	-1	0	2	3	3	4	2	4	4	5	6	6	6	8	9	8	9	11	10	13	11	12	14	14	16	17	16	17	19	20	22	0	0	2	1	2	7	2	3	3	1	1	8	8	12	12	8	8	15	16	6	17	16	20	0	24	24	24	24	27	25	30	1	1	2	2	1	1	1	1	1	2	3	1	1	1	1	2	2	2	1	3	1	1	1	1	1	2	2	1	1	2	1
4000	-185.528856575837892	-183.864027698777420	-1.664828877060467	0.000009795359136	0.000014791948443	1.510097612261134	0.728410384237242	0	1	2	2	3	5	3	4	4	5	7	5	6	6	6	9	8	11	9	12	9	12	15	14	16	18	17	16	20	19	22	0	0	2	1	2	7	2	3	3	1	10	8	8	12	12	13	13	15	17	6	12	16	20	0	24	24	24	24	27	25	30	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	1	3	2	2	2	1	1	2	2	1	2	1	2
4500	-197.441181676955381	-195.258411392545810	-2.182770284409584	0.000010271903162	0.000029066436165	2.829703094528555	0.649875131063013	-1	1	2	3	4	4	3	4	3	5	5	5	6	8	9	8	8	11	11	12	9	11	14	13	17	17	15	15	19	20	23	0	0	2	1	3	2	2	3	3	1	1	8	8	12	12	8	8	15	16	6	17	16	20	0	24	24	24	24	27	25	30	1	1	1	2	1	3	1	1	1	2	2	1	1	2	2	2	2	1	2	3	1	2	1	1	2	2	2	1	2	2	1
