step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.25000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98998	0.15832	0.90239	0.36664	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99400	0.26800	0.94000	0.35415	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.30400	0.91800	0.34253	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.31467	0.86200	0.33484	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.31000	0.76000	0.32994	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97200	0.31920	0.66600	0.32563	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.95200	0.31933	0.55000	0.32119	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.93800	0.32486	0.39800	0.31864	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.94400	0.32575	0.39500	0.31716	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.88200	0.32733	0.39867	0.31663	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.88000	0.32720	0.40300	0.31662	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.87400	0.32382	0.40360	0.31651	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.85000	0.32183	0.41467	0.31654	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.84200	0.31708	0.42314	0.31837	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.80000	0.31114	0.43175	0.31999	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.69800	0.30707	0.43956	0.32170	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.66000	0.30150	0.44500	0.32314	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.52800	0.29894	0.44873	0.32441	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.37400	0.29667	0.45100	0.32557	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.38200	0.29642	0.45354	0.32608	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.37933	0.29320	0.45671	0.32702	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.38700	0.29238	0.45573	0.32749	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.38720	0.28945	0.45950	0.32811	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.39133	0.28704	0.45894	0.32856	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.39800	0.28467	0.46111	0.32949	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.39600	0.28296	0.46242	0.33067	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.39778	0.28062	0.46350	0.33123	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.39480	0.28052	0.46314	0.33161	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.39618	0.27893	0.46309	0.33195	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.39433	0.27724	0.46357	0.33263	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.39615	0.27540	0.46492	0.33312	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.39557	0.27516	0.46496	0.33372	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.39893	0.27463	0.46408	0.33339	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.39775	0.27442	0.46407	0.33348	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.39800	0.27388	0.46457	0.33355	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.39578	0.27263	0.46524	0.33401	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.39695	0.27239	0.46513	0.33428	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.39600	0.27173	0.46619	0.33469	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.39667	0.27174	0.46731	0.33492	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.39836	0.27092	0.46770	0.33512	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.39870	0.26995	0.46865	0.33520	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.39817	0.26898	0.46880	0.33517	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.39960	0.26862	0.46833	0.33488	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.39985	0.26828	0.46768	0.33485	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.40037	0.26841	0.46753	0.33444	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.40121	0.26827	0.46677	0.33445	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.40131	0.26743	0.46590	0.33445	0.147789188003540	0.666666666666667	0.170859375000000	0
