step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.12826	1.00000	0.36293	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.26600	0.95400	0.35125	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98400	0.26300	0.92400	0.34331	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.28400	0.86600	0.33567	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.98800	0.28800	0.80600	0.33193	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98200	0.29640	0.66400	0.32742	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96600	0.30200	0.51800	0.32500	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.96600	0.30371	0.45600	0.32232	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.92600	0.30700	0.43800	0.31903	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.88600	0.31067	0.43667	0.31709	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.88400	0.31140	0.43950	0.31672	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.89200	0.31455	0.44000	0.31657	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.94200	0.31583	0.42867	0.31616	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.91600	0.31662	0.42429	0.31550	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.85600	0.31571	0.42200	0.31547	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.83200	0.31333	0.42111	0.31566	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.77000	0.31238	0.42180	0.31569	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.66000	0.31282	0.42400	0.31565	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.52200	0.31256	0.42867	0.31587	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.38600	0.31137	0.43585	0.31669	0.221683782005310	0.666666666666667	0.170859375000000	0
10500		0.37300	0.31060	0.43729	0.31706	0.221683782005310	0.666666666666667	0.170859375000000	0
11000		0.38333	0.31086	0.44067	0.31732	0.221683782005310	0.666666666666667	0.170859375000000	0
11500		0.39200	0.31145	0.44200	0.31756	0.221683782005310	0.666666666666667	0.170859375000000	0
12000		0.38880	0.31287	0.44306	0.31776	0.221683782005310	0.666666666666667	0.170859375000000	0
12500		0.39333	0.31217	0.44033	0.31763	0.221683782005310	0.666666666666667	0.170859375000000	0
13000		0.39057	0.31128	0.44158	0.31715	0.221683782005310	0.666666666666667	0.170859375000000	0
13500		0.39100	0.31115	0.44290	0.31746	0.221683782005310	0.666666666666667	0.170859375000000	0
14000		0.39044	0.31052	0.44238	0.31723	0.221683782005310	0.666666666666667	0.170859375000000	0
14500		0.38880	0.31021	0.44064	0.31699	0.221683782005310	0.666666666666667	0.170859375000000	0
15000		0.39018	0.31000	0.43930	0.31683	0.221683782005310	0.666666666666667	0.170859375000000	0
15500		0.39167	0.30973	0.43825	0.31708	0.221683782005310	0.666666666666667	0.170859375000000	0
16000		0.39262	0.31000	0.43784	0.31708	0.221683782005310	0.666666666666667	0.170859375000000	0
16500		0.39129	0.31050	0.43708	0.31715	0.221683782005310	0.666666666666667	0.170859375000000	0
17000		0.39307	0.31024	0.43644	0.31715	0.221683782005310	0.666666666666667	0.170859375000000	0
17500		0.39613	0.30865	0.43600	0.31713	0.221683782005310	0.666666666666667	0.170859375000000	0
18000		0.39612	0.30811	0.43717	0.31729	0.221683782005310	0.666666666666667	0.170859375000000	0
18500		0.39867	0.30878	0.43773	0.31753	0.221683782005310	0.666666666666667	0.170859375000000	0
19000		0.39926	0.30811	0.43761	0.31757	0.221683782005310	0.666666666666667	0.170859375000000	0
19500		0.39990	0.30753	0.43850	0.31757	0.221683782005310	0.666666666666667	0.170859375000000	0
20000		0.39981	0.30723	0.43909	0.31776	0.221683782005310	0.666666666666667	0.170859375000000	0
20500		0.40064	0.30765	0.43988	0.31792	0.221683782005310	0.666666666666667	0.170859375000000	0
21000		0.39965	0.30717	0.44023	0.31812	0.221683782005310	0.666666666666667	0.170859375000000	0
21500		0.39908	0.30619	0.44089	0.31839	0.221683782005310	0.666666666666667	0.170859375000000	0
22000		0.39848	0.30595	0.44162	0.31840	0.221683782005310	0.666666666666667	0.170859375000000	0
22500		0.39831	0.30664	0.44200	0.31829	0.221683782005310	0.666666666666667	0.170859375000000	0
23000		0.39726	0.30671	0.44210	0.31848	0.221683782005310	0.666666666666667	0.170859375000000	0
23500		0.39743	0.30670	0.44175	0.31867	0.221683782005310	0.666666666666667	0.170859375000000	0
24000		0.39752	0.30728	0.44195	0.31867	0.221683782005310	0.666666666666667	0.170859375000000	0
24500		0.39780	0.30671	0.44148	0.31868	0.221683782005310	0.666666666666667	0.170859375000000	0
25000		0.39761	0.30657	0.44200	0.31868	0.221683782005310	0.666666666666667	0.170859375000000	0
25500		0.39887	0.30692	0.44164	0.31845	0.221683782005310	0.666666666666667	0.170859375000000	0
26000		0.40000	0.30655	0.44133	0.31841	0.221683782005310	0.666666666666667	0.170859375000000	0
26500		0.40076	0.30673	0.44148	0.31846	0.221683782005310	0.666666666666667	0.170859375000000	0
