step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-2633.716662877548515	-2632.254580793029618	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.043999380069945	2	3	2	4	5	5	7	5	7	7	7	8	8	9	8	10	9	10	9	8	10	10	12	11	9	11	10	11	11	11	13	11	11	11	13	12	12	12	14	13	12	14	13	13	13	12	13	12	14	13	13	12	14	14	13	14	15	15	15	16	15	15	15	16	16	16	16	19	17	17	18	16	18	18	18	19	19	18	18	20	19	20	20	20	22	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	3	3	4	3	4	4	4	4	3	4	4	5	5	4	5	4	5	5	5	6	5	5	5	6	5	5	5	6	6	5	6	6	6	6	5	6	5	6	6	6	5	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	9	8	8	8	7	8	8	8	9	9	8	8	9	9	9	9	9	10
500	-904.854912142117314	-902.773015200360646	-2.081896941756638	0.000009986748173	0.000025530347635	2.556422490464279	0.119752546559489	1	3	-1	2	3	4	6	5	6	7	7	9	7	8	5	11	8	9	10	8	7	10	12	11	10	11	10	12	10	11	14	11	11	10	13	12	11	11	13	14	11	14	14	13	13	11	13	12	15	12	13	13	15	14	13	14	15	15	16	17	16	15	16	16	14	16	17	19	17	18	18	16	19	18	19	19	19	18	19	20	19	21	19	21	23	0	3	0	3	3	1	6	2	6	8	6	20	8	8	5	34	9	9	10	7	5	10	5	15	17	12	7	19	20	15	32	15	21	7	9	14	14	15	20	25	29	29	30	24	15	15	15	21	33	18	18	14	15	33	34	50	38	31	8	46	15	45	15	15	0	30	41	50	20	12	3	58	65	39	21	56	11	65	20	39	50	9	39	39	50	1	2	1	1	3	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	2	1	3	2	2	1	2	1	1	3	2	3	2	3	4	2	1	3	3	2	1	2	1	1	4	3	4	4	3	3	2	3	7	2	2	1	2	1	5	3	5	1	8	6	1	3	4	3	5	6	10	1	2	2	6	3	6	4	4	4	5	10	5	6	8
1000	-719.250016261868609	-716.849407652681066	-2.400608609187504	0.000009951383032	0.000034390950973	3.455896618954534	0.473387135196819	2	3	2	4	6	4	7	5	7	7	8	9	8	8	7	11	9	11	9	7	9	10	10	12	10	12	10	12	12	10	13	11	11	9	13	12	13	12	11	14	12	14	12	13	14	12	13	13	14	13	12	11	14	15	14	14	16	15	15	16	16	15	16	17	15	16	17	19	18	17	18	16	19	19	18	19	20	19	18	19	19	21	21	20	23	0	3	0	3	3	1	6	3	6	8	6	20	5	5	3	34	9	9	10	6	2	10	14	30	17	12	34	19	12	15	32	15	21	7	9	52	23	15	12	17	20	29	30	32	30	15	24	33	33	18	18	23	30	33	34	50	43	31	33	24	32	30	15	47	0	53	41	56	39	39	15	58	65	70	21	56	63	65	39	39	56	56	39	39	50	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	1	2	3	2	1	1	1	1	1	1	1	2	1	3	1	1	3	1	2	2	1	2	2	1	1	1	2	3	1	2	2	1	1	1	2	2	2	1	2	2	3	2	3	2	5	3	1	1	4	2	4	3	8	1	2	1	4	3	3	2	4	5	3	4	4	6	5
1500	-575.586441528831870	-573.660568024309782	-1.925873504522140	0.000009999105598	0.000021516338576	2.151826317424473	0.584530926853320	2	3	1	3	5	5	7	6	8	7	8	9	8	9	9	10	9	10	9	8	10	10	11	12	10	11	11	11	12	10	14	11	11	9	14	13	12	13	12	14	12	14	13	13	13	12	13	12	15	11	13	12	15	13	13	14	16	16	15	16	16	14	16	15	16	15	17	20	18	17	19	15	18	18	18	17	20	18	19	20	19	20	20	21	23	0	3	0	3	2	1	6	5	6	8	6	20	8	8	5	34	9	9	10	7	8	10	14	30	17	12	16	19	12	15	38	30	21	7	51	52	23	30	20	25	12	29	32	15	15	15	30	33	33	9	18	23	32	33	16	50	43	31	48	38	38	24	47	15	0	32	41	56	39	39	53	38	65	39	21	56	78	65	69	39	76	56	39	39	82	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	3	2	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	1	3	1	2	3	2	3	3	2	1	2	2	5	1	2	2	1	3	2	3	4	7	2
2000	-556.980958676540126	-555.022404506389307	-1.958554170150809	0.000010051052304	0.000022463279542	2.234918181874614	0.656888171225642	3	3	2	4	4	5	6	6	7	7	7	9	7	8	8	9	9	10	8	8	9	10	10	10	10	12	11	12	11	11	13	12	12	9	13	13	12	13	12	13	12	14	14	12	14	12	13	13	14	12	12	11	13	15	14	14	15	15	15	17	15	15	15	15	16	16	16	19	16	17	18	16	18	19	18	19	19	19	17	20	20	21	21	21	23	0	3	0	3	3	1	6	5	6	8	6	20	3	8	2	7	9	9	10	7	8	10	14	15	17	20	34	19	12	24	32	24	21	7	51	52	23	24	12	17	29	29	32	15	32	24	15	33	33	18	9	23	24	49	16	50	43	31	48	64	30	47	53	30	0	53	41	56	39	39	43	58	65	39	21	56	73	65	69	74	76	56	69	39	82	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	3	1	1	3	1	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	1	2	3	4	2	1	1	1	1	1	2	4	7	1
2500	-541.256703377045028	-539.720860539452815	-1.535842837592206	0.000009968501626	0.000011899102498	1.193670116612350	0.629164778201260	2	3	2	4	3	5	7	6	7	8	7	9	8	10	7	10	9	11	9	8	9	10	11	11	10	11	10	11	11	11	13	12	11	9	14	13	12	12	12	13	12	14	12	14	14	13	13	13	13	13	12	12	15	14	13	14	16	16	15	17	15	15	16	16	15	16	16	18	14	17	18	16	18	18	17	18	19	18	18	20	20	20	20	21	22	0	3	0	2	3	1	6	2	6	8	6	20	8	8	2	34	9	9	10	7	8	10	14	15	17	20	34	19	12	15	15	15	21	7	51	52	23	15	12	25	29	29	15	32	38	24	30	33	33	18	18	14	45	33	34	50	43	45	48	53	45	38	38	38	0	45	41	56	39	39	57	31	65	70	21	50	65	65	69	74	76	56	69	69	82	1	1	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	3	2	1	1	1	1	1	3	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	2	1	1	2	2	2	1	1	2	2	1	3	1	2	2	1	4	3	1	2	1	1	1	3	4	5	1
3000	-560.022259542609959	-558.465464116749104	-1.556795425860888	0.000010035142442	0.000012505190233	1.246139783771399	0.638930956741767	2	4	2	5	6	5	7	5	7	7	7	9	8	9	9	10	8	10	9	8	10	10	12	11	10	11	10	10	11	12	12	10	11	9	14	13	13	11	13	12	13	13	13	13	13	13	13	13	14	12	12	12	15	14	13	15	15	15	15	16	15	16	15	17	16	16	16	18	15	17	18	17	19	18	18	18	19	18	17	19	19	20	20	20	22	0	3	0	2	2	1	6	3	6	8	1	20	8	3	3	34	9	9	10	7	13	10	14	32	17	12	34	19	12	32	32	15	13	7	51	52	23	32	20	25	29	29	24	15	32	15	32	33	33	9	18	14	38	33	16	50	43	31	48	45	32	30	44	30	0	32	41	56	39	39	57	45	65	39	21	56	78	65	69	74	76	68	69	79	82	1	1	1	1	1	1	2	2	2	2	3	1	2	3	4	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	2	2	1	2	2	1	1	2	1	2	2	2	2	2	1	2	2	1	2	1	4	2	2	1	2	2	2	2	2	4	2	1	2	1	1	1	1	4	2	1
3500	-533.332599137410284	-531.691947319108067	-1.640651818302197	0.000009935722262	0.000014421926999	1.451522759915569	0.670274723745919	2	3	1	4	5	5	7	6	7	7	7	9	8	9	6	10	8	10	9	7	10	10	11	10	9	12	10	11	11	10	12	11	11	8	14	13	13	11	14	12	13	14	13	13	13	11	14	12	14	12	11	12	15	15	13	15	16	15	16	17	15	13	15	16	16	17	16	19	16	16	18	17	19	18	19	18	20	18	18	20	20	19	21	21	22	0	3	0	3	2	1	6	5	6	8	6	20	5	8	2	34	9	9	10	6	8	10	14	15	17	20	34	19	12	15	24	30	21	7	51	52	23	30	12	25	29	26	24	30	38	30	24	33	33	18	18	23	38	49	16	50	43	31	48	53	45	15	24	61	0	53	41	56	39	39	57	58	65	39	21	56	78	65	69	74	76	56	79	79	82	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	2	2	1	1	1	2	1	2	1	3	1	2	1	2	1	1	1	2	1	2	1	1	1	3	1	1	1	2	2	2	1	1	4	3	1	1	1	2	2	1	1	1	1	2	2	3	2	1	2	1	1	2	2	2	2	2
4000	-536.197515274887792	-534.578811374212023	-1.618703900675742	0.000010374284695	0.000014505404186	1.398207646305242	0.578583919467801	1	3	1	3	5	5	7	6	7	8	7	8	8	8	8	11	9	11	9	9	10	10	11	11	10	12	10	11	12	11	12	9	11	8	14	12	12	12	15	12	13	14	14	13	13	12	14	13	12	13	12	13	15	14	13	14	15	15	16	17	14	14	16	15	15	15	16	19	16	17	18	15	18	19	17	18	19	18	18	21	20	21	21	20	22	0	3	0	3	2	1	6	3	6	8	6	6	8	8	8	34	9	9	8	6	8	10	14	32	17	20	34	19	12	32	24	15	21	7	51	23	23	32	20	25	29	29	24	24	15	32	24	33	33	9	18	36	30	33	16	50	43	31	33	24	45	38	53	61	0	45	41	56	39	39	43	31	65	39	21	56	65	65	69	74	76	68	79	79	82	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	1	1	1	1	1	3	1	1	1	1	1	2	1	1	2	3	1	1	1	2	1	3	1	2	1	1	3	1	1	2	1	2	1	1	2	3	2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	3	2	2	2	1	1	2	1	2	2	1
4500	-513.333527568142586	-511.553389364187865	-1.780138203954674	0.000013626751688	0.000024391435630	1.789966984631089	0.712251482575129	2	3	1	4	3	4	7	5	7	7	7	9	7	7	8	9	8	10	9	8	9	9	9	10	10	12	10	12	11	11	14	11	11	12	14	13	12	12	14	13	12	15	14	13	13	12	14	12	14	12	13	11	14	15	13	14	15	16	14	16	13	15	13	14	15	15	16	19	17	16	19	16	18	19	19	18	20	17	18	20	19	21	21	21	22	3	3	0	2	3	1	6	5	6	8	6	20	8	8	3	7	9	9	10	7	8	10	14	15	17	12	16	19	12	24	24	15	21	16	51	52	23	15	12	17	29	29	38	24	30	15	32	33	33	18	18	23	45	49	16	50	43	31	48	64	15	47	30	30	0	64	41	56	39	39	43	31	65	39	21	56	78	65	69	74	76	68	79	79	82	1	1	1	1	1	1	2	1	2	1	1	1	1	1	3	1	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	2	1	2	1	1	2	2	2	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	4	2	1	1	1	1	1	1	2	2	1
