step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-3740.349086364567029	-3738.887004280048131	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.103191459789118	-1	1	2	2	6	5	6	6	6	7	9	10	9	8	8	10	11	10	10	10	11	12	11	11	10	12	12	13	11	11	12	13	13	13	14	14	14	13	13	12	15	14	13	13	14	14	14	15	15	14	15	15	16	16	17	17	17	17	17	17	17	17	17	18	17	18	20	20	19	20	20	23	22	21	22	25	27	28	30	30	31	32	37	40	42	43	44	45	45	47	47	48	48	49	50	51	54	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	4	4	4	4	5	6	5	5	5	6	6	6	6	6	6	7	6	6	6	7	7	7	6	6	7	7	7	7	8	8	8	7	7	7	8	8	7	7	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	10	9	10	11	11	10	11	11	12	12	11	12	13	14	15	16	16	16	17	19	21	22	22	23	23	23	24	24	25	25	25	26	26	28
500	-1385.691587314238632	-1383.139541502355314	-2.552045811883401	0.000010020285249	0.000039310860072	3.923127844631327	0.128233127278613	0	1	2	3	6	5	5	6	4	7	7	10	9	8	7	8	11	10	9	7	11	12	11	11	10	12	13	13	8	11	12	13	12	13	14	14	14	13	13	9	15	14	13	14	14	15	14	13	15	14	15	16	15	16	18	14	17	17	18	18	16	16	17	19	18	19	17	21	19	19	20	24	22	22	22	26	27	27	30	31	31	32	38	40	43	44	43	46	44	47	48	49	49	50	51	52	55	0	1	1	3	3	4	0	1	2	6	2	20	11	6	7	7	11	6	16	8	11	13	13	11	19	20	15	16	6	20	23	6	29	19	20	20	20	8	17	16	33	13	29	29	29	47	31	18	25	20	31	20	29	23	40	11	40	18	25	29	11	45	29	56	33	40	2	29	29	1	40	68	56	34	11	11	56	67	38	56	56	67	67	67	61	67	22	67	8	67	67	67	67	56	67	67	67	1	1	1	1	3	1	1	3	1	1	4	2	1	1	1	3	3	3	1	1	3	2	1	2	1	5	4	3	1	1	1	4	2	2	5	3	3	4	1	1	1	3	3	4	4	1	2	2	3	6	3	6	5	4	7	2	5	5	4	6	6	2	6	2	5	9	10	10	5	11	7	2	6	8	5	12	7	5	9	11	11	12	17	17	18	19	19	20	18	16	22	21	18	24	24	22	28
1000	-1231.673204438814082	-1229.561936181937426	-2.111268256876718	0.000009997677720	0.000026343696626	2.634981579017713	0.160574151665222	-2	1	3	3	6	5	6	5	6	6	8	10	9	8	8	10	10	10	10	8	11	12	11	10	11	13	13	14	8	12	13	14	10	13	15	13	15	13	13	9	15	14	13	14	12	15	14	16	15	14	15	15	14	16	17	14	17	18	17	18	18	17	17	19	16	19	17	21	19	19	19	24	21	21	23	26	28	28	30	30	32	33	38	40	43	43	45	46	45	47	48	49	48	50	50	52	55	0	1	1	1	4	2	0	1	2	3	9	20	8	6	7	15	11	6	7	8	11	13	24	8	19	12	15	16	6	20	23	18	29	19	12	20	12	24	24	7	43	13	29	29	33	31	31	18	25	12	31	20	33	51	40	13	40	48	34	29	56	45	53	56	18	40	1	29	53	8	40	68	56	19	56	56	75	67	70	67	56	67	67	67	67	67	67	67	8	67	67	67	67	67	67	67	67	1	2	4	2	1	2	1	4	3	1	1	2	1	2	1	1	2	3	1	2	2	2	1	3	1	2	4	3	1	2	2	1	2	1	4	2	3	2	2	2	2	2	2	3	1	2	1	3	2	2	2	4	3	1	5	3	5	1	3	6	2	2	2	4	5	9	10	9	3	9	6	2	3	8	5	9	2	6	5	8	11	11	12	17	18	18	17	19	17	14	21	21	17	22	23	22	26
1500	-1215.229841710753362	-1212.834353318042758	-2.395488392710608	0.000010048781424	0.000034573571799	3.440573572054868	0.211085453772576	0	2	2	3	7	4	6	6	6	7	9	11	9	8	9	10	12	7	9	8	12	12	10	12	11	12	13	13	11	10	11	12	12	13	14	14	14	14	13	9	15	14	14	14	14	15	14	14	13	13	15	15	15	17	17	16	18	15	17	17	18	17	16	18	16	19	20	21	20	18	20	24	22	21	21	25	28	25	30	27	31	32	37	40	43	44	43	46	46	47	48	48	48	50	51	52	55	0	1	1	3	4	3	0	2	3	6	1	20	2	6	7	7	2	6	7	8	11	13	11	11	19	12	15	16	14	20	11	18	29	19	20	20	12	11	24	7	33	11	29	29	33	47	31	32	19	12	31	37	33	47	40	22	40	18	34	43	22	65	33	17	32	40	56	62	60	13	40	68	67	34	13	56	78	67	75	13	67	64	78	78	80	78	75	64	8	80	80	70	80	70	80	70	80	1	1	1	1	2	1	1	3	2	2	5	3	4	2	1	2	6	2	1	1	2	2	1	1	2	1	2	2	1	1	1	3	1	2	5	3	1	3	1	1	2	3	2	1	1	1	2	1	2	1	2	1	2	2	3	3	4	4	2	2	2	1	3	4	2	9	3	3	1	6	6	2	1	4	5	6	1	3	6	8	8	11	7	9	11	15	14	19	17	11	19	22	17	20	18	23	23
2000	-1112.222972936853921	-1110.196877070071878	-2.026095866782155	0.000010103353081	0.000024342494386	2.409348083829804	0.220201357061764	0	1	1	3	7	5	6	6	7	6	9	11	9	9	9	11	11	11	10	9	10	13	10	11	11	11	12	13	10	11	12	13	14	13	13	15	15	14	14	10	15	14	12	14	14	14	14	14	15	15	15	16	14	16	16	16	17	18	17	18	17	17	16	18	16	19	21	20	19	21	19	23	23	22	22	26	27	25	30	27	31	33	37	40	43	44	45	46	45	47	47	49	48	50	51	51	55	0	1	1	3	4	3	0	2	4	6	1	20	9	6	7	19	9	14	15	8	11	23	13	11	19	20	15	16	6	20	23	18	29	19	20	35	35	24	11	7	29	22	29	29	29	31	31	6	19	20	31	37	43	51	40	11	40	32	34	63	56	65	53	22	29	40	56	62	53	56	40	68	75	49	70	67	75	70	56	64	56	64	80	80	80	80	80	78	9	82	80	78	78	78	80	80	80	1	1	1	2	2	2	1	2	3	1	6	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	2	3	2	1	1	2	2	3	1	1	2	2	2	3	1	2	3	1	1	1	4	3	4	1	1	1	1	3	3	4	3	2	2	1	1	1	3	3	9	2	2	3	4	4	2	1	3	1	2	2	4	7	5	7	10	5	9	9	14	12	15	19	7	16	21	16	20	18	20	21
2500	-1065.057223006810773	-1062.958414283656339	-2.098808723154355	0.000009935103984	0.000025846742069	2.601557277213049	0.251700705493540	-1	2	3	2	6	5	6	4	6	6	7	10	9	9	9	10	11	8	10	8	11	11	10	12	11	12	13	13	11	10	12	13	13	13	14	14	12	13	14	11	15	13	14	13	14	13	14	16	14	13	15	16	14	16	17	16	18	17	18	16	17	17	17	19	17	19	21	20	19	20	20	24	22	22	21	24	27	27	30	30	32	29	38	39	43	44	44	45	46	47	47	48	49	50	51	52	55	0	1	4	1	4	2	0	1	8	6	5	20	9	18	7	7	11	6	15	4	11	13	13	11	19	20	15	16	18	20	23	18	29	25	12	12	20	24	38	16	29	22	29	29	29	31	31	32	19	20	31	37	29	51	40	13	40	32	49	53	22	29	53	56	45	16	64	62	53	56	55	68	75	59	56	56	73	56	73	78	67	56	82	82	82	82	82	80	11	82	82	56	82	82	78	82	82	1	2	1	2	2	1	1	2	1	1	1	2	1	1	2	2	2	3	1	3	2	2	1	3	1	2	2	2	2	2	1	3	1	1	3	2	2	1	1	1	2	2	1	1	2	1	2	3	3	3	2	1	2	1	3	3	4	2	2	2	3	3	2	2	2	6	2	2	3	1	1	1	1	2	3	5	3	5	5	1	5	5	4	5	7	14	10	10	21	7	12	18	16	17	18	13	20
3000	-1017.963944130279629	-1015.717736607191227	-2.246207523088382	0.000009921551122	0.000029831915724	3.006779419634068	0.354620266010672	-1	1	3	2	6	5	4	5	4	7	9	10	9	7	7	10	11	9	9	9	11	12	10	10	10	12	10	14	10	11	13	14	13	13	14	14	13	13	13	12	16	14	14	13	15	13	15	16	15	14	14	15	15	16	18	16	17	16	18	17	14	15	17	18	17	19	21	19	20	19	20	23	23	21	22	26	26	25	31	30	32	29	37	39	41	44	44	46	44	47	48	49	47	50	50	51	55	0	1	4	2	4	3	0	2	2	6	8	20	2	6	7	15	13	6	7	8	11	13	13	11	19	12	15	16	18	20	13	18	29	19	20	20	20	24	24	16	29	13	33	29	33	13	46	18	34	20	31	37	33	51	40	13	40	18	34	53	22	33	53	56	45	40	70	62	63	56	55	62	56	34	67	56	73	56	56	82	73	78	82	82	82	82	78	84	9	85	78	78	78	78	78	84	82	1	1	1	1	2	1	1	2	2	1	2	1	4	1	1	2	2	2	3	2	2	2	1	1	1	1	2	2	1	2	2	2	2	2	3	2	2	2	2	1	3	2	1	2	1	1	1	4	1	3	1	1	1	1	3	3	3	4	2	2	1	1	1	1	1	4	1	2	2	2	2	4	3	4	1	5	1	4	6	1	5	2	4	6	8	11	10	4	18	4	10	17	17	18	17	10	20
3500	-978.319450124078344	-976.289020625191597	-2.030429498886770	0.000010236379317	0.000024778907717	2.420671113268300	0.329704268642629	-1	0	1	3	6	5	6	7	6	7	9	10	9	8	8	10	11	9	10	9	12	13	11	11	11	12	13	13	10	10	11	13	13	12	15	14	14	14	13	13	15	14	13	13	13	15	15	13	15	14	14	16	16	16	17	17	17	17	17	18	18	16	17	18	16	19	21	21	20	21	20	24	19	22	23	25	26	25	30	30	30	29	36	39	43	42	44	45	44	48	47	48	48	49	51	52	54	0	1	1	3	4	3	0	2	1	1	2	20	8	3	7	7	11	6	7	8	11	11	13	11	19	20	15	16	18	20	11	18	29	19	12	12	20	24	24	16	33	13	29	29	29	13	31	18	34	12	31	37	43	51	40	13	40	32	34	53	56	45	53	56	45	40	73	62	63	56	66	68	56	49	67	56	73	56	67	78	77	78	82	82	83	82	78	86	11	86	83	78	78	78	82	86	82	1	1	1	1	1	2	1	4	3	4	4	1	1	4	1	2	1	2	2	1	2	2	1	2	1	2	2	2	1	1	1	2	2	1	3	3	2	1	1	2	1	3	2	1	1	4	2	3	2	2	2	1	2	1	2	4	2	2	2	2	1	1	1	1	1	5	2	2	2	2	1	1	1	5	2	3	3	3	6	2	2	2	4	6	5	9	11	2	16	3	8	14	15	16	17	6	17
4000	-937.451811930088866	-935.628711046143167	-1.823100883945676	0.000011597231677	0.000021980977029	1.895364138615966	0.337984989549463	-1	0	2	1	5	6	6	6	6	8	8	10	10	8	8	10	11	9	10	9	11	12	11	11	11	12	11	14	11	11	12	13	13	14	14	12	14	13	13	13	16	13	13	14	13	15	15	16	14	15	15	15	14	17	18	17	17	17	18	17	16	16	18	19	17	19	21	20	19	21	21	23	19	21	22	25	27	26	29	31	31	29	37	38	42	43	43	46	44	47	48	48	48	49	50	51	55	0	1	4	2	3	5	0	1	1	5	1	20	11	8	7	15	13	6	7	8	11	13	13	11	19	12	15	16	18	12	13	18	29	16	12	20	20	11	24	16	33	22	29	45	29	31	31	32	19	20	23	37	43	51	40	13	40	32	49	53	22	33	53	56	62	40	73	62	43	56	66	62	56	34	56	75	73	56	56	82	79	78	82	82	82	78	78	86	8	86	86	78	82	82	78	86	77	1	1	1	1	1	1	1	4	3	2	6	1	2	1	1	1	1	2	2	3	2	2	1	2	1	1	2	3	1	1	1	2	1	2	3	2	2	3	2	2	2	1	1	1	1	2	2	2	2	3	3	1	1	1	3	4	3	3	2	2	2	1	2	1	1	5	1	2	4	2	1	3	1	5	3	3	7	4	5	1	1	1	4	5	6	9	11	3	21	2	2	14	11	13	15	4	15
4500	-862.719279677137820	-861.153958980647076	-1.565320696490748	0.000013804762260	0.000017494826573	1.267303720543700	0.455263374331187	0	1	3	2	6	5	5	6	4	8	8	10	8	8	8	10	11	10	10	9	10	12	11	11	11	13	12	13	9	11	13	12	13	12	14	14	14	13	14	12	15	14	12	14	14	14	14	14	15	15	15	15	15	16	17	16	18	18	16	17	16	16	17	18	17	19	20	20	18	19	20	24	23	21	22	25	28	27	29	30	31	31	36	40	42	40	44	45	46	45	47	48	49	50	49	52	54	0	1	4	2	3	9	0	2	2	6	8	20	9	5	7	15	11	6	15	8	9	13	13	11	19	20	15	16	6	20	23	18	29	19	12	20	20	24	24	16	33	22	29	29	29	23	31	18	34	12	31	37	43	51	40	13	40	48	34	53	38	33	53	56	62	40	56	62	60	61	66	68	75	49	67	56	76	73	77	78	79	80	80	83	86	78	83	86	9	86	86	80	86	78	78	86	86	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	1	1	2	1	2	2	1	1	1	2	1	3	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	1	1	2	1	2	3	3	2	2	1	2	1	2	1	1	5	2	2	1	1	1	2	1	4	1	5	2	2	1	2	2	1	3	2	1	7	5	3	22	3	3	10	7	14	12	6	11
