step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
1	-2673.208636000719252	-2680.064123951678539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418639828700527	0	1	4	3	3	7	8	10	10	12	12	14	15	14	15	16	17	18	19	17	18	19	19	19	18	20	20	19	20	20	21	22	22	22	25	23	23	22	24	25	23	22	23	22	25	27	24	24	25	27	27	27	27	28	29	27	30	31	31	32	32	31	31	34	35	36	37	38	40	43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	4	5	5	6	6	7	8	7	8	8	9	9	10	9	9	10	10	10	9	10	10	10	10	10	11	11	11	11	13	12	12	11	12	13	12	11	12	11	13	14	12	12	13	14	14	14	14	14	15	14	15	16	16	16	16	16	16	17	18	18	19	19	20	22
500	-677.743858180322945	-684.599346131282346	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.222861121291488	-2	1	4	2	4	7	8	8	10	10	11	13	14	14	14	15	16	18	19	17	18	20	18	20	17	20	21	19	21	20	21	22	23	21	24	24	23	23	24	24	20	23	23	22	25	27	23	25	24	28	27	25	26	28	30	27	30	32	31	33	32	32	31	34	34	37	38	39	40	44	0	1	4	2	2	4	0	6	3	8	7	10	10	10	10	12	13	15	25	16	17	15	12	19	13	13	12	25	25	21	19	23	32	41	2	25	21	30	26	31	8	25	32	18	17	15	44	41	22	38	19	26	13	25	41	12	45	25	8	21	17	10	21	46	57	53	41	15	57	56	1	1	1	1	1	3	1	1	3	1	2	2	2	2	2	1	1	2	1	1	2	2	3	1	2	3	6	1	2	1	1	1	1	1	13	5	3	2	2	2	10	2	1	2	4	9	1	2	2	2	3	3	6	6	5	9	2	7	14	10	11	16	6	5	3	7	12	17	4	10
1000	-538.109289282906616	-544.964777233866016	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.320236119536374	0	1	4	3	4	7	8	10	10	10	12	13	15	13	14	15	18	18	19	16	18	18	19	19	18	19	20	20	20	21	21	21	22	21	26	24	24	21	24	24	23	23	24	23	25	27	24	25	24	27	26	28	26	28	30	25	30	31	30	32	33	31	31	32	34	36	37	38	39	44	0	1	4	2	4	4	0	6	6	4	7	10	12	10	10	14	15	15	25	14	13	12	15	25	15	10	15	25	24	19	22	27	32	25	14	26	41	19	41	22	10	31	32	32	49	28	33	49	17	25	25	53	27	24	56	15	56	49	22	49	10	21	56	63	62	56	61	10	63	56	1	1	1	1	1	2	1	1	2	3	2	1	1	1	2	1	2	2	1	2	2	2	2	1	2	4	4	1	1	1	1	1	1	3	10	2	1	1	1	4	8	1	3	1	1	3	1	1	4	4	4	2	3	4	2	5	3	3	5	7	15	7	2	1	1	5	3	16	3	12
1500	-462.586117004711582	-469.441604955670982	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.464539221442571	-1	0	5	2	3	7	7	10	10	12	12	14	14	14	14	16	17	17	20	17	18	19	19	18	18	19	19	16	20	21	20	21	21	23	23	23	23	22	24	25	23	22	24	23	25	28	24	23	24	27	27	27	27	28	29	27	30	31	32	32	33	31	32	34	34	36	37	39	41	43	0	1	4	2	4	4	0	6	6	8	7	10	10	10	8	14	15	15	15	14	15	17	18	8	28	25	18	15	25	26	25	27	27	19	20	24	19	19	30	36	19	19	32	32	24	29	32	19	17	45	45	48	48	25	48	21	54	22	46	45	21	56	57	62	56	64	61	49	66	56	1	1	2	1	1	2	1	2	2	1	2	1	1	1	2	1	2	2	3	2	3	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	2	1	2	1	2	1	2	2	5	4	2	1	5	1	1	2	2	5	2	4	1	5	2	4	11	2	1	1	3	1	1	9	3	9
2000	-466.241476248851598	-473.096964199810998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.436120925587105	-1	1	5	2	4	7	8	10	10	12	11	15	15	14	15	17	18	18	19	17	19	19	20	18	17	20	19	20	20	21	21	23	23	22	25	23	24	23	25	26	22	22	24	21	25	28	25	24	23	27	26	28	27	27	28	26	29	31	31	32	33	31	28	34	36	36	37	38	40	44	0	1	4	2	4	3	0	6	4	9	7	10	8	10	10	14	15	13	15	14	17	15	15	13	15	24	18	24	25	22	19	44	27	19	20	22	36	42	19	48	24	25	44	27	22	50	27	17	17	28	41	56	17	34	45	49	56	49	21	45	23	56	56	62	64	61	61	58	67	61	1	1	1	1	1	1	1	1	4	2	2	1	2	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	4	2	1	1	4	1	2	2	2	1	4	1	3	3	2	4	2	1	4	2	2	2	2	4	6	3	8	2	1	2	1	3	1	3	2	8
2500	-433.864357650736963	-440.719845601696363	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508333192433719	0	1	2	3	3	6	8	10	8	12	12	14	15	15	15	17	17	18	19	18	19	19	19	19	17	20	21	18	20	20	21	23	22	21	26	24	23	22	24	25	24	23	23	22	24	26	24	24	23	26	27	26	27	27	29	28	30	31	32	32	32	32	32	34	34	36	36	38	40	43	0	1	2	3	3	3	0	6	6	8	7	10	12	12	10	14	15	15	25	14	17	15	15	25	15	19	15	25	13	19	24	44	27	22	20	26	19	30	30	45	31	31	44	18	17	19	27	13	17	24	41	45	45	19	48	52	45	45	46	53	49	56	57	62	57	57	64	60	67	66	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	1	1	1	3	1	2	1	1	1	1	1	3	2	2	1	2	1	2	1	1	2	4	4	2	3	3	3	2	1	1	4	3	1	3	3	3	2	7	2	1	1	2	2	1	2	3	3
3000	-406.994325369552200	-413.849813320511601	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680280098953830	0	1	2	3	3	7	7	10	10	12	13	14	16	14	15	16	16	19	19	17	19	19	18	20	17	19	20	19	20	20	21	22	23	22	25	24	22	23	24	24	23	23	22	21	25	26	24	25	26	27	25	27	28	28	30	27	29	32	31	31	32	31	30	34	35	36	37	38	41	43	0	1	2	3	3	4	0	6	6	8	7	10	12	8	10	14	15	23	25	16	17	13	15	22	13	25	15	15	19	19	19	44	27	24	20	37	26	30	30	26	31	31	44	27	21	40	27	21	48	46	41	45	45	45	45	45	56	59	49	55	63	56	57	61	61	64	66	60	67	67	1	1	1	1	1	2	1	2	2	1	3	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	5	1	2	2	2	3	1	1	1	1	2	1	2	3	1	1	1	1	1	2	3	1	1	1	1	1	1	4	1	1	1	2	1	2	2	3
3500	-404.729725812596143	-411.585213763555544	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666401857221319	0	2	3	4	4	6	8	9	10	11	12	13	14	14	15	16	17	18	20	18	19	19	19	19	17	20	20	20	21	21	21	21	22	23	24	24	22	22	24	24	22	22	23	23	25	27	24	24	24	27	27	28	26	29	28	26	30	31	29	33	32	31	32	34	36	36	38	38	41	42	0	1	2	3	3	3	0	6	3	8	7	10	10	12	13	14	15	10	25	16	17	15	18	25	15	24	18	25	24	24	24	27	27	24	20	26	22	18	31	24	31	19	32	32	48	36	27	21	21	36	40	49	21	46	45	22	52	53	56	58	62	56	62	57	64	64	66	60	67	69	1	2	1	1	1	1	1	2	3	1	2	1	2	1	1	1	1	3	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	3	2	2	2	2	2	1	1	1	1	1	1	2	2	3	2	1	2	3	1	2	4	2	2	1	1	1	2	1	3	1	1	1	2	2	1
4000	-425.061741520412170	-431.917229471371570	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610133792835106	0	1	2	3	3	6	8	9	10	12	12	14	15	15	16	16	17	17	18	18	19	19	19	20	17	21	19	18	20	21	22	21	22	21	25	23	23	22	24	24	24	22	24	22	23	25	24	24	26	27	27	28	27	28	29	27	30	29	30	32	29	30	32	33	36	36	37	36	40	44	0	1	2	2	3	3	0	6	6	8	7	10	10	12	13	14	13	15	25	16	15	15	18	13	13	25	15	25	13	19	19	27	27	24	20	24	26	24	30	24	31	24	33	32	22	30	33	29	45	36	40	56	45	31	48	21	61	53	49	59	56	61	57	62	61	64	66	60	67	67	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	2	3	1	3	3	1	2	1	1	1	2	1	3	2	1	2	2	2	1	1	1	1	2	2	1	2	2	2	2	1	1	3	3	4	1	1	2	1	1	1	1	1	5	2	1	1	2	3
4500	-410.617635129795133	-417.473123080754533	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583849846144338	-1	0	4	3	4	8	7	10	10	12	11	14	15	14	16	17	17	18	20	18	19	19	20	18	18	21	20	19	20	21	22	22	23	22	24	23	23	22	23	25	23	22	24	23	25	25	24	24	24	26	28	25	28	29	28	27	30	31	32	33	32	32	29	34	35	36	37	37	40	44	0	1	2	2	4	4	0	3	3	8	7	8	12	10	10	14	15	15	24	16	17	15	18	15	15	25	18	24	24	19	24	27	27	19	20	26	26	30	26	36	42	25	32	32	17	31	27	21	25	31	41	17	48	50	45	52	52	53	58	58	57	63	52	62	57	62	66	60	67	69	1	1	2	2	1	1	1	3	3	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	1	4	2	1	1	1	2	1	2	1	1	3	1	2	2	3	2	2	3	2	2	2	1	3	1	1	1	1	3	2	1	2	1	1	1	2	2
