step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.36273	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.92800	0.35856	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.94000	0.35300	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.89200	0.34719	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.81200	0.34281	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.70200	0.33763	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.55200	0.33267	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.47800	0.32848	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45700	0.32672	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.44933	0.32538	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.45400	0.32311	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.45440	0.32185	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.45467	0.32066	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.46457	0.32086	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.46500	0.32114	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.46422	0.32103	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.46320	0.32066	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.46164	0.32005	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.46267	0.32017	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.46646	0.31991	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.46429	0.31966	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.46227	0.31938	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.46287	0.31932	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.46435	0.31880	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.46256	0.31853	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.46168	0.31844	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.46150	0.31856	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.45971	0.31829	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.45964	0.31796	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.45843	0.31762	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.45767	0.31709	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.45824	0.31670	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.45823	0.31639	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.45859	0.31627	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.45857	0.31618	0.000150000000000	1.000000000000000	0.170859375000000	0
