step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.49848	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.24048	0.64571	0.37176	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.39200	0.79000	0.36162	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.41200	0.89000	0.34622	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.41733	0.80200	0.33633	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97600	0.41300	0.74600	0.33256	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.97400	0.41840	0.64000	0.32866	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96200	0.41500	0.44400	0.32541	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95400	0.41171	0.46300	0.32248	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.93000	0.41250	0.46333	0.32068	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.92600	0.41467	0.47150	0.31818	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.84400	0.41360	0.47280	0.31728	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.85800	0.41291	0.46800	0.31678	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.89600	0.40950	0.45971	0.31476	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.89200	0.40815	0.45125	0.31344	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.87200	0.40786	0.44667	0.31271	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.80600	0.40253	0.45200	0.31226	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.73200	0.40075	0.45527	0.31212	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.68000	0.39847	0.45683	0.31206	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.62200	0.39511	0.46000	0.31245	0.147789188003540	0.666666666666667	0.113906250000000	0
10000		0.46200	0.39495	0.46286	0.31274	0.221683782005310	0.666666666666667	0.113906250000000	0
10500		0.46600	0.39340	0.46493	0.31256	0.221683782005310	0.666666666666667	0.113906250000000	0
11000		0.48333	0.39314	0.46213	0.31150	0.221683782005310	0.666666666666667	0.113906250000000	0
11500		0.48450	0.39436	0.45941	0.31127	0.221683782005310	0.666666666666667	0.113906250000000	0
12000		0.47840	0.39252	0.45944	0.31101	0.221683782005310	0.666666666666667	0.113906250000000	0
12500		0.48033	0.39100	0.46042	0.31093	0.221683782005310	0.666666666666667	0.113906250000000	0
13000		0.47686	0.39104	0.45770	0.31084	0.221683782005310	0.666666666666667	0.113906250000000	0
13500		0.47675	0.38938	0.45771	0.31063	0.221683782005310	0.666666666666667	0.113906250000000	0
14000		0.47756	0.38852	0.45755	0.31046	0.221683782005310	0.666666666666667	0.113906250000000	0
14500		0.47520	0.38800	0.45617	0.31044	0.221683782005310	0.666666666666667	0.113906250000000	0
15000		0.47564	0.38648	0.45817	0.31062	0.221683782005310	0.666666666666667	0.113906250000000	0
15500		0.47350	0.38680	0.46040	0.31054	0.221683782005310	0.666666666666667	0.113906250000000	0
16000		0.47262	0.38639	0.46123	0.31047	0.221683782005310	0.666666666666667	0.113906250000000	0
16500		0.47171	0.38394	0.46200	0.31049	0.221683782005310	0.666666666666667	0.113906250000000	0
17000		0.47280	0.38200	0.46136	0.31021	0.221683782005310	0.666666666666667	0.113906250000000	0
17500		0.47163	0.38094	0.46193	0.31024	0.221683782005310	0.666666666666667	0.113906250000000	0
18000		0.47000	0.38011	0.46200	0.31014	0.221683782005310	0.666666666666667	0.113906250000000	0
18500		0.46922	0.38006	0.46071	0.30988	0.221683782005310	0.666666666666667	0.113906250000000	0
19000		0.46768	0.37989	0.46213	0.30997	0.221683782005310	0.666666666666667	0.113906250000000	0
19500		0.46880	0.37863	0.46212	0.31008	0.221683782005310	0.666666666666667	0.113906250000000	0
20000		0.46819	0.37867	0.46206	0.30988	0.221683782005310	0.666666666666667	0.113906250000000	0
20500		0.46755	0.37875	0.46114	0.30980	0.221683782005310	0.666666666666667	0.113906250000000	0
