step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.37270	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.94000	0.36069	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.91800	0.35511	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.87800	0.35357	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.82000	0.35079	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.65200	0.34942	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.60400	0.35004	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.45600	0.34957	0.000150000000000	1.000000000000000	0.170859375000000	0
4500		-nan	-nan	0.45200	0.34881	0.000150000000000	1.000000000000000	0.170859375000000	0
5000		-nan	-nan	0.45867	0.34900	0.000150000000000	1.000000000000000	0.170859375000000	0
5500		-nan	-nan	0.45200	0.34770	0.000150000000000	1.000000000000000	0.170859375000000	0
6000		-nan	-nan	0.44760	0.34692	0.000150000000000	1.000000000000000	0.170859375000000	0
6500		-nan	-nan	0.44900	0.34670	0.000150000000000	1.000000000000000	0.170859375000000	0
7000		-nan	-nan	0.44629	0.34580	0.000150000000000	1.000000000000000	0.170859375000000	0
7500		-nan	-nan	0.44575	0.34499	0.000150000000000	1.000000000000000	0.170859375000000	0
8000		-nan	-nan	0.44378	0.34467	0.000150000000000	1.000000000000000	0.170859375000000	0
8500		-nan	-nan	0.44460	0.34453	0.000150000000000	1.000000000000000	0.170859375000000	0
9000		-nan	-nan	0.44273	0.34426	0.000150000000000	1.000000000000000	0.170859375000000	0
9500		-nan	-nan	0.44450	0.34377	0.000150000000000	1.000000000000000	0.170859375000000	0
10000		-nan	-nan	0.44154	0.34335	0.000150000000000	1.000000000000000	0.170859375000000	0
10500		-nan	-nan	0.44071	0.34347	0.000150000000000	1.000000000000000	0.170859375000000	0
11000		-nan	-nan	0.43960	0.34305	0.000150000000000	1.000000000000000	0.170859375000000	0
11500		-nan	-nan	0.43988	0.34243	0.000150000000000	1.000000000000000	0.170859375000000	0
12000		-nan	-nan	0.44141	0.34202	0.000150000000000	1.000000000000000	0.170859375000000	0
12500		-nan	-nan	0.44378	0.34205	0.000150000000000	1.000000000000000	0.170859375000000	0
13000		-nan	-nan	0.44253	0.34197	0.000150000000000	1.000000000000000	0.170859375000000	0
13500		-nan	-nan	0.44290	0.34173	0.000150000000000	1.000000000000000	0.170859375000000	0
14000		-nan	-nan	0.44267	0.34133	0.000150000000000	1.000000000000000	0.170859375000000	0
14500		-nan	-nan	0.44255	0.34151	0.000150000000000	1.000000000000000	0.170859375000000	0
15000		-nan	-nan	0.44383	0.34162	0.000150000000000	1.000000000000000	0.170859375000000	0
15500		-nan	-nan	0.44317	0.34158	0.000150000000000	1.000000000000000	0.170859375000000	0
16000		-nan	-nan	0.44192	0.34157	0.000150000000000	1.000000000000000	0.170859375000000	0
16500		-nan	-nan	0.44062	0.34141	0.000150000000000	1.000000000000000	0.170859375000000	0
17000		-nan	-nan	0.44000	0.34143	0.000150000000000	1.000000000000000	0.170859375000000	0
17500		-nan	-nan	0.43979	0.34141	0.000150000000000	1.000000000000000	0.170859375000000	0
18000		-nan	-nan	0.44207	0.34175	0.000150000000000	1.000000000000000	0.170859375000000	0
18500		-nan	-nan	0.44307	0.34178	0.000150000000000	1.000000000000000	0.170859375000000	0
19000		-nan	-nan	0.44226	0.34173	0.000150000000000	1.000000000000000	0.170859375000000	0
19500		-nan	-nan	0.44150	0.34173	0.000150000000000	1.000000000000000	0.170859375000000	0
20000		-nan	-nan	0.44188	0.34157	0.000150000000000	1.000000000000000	0.170859375000000	0
20500		-nan	-nan	0.44212	0.34159	0.000150000000000	1.000000000000000	0.170859375000000	0
21000		-nan	-nan	0.44029	0.34160	0.000150000000000	1.000000000000000	0.170859375000000	0
21500		-nan	-nan	0.44056	0.34145	0.000150000000000	1.000000000000000	0.170859375000000	0
22000		-nan	-nan	0.43946	0.34139	0.000150000000000	1.000000000000000	0.170859375000000	0
22500		-nan	-nan	0.43879	0.34123	0.000150000000000	1.000000000000000	0.170859375000000	0
23000		-nan	-nan	0.43877	0.34127	0.000150000000000	1.000000000000000	0.170859375000000	0
23500		-nan	-nan	0.43805	0.34118	0.000150000000000	1.000000000000000	0.170859375000000	0
24000		-nan	-nan	0.43780	0.34113	0.000150000000000	1.000000000000000	0.170859375000000	0
24500		-nan	-nan	0.43733	0.34112	0.000150000000000	1.000000000000000	0.170859375000000	0
25000		-nan	-nan	0.43707	0.34116	0.000150000000000	1.000000000000000	0.170859375000000	0
25500		-nan	-nan	0.43709	0.34108	0.000150000000000	1.000000000000000	0.170859375000000	0
26000		-nan	-nan	0.43711	0.34121	0.000150000000000	1.000000000000000	0.170859375000000	0
26500		-nan	-nan	0.43648	0.34121	0.000150000000000	1.000000000000000	0.170859375000000	0
27000		-nan	-nan	0.43711	0.34125	0.000150000000000	1.000000000000000	0.170859375000000	0
27500		-nan	-nan	0.43729	0.34137	0.000150000000000	1.000000000000000	0.170859375000000	0
28000		-nan	-nan	0.43759	0.34148	0.000150000000000	1.000000000000000	0.170859375000000	0
28500		-nan	-nan	0.43760	0.34159	0.000150000000000	1.000000000000000	0.170859375000000	0
29000		-nan	-nan	0.43745	0.34167	0.000150000000000	1.000000000000000	0.170859375000000	0
29500		-nan	-nan	0.43762	0.34155	0.000150000000000	1.000000000000000	0.170859375000000	0
30000		-nan	-nan	0.43702	0.34157	0.000150000000000	1.000000000000000	0.170859375000000	0
30500		-nan	-nan	0.43707	0.34151	0.000150000000000	1.000000000000000	0.170859375000000	0
31000		-nan	-nan	0.43756	0.34136	0.000150000000000	1.000000000000000	0.170859375000000	0
