step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.51303	1.00000	0.43324	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.46800	0.93400	0.42448	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99400	0.44100	0.90400	0.41888	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99600	0.39400	0.86600	0.41142	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.98400	0.37150	0.78400	0.40845	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.98200	0.36600	0.73000	0.40648	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.95800	0.35900	0.62000	0.40477	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.97200	0.34400	0.48600	0.40172	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.91400	0.33200	0.47900	0.40030	0.002562890625000	1.000000000000000	0.170859375000000	0
5000		0.90800	0.32911	0.49067	0.40022	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.85400	0.32460	0.48850	0.39943	0.005766503906250	1.000000000000000	0.170859375000000	0
6000		0.79400	0.31855	0.48440	0.39840	0.008649755859375	1.000000000000000	0.170859375000000	0
6500		0.86000	0.30967	0.48867	0.39722	0.012974633789063	1.000000000000000	0.170859375000000	0
7000		0.87600	0.30262	0.48457	0.39665	0.019461950683594	1.000000000000000	0.170859375000000	0
7500		0.83200	0.29600	0.48425	0.39537	0.029192926025391	1.000000000000000	0.170859375000000	0
8000		0.74000	0.28987	0.48378	0.39432	0.043789389038086	1.000000000000000	0.170859375000000	0
8500		0.65000	0.28350	0.48240	0.39334	0.065684083557129	1.000000000000000	0.170859375000000	0
9000		0.66600	0.28000	0.48218	0.39283	0.098526125335693	1.000000000000000	0.170859375000000	0
9500		0.57600	0.27467	0.48250	0.39245	0.147789188003540	1.000000000000000	0.170859375000000	0
10000		0.38400	0.27074	0.48354	0.39172	0.221683782005310	1.000000000000000	0.170859375000000	0
10500		0.39700	0.26370	0.48114	0.39096	0.221683782005310	1.000000000000000	0.170859375000000	0
11000		0.39333	0.26010	0.48213	0.39034	0.221683782005310	1.000000000000000	0.170859375000000	0
11500		0.39150	0.25545	0.48363	0.38975	0.221683782005310	1.000000000000000	0.170859375000000	0
12000		0.39680	0.25383	0.48271	0.38892	0.221683782005310	1.000000000000000	0.170859375000000	0
12500		0.39900	0.25200	0.48400	0.38837	0.221683782005310	1.000000000000000	0.170859375000000	0
13000		0.40143	0.25144	0.48684	0.38817	0.221683782005310	1.000000000000000	0.170859375000000	0
13500		0.40400	0.24915	0.48570	0.38812	0.221683782005310	1.000000000000000	0.170859375000000	0
14000		0.40667	0.24785	0.48410	0.38766	0.221683782005310	1.000000000000000	0.170859375000000	0
14500		0.40980	0.24650	0.48373	0.38741	0.221683782005310	1.000000000000000	0.170859375000000	0
15000		0.40909	0.24559	0.48539	0.38742	0.221683782005310	1.000000000000000	0.170859375000000	0
15500		0.41000	0.24427	0.48542	0.38755	0.221683782005310	1.000000000000000	0.170859375000000	0
16000		0.41154	0.24271	0.48688	0.38768	0.221683782005310	1.000000000000000	0.170859375000000	0
16500		0.41157	0.24156	0.48869	0.38778	0.221683782005310	1.000000000000000	0.170859375000000	0
17000		0.41160	0.24152	0.48896	0.38776	0.221683782005310	1.000000000000000	0.170859375000000	0
17500		0.41213	0.23988	0.48907	0.38765	0.221683782005310	1.000000000000000	0.170859375000000	0
18000		0.41329	0.23966	0.48772	0.38774	0.221683782005310	1.000000000000000	0.170859375000000	0
18500		0.41444	0.23756	0.48833	0.38756	0.221683782005310	1.000000000000000	0.170859375000000	0
19000		0.41453	0.23649	0.48890	0.38748	0.221683782005310	1.000000000000000	0.170859375000000	0
19500		0.41310	0.23553	0.48856	0.38742	0.221683782005310	1.000000000000000	0.170859375000000	0
20000		0.41295	0.23441	0.48867	0.38732	0.221683782005310	1.000000000000000	0.170859375000000	0
20500		0.41427	0.23395	0.48771	0.38725	0.221683782005310	1.000000000000000	0.170859375000000	0
21000		0.41348	0.23322	0.48691	0.38716	0.221683782005310	1.000000000000000	0.170859375000000	0
21500		0.41458	0.23200	0.48778	0.38715	0.221683782005310	1.000000000000000	0.170859375000000	0
22000		0.41528	0.23135	0.48778	0.38708	0.221683782005310	1.000000000000000	0.170859375000000	0
22500		0.41446	0.22986	0.48642	0.38684	0.221683782005310	1.000000000000000	0.170859375000000	0
23000		0.41481	0.22920	0.48672	0.38677	0.221683782005310	1.000000000000000	0.170859375000000	0
23500		0.41414	0.22809	0.48665	0.38661	0.221683782005310	1.000000000000000	0.170859375000000	0
24000		0.41379	0.22719	0.48532	0.38662	0.221683782005310	1.000000000000000	0.170859375000000	0
24500		0.41300	0.22612	0.48519	0.38659	0.221683782005310	1.000000000000000	0.170859375000000	0
25000		0.41290	0.22486	0.48451	0.38658	0.221683782005310	1.000000000000000	0.170859375000000	0
25500		0.41250	0.22452	0.48364	0.38658	0.221683782005310	1.000000000000000	0.170859375000000	0
26000		0.41358	0.22431	0.48356	0.38660	0.221683782005310	1.000000000000000	0.170859375000000	0
26500		0.41306	0.22396	0.48391	0.38677	0.221683782005310	1.000000000000000	0.170859375000000	0
27000		0.41320	0.22385	0.48383	0.38683	0.221683782005310	1.000000000000000	0.170859375000000	0
27500		0.41406	0.22337	0.48462	0.38689	0.221683782005310	1.000000000000000	0.170859375000000	0
28000		0.41449	0.22273	0.48478	0.38699	0.221683782005310	1.000000000000000	0.170859375000000	0
28500		0.41568	0.22293	0.48360	0.38714	0.221683782005310	1.000000000000000	0.170859375000000	0
29000		0.41651	0.22295	0.48384	0.38712	0.221683782005310	1.000000000000000	0.170859375000000	0
29500		0.41760	0.22276	0.48415	0.38728	0.221683782005310	1.000000000000000	0.170859375000000	0
30000		0.41868	0.22298	0.48377	0.38736	0.221683782005310	1.000000000000000	0.170859375000000	0
30500		0.41971	0.22223	0.48448	0.38744	0.221683782005310	1.000000000000000	0.170859375000000	0
31000		0.42005	0.22190	0.48415	0.38742	0.221683782005310	1.000000000000000	0.170859375000000	0
31500		0.41991	0.22168	0.48507	0.38719	0.221683782005310	1.000000000000000	0.170859375000000	0
32000		0.42018	0.22222	0.48502	0.38727	0.221683782005310	1.000000000000000	0.170859375000000	0
32500		0.42083	0.22159	0.48490	0.38714	0.221683782005310	1.000000000000000	0.170859375000000	0
33000		0.42149	0.22169	0.48485	0.38714	0.221683782005310	1.000000000000000	0.170859375000000	0
33500		0.42163	0.22164	0.48530	0.38729	0.221683782005310	1.000000000000000	0.170859375000000	0
34000		0.42245	0.22119	0.48498	0.38748	0.221683782005310	1.000000000000000	0.170859375000000	0
34500		0.42208	0.22085	0.48465	0.38742	0.221683782005310	1.000000000000000	0.170859375000000	0
35000		0.42176	0.22052	0.48486	0.38735	0.221683782005310	1.000000000000000	0.170859375000000	0
35500		0.42154	0.22017	0.48475	0.38721	0.221683782005310	1.000000000000000	0.170859375000000	0
36000		0.42155	0.21969	0.48486	0.38727	0.221683782005310	1.000000000000000	0.170859375000000	0
36500		0.42148	0.21975	0.48433	0.38729	0.221683782005310	1.000000000000000	0.170859375000000	0
37000		0.42164	0.21953	0.48388	0.38721	0.221683782005310	1.000000000000000	0.170859375000000	0
37500		0.42118	0.21959	0.48441	0.38701	0.221683782005310	1.000000000000000	0.170859375000000	0
38000		0.42095	0.21944	0.48383	0.38682	0.221683782005310	1.000000000000000	0.170859375000000	0
38500		0.42134	0.21892	0.48374	0.38671	0.221683782005310	1.000000000000000	0.170859375000000	0
39000		0.42139	0.21834	0.48389	0.38657	0.221683782005310	1.000000000000000	0.170859375000000	0
39500		0.42170	0.21815	0.48433	0.38648	0.221683782005310	1.000000000000000	0.170859375000000	0
40000		0.42072	0.21787	0.48427	0.38629	0.221683782005310	1.000000000000000	0.170859375000000	0
40500		0.42039	0.21748	0.48430	0.38627	0.221683782005310	1.000000000000000	0.170859375000000	0
41000		0.41975	0.21736	0.48440	0.38613	0.221683782005310	1.000000000000000	0.170859375000000	0
41500		0.41937	0.21680	0.48400	0.38600	0.221683782005310	1.000000000000000	0.170859375000000	0
42000		0.41920	0.21619	0.48400	0.38586	0.221683782005310	1.000000000000000	0.170859375000000	0
42500		0.41909	0.21605	0.48405	0.38573	0.221683782005310	1.000000000000000	0.170859375000000	0
43000		0.41854	0.21569	0.48481	0.38570	0.221683782005310	1.000000000000000	0.170859375000000	0
43500		0.41865	0.21530	0.48428	0.38562	0.221683782005310	1.000000000000000	0.170859375000000	0
44000		0.41794	0.21510	0.48430	0.38548	0.221683782005310	1.000000000000000	0.170859375000000	0
44500		0.41740	0.21468	0.48412	0.38542	0.221683782005310	1.000000000000000	0.170859375000000	0
45000		0.41744	0.21456	0.48388	0.38529	0.221683782005310	1.000000000000000	0.170859375000000	0
45500		0.41692	0.21418	0.48369	0.38522	0.221683782005310	1.000000000000000	0.170859375000000	0
46000		0.41704	0.21398	0.48308	0.38523	0.221683782005310	1.000000000000000	0.170859375000000	0
46500		0.41689	0.21387	0.48312	0.38516	0.221683782005310	1.000000000000000	0.170859375000000	0
47000		0.41688	0.21351	0.48352	0.38512	0.221683782005310	1.000000000000000	0.170859375000000	0
47500		0.41684	0.21353	0.48345	0.38506	0.221683782005310	1.000000000000000	0.170859375000000	0
48000		0.41691	0.21377	0.48297	0.38505	0.221683782005310	1.000000000000000	0.170859375000000	0
48500		0.41672	0.21417	0.48313	0.38508	0.221683782005310	1.000000000000000	0.170859375000000	0
49000		0.41661	0.21445	0.48281	0.38504	0.221683782005310	1.000000000000000	0.170859375000000	0
49500		0.41678	0.21447	0.48304	0.38494	0.221683782005310	1.000000000000000	0.170859375000000	0
50000		0.41652	0.21436	0.48297	0.38499	0.221683782005310	1.000000000000000	0.170859375000000	0
50500		0.41666	0.21418	0.48287	0.38497	0.221683782005310	1.000000000000000	0.170859375000000	0
51000		0.41612	0.21408	0.48291	0.38491	0.221683782005310	1.000000000000000	0.170859375000000	0
51500		0.41586	0.21384	0.48269	0.38477	0.221683782005310	1.000000000000000	0.170859375000000	0
52000		0.41616	0.21357	0.48278	0.38468	0.221683782005310	1.000000000000000	0.170859375000000	0
52500		0.41619	0.21329	0.48286	0.38462	0.221683782005310	1.000000000000000	0.170859375000000	0
53000		0.41644	0.21299	0.48283	0.38462	0.221683782005310	1.000000000000000	0.170859375000000	0
53500		0.41627	0.21283	0.48238	0.38458	0.221683782005310	1.000000000000000	0.170859375000000	0
54000		0.41622	0.21273	0.48224	0.38454	0.221683782005310	1.000000000000000	0.170859375000000	0
