step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
1	-163.107179268496282	-161.645097183977413	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.978072052257744	0	4	5	6	7	7	7	8	8	9	10	8	10	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	4	5	5	4	5
500	-30.556832884401203	-28.964282815561447	-1.592550068839758	0.000010065918939	0.000013431557825	1.334359824111119	0.960337599734871	1	3	5	5	7	7	8	8	8	9	10	6	10	0	1	2	2	4	3	5	12	4	6	8	2	10	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-40.835950888363456	-38.821899469546253	-2.014051418817200	0.000010026945566	0.000023843708226	2.377963265986488	0.503503537813104	1	4	5	7	7	7	8	8	7	9	9	7	10	0	1	1	3	3	3	4	2	2	9	4	3	5	1	2	2	1	1	1	1	2	1	1	1	1	2
1500	-36.722169680994782	-34.994697295291800	-1.727472385702978	0.000009950805440	0.000016536185808	1.661793701737340	0.866382112627142	1	4	5	6	6	7	5	8	9	9	10	7	10	0	1	1	7	3	7	2	5	4	6	9	2	8	1	1	2	1	1	1	1	1	1	1	1	1	1
2000	-35.576267694153536	-33.966301872237558	-1.609965821915978	0.000009855824070	0.000013570704030	1.376922308381487	0.918733197725630	1	4	5	6	7	8	7	8	7	9	10	7	11	0	1	2	3	2	5	4	4	1	5	10	3	10	1	1	1	1	1	1	1	1	2	1	1	1	1
2500	-32.425470729106813	-30.618631919315167	-1.806838809791645	0.000009782571039	0.000018150228192	1.855363801525610	0.966059808486126	1	3	5	6	8	8	7	7	9	8	9	8	10	0	1	2	3	3	8	3	3	8	8	12	7	12	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-40.009663872958050	-38.253059150564106	-1.756604722393943	0.000009686129088	0.000016781972578	1.732577836294282	0.683458238914280	-1	3	5	7	8	7	7	9	8	9	10	8	10	0	1	2	2	4	2	3	6	6	4	12	7	7	1	2	1	2	1	2	1	1	1	1	2	1	1
3500	-34.690887821794512	-32.325164806474511	-2.365723015320001	0.000009769794760	0.000032749252964	3.352092215673639	0.900429540189754	1	5	6	7	7	8	7	7	9	9	10	9	10	0	1	2	2	3	3	3	3	7	7	10	8	9	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-34.311736921581272	-32.201819817399780	-2.109917104181493	0.000010321000989	0.000027158164156	2.631349826001401	0.905133400269538	1	4	5	6	7	7	8	7	8	8	10	8	10	0	1	2	2	3	3	6	3	2	5	9	3	10	1	2	1	1	1	1	1	1	1	1	1	1	1
4500	-38.677422220043582	-35.503082567097763	-3.174339652945821	0.000009771476993	0.000060193124554	6.160084560197190	0.778430232965925	1	5	5	7	8	7	7	8	8	8	10	9	11	0	1	1	3	4	3	3	6	7	3	9	7	6	1	2	2	1	1	1	1	1	1	1	1	1	2
