step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	-nan	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.74749	0.92169	0.28323	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		1.00000	0.75800	0.93000	0.28362	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		1.00000	0.77400	0.93000	0.28930	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		1.00000	0.72400	0.80600	0.28423	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		1.00000	0.78600	0.82600	0.28625	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		1.00000	0.77600	0.71200	0.28904	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		1.00000	0.76200	0.70400	0.28808	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		1.00000	0.77600	0.53800	0.28549	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.99800	0.73200	0.45400	0.28410	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.99600	0.79200	0.42800	0.28496	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		1.00000	0.74600	0.42933	0.28417	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		1.00000	0.77400	0.44050	0.28533	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.99400	0.74400	0.44040	0.28630	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.99400	0.77600	0.43533	0.28652	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.98400	0.77200	0.43486	0.28771	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.97800	0.77600	0.43150	0.28760	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.97000	0.75600	0.43778	0.28827	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.96200	0.77800	0.43780	0.28864	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.94000	0.74200	0.43218	0.28850	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.92000	0.76800	0.43217	0.28830	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.82600	0.74800	0.43646	0.28863	0.332525673007965	1.000000000000000	0.256289062500000	0
11000		0.77400	0.77800	0.44086	0.28921	0.498788509511948	1.000000000000000	0.256289062500000	0
11500		0.64000	0.73200	0.44560	0.28942	0.748182764267921	1.000000000000000	0.256289062500000	0
12000		0.62800	0.74200	0.44238	0.28918	1.000000000000000	1.000000000000000	0.256289062500000	0
12500		0.62200	0.75300	0.44271	0.28868	1.000000000000000	1.000000000000000	0.256289062500000	0
13000		0.62933	0.76400	0.44067	0.28906	1.000000000000000	1.000000000000000	0.256289062500000	0
13500		0.63700	0.76150	0.44000	0.28924	1.000000000000000	1.000000000000000	0.256289062500000	0
14000		0.62800	0.75880	0.43830	0.28879	1.000000000000000	1.000000000000000	0.256289062500000	0
14500		0.62900	0.75600	0.43971	0.28848	1.000000000000000	1.000000000000000	0.256289062500000	0
15000		0.62800	0.75857	0.43709	0.28913	1.000000000000000	1.000000000000000	0.256289062500000	0
15500		0.62775	0.75675	0.43887	0.28927	1.000000000000000	1.000000000000000	0.256289062500000	0
16000		0.61778	0.75533	0.44083	0.28895	1.000000000000000	1.000000000000000	0.256289062500000	0
16500		0.61720	0.75660	0.43928	0.28941	1.000000000000000	1.000000000000000	0.256289062500000	0
17000		0.61600	0.75745	0.43777	0.28988	1.000000000000000	1.000000000000000	0.256289062500000	0
17500		0.61300	0.75800	0.43733	0.29021	1.000000000000000	1.000000000000000	0.256289062500000	0
18000		0.61246	0.75769	0.43871	0.29021	1.000000000000000	1.000000000000000	0.256289062500000	0
18500		0.61514	0.76057	0.43821	0.29013	1.000000000000000	1.000000000000000	0.256289062500000	0
19000		0.61547	0.75973	0.43980	0.29002	1.000000000000000	1.000000000000000	0.256289062500000	0
19500		0.61850	0.75962	0.43955	0.29013	1.000000000000000	1.000000000000000	0.256289062500000	0
20000		0.62188	0.76082	0.43994	0.29029	1.000000000000000	1.000000000000000	0.256289062500000	0
20500		0.62389	0.76000	0.44012	0.28980	1.000000000000000	1.000000000000000	0.256289062500000	0
21000		0.62621	0.76042	0.43924	0.28970	1.000000000000000	1.000000000000000	0.256289062500000	0
21500		0.62650	0.75990	0.43777	0.29017	1.000000000000000	1.000000000000000	0.256289062500000	0
22000		0.62790	0.75905	0.43822	0.29001	1.000000000000000	1.000000000000000	0.256289062500000	0
22500		0.62682	0.75800	0.43778	0.28952	1.000000000000000	1.000000000000000	0.256289062500000	0
23000		0.62591	0.75817	0.43674	0.28959	1.000000000000000	1.000000000000000	0.256289062500000	0
23500		0.62508	0.75933	0.43631	0.28939	1.000000000000000	1.000000000000000	0.256289062500000	0
24000		0.62432	0.75944	0.43580	0.28957	1.000000000000000	1.000000000000000	0.256289062500000	0
24500		0.62462	0.75869	0.43746	0.28981	1.000000000000000	1.000000000000000	0.256289062500000	0
25000		0.62496	0.75904	0.43643	0.29018	1.000000000000000	1.000000000000000	0.256289062500000	0
25500		0.62443	0.75893	0.43623	0.29029	1.000000000000000	1.000000000000000	0.256289062500000	0
26000		0.62372	0.75986	0.43673	0.29032	1.000000000000000	1.000000000000000	0.256289062500000	0
26500		0.62340	0.76027	0.43573	0.29044	1.000000000000000	1.000000000000000	0.256289062500000	0
27000		0.62458	0.76026	0.43617	0.29011	1.000000000000000	1.000000000000000	0.256289062500000	0
27500		0.62475	0.76019	0.43579	0.29005	1.000000000000000	1.000000000000000	0.256289062500000	0
28000		0.62382	0.75958	0.43579	0.28993	1.000000000000000	1.000000000000000	0.256289062500000	0
28500		0.62241	0.76018	0.43604	0.28980	1.000000000000000	1.000000000000000	0.256289062500000	0
29000		0.62143	0.76034	0.43644	0.28984	1.000000000000000	1.000000000000000	0.256289062500000	0
29500		0.62300	0.76089	0.43612	0.28981	1.000000000000000	1.000000000000000	0.256289062500000	0
30000		0.62351	0.76103	0.43600	0.28979	1.000000000000000	1.000000000000000	0.256289062500000	0
30500		0.62326	0.76137	0.43604	0.28977	1.000000000000000	1.000000000000000	0.256289062500000	0
31000		0.62426	0.76174	0.43652	0.28972	1.000000000000000	1.000000000000000	0.256289062500000	0
31500		0.62305	0.76065	0.43716	0.28984	1.000000000000000	1.000000000000000	0.256289062500000	0
32000		0.62268	0.76107	0.43668	0.28974	1.000000000000000	1.000000000000000	0.256289062500000	0
32500		0.62157	0.75962	0.43579	0.28965	1.000000000000000	1.000000000000000	0.256289062500000	0
33000		0.62051	0.76000	0.43541	0.28968	1.000000000000000	1.000000000000000	0.256289062500000	0
33500		0.61964	0.76023	0.43583	0.28984	1.000000000000000	1.000000000000000	0.256289062500000	0
34000		0.61960	0.75978	0.43643	0.28969	1.000000000000000	1.000000000000000	0.256289062500000	0
34500		0.61926	0.76048	0.43626	0.28969	1.000000000000000	1.000000000000000	0.256289062500000	0
35000		0.61974	0.75991	0.43706	0.28951	1.000000000000000	1.000000000000000	0.256289062500000	0
35500		0.62000	0.75954	0.43622	0.28956	1.000000000000000	1.000000000000000	0.256289062500000	0
36000		0.61992	0.75931	0.43591	0.28943	1.000000000000000	1.000000000000000	0.256289062500000	0
36500		0.62024	0.76000	0.43597	0.28923	1.000000000000000	1.000000000000000	0.256289062500000	0
37000		0.62102	0.75965	0.43624	0.28930	1.000000000000000	1.000000000000000	0.256289062500000	0
37500		0.62062	0.75969	0.43573	0.28923	1.000000000000000	1.000000000000000	0.256289062500000	0
38000		0.62004	0.75853	0.43588	0.28933	1.000000000000000	1.000000000000000	0.256289062500000	0
38500		0.61978	0.75896	0.43551	0.28934	1.000000000000000	1.000000000000000	0.256289062500000	0
39000		0.62040	0.75873	0.43509	0.28961	1.000000000000000	1.000000000000000	0.256289062500000	0
39500		0.62057	0.75850	0.43524	0.28971	1.000000000000000	1.000000000000000	0.256289062500000	0
40000		0.62028	0.75856	0.43458	0.28971	1.000000000000000	1.000000000000000	0.256289062500000	0
40500		0.62041	0.75828	0.43452	0.28980	1.000000000000000	1.000000000000000	0.256289062500000	0
41000		0.62132	0.75844	0.43535	0.28994	1.000000000000000	1.000000000000000	0.256289062500000	0
41500		0.62167	0.75860	0.43515	0.28999	1.000000000000000	1.000000000000000	0.256289062500000	0
42000		0.62243	0.75843	0.43500	0.28988	1.000000000000000	1.000000000000000	0.256289062500000	0
42500		0.62206	0.75887	0.43499	0.28980	1.000000000000000	1.000000000000000	0.256289062500000	0
43000		0.62156	0.75860	0.43505	0.28979	1.000000000000000	1.000000000000000	0.256289062500000	0
43500		0.62119	0.75850	0.43509	0.28980	1.000000000000000	1.000000000000000	0.256289062500000	0
