step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.32265	1.00000	0.35924	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.30330	0.91200	0.35582	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99600	0.30087	0.90200	0.35373	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.98000	0.28714	0.82800	0.35129	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.97200	0.28291	0.81200	0.34884	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.97200	0.28276	0.61800	0.34517	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.95200	0.28294	0.52800	0.34433	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.91200	0.27832	0.40600	0.34357	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.90200	0.27851	0.39300	0.34364	0.002562890625000	1.000000000000000	0.170859375000000	0
5000		0.85200	0.27686	0.39733	0.34378	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.82000	0.27641	0.39400	0.34372	0.005766503906250	1.000000000000000	0.170859375000000	0
6000		0.74600	0.27588	0.38920	0.34327	0.008649755859375	1.000000000000000	0.170859375000000	0
6500		0.82400	0.27050	0.39267	0.34300	0.012974633789063	1.000000000000000	0.170859375000000	0
7000		0.83400	0.26732	0.39486	0.34278	0.019461950683594	1.000000000000000	0.170859375000000	0
7500		0.78200	0.26604	0.39075	0.34289	0.029192926025391	1.000000000000000	0.170859375000000	0
8000		0.76400	0.26516	0.39200	0.34307	0.043789389038086	1.000000000000000	0.170859375000000	0
8500		0.71000	0.26415	0.39040	0.34342	0.065684083557129	1.000000000000000	0.170859375000000	0
9000		0.58200	0.26381	0.38764	0.34340	0.098526125335693	1.000000000000000	0.170859375000000	0
9500		0.49600	0.26161	0.38350	0.34308	0.147789188003540	1.000000000000000	0.170859375000000	0
10000		0.51900	0.25983	0.38646	0.34246	0.147789188003540	1.000000000000000	0.170859375000000	0
10500		0.53267	0.25726	0.38757	0.34240	0.147789188003540	1.000000000000000	0.170859375000000	0
11000		0.52950	0.25639	0.38707	0.34205	0.147789188003540	1.000000000000000	0.170859375000000	0
11500		0.52160	0.25428	0.38725	0.34163	0.147789188003540	1.000000000000000	0.170859375000000	0
12000		0.52400	0.25410	0.38882	0.34134	0.147789188003540	1.000000000000000	0.170859375000000	0
12500		0.52286	0.25258	0.38967	0.34106	0.147789188003540	1.000000000000000	0.170859375000000	0
13000		0.52100	0.25325	0.39116	0.34092	0.147789188003540	1.000000000000000	0.170859375000000	0
13500		0.52244	0.25291	0.38970	0.34112	0.147789188003540	1.000000000000000	0.170859375000000	0
14000		0.52620	0.25216	0.39210	0.34100	0.147789188003540	1.000000000000000	0.170859375000000	0
14500		0.52673	0.25050	0.39345	0.34111	0.147789188003540	1.000000000000000	0.170859375000000	0
15000		0.52583	0.24962	0.39513	0.34112	0.147789188003540	1.000000000000000	0.170859375000000	0
15500		0.52446	0.24931	0.39483	0.34118	0.147789188003540	1.000000000000000	0.170859375000000	0
16000		0.52457	0.24914	0.39400	0.34104	0.147789188003540	1.000000000000000	0.170859375000000	0
16500		0.52533	0.24905	0.39277	0.34088	0.147789188003540	1.000000000000000	0.170859375000000	0
17000		0.52487	0.24760	0.39415	0.34092	0.147789188003540	1.000000000000000	0.170859375000000	0
17500		0.52471	0.24767	0.39586	0.34087	0.147789188003540	1.000000000000000	0.170859375000000	0
18000		0.52422	0.24679	0.39683	0.34085	0.147789188003540	1.000000000000000	0.170859375000000	0
18500		0.52484	0.24601	0.39720	0.34101	0.147789188003540	1.000000000000000	0.170859375000000	0
19000		0.52590	0.24591	0.39768	0.34106	0.147789188003540	1.000000000000000	0.170859375000000	0
19500		0.52638	0.24540	0.39825	0.34121	0.147789188003540	1.000000000000000	0.170859375000000	0
20000		0.52709	0.24511	0.39806	0.34128	0.147789188003540	1.000000000000000	0.170859375000000	0
20500		0.52826	0.24421	0.39882	0.34149	0.147789188003540	1.000000000000000	0.170859375000000	0
21000		0.52733	0.24334	0.39943	0.34148	0.147789188003540	1.000000000000000	0.170859375000000	0
21500		0.52552	0.24308	0.39861	0.34131	0.147789188003540	1.000000000000000	0.170859375000000	0
22000		0.52508	0.24310	0.39919	0.34136	0.147789188003540	1.000000000000000	0.170859375000000	0
22500		0.52652	0.24268	0.39963	0.34125	0.147789188003540	1.000000000000000	0.170859375000000	0
