step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-1399.186646393387946	-1406.042134344347232	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611990751800855	0	2	1	3	4	4	6	8	5	7	6	8	7	9	9	8	9	9	10	10	9	10	12	11	11	13	12	12	14	14	14	16	16	17	16	17	18	17	19	18	18	18	18	19	20	20	20	19	19	23	19	22	21	21	21	21	20	21	22	25	22	22	22	22	23	23	24	22	24	24	24	24	25	25	25	26	25	25	26	26	27	28	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	4	3	4	3	4	4	5	5	4	5	5	5	5	5	5	6	6	6	7	6	6	7	7	7	8	8	9	8	9	9	9	10	9	9	9	9	10	10	10	10	10	10	12	10	11	11	11	11	11	10	11	11	13	11	11	11	11	12	12	12	11	12	12	12	12	13	13	13	13	13	13	13	13	14	14	14
500	-475.944038150186998	-482.799526101146398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.432110687529554	-1	3	1	2	4	4	6	9	5	7	6	9	8	10	9	7	10	10	11	9	9	11	12	12	12	14	10	13	14	14	14	17	17	16	16	16	17	17	19	18	19	17	19	19	21	21	21	17	19	22	19	22	21	22	21	21	20	21	22	24	20	20	23	22	23	24	24	22	24	24	22	25	25	24	25	26	26	25	26	25	27	29	28	0	3	1	1	1	2	2	7	2	5	3	4	11	20	9	9	11	13	21	10	13	17	15	8	15	6	0	19	14	25	14	12	14	22	27	30	31	15	31	21	37	0	31	21	57	37	24	25	27	33	48	44	17	43	4	35	40	51	40	0	33	13	58	42	49	51	51	5	44	54	45	27	7	53	65	0	60	41	58	58	53	45	63	1	1	1	1	2	1	2	1	1	1	1	4	1	1	1	2	2	1	1	1	1	1	1	1	1	4	1	1	2	2	2	3	5	2	2	1	2	3	2	5	1	1	2	6	1	3	3	3	5	3	1	1	6	2	7	1	1	1	2	1	1	6	1	2	2	3	4	8	2	1	1	7	9	2	1	1	1	4	2	2	3	4	3
1000	-344.293369836682871	-351.148857787642271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667668491988453	0	2	2	3	4	4	6	7	5	8	6	8	7	10	8	8	8	9	9	11	9	10	11	11	11	14	13	13	15	15	14	17	17	17	15	17	19	15	19	18	18	18	17	20	20	18	19	18	19	23	20	22	22	22	21	21	20	19	23	25	22	22	22	23	23	24	24	23	24	25	24	23	25	24	25	27	26	25	27	27	27	28	28	0	1	1	1	2	4	3	5	5	11	5	6	3	15	9	11	8	8	12	9	1	21	14	12	22	24	0	24	28	28	16	38	26	29	27	38	20	27	26	31	27	0	38	42	40	19	43	27	27	61	42	57	47	46	36	47	36	43	53	0	51	24	32	52	44	61	62	56	61	68	55	39	62	68	65	0	66	65	69	63	77	60	70	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	4	1	3	2	2	1	1	1	1	4	2	2	3	1	1	1	1	3	2	1	2	1	1	1	1	3	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2
1500	-339.272265033213216	-346.127752984172616	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.774534839514776	0	2	1	3	4	3	6	8	5	8	6	7	7	9	9	8	8	10	10	11	8	11	12	10	10	13	12	12	13	15	15	16	17	15	16	17	19	17	20	18	18	17	19	20	20	20	20	20	19	23	19	21	20	22	21	22	20	21	22	26	23	21	23	22	21	23	25	22	24	24	23	24	26	23	24	26	26	24	26	25	27	28	28	0	3	1	1	4	1	9	7	1	11	2	5	7	10	8	11	6	10	17	14	7	13	24	10	15	22	0	19	18	29	20	29	31	28	27	35	33	30	38	38	30	0	42	42	36	35	37	51	24	51	42	46	40	47	43	46	40	46	65	0	52	37	62	40	51	56	41	39	45	52	54	62	68	62	45	0	56	52	62	74	52	60	71	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	2
2000	-321.562267660048633	-328.417755611008033	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760718457137677	-1	2	1	3	4	4	6	7	5	7	7	8	7	9	10	8	10	9	10	10	8	10	12	11	12	14	13	11	13	14	14	16	16	17	17	17	18	18	19	18	19	19	18	19	19	20	19	19	18	22	20	21	20	22	21	22	20	21	21	25	23	21	23	23	21	23	24	21	24	24	24	24	26	25	25	25	25	24	26	27	26	27	27	0	3	1	1	3	2	5	9	4	6	6	7	9	13	14	10	14	13	21	14	13	16	21	21	15	24	0	19	28	25	27	30	30	30	31	27	20	36	29	35	43	0	23	38	34	43	26	27	36	51	49	48	38	49	51	41	45	45	43	0	50	43	58	68	27	53	57	44	36	56	47	52	63	66	59	0	56	38	78	75	70	81	72	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	1	2	1	3	1	2	1	1	1	2	1	2	3	1	1	1	1	2
2500	-316.108605124709243	-322.964093075668643	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.821899460298729	0	3	1	2	4	5	7	8	4	8	6	9	7	10	9	9	10	8	9	11	9	10	13	11	12	13	12	12	14	15	14	15	16	17	15	17	19	17	19	19	18	18	19	20	19	20	21	18	17	23	19	21	21	22	19	21	18	22	22	26	23	23	22	19	21	22	24	22	24	24	24	24	24	25	25	26	26	25	26	26	27	29	26	0	3	1	1	2	5	9	11	2	7	5	7	6	15	9	7	7	6	10	14	13	13	16	10	22	8	0	14	27	26	23	26	30	35	17	32	38	32	42	34	34	0	34	48	49	55	37	27	27	56	41	46	43	52	49	64	38	39	52	0	53	23	52	48	42	44	18	43	59	63	62	61	58	61	63	0	75	69	69	66	74	60	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	6	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
3000	-381.790099926377479	-388.645587877336880	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759495800273255	0	3	1	3	4	5	7	8	5	7	6	9	7	8	10	8	9	8	11	10	9	10	12	12	9	13	11	12	14	14	14	16	16	18	16	15	17	18	19	18	18	17	18	18	20	20	20	19	19	22	20	22	22	19	21	21	19	22	22	24	21	20	21	21	24	23	24	22	24	22	24	23	23	25	25	25	25	25	27	25	27	27	28	0	3	1	3	4	5	5	6	4	5	5	10	6	11	12	10	16	13	12	25	14	13	27	27	16	27	0	12	12	23	7	36	30	32	30	29	36	30	42	37	31	0	35	33	34	49	33	34	38	56	34	33	38	42	54	62	43	56	40	0	38	17	54	33	35	42	55	47	53	62	73	61	63	72	66	0	61	72	74	71	58	60	81	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	2	1	1	6	1	3	4	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	1	1
3500	-318.063175471620298	-324.918663422579698	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.783990708257213	1	3	2	3	5	4	7	8	4	7	5	8	7	9	10	8	10	10	10	10	9	10	12	12	11	13	13	10	13	15	14	16	16	16	16	18	18	14	18	19	18	18	18	19	20	20	20	18	16	24	20	20	20	20	21	21	20	22	22	26	23	22	23	22	23	23	23	22	24	24	24	24	26	26	24	27	26	26	26	27	28	28	28	0	3	1	3	9	2	2	10	3	4	4	9	11	13	12	7	13	7	12	21	13	8	22	28	19	19	0	10	20	29	14	27	30	19	27	35	30	23	34	48	30	0	34	42	48	33	23	27	27	46	37	48	36	49	40	40	41	51	45	0	46	47	47	52	55	54	62	33	66	56	58	64	75	66	68	0	50	69	67	77	74	60	60	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2
4000	-328.296148062153179	-335.151636013112579	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.781241457909518	0	3	1	2	4	5	6	7	6	8	6	8	8	8	10	9	9	10	11	9	9	9	12	11	11	13	12	13	15	12	14	16	15	16	15	17	19	16	19	17	18	18	18	20	21	20	20	18	17	23	18	22	20	21	21	21	20	21	22	24	23	22	22	22	23	22	24	23	24	24	24	23	25	25	25	25	24	25	26	24	26	28	27	0	1	1	1	3	2	5	9	3	11	5	8	9	11	14	9	8	12	17	14	13	6	8	17	11	23	0	24	26	15	24	29	28	31	21	33	36	26	49	38	35	0	36	42	40	37	31	49	27	58	32	42	41	37	37	57	41	39	43	0	56	32	36	39	44	57	62	64	58	45	52	53	68	47	58	0	55	70	57	57	61	60	73	1	1	1	1	1	2	1	1	4	1	2	1	1	1	1	3	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1	3	1	1	1	1	1	1	1	1	1	5	2	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	1	2	1
4500	-379.378938666572708	-386.234426617532108	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.873381750046619	0	2	1	3	5	5	6	9	4	8	7	6	6	9	6	8	9	8	11	10	9	10	10	11	12	14	13	11	13	14	14	16	17	15	16	18	17	17	20	19	18	18	17	20	20	21	19	20	19	23	20	23	21	19	21	21	20	21	22	24	23	23	23	22	24	23	23	21	23	24	24	25	24	26	25	26	24	26	26	26	27	28	28	0	1	1	1	3	2	9	18	2	5	5	5	2	15	5	6	18	12	22	17	7	10	18	18	19	19	0	16	8	28	25	26	34	20	27	37	34	29	41	34	25	0	31	42	31	40	43	40	23	47	41	58	47	43	41	44	35	57	49	0	64	68	68	58	44	64	36	37	44	69	58	69	59	75	67	0	53	62	71	73	79	60	80	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
