step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109
1	-1634.381675561952534	-1632.919593477433637	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.774841365839543	0	2	2	5	4	5	4	5	8	6	6	6	5	8	6	7	9	9	7	8	8	9	8	9	9	10	9	11	11	10	8	9	10	10	9	10	9	10	10	10	10	10	10	11	12	11	10	12	12	10	12	11	12	11	12	12	11	12	12	13	12	13	13	12	13	12	13	13	13	12	12	14	14	12	13	13	15	14	14	13	17	16	16	15	14	15	15	17	16	17	17	17	16	17	18	17	18	17	19	18	19	20	19	20	21	21	22	22	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	2	3	4	3	3	3	3	4	3	4	5	5	4	4	4	5	4	5	5	5	5	6	6	5	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	7	6	7	7	6	7	6	7	7	7	6	6	7	7	6	7	7	8	7	7	7	9	8	8	8	7	8	8	9	8	9	9	9	8	9	9	9	9	9	10	9	10	10	10	10	11	11	11	11	11
500	-495.676011506117561	-494.010405217090067	-1.665606289027516	0.000009990842844	0.000015105950266	1.511979569911615	0.808294764283716	0	3	2	4	4	5	5	5	8	7	6	7	6	8	6	7	10	9	6	8	8	9	8	9	10	10	8	11	11	11	9	9	10	11	9	7	9	11	10	11	9	11	10	9	12	12	10	9	12	10	12	11	12	11	11	13	11	12	12	13	13	12	11	12	14	12	13	13	13	13	12	13	15	13	14	13	15	14	14	14	17	16	16	15	14	15	15	15	16	18	16	16	16	17	19	17	18	17	18	16	19	20	18	19	22	22	22	22	22	0	3	1	2	2	5	5	5	7	13	6	4	5	15	3	7	5	14	3	8	16	13	7	23	9	27	11	20	24	48	16	16	37	31	13	19	36	50	27	50	36	35	35	14	39	17	9	11	25	27	25	39	50	24	20	18	18	40	23	59	30	47	44	33	70	16	39	34	29	63	41	38	32	33	47	57	58	45	58	58	27	57	34	50	53	80	76	29	65	82	85	57	65	92	85	75	100	87	80	80	87	85	96	2	0	95	102	75	103	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	5	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	5	1	2	1	4	2
1000	-538.684555752423989	-537.260395646959864	-1.424160105464085	0.000009971198044	0.000008864551478	0.889015686921849	0.800440033481203	0	3	2	6	4	4	4	5	8	6	7	6	6	8	6	7	9	8	8	6	8	10	9	10	8	11	9	12	11	9	9	8	11	11	10	10	9	9	11	10	10	11	10	12	10	11	9	12	12	8	12	11	12	11	13	11	11	13	11	13	12	12	12	12	12	13	14	14	13	13	12	14	15	11	13	13	15	14	14	12	17	15	16	16	14	15	16	17	17	17	16	18	16	16	18	17	16	18	19	18	19	20	19	19	21	22	22	22	19	0	3	1	2	2	2	3	2	6	5	20	7	6	2	2	20	9	15	8	6	10	14	50	17	15	40	19	26	9	19	18	4	25	31	47	16	19	32	50	30	31	35	30	36	23	24	12	31	18	13	45	27	74	30	26	37	45	23	13	59	42	45	24	40	41	36	52	42	49	19	25	58	40	9	56	19	76	52	44	46	49	60	54	72	63	49	68	94	78	51	49	88	53	75	49	41	71	86	84	78	81	96	95	18	0	103	104	91	98	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	2	3	1	1	1	2	1	2	1	5	1	1	1	4	1
1500	-498.724000515745161	-497.173300256211974	-1.550700259533210	0.000010041765739	0.000012360888848	1.230947740641799	0.739159577409874	1	3	2	5	5	6	4	6	8	6	6	6	5	7	6	7	9	9	7	8	9	8	9	10	9	10	8	11	11	10	8	8	10	10	10	11	9	9	10	11	10	11	10	11	12	11	11	12	13	9	12	11	10	11	13	13	11	13	11	14	12	14	13	12	14	12	13	13	12	12	12	13	13	13	12	14	15	13	13	13	17	15	17	14	14	14	15	15	17	17	18	17	15	17	18	17	18	18	18	18	18	20	20	21	21	20	21	22	22	0	1	1	2	2	2	2	2	8	4	13	3	1	5	5	10	14	16	5	5	7	15	6	23	19	10	11	18	9	38	16	7	14	31	5	31	32	31	27	50	14	43	22	53	33	27	26	19	59	11	43	21	50	50	9	25	17	57	32	59	28	61	54	54	51	32	36	13	39	18	35	52	45	37	52	58	58	46	54	28	58	45	34	58	78	78	72	80	67	52	83	82	58	77	86	60	89	76	83	92	55	88	92	87	0	98	96	101	105	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	1	1	1	2	1	1	1	1	1	1	2	2	6	1	1	1	1	1	2	3	1	1	1	2	2	2	1	1	1	1	3	2	1	3	1	1	1	1	1
2000	-527.659470042542239	-525.789985170646332	-1.869484871895895	0.000010033435423	0.000020169925305	2.010271104001867	0.789148042366138	0	2	2	6	4	5	4	4	8	6	7	7	6	6	7	4	9	8	7	8	8	9	7	9	9	10	9	11	11	10	9	10	10	11	10	9	10	11	9	11	11	10	10	12	10	10	10	10	13	10	12	12	11	11	12	12	12	11	12	13	12	14	13	12	13	13	13	13	14	12	13	13	14	12	11	14	15	15	14	13	17	16	16	16	14	15	15	15	16	15	17	16	16	18	17	17	19	18	18	19	19	21	19	20	21	20	22	23	21	0	1	1	16	3	1	3	2	13	7	6	2	7	5	8	3	11	14	8	13	19	19	13	23	16	20	11	27	17	31	12	22	12	31	12	12	17	18	20	50	35	23	15	41	15	21	9	9	47	27	22	31	25	48	17	46	48	50	19	59	33	51	38	20	53	4	45	29	56	32	41	54	64	38	43	63	40	73	65	53	88	85	75	74	67	85	79	64	62	49	80	62	65	89	90	64	96	81	77	95	89	101	78	49	0	94	106	65	100	1	2	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	3	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	7	1
2500	-531.141321608967587	-529.251515690809356	-1.889805918158177	0.000009899899082	0.000020404018183	2.061032947363039	0.723251449792894	1	3	3	5	4	5	5	5	8	7	6	5	6	8	5	8	10	9	7	8	8	10	9	9	10	10	8	12	11	10	8	9	9	10	9	10	9	8	10	11	10	11	11	10	12	11	10	12	12	10	12	11	12	11	11	12	10	12	12	13	11	13	14	11	12	11	13	13	13	11	12	14	14	12	13	12	16	14	15	13	15	17	16	15	15	15	15	15	17	18	17	17	16	18	17	17	17	17	19	17	19	19	19	19	22	20	23	22	22	0	1	1	2	2	3	2	2	5	1	5	3	12	11	3	12	14	31	8	15	7	15	12	9	11	9	11	22	23	38	13	19	19	33	4	27	19	11	14	50	33	47	34	13	34	18	9	61	33	27	54	10	66	39	17	32	23	27	17	59	18	46	17	25	43	47	66	66	35	9	30	80	59	29	47	47	72	58	16	33	40	77	32	50	71	68	75	53	86	24	78	58	86	81	83	87	45	88	82	64	83	92	55	49	0	78	108	26	101	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	3	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	2	1	1	1	1	4	2	3	1	1	1	1	3	1	1	3	1	1	3	4	1	2	1	5	1
3000	-529.070796570083758	-527.089880670614889	-1.980915899468838	0.000010000566035	0.000022923827400	2.292252990560406	0.740851771809042	0	2	2	4	4	6	3	6	8	7	6	7	5	8	7	8	10	8	8	9	9	10	7	8	8	8	9	12	11	10	8	9	11	10	10	10	9	10	11	10	10	10	10	11	12	12	10	13	13	8	12	11	12	11	13	13	11	13	12	13	12	14	12	11	14	12	12	14	14	12	13	14	14	13	13	13	16	15	14	14	18	16	15	16	13	15	15	17	16	16	15	17	16	17	18	17	18	16	18	17	19	19	19	20	21	21	22	23	23	0	1	1	7	7	7	2	5	10	8	5	13	7	8	4	7	24	11	15	5	15	12	11	13	11	15	50	17	35	6	5	31	40	31	16	8	9	20	27	50	50	50	19	27	38	54	3	57	53	11	44	37	29	25	17	46	8	52	20	59	42	34	42	27	58	26	32	67	51	38	38	59	45	38	37	52	69	66	66	45	4	78	29	58	52	55	75	79	55	60	80	87	69	69	93	83	98	73	44	62	92	96	86	80	0	101	59	104	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	5	1	3	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	2	3	1	1	4	2	2
3500	-508.152186662436520	-506.672980959173174	-1.479205703263336	0.000010243773213	0.000010722866447	1.046769215266362	0.725076828334299	0	2	3	5	4	5	5	5	8	6	6	7	4	9	6	7	10	9	7	8	9	8	9	9	10	10	8	10	11	9	9	10	9	10	7	10	10	10	10	11	11	10	11	11	11	10	11	12	12	10	13	8	11	12	12	12	11	11	12	14	13	12	12	11	13	12	13	14	13	12	12	14	15	12	14	13	14	14	13	13	16	16	15	14	15	15	15	17	15	18	16	17	16	18	17	18	18	18	20	18	18	20	18	17	20	20	22	20	21	0	1	2	13	2	3	13	3	8	7	6	10	1	27	13	4	16	11	4	11	6	15	6	10	7	52	11	19	21	2	15	22	19	31	7	30	18	14	14	50	37	10	24	30	30	27	42	32	50	27	48	5	17	50	28	27	30	50	30	59	14	29	28	20	59	36	43	45	53	18	28	74	67	17	76	22	66	47	37	23	40	61	31	49	51	58	51	56	84	93	83	89	84	81	78	83	77	72	89	45	79	101	89	62	0	93	98	104	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	3	3	2	1	1	1	1	3	1	1	1	1	1	1	1	2	2	3	2	4	2	1	1	4	1	2	1	2	2
4000	-479.764425639987223	-478.299565643604296	-1.464859996382941	0.000010421554046	0.000010501733873	1.007693653652642	0.856717715054747	-1	3	2	4	4	6	5	5	6	7	6	7	6	8	7	7	10	10	6	8	7	9	8	10	8	11	8	10	12	10	7	10	11	10	9	10	10	11	11	10	9	9	10	10	12	11	10	13	12	9	13	10	12	11	13	12	11	10	12	14	12	13	13	12	12	12	12	13	12	12	12	14	14	13	12	14	15	14	14	12	18	15	17	13	15	16	15	16	14	18	18	18	16	17	18	17	18	16	17	17	18	20	19	20	21	20	21	22	22	0	3	1	3	3	2	5	2	2	7	7	8	8	15	8	7	9	25	5	21	8	10	19	41	6	44	7	14	33	8	7	27	58	41	21	35	16	30	58	50	6	10	10	42	30	27	35	39	17	27	71	31	32	37	57	44	52	50	30	59	36	46	33	54	33	41	52	75	32	54	17	68	51	29	44	38	54	56	80	18	27	64	57	33	66	32	48	73	26	83	99	73	79	88	76	88	85	85	73	85	37	103	90	92	0	86	104	104	104	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	2	1	1	1
4500	-477.047168480468429	-475.468063915473977	-1.579104564994477	0.000011761317744	0.000015305471117	1.301339820134690	0.861372704019220	0	2	3	6	5	6	4	5	8	6	7	6	4	9	7	8	9	9	8	9	8	9	7	7	10	10	7	12	12	9	8	9	11	11	10	10	9	11	10	9	11	8	10	10	12	11	10	12	11	10	13	9	12	10	13	12	11	13	12	14	13	14	13	12	14	12	12	12	14	13	11	14	14	11	13	13	16	14	14	11	18	16	16	14	15	15	14	15	16	16	17	17	16	16	19	17	17	18	19	19	19	20	18	20	20	21	22	22	22	0	1	2	7	3	7	2	3	23	13	6	7	3	11	12	6	42	12	12	31	6	23	12	4	19	42	4	54	18	6	6	23	15	31	12	16	42	17	14	27	20	23	16	32	46	32	9	54	54	40	54	21	43	8	50	43	36	50	18	59	56	74	48	26	45	26	26	52	66	49	32	51	68	30	38	30	41	49	56	22	87	60	74	55	59	29	34	65	28	70	85	90	84	63	103	79	73	82	93	92	92	101	89	68	0	100	69	104	104	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1
