step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.33467	1.00000	0.31856	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.32833	0.89800	0.30347	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99000	0.33422	0.84000	0.30085	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.98600	0.33617	0.76800	0.30010	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.97800	0.33613	0.65600	0.29904	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.98600	0.34778	0.54400	0.29880	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.97000	0.34953	0.45600	0.29788	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.95000	0.34984	0.44400	0.29735	0.001708593750000	1.000000000000000	0.113906250000000	0
4500		0.94600	0.34963	0.40667	0.29609	0.002562890625000	1.000000000000000	0.113906250000000	0
5000		0.91400	0.35007	0.40600	0.29573	0.003844335937500	1.000000000000000	0.113906250000000	0
5500		0.87800	0.35243	0.40120	0.29515	0.005766503906250	1.000000000000000	0.113906250000000	0
6000		0.85200	0.35206	0.40000	0.29453	0.008649755859375	1.000000000000000	0.113906250000000	0
6500		0.85000	0.35298	0.40000	0.29486	0.012974633789063	1.000000000000000	0.113906250000000	0
7000		0.92600	0.35176	0.39450	0.29450	0.019461950683594	1.000000000000000	0.113906250000000	0
7500		0.86800	0.35111	0.38622	0.29432	0.029192926025391	1.000000000000000	0.113906250000000	0
8000		0.81200	0.35242	0.38280	0.29425	0.043789389038086	1.000000000000000	0.113906250000000	0
8500		0.72800	0.35086	0.38091	0.29411	0.065684083557129	1.000000000000000	0.113906250000000	0
9000		0.63400	0.34926	0.38183	0.29395	0.098526125335693	1.000000000000000	0.113906250000000	0
9500		0.53800	0.34877	0.38138	0.29403	0.147789188003540	1.000000000000000	0.113906250000000	0
10000		0.47200	0.34633	0.38157	0.29358	0.221683782005310	1.000000000000000	0.113906250000000	0
10500		0.47800	0.34622	0.38120	0.29343	0.221683782005310	1.000000000000000	0.113906250000000	0
11000		0.47533	0.34549	0.37850	0.29347	0.221683782005310	1.000000000000000	0.113906250000000	0
11500		0.47050	0.34533	0.37541	0.29336	0.221683782005310	1.000000000000000	0.113906250000000	0
12000		0.46840	0.34403	0.37689	0.29303	0.221683782005310	1.000000000000000	0.113906250000000	0
12500		0.46900	0.34243	0.37747	0.29314	0.221683782005310	1.000000000000000	0.113906250000000	0
13000		0.46743	0.34149	0.37760	0.29310	0.221683782005310	1.000000000000000	0.113906250000000	0
13500		0.46175	0.34128	0.37743	0.29328	0.221683782005310	1.000000000000000	0.113906250000000	0
14000		0.46044	0.33952	0.37982	0.29340	0.221683782005310	1.000000000000000	0.113906250000000	0
14500		0.45960	0.34016	0.37930	0.29324	0.221683782005310	1.000000000000000	0.113906250000000	0
15000		0.46000	0.33922	0.37983	0.29353	0.221683782005310	1.000000000000000	0.113906250000000	0
15500		0.46083	0.33854	0.38032	0.29366	0.221683782005310	1.000000000000000	0.113906250000000	0
16000		0.46123	0.33790	0.38015	0.29370	0.221683782005310	1.000000000000000	0.113906250000000	0
16500		0.46257	0.33778	0.38193	0.29372	0.221683782005310	1.000000000000000	0.113906250000000	0
17000		0.46280	0.33731	0.38329	0.29376	0.221683782005310	1.000000000000000	0.113906250000000	0
17500		0.46075	0.33733	0.38441	0.29371	0.221683782005310	1.000000000000000	0.113906250000000	0
18000		0.46129	0.33741	0.38427	0.29365	0.221683782005310	1.000000000000000	0.113906250000000	0
18500		0.46378	0.33688	0.38548	0.29358	0.221683782005310	1.000000000000000	0.113906250000000	0
19000		0.46495	0.33739	0.38419	0.29303	0.221683782005310	1.000000000000000	0.113906250000000	0
19500		0.46430	0.33674	0.38394	0.29300	0.221683782005310	1.000000000000000	0.113906250000000	0
20000		0.46533	0.33607	0.38447	0.29307	0.221683782005310	1.000000000000000	0.113906250000000	0
20500		0.46464	0.33680	0.38400	0.29300	0.221683782005310	1.000000000000000	0.113906250000000	0
21000		0.46435	0.33721	0.38361	0.29278	0.221683782005310	1.000000000000000	0.113906250000000	0
21500		0.46467	0.33709	0.38438	0.29271	0.221683782005310	1.000000000000000	0.113906250000000	0
22000		0.46648	0.33761	0.38568	0.29291	0.221683782005310	1.000000000000000	0.113906250000000	0
22500		0.46692	0.33779	0.38508	0.29267	0.221683782005310	1.000000000000000	0.113906250000000	0
23000		0.46644	0.33736	0.38410	0.29266	0.221683782005310	1.000000000000000	0.113906250000000	0
23500		0.46657	0.33767	0.38498	0.29267	0.221683782005310	1.000000000000000	0.113906250000000	0
24000		0.46676	0.33768	0.38490	0.29275	0.221683782005310	1.000000000000000	0.113906250000000	0
24500		0.46693	0.33818	0.38367	0.29265	0.221683782005310	1.000000000000000	0.113906250000000	0
25000		0.46761	0.33857	0.38205	0.29276	0.221683782005310	1.000000000000000	0.113906250000000	0
25500		0.46650	0.33876	0.38111	0.29261	0.221683782005310	1.000000000000000	0.113906250000000	0
