step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-3199.039136562410476	-3205.894624513369763	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999985810367862	0	2	4	5	7	6	6	6	6	7	7	8	9	9	9	10	8	9	9	9	9	10	10	11	11	10	10	12	12	11	11	14	14	12	13	12	13	14	14	14	15	15	15	16	16	16	17	17	17	19	19	20	20	20	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	3	3	3	4	4	4	5	5	5	5	4	5	5	5	5	5	5	6	6	5	5	6	6	6	6	7	7	6	7	6	7	7	7	7	8	8	8	8	8	8	9	9	9	10	10	10	10	10	10
500	-217.391187062522448	-224.246675013481820	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.784123721533782	1	3	4	6	7	5	7	6	7	7	8	7	9	10	10	9	6	9	10	9	9	10	11	12	12	10	11	12	13	11	10	14	15	11	13	12	12	13	15	12	16	16	15	15	17	15	17	16	16	20	18	18	18	20	19	0	1	2	3	3	2	4	3	8	8	10	4	6	18	18	8	1	1	2	4	6	9	20	13	10	4	16	30	24	31	7	34	38	26	14	26	26	30	29	12	33	38	29	20	20	30	44	37	43	44	15	48	41	0	45	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	4	1	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	1	2	1	2	4	1	1	1	1
1000	-186.840192310065675	-193.695680261025046	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746529044694565	0	2	3	4	5	6	6	5	7	8	6	8	10	9	10	9	8	9	9	10	9	10	11	11	11	11	10	13	13	12	12	14	14	12	13	13	13	15	13	15	15	14	14	17	16	16	18	16	17	19	20	20	20	21	19	0	1	2	2	4	5	3	4	4	4	2	6	12	2	8	10	8	6	12	14	12	9	12	18	19	22	17	12	26	13	24	36	34	24	22	21	13	30	23	35	39	25	30	34	9	17	36	43	35	41	45	47	44	0	46	1	1	1	1	1	1	1	1	1	3	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	2	3	3	2	1	1	1	2	1	1	1	1
1500	-195.074850453989768	-201.930338404949140	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736099115699712	0	3	5	5	6	6	6	6	6	7	7	7	9	8	9	11	8	9	8	9	9	11	10	11	12	11	10	12	12	12	9	14	13	12	14	12	12	14	14	14	13	14	15	17	17	16	16	16	17	18	20	21	21	19	20	0	1	2	2	3	2	4	3	4	5	5	2	11	9	11	18	12	6	10	12	12	4	17	21	13	5	20	24	24	23	6	17	24	22	23	16	24	22	36	28	36	33	33	48	30	5	38	36	32	24	49	49	51	0	50	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	4	1	2	1	4	1	2	1	1	2
2000	-200.365672599728015	-207.221160550687387	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.684479459929718	1	3	5	5	7	7	6	7	7	8	5	8	9	9	9	10	7	9	8	9	8	11	10	11	11	10	10	13	12	11	11	14	13	13	13	10	13	14	13	15	15	14	14	14	17	14	18	18	17	19	18	20	19	21	19	0	1	2	2	4	11	3	11	3	3	2	7	17	2	17	10	11	8	11	9	7	9	5	9	13	8	1	22	27	36	20	30	24	16	23	2	24	24	25	34	18	33	30	30	42	18	42	42	37	45	45	15	51	0	45	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	3	5	1	1	1	1	1	1	1	1	3	1	1	1	1	4	1	2	2	1	2	2	2	2	1	1	4	1	1	1
2500	-214.963494986629087	-221.818982937588459	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785543636479324	1	2	3	5	7	5	6	6	6	8	7	9	9	9	9	10	8	8	9	9	9	11	11	11	11	10	10	13	13	12	11	15	13	12	14	12	14	14	15	14	16	14	15	16	16	16	18	17	18	18	17	19	18	20	21	0	1	2	3	6	1	6	4	3	5	4	6	8	4	6	11	7	5	18	5	7	13	21	12	27	19	10	21	26	31	14	33	23	26	34	16	5	30	28	31	25	34	22	13	21	23	38	41	41	38	43	46	39	0	21	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	2	1	2	1	2	2	3	2	2	1	1	2	1	2	1	1	3
3000	-167.970275000039663	-174.825762950999035	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.873283961153636	1	3	4	5	6	5	6	3	7	7	7	7	10	9	9	10	7	9	8	9	8	11	11	12	11	11	10	12	12	9	10	14	13	13	14	13	13	14	14	15	15	15	15	16	16	16	18	18	16	17	18	21	20	21	19	0	1	8	2	3	8	4	1	8	6	7	4	21	9	17	14	8	12	7	21	4	12	27	15	21	21	12	23	13	11	9	23	25	24	33	26	24	33	31	35	29	25	34	35	33	39	46	49	35	42	43	39	47	0	39	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	2
3500	-199.227463921414909	-206.082951872374281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886887828180934	-1	2	4	4	7	7	6	6	7	8	8	8	10	9	7	9	7	9	10	10	9	11	9	10	11	10	10	12	13	9	10	12	12	12	13	12	13	14	14	14	15	15	16	15	17	15	16	17	17	19	20	20	21	20	18	0	1	2	2	3	4	4	3	3	17	8	15	5	12	7	9	7	9	17	15	6	21	11	11	23	12	17	23	13	17	17	5	25	21	28	24	22	34	37	29	40	37	37	20	43	26	14	42	42	47	48	35	50	0	10	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	3	1	1	2
4000	-225.097320430424617	-231.952808381383988	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660986950652847	1	3	5	5	8	6	7	7	6	7	6	8	7	8	9	11	8	10	10	9	7	11	10	10	10	10	11	13	11	12	11	15	14	13	12	13	12	15	15	15	15	15	15	15	17	16	17	17	18	19	19	19	19	19	18	0	1	2	2	3	2	6	3	4	11	4	11	11	2	7	20	11	13	2	13	3	5	8	2	17	21	18	29	5	15	5	34	36	31	29	37	25	31	29	28	24	36	34	15	10	23	34	40	39	38	43	31	38	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	2	1	1	2	4	3	3	1	1	2	2	3	2	1	7
4500	-223.620247600701589	-230.475735551660961	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622050163497695	0	2	5	6	7	6	6	6	7	7	5	8	8	8	9	10	7	8	9	10	8	11	10	11	11	9	10	12	11	12	12	12	14	13	13	12	14	14	14	13	16	14	15	16	17	16	17	15	16	19	19	19	20	20	20	0	1	2	3	6	3	3	11	8	6	2	9	6	2	18	12	8	8	4	18	11	15	10	21	15	17	9	12	19	5	12	17	32	15	5	16	31	30	29	27	28	23	26	28	26	16	37	22	28	34	22	45	37	0	30	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	1	2	3	1	1	1	1	2	2	2	3	2	4	2	1	2	2	3	3	1	2	1	5
