step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-1105.839416119825728	-1104.377334035306831	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.754060250023602	-1	1	2	1	2	4	3	4	4	4	3	4	4	4	6	6	7	7	7	7	8	7	9	9	8	10	8	12	11	10	11	11	11	10	9	9	12	11	11	12	10	12	12	11	11	12	12	12	13	13	13	12	14	15	14	14	15	15	14	13	15	15	15	15	14	14	15	15	16	15	16	18	17	16	17	19	18	19	20	20	20	21	21	21	24	23	25	24	25	26	25	28	27	28	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	3	3	3	2	3	3	3	4	4	4	4	4	4	5	4	5	5	5	6	5	7	6	6	6	6	6	6	5	5	7	6	6	7	6	7	7	6	6	7	7	7	7	7	7	7	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	9	8	9	10	9	9	9	10	10	10	11	11	11	11	11	11	13	12	13	13	13	14	13	15	14	15	15	17
500	-524.838340870026968	-522.501065897026592	-2.337274973000389	0.000010034180597	0.000032796389881	3.268467172267551	0.383732341907339	0	2	2	2	3	5	3	3	5	4	4	4	5	4	5	6	7	6	6	8	9	7	9	9	9	8	8	11	10	10	11	12	11	10	9	8	12	11	11	13	11	12	13	11	9	13	12	13	11	13	13	13	14	16	13	14	15	15	14	13	15	15	15	16	15	14	15	16	16	16	16	16	16	15	17	19	18	18	20	20	20	22	22	19	23	22	25	23	24	26	25	29	26	27	28	32	0	1	1	1	3	11	1	3	1	4	1	7	2	1	2	6	14	9	4	9	6	7	16	22	12	13	13	36	36	6	27	17	11	27	4	9	19	12	27	39	25	35	33	35	22	38	28	47	11	37	49	12	25	66	45	21	52	1	11	29	28	38	51	56	48	39	38	45	51	58	38	7	23	52	48	53	65	55	62	73	74	79	73	64	86	76	73	71	47	46	37	9	87	81	90	86	1	1	1	1	1	1	2	1	3	1	2	1	2	2	1	1	1	1	2	2	3	2	2	1	3	2	1	1	1	2	1	3	2	1	4	2	3	4	2	1	1	1	1	1	1	1	1	1	3	1	1	4	3	1	2	1	1	7	4	1	2	1	1	1	1	2	2	3	2	1	2	6	3	1	2	2	1	2	2	2	2	1	4	1	1	1	4	4	5	6	7	14	1	3	1	5
1000	-475.401079953650481	-472.721579929927032	-2.679500023723438	0.000010025287292	0.000043492790529	4.338308645161852	0.433303295083929	0	2	3	2	2	4	4	4	4	5	4	3	4	5	6	5	7	7	6	7	7	7	9	10	8	10	8	13	12	10	11	11	12	10	8	9	12	10	11	11	10	12	13	11	10	12	11	12	13	13	13	11	14	14	15	14	15	15	14	13	15	16	14	15	14	13	15	16	17	15	15	18	18	16	17	19	17	20	21	20	20	21	22	20	25	23	24	24	25	26	22	28	27	28	28	32	0	1	5	1	1	5	5	5	2	4	2	1	3	12	6	9	13	12	11	10	5	7	21	21	12	23	1	30	2	27	41	25	36	17	12	16	17	5	34	35	15	32	25	12	21	17	4	10	27	33	22	23	47	28	66	26	44	25	31	21	66	26	46	46	15	6	25	58	63	29	43	23	57	51	52	69	34	70	29	77	72	72	62	63	59	73	74	68	91	87	81	12	85	37	26	82	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	3	1	1	2	3	1	2	2	6	1	1	2	1	2	3	2	3	3	1	3	2	1	3	5	3	2	4	4	2	1	4	1	2	1	1	3	2	4	2	4	1	3	1	3	3	5	3	1	1	1	2	4	1	2	4	1	3	2	4	2	1	1	4	3	5	3	4	4	2	1	1	13	1	9	6	5
1500	-535.427728498186980	-532.589541701996723	-2.838186796190256	0.000009967728414	0.000048691829544	4.884947454497254	0.419107062553992	0	2	2	2	3	4	4	4	4	5	3	4	5	4	6	7	8	7	7	8	9	7	9	7	6	11	6	12	10	11	12	11	11	9	10	9	13	9	11	13	11	12	10	12	12	12	12	12	13	12	14	13	15	15	14	11	15	16	14	12	14	15	15	15	14	15	15	15	16	14	17	18	18	16	16	18	19	19	20	20	19	21	22	22	23	22	26	24	25	26	25	27	27	28	28	33	0	1	1	1	4	1	5	11	4	4	1	2	9	5	6	8	25	12	4	7	6	9	22	4	3	16	5	33	10	36	4	13	18	18	7	2	24	18	38	7	34	43	18	13	7	22	7	1	29	43	31	39	29	56	47	36	42	29	33	39	17	40	61	14	40	28	20	61	64	17	23	13	54	46	31	62	75	67	59	59	13	51	36	55	53	81	75	83	86	85	77	54	68	76	88	90	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	1	1	3	1	6	3	2	1	3	3	4	1	1	4	1	1	1	2	5	2	2	6	2	1	1	1	2	2	2	1	1	5	3	1	3	1	1	7	1	1	4	1	1	4	3	8	2	2	2	1	1	2	4	4	6	4	5	3	5	2	5	1	2	1	3	4	7	5	1	3
2000	-590.811980572998664	-587.624865156769715	-3.187115416228901	0.000009931482645	0.000061693028482	6.211864903634686	0.528792239962414	0	1	2	2	3	4	3	5	5	4	4	4	4	4	7	7	7	7	7	8	9	7	9	9	9	10	9	12	12	10	11	12	11	10	9	10	12	12	12	12	10	12	12	9	10	11	13	12	12	11	11	13	12	15	14	12	16	15	14	13	15	14	16	15	14	13	16	15	15	15	16	19	16	16	18	19	19	19	19	20	20	21	20	21	23	22	25	23	25	26	25	26	28	27	28	31	0	1	1	1	2	1	3	4	7	3	4	3	3	4	6	6	3	8	10	14	19	13	22	4	19	24	5	35	46	24	18	31	16	14	8	14	35	19	45	8	8	27	34	11	5	21	50	45	5	10	35	40	30	39	22	15	47	41	6	32	56	48	55	45	28	43	42	32	28	51	66	5	66	34	41	62	70	53	37	75	75	77	55	78	73	74	39	72	65	87	85	75	36	80	84	87	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	3	1	1	2	2	1	1	2	1	1	3	2	4	1	2	2	2	2	1	1	2	3	1	1	1	4	3	1	1	1	2	3	2	1	2	4	1	1	1	1	1	1	1	2	1	1	2	1	5	1	3	5	2	2	4	3	2	1	1	5	1	4	3	8	3	4	1	1	2	6	2	3	4
2500	-576.450615619809810	-573.467372950223080	-2.983242669586710	0.000009964392004	0.000053957210472	5.415002786977765	0.531058918605013	-1	1	1	2	2	4	2	4	4	4	3	4	5	4	5	6	7	8	6	7	9	7	9	9	7	10	8	12	12	11	11	10	11	9	9	8	12	11	11	12	10	13	12	12	11	12	13	11	12	13	10	11	14	14	13	14	15	14	14	13	16	16	16	14	15	14	15	14	16	15	16	16	17	16	17	17	18	19	21	19	21	22	20	21	23	22	24	24	23	23	25	29	27	28	29	33	0	1	1	1	1	5	2	2	2	7	1	11	14	5	8	6	15	25	12	6	6	2	17	4	19	9	4	51	39	18	27	17	21	10	5	25	23	15	35	12	27	52	33	36	15	51	38	24	52	38	16	21	32	43	21	9	31	23	46	28	43	68	43	52	66	35	47	31	45	41	53	38	70	27	26	45	63	30	54	37	77	65	71	58	80	83	30	80	69	71	71	89	87	93	93	94	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	2	4	1	3	2	1	1	1	2	1	1	2	3	1	2	3	1	3	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	5	1	3	1	1	2	1	1	1	1	2	1	1	2	1	2	2	1	3	3	3	1	4	4	4	2	3	3	5	1	1	7	2	3	3	3	3	2	1	1	3
3000	-561.527162411129780	-557.777108738436709	-3.750053672693071	0.000010165380779	0.000089027402181	8.757901362787656	0.444004458363459	-1	1	1	2	2	3	3	4	5	3	3	5	4	4	7	6	7	8	6	8	8	7	9	8	9	11	8	13	11	10	12	11	10	10	9	9	10	10	10	13	9	11	11	11	10	12	10	10	13	13	11	12	14	16	12	15	16	15	15	11	15	15	14	15	14	13	15	15	16	13	17	18	17	16	18	19	18	19	21	19	20	21	19	21	24	23	25	25	25	25	24	29	27	28	28	33	0	1	1	3	1	2	3	2	10	2	5	2	5	11	13	14	9	11	1	13	22	14	17	5	11	33	19	32	34	18	30	33	7	20	4	10	27	17	21	25	20	41	24	15	10	23	20	9	37	33	11	16	40	18	23	16	63	23	37	30	63	50	44	46	48	21	17	50	65	44	61	65	28	38	8	49	74	28	75	68	41	76	1	66	82	80	84	79	43	31	51	69	88	91	77	94	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	3	3	2	1	1	1	4	4	1	2	1	1	1	1	1	3	1	2	3	1	1	1	2	1	1	2	2	3	2	1	3	2	2	3	3	1	3	2	6	1	3	2	1	1	1	2	2	1	3	3	2	1	1	1	2	2	3	6	2	1	3	1	2	4	1	7	3	1	2	2	2	5	6	6	6	1	2	4	2
3500	-563.823979237962362	-561.106994646789872	-2.716984591172547	0.000010141581751	0.000045276069139	4.464399168530137	0.539901952905344	-1	2	2	1	3	2	4	4	5	4	3	4	5	4	7	6	7	7	7	8	9	8	8	9	9	9	7	12	11	10	12	11	9	9	10	8	12	10	11	12	10	12	13	12	11	12	9	11	14	13	13	10	15	16	13	13	14	16	14	14	15	15	14	14	13	13	15	14	16	15	16	18	17	16	16	19	19	19	21	18	19	19	19	21	24	24	25	25	25	26	25	28	27	28	28	33	0	1	1	1	4	1	6	11	2	2	3	3	5	11	3	8	13	10	5	16	23	3	8	1	27	19	13	24	24	12	33	47	5	18	18	6	21	23	19	13	21	36	32	17	36	34	13	24	37	33	36	17	51	44	46	1	44	5	32	30	63	51	13	21	37	38	42	46	34	48	37	19	63	63	25	37	70	65	53	53	46	73	51	81	75	84	73	76	76	85	85	62	85	86	68	92	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	3	1	1	3	2	5	1	1	1	2	1	3	1	1	2	1	1	4	2	1	1	2	1	1	1	4	2	2	1	1	1	2	3	1	1	2	1	4	1	6	2	1	1	1	3	3	1	2	1	1	3	1	1	8	1	1	2	2	2	3	2	1	4	1	2	1	4	1	4	2	3	1	1	11	1	3	7	2
4000	-527.943882340245978	-524.859057625342075	-3.084824714903860	0.000010401219406	0.000060371489572	5.804270366120535	0.397762760299378	-2	2	2	0	3	4	3	4	5	5	0	5	4	5	7	7	6	7	8	7	8	8	9	7	9	8	9	10	11	10	10	12	11	9	9	9	12	11	11	13	11	12	12	10	11	13	12	12	14	13	13	11	15	15	15	13	15	16	13	14	15	14	14	15	14	15	15	14	17	16	16	18	18	16	18	18	17	19	20	20	20	21	21	21	24	23	24	22	25	27	25	28	28	29	28	32	0	4	4	1	11	11	2	7	1	7	1	6	4	7	5	9	6	8	4	17	15	17	17	13	12	17	18	23	28	6	22	33	5	16	15	20	1	11	36	21	27	26	16	16	1	39	19	22	5	39	45	15	38	52	27	34	31	60	29	25	56	21	5	42	43	40	24	59	50	63	3	9	58	19	1	32	51	70	52	75	70	81	56	46	28	49	88	58	85	87	72	58	91	87	70	92	1	2	1	1	3	2	1	1	4	1	1	1	2	2	2	1	1	2	4	1	1	2	2	2	2	2	1	1	1	3	1	1	3	1	2	1	5	5	1	3	1	2	4	1	5	1	2	1	5	1	1	3	2	2	4	3	2	2	1	3	1	2	5	1	2	1	5	1	2	1	7	3	2	5	10	3	3	1	5	1	2	1	5	3	7	6	1	2	1	2	5	8	1	2	7	1
4500	-610.828947380167619	-608.467972989863597	-2.360974390304059	0.000010526410085	0.000035137891415	3.338069781566992	0.503097173497010	-1	1	1	1	3	5	3	4	4	4	3	4	3	4	6	5	7	6	6	6	7	7	9	9	8	10	9	13	11	10	11	11	10	11	10	9	10	11	12	12	10	12	12	12	12	12	12	10	11	12	13	12	14	15	14	14	15	15	14	13	15	15	15	15	14	13	16	15	14	16	16	19	18	16	18	19	18	19	20	21	21	21	21	21	24	22	24	25	25	24	25	26	28	25	29	33	0	1	1	1	4	7	3	4	13	2	1	3	2	7	14	2	12	10	1	9	4	10	6	4	6	15	1	22	14	25	36	12	8	26	9	19	22	20	19	48	23	36	49	11	29	41	41	22	22	26	38	41	17	50	47	34	27	56	44	24	55	55	30	10	44	32	57	28	43	28	69	65	70	52	4	58	70	53	62	51	56	74	48	54	46	81	86	86	86	44	83	81	92	53	72	95	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	3	1	3	2	2	3	1	2	5	3	4	1	1	3	2	1	4	2	1	2	2	1	1	1	1	3	1	2	1	1	2	2	1	1	3	2	1	1	2	1	1	2	1	1	4	5	1	2	1	1	1	1	1	2	1	3	9	1	1	2	3	3	3	3	4	3	8	1	2	1	1	6	3	1	1	4	4	2
