step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	1.00000	1.00000	0.35482	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		-nan	-nan	0.91400	0.33970	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		-nan	-nan	0.88600	0.33305	0.000150000000000	1.000000000000000	0.022500000000000	0
2000		-nan	-nan	0.81800	0.33174	0.000150000000000	1.000000000000000	0.033750000000000	0
2500		-nan	-nan	0.73400	0.32986	0.000150000000000	1.000000000000000	0.050625000000000	0
3000		-nan	-nan	0.62200	0.32891	0.000150000000000	1.000000000000000	0.075937500000000	0
3500		-nan	-nan	0.48200	0.32846	0.000150000000000	1.000000000000000	0.113906250000000	0
4000		-nan	-nan	0.48500	0.32729	0.000150000000000	1.000000000000000	0.113906250000000	0
4500		-nan	-nan	0.49800	0.32560	0.000150000000000	1.000000000000000	0.113906250000000	0
5000		-nan	-nan	0.49550	0.32547	0.000150000000000	1.000000000000000	0.113906250000000	0
5500		-nan	-nan	0.49400	0.32469	0.000150000000000	1.000000000000000	0.113906250000000	0
6000		-nan	-nan	0.50200	0.32451	0.000150000000000	1.000000000000000	0.113906250000000	0
6500		-nan	-nan	0.50086	0.32419	0.000150000000000	1.000000000000000	0.113906250000000	0
7000		-nan	-nan	0.50000	0.32419	0.000150000000000	1.000000000000000	0.113906250000000	0
7500		-nan	-nan	0.50622	0.32431	0.000150000000000	1.000000000000000	0.113906250000000	0
8000		-nan	-nan	0.50980	0.32452	0.000150000000000	1.000000000000000	0.113906250000000	0
8500		-nan	-nan	0.50600	0.32399	0.000150000000000	1.000000000000000	0.113906250000000	0
9000		-nan	-nan	0.50750	0.32398	0.000150000000000	1.000000000000000	0.113906250000000	0
9500		-nan	-nan	0.50692	0.32378	0.000150000000000	1.000000000000000	0.113906250000000	0
10000		-nan	-nan	0.50457	0.32382	0.000150000000000	1.000000000000000	0.113906250000000	0
10500		-nan	-nan	0.50267	0.32337	0.000150000000000	1.000000000000000	0.113906250000000	0
11000		-nan	-nan	0.50062	0.32341	0.000150000000000	1.000000000000000	0.113906250000000	0
11500		-nan	-nan	0.50000	0.32343	0.000150000000000	1.000000000000000	0.113906250000000	0
12000		-nan	-nan	0.49967	0.32317	0.000150000000000	1.000000000000000	0.113906250000000	0
12500		-nan	-nan	0.50137	0.32331	0.000150000000000	1.000000000000000	0.113906250000000	0
13000		-nan	-nan	0.50120	0.32341	0.000150000000000	1.000000000000000	0.113906250000000	0
13500		-nan	-nan	0.50229	0.32338	0.000150000000000	1.000000000000000	0.113906250000000	0
14000		-nan	-nan	0.50236	0.32306	0.000150000000000	1.000000000000000	0.113906250000000	0
14500		-nan	-nan	0.50270	0.32309	0.000150000000000	1.000000000000000	0.113906250000000	0
15000		-nan	-nan	0.50292	0.32296	0.000150000000000	1.000000000000000	0.113906250000000	0
15500		-nan	-nan	0.50312	0.32294	0.000150000000000	1.000000000000000	0.113906250000000	0
16000		-nan	-nan	0.50346	0.32300	0.000150000000000	1.000000000000000	0.113906250000000	0
16500		-nan	-nan	0.50533	0.32300	0.000150000000000	1.000000000000000	0.113906250000000	0
17000		-nan	-nan	0.50407	0.32275	0.000150000000000	1.000000000000000	0.113906250000000	0
17500		-nan	-nan	0.50331	0.32255	0.000150000000000	1.000000000000000	0.113906250000000	0
18000		-nan	-nan	0.50280	0.32226	0.000150000000000	1.000000000000000	0.113906250000000	0
18500		-nan	-nan	0.50323	0.32231	0.000150000000000	1.000000000000000	0.113906250000000	0
19000		-nan	-nan	0.50181	0.32234	0.000150000000000	1.000000000000000	0.113906250000000	0
19500		-nan	-nan	0.50297	0.32233	0.000150000000000	1.000000000000000	0.113906250000000	0
20000		-nan	-nan	0.50218	0.32225	0.000150000000000	1.000000000000000	0.113906250000000	0
20500		-nan	-nan	0.50154	0.32232	0.000150000000000	1.000000000000000	0.113906250000000	0
21000		-nan	-nan	0.50244	0.32207	0.000150000000000	1.000000000000000	0.113906250000000	0
21500		-nan	-nan	0.50238	0.32212	0.000150000000000	1.000000000000000	0.113906250000000	0
22000		-nan	-nan	0.50305	0.32217	0.000150000000000	1.000000000000000	0.113906250000000	0
22500		-nan	-nan	0.50390	0.32233	0.000150000000000	1.000000000000000	0.113906250000000	0
23000		-nan	-nan	0.50385	0.32233	0.000150000000000	1.000000000000000	0.113906250000000	0
23500		-nan	-nan	0.50400	0.32245	0.000150000000000	1.000000000000000	0.113906250000000	0
24000		-nan	-nan	0.50348	0.32238	0.000150000000000	1.000000000000000	0.113906250000000	0
24500		-nan	-nan	0.50377	0.32228	0.000150000000000	1.000000000000000	0.113906250000000	0
25000		-nan	-nan	0.50391	0.32228	0.000150000000000	1.000000000000000	0.113906250000000	0
25500		-nan	-nan	0.50280	0.32215	0.000150000000000	1.000000000000000	0.113906250000000	0
26000		-nan	-nan	0.50283	0.32210	0.000150000000000	1.000000000000000	0.113906250000000	0
26500		-nan	-nan	0.50285	0.32216	0.000150000000000	1.000000000000000	0.113906250000000	0
27000		-nan	-nan	0.50287	0.32222	0.000150000000000	1.000000000000000	0.113906250000000	0
27500		-nan	-nan	0.50122	0.32220	0.000150000000000	1.000000000000000	0.113906250000000	0
28000		-nan	-nan	0.50088	0.32214	0.000150000000000	1.000000000000000	0.113906250000000	0
28500		-nan	-nan	0.50090	0.32207	0.000150000000000	1.000000000000000	0.113906250000000	0
29000		-nan	-nan	0.50019	0.32204	0.000150000000000	1.000000000000000	0.113906250000000	0
29500		-nan	-nan	0.49947	0.32203	0.000150000000000	1.000000000000000	0.113906250000000	0
30000		-nan	-nan	0.49870	0.32195	0.000150000000000	1.000000000000000	0.113906250000000	0
30500		-nan	-nan	0.49920	0.32202	0.000150000000000	1.000000000000000	0.113906250000000	0
31000		-nan	-nan	0.49971	0.32196	0.000150000000000	1.000000000000000	0.113906250000000	0
31500		-nan	-nan	0.49993	0.32189	0.000150000000000	1.000000000000000	0.113906250000000	0
32000		-nan	-nan	0.50010	0.32185	0.000150000000000	1.000000000000000	0.113906250000000	0
