step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-1051.518499845267115	-1050.056417760748218	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.693321749314303	1	0	3	3	3	4	6	7	7	8	10	10	10	11	12	13	13	15	13	16	16	15	14	15	15	15	15	16	16	18	18	19	19	18	19	19	20	18	20	20	21	20	20	21	20	23	20	21	22	23	22	23	23	22	21	22	24	22	22	23	23	23	25	23	24	23	23	24	25	24	26	26	26	26	26	27	31	32	33	34	37	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	3	4	4	4	5	5	5	6	6	7	7	8	7	8	8	8	7	8	8	8	8	8	8	9	9	10	10	9	10	10	10	9	10	10	11	10	10	11	10	12	10	11	11	12	11	12	12	11	11	11	12	11	11	12	12	12	13	12	12	12	12	12	13	12	13	13	13	13	13	14	16	16	17	17	19
500	-522.082144235129363	-520.513631018111255	-1.568513217018145	0.000009993987012	0.000012744389969	1.275205776554760	0.220604079595944	2	0	3	3	3	4	5	8	6	8	9	9	10	12	12	12	12	15	13	15	17	13	15	15	14	15	14	17	16	17	18	19	20	18	20	19	20	18	19	19	21	21	21	21	21	21	21	21	22	22	22	21	23	21	20	21	25	23	21	22	24	23	26	23	24	24	23	25	25	24	26	25	25	26	27	27	31	32	32	33	38	2	0	2	2	2	3	1	2	4	2	5	1	8	2	11	9	1	22	13	1	27	15	16	17	15	2	16	20	17	23	4	27	21	21	30	4	29	4	10	8	27	16	28	26	8	8	10	36	37	21	4	8	8	16	8	15	48	23	2	37	8	4	8	2	45	10	6	4	60	49	2	60	8	51	58	11	2	60	2	8	31	1	1	1	2	2	1	2	5	2	3	2	3	1	7	2	3	4	1	1	7	2	1	3	2	1	8	1	1	1	1	9	2	1	1	3	5	1	6	6	5	3	5	2	3	8	7	6	1	1	4	8	4	7	5	6	4	2	7	8	1	10	15	9	10	2	9	10	12	1	2	10	2	5	3	1	10	16	5	12	7	10
1000	-553.933051387832165	-552.440514198460278	-1.492537189371840	0.000010003823562	0.000010826655338	1.082251728167810	0.258113568420432	1	0	2	4	2	4	6	8	8	8	9	8	11	11	12	13	13	14	13	17	17	15	14	14	15	13	13	14	16	18	16	18	19	18	18	17	19	18	20	20	21	20	21	21	21	22	21	21	20	23	23	22	23	22	18	22	24	22	22	20	23	24	25	22	23	24	23	23	25	24	25	26	26	26	27	27	30	32	33	35	38	2	0	2	1	1	5	6	6	6	2	8	2	1	2	4	13	14	10	12	28	4	24	2	27	4	1	8	3	17	22	1	27	30	13	28	1	34	19	20	4	12	15	32	40	49	4	11	28	21	24	34	2	2	41	29	39	18	49	28	55	2	1	49	2	40	68	49	28	56	46	32	58	55	62	59	69	45	45	2	51	33	1	1	1	2	1	1	1	2	2	4	1	3	3	6	6	1	1	3	2	3	6	1	6	1	6	5	2	6	1	2	8	2	1	4	3	9	1	3	1	9	5	4	1	1	1	10	5	3	1	5	3	8	9	1	1	1	4	1	2	1	10	11	1	9	1	1	2	3	2	1	4	2	6	1	1	1	3	5	14	9	11
1500	-506.324830193921628	-504.950619463308499	-1.374210730613121	0.000010107833500	0.000007065907245	0.699052595689476	0.314093800652507	2	1	4	4	4	5	6	8	8	8	10	9	8	10	12	12	13	15	14	17	16	15	14	13	14	15	16	16	16	19	19	19	20	18	19	19	21	18	21	20	21	21	21	21	20	24	19	21	22	24	23	22	24	22	21	21	24	23	23	24	21	22	26	24	24	23	20	22	24	21	25	26	26	26	26	28	30	32	32	34	38	2	0	1	2	1	1	4	7	7	4	5	1	4	6	5	1	2	15	12	4	23	17	4	11	4	2	18	17	17	21	2	4	16	13	4	2	32	6	30	6	18	31	31	40	23	48	10	1	70	4	40	4	4	30	26	20	67	35	42	61	1	2	64	6	45	35	2	45	52	27	23	46	68	26	53	19	39	70	1	1	63	1	1	1	3	1	1	1	1	1	2	2	4	2	1	5	6	6	1	2	6	1	1	5	2	5	6	1	1	2	2	8	7	3	5	9	7	1	6	1	4	4	1	1	1	2	2	5	7	1	9	1	7	12	1	3	2	2	2	1	1	6	13	1	9	2	1	9	1	1	4	5	1	3	3	1	6	6	6	10	12	7
2000	-500.258833464673387	-498.681208504578592	-1.577624960094772	0.000009972024819	0.000012940656368	1.297695964775437	0.249831025762618	2	0	3	4	3	2	5	8	7	6	10	11	10	8	12	14	13	16	12	16	16	15	14	16	15	16	15	17	16	19	17	18	20	18	20	19	20	18	19	20	22	19	21	20	20	23	20	21	22	24	23	23	23	22	21	22	24	21	22	23	23	24	23	24	24	23	22	24	26	24	26	27	27	25	26	27	29	32	33	34	37	2	0	1	6	1	2	3	7	6	6	1	2	2	1	14	8	15	8	9	1	8	11	3	23	6	27	1	26	13	23	2	1	32	24	30	2	36	2	38	26	18	24	38	2	26	59	36	2	37	2	34	48	2	29	12	45	31	34	2	59	6	2	24	6	54	32	6	67	63	48	21	66	55	1	46	46	70	62	39	2	64	1	1	1	1	1	1	1	1	4	2	4	5	3	3	2	2	1	5	2	8	4	2	5	1	6	1	6	1	3	3	7	7	1	2	1	11	1	10	1	2	3	1	1	9	1	1	1	10	1	12	3	1	9	4	5	1	3	1	11	1	6	14	4	10	1	4	9	1	2	1	3	2	3	9	2	2	3	4	10	15	8
2500	-491.217517385873919	-489.771616603744917	-1.445900782129018	0.000009886550834	0.000009433543202	0.954179405972323	0.194474837235825	2	0	4	4	4	3	7	6	7	7	11	11	9	11	13	14	14	15	12	13	15	15	14	15	15	15	15	17	14	18	17	18	19	18	18	19	19	17	20	19	21	19	21	22	20	21	20	21	21	24	23	23	23	23	22	23	25	22	22	22	22	23	24	23	24	22	23	24	25	24	26	27	26	24	26	27	32	32	34	34	37	2	0	1	2	2	2	6	4	3	4	3	8	8	4	11	4	19	12	12	6	20	16	2	14	4	6	11	2	4	12	26	28	13	24	20	8	28	1	9	26	21	21	37	4	26	16	26	1	42	4	41	29	2	25	12	58	74	23	1	47	4	6	28	8	31	23	8	29	32	36	32	67	28	1	54	26	55	50	38	4	69	2	1	1	2	2	2	3	1	2	1	4	3	1	4	1	5	2	3	1	5	1	1	7	2	5	6	2	7	6	3	1	1	4	2	3	8	1	9	8	2	3	2	1	8	3	3	2	10	1	12	2	6	12	4	6	1	1	6	10	1	9	11	4	8	4	4	7	5	4	1	4	2	5	10	1	5	6	4	13	16	7
3000	-640.324006567151741	-638.598554868925248	-1.725451698226546	0.000010067022566	0.000016679973394	1.656892421196176	0.251988477964543	2	0	2	4	2	5	6	7	6	7	10	9	10	12	13	12	12	15	13	16	16	15	14	15	13	14	15	16	16	19	17	19	19	18	19	20	20	18	21	21	22	17	20	20	21	22	20	20	22	22	22	21	22	22	21	23	24	23	19	24	23	22	25	22	24	24	23	23	26	25	25	26	27	27	26	27	31	31	34	34	37	2	0	2	3	2	3	4	6	1	2	6	2	2	1	11	1	10	11	12	8	14	2	15	8	1	1	12	19	25	42	26	28	42	17	27	2	21	1	32	22	21	29	9	4	16	22	34	2	52	2	32	6	6	8	1	35	45	27	2	38	50	6	60	1	21	45	2	1	60	48	22	26	21	24	45	33	41	19	22	13	39	1	1	1	1	1	1	1	1	2	3	2	4	4	5	1	6	3	2	2	4	1	7	1	5	4	3	4	2	1	1	1	1	2	3	2	10	2	8	1	3	3	1	6	7	3	3	1	10	1	12	1	8	9	5	11	2	1	5	6	3	1	10	1	10	6	1	10	8	2	2	4	6	5	7	2	3	3	9	10	13	7
3500	-542.397205046353520	-540.883924376719278	-1.513280669634266	0.000010054602147	0.000011424373923	1.136233314440073	0.316659660077716	2	1	3	4	4	3	6	7	7	6	9	11	9	11	12	13	13	14	13	15	15	15	11	15	15	15	14	16	17	18	18	19	19	18	18	18	20	18	20	19	22	21	20	20	19	22	21	20	22	23	22	23	23	21	21	23	24	22	22	23	22	23	25	23	24	22	23	24	25	25	26	27	27	26	26	25	30	33	31	35	37	2	0	2	1	1	2	6	3	6	1	4	4	1	1	3	23	14	16	14	15	12	18	3	13	8	2	4	17	22	18	26	38	29	29	6	2	9	27	28	4	35	45	20	1	27	48	34	35	15	35	33	2	19	18	26	33	51	12	48	43	4	4	32	37	47	55	1	55	64	28	38	65	21	6	64	46	39	24	1	63	79	1	1	1	1	1	1	2	3	3	2	3	4	4	4	5	1	1	1	1	2	2	1	4	3	3	4	4	1	1	3	1	1	2	1	8	5	7	3	2	6	2	1	3	6	2	1	2	1	4	2	1	11	5	4	4	3	1	6	1	1	5	9	4	1	2	1	10	2	1	4	4	1	7	5	1	2	6	10	8	4	3
4000	-594.488557142706895	-592.891302962790519	-1.597254179916411	0.000011048645487	0.000014870117740	1.345876990730550	0.367792002758427	2	1	4	4	3	5	6	7	7	9	9	10	9	11	12	14	12	16	13	16	14	14	14	12	15	16	16	17	16	17	18	20	20	17	17	18	20	18	20	21	19	20	18	19	20	23	20	19	23	23	22	23	21	21	21	21	22	22	23	24	24	23	25	22	25	23	23	22	24	25	26	26	27	26	24	27	31	33	32	34	37	2	0	1	1	2	5	2	5	7	1	7	8	8	2	12	15	1	19	15	24	24	24	12	13	11	12	16	24	10	4	26	2	36	25	2	8	22	15	38	31	8	38	21	1	26	56	44	35	22	37	32	2	48	41	15	20	12	35	53	32	19	44	54	1	59	68	1	45	25	46	50	52	57	44	64	70	70	52	35	60	79	1	1	1	2	1	1	2	2	1	3	1	1	1	5	1	1	4	1	1	1	1	1	3	1	3	4	1	2	4	5	1	5	1	1	8	7	3	4	1	2	5	1	3	8	2	1	1	1	4	2	1	12	1	1	4	2	7	2	2	2	8	4	3	7	2	1	6	1	5	1	1	2	3	4	1	1	3	6	8	4	3
4500	-505.000277055777644	-503.636910325765598	-1.363366730012053	0.000012458933832	0.000006494393398	0.521263976950501	0.387392212239186	2	1	3	4	3	4	6	8	8	9	9	9	10	11	12	12	12	15	12	16	16	14	14	14	15	14	16	16	14	18	18	18	19	18	19	20	19	18	19	20	21	19	21	21	20	22	20	19	19	24	21	22	23	23	21	22	25	22	22	24	23	24	24	24	23	23	22	23	25	23	26	26	26	27	27	26	31	33	31	35	37	2	0	2	1	2	1	3	5	6	3	5	4	6	11	12	6	4	13	3	25	17	16	19	11	1	4	15	10	15	15	26	22	20	17	1	1	18	27	23	31	33	27	31	1	1	39	34	1	18	66	42	16	48	67	1	29	50	27	36	56	29	55	2	32	20	58	49	45	36	38	60	41	45	26	51	66	35	54	63	79	78	1	1	1	1	1	1	2	2	2	4	3	3	3	1	1	3	3	3	5	1	2	1	1	2	6	4	2	3	1	3	3	2	1	3	9	10	2	1	3	1	1	1	2	8	9	3	1	6	2	1	2	7	2	1	8	4	1	3	2	1	7	1	9	4	4	1	2	1	3	2	1	2	3	6	4	1	7	5	4	2	2
