step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.43487	1.00000	0.41042	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99600	0.41542	0.96600	0.40065	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99400	0.40093	0.93200	0.39208	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99000	0.38719	0.89400	0.38699	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99400	0.37695	0.82800	0.38528	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.97600	0.38746	0.76200	0.38522	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.97200	0.38525	0.65200	0.38357	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.97000	0.38110	0.52000	0.38025	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.95400	0.37853	0.38200	0.37906	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.93400	0.37928	0.37700	0.37619	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		0.87800	0.37298	0.37667	0.37363	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		0.85400	0.36623	0.36300	0.37145	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.89400	0.36129	0.36920	0.37063	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.88400	0.35948	0.36100	0.36970	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.87800	0.35151	0.36371	0.36871	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.81400	0.34567	0.36400	0.36812	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.70000	0.34098	0.35911	0.36718	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.63800	0.33626	0.36100	0.36654	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.53400	0.33193	0.36182	0.36613	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.43600	0.32933	0.36533	0.36602	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.43600	0.32441	0.36538	0.36546	0.221683782005310	1.000000000000000	0.256289062500000	0
11000		0.42800	0.32157	0.36629	0.36441	0.221683782005310	1.000000000000000	0.256289062500000	0
11500		0.43250	0.32038	0.36533	0.36399	0.221683782005310	1.000000000000000	0.256289062500000	0
12000		0.43240	0.31961	0.36762	0.36384	0.221683782005310	1.000000000000000	0.256289062500000	0
12500		0.42400	0.31699	0.36694	0.36319	0.221683782005310	1.000000000000000	0.256289062500000	0
13000		0.42829	0.31387	0.36911	0.36251	0.221683782005310	1.000000000000000	0.256289062500000	0
13500		0.42350	0.31150	0.36884	0.36209	0.221683782005310	1.000000000000000	0.256289062500000	0
14000		0.42578	0.31095	0.37180	0.36173	0.221683782005310	1.000000000000000	0.256289062500000	0
14500		0.42360	0.30975	0.37267	0.36161	0.221683782005310	1.000000000000000	0.256289062500000	0
15000		0.42182	0.30789	0.37309	0.36168	0.221683782005310	1.000000000000000	0.256289062500000	0
15500		0.42267	0.30692	0.37322	0.36158	0.221683782005310	1.000000000000000	0.256289062500000	0
16000		0.42169	0.30552	0.37292	0.36117	0.221683782005310	1.000000000000000	0.256289062500000	0
16500		0.42114	0.30462	0.37240	0.36091	0.221683782005310	1.000000000000000	0.256289062500000	0
17000		0.42187	0.30325	0.37115	0.36091	0.221683782005310	1.000000000000000	0.256289062500000	0
17500		0.42000	0.30167	0.37222	0.36074	0.221683782005310	1.000000000000000	0.256289062500000	0
18000		0.41729	0.29924	0.37179	0.36035	0.221683782005310	1.000000000000000	0.256289062500000	0
18500		0.41811	0.29915	0.37276	0.36033	0.221683782005310	1.000000000000000	0.256289062500000	0
19000		0.41958	0.29981	0.37360	0.36047	0.221683782005310	1.000000000000000	0.256289062500000	0
19500		0.42140	0.29909	0.37394	0.36032	0.221683782005310	1.000000000000000	0.256289062500000	0
20000		0.42162	0.29866	0.37362	0.36003	0.221683782005310	1.000000000000000	0.256289062500000	0
20500		0.42145	0.29816	0.37315	0.35958	0.221683782005310	1.000000000000000	0.256289062500000	0
21000		0.42070	0.29773	0.37271	0.35954	0.221683782005310	1.000000000000000	0.256289062500000	0
21500		0.42325	0.29657	0.37257	0.35944	0.221683782005310	1.000000000000000	0.256289062500000	0
22000		0.42344	0.29624	0.37333	0.35967	0.221683782005310	1.000000000000000	0.256289062500000	0
22500		0.42377	0.29570	0.37400	0.35950	0.221683782005310	1.000000000000000	0.256289062500000	0
23000		0.42481	0.29553	0.37347	0.35928	0.221683782005310	1.000000000000000	0.256289062500000	0
23500		0.42379	0.29559	0.37446	0.35927	0.221683782005310	1.000000000000000	0.256289062500000	0
24000		0.42469	0.29497	0.37525	0.35928	0.221683782005310	1.000000000000000	0.256289062500000	0
24500		0.42427	0.29426	0.37498	0.35918	0.221683782005310	1.000000000000000	0.256289062500000	0
25000		0.42413	0.29417	0.37448	0.35908	0.221683782005310	1.000000000000000	0.256289062500000	0
25500		0.42400	0.29436	0.37442	0.35908	0.221683782005310	1.000000000000000	0.256289062500000	0
26000		0.42424	0.29409	0.37395	0.35880	0.221683782005310	1.000000000000000	0.256289062500000	0
26500		0.42341	0.29341	0.37431	0.35853	0.221683782005310	1.000000000000000	0.256289062500000	0
27000		0.42411	0.29290	0.37478	0.35822	0.221683782005310	1.000000000000000	0.256289062500000	0
27500		0.42350	0.29281	0.37481	0.35821	0.221683782005310	1.000000000000000	0.256289062500000	0
28000		0.42368	0.29158	0.37512	0.35826	0.221683782005310	1.000000000000000	0.256289062500000	0
28500		0.42395	0.29113	0.37506	0.35826	0.221683782005310	1.000000000000000	0.256289062500000	0
29000		0.42364	0.29049	0.37568	0.35830	0.221683782005310	1.000000000000000	0.256289062500000	0
29500		0.42395	0.28974	0.37576	0.35835	0.221683782005310	1.000000000000000	0.256289062500000	0
30000		0.42366	0.28934	0.37562	0.35809	0.221683782005310	1.000000000000000	0.256289062500000	0
30500		0.42324	0.28926	0.37498	0.35779	0.221683782005310	1.000000000000000	0.256289062500000	0
31000		0.42307	0.28827	0.37485	0.35768	0.221683782005310	1.000000000000000	0.256289062500000	0
31500		0.42355	0.28737	0.37513	0.35757	0.221683782005310	1.000000000000000	0.256289062500000	0
32000		0.42391	0.28698	0.37518	0.35748	0.221683782005310	1.000000000000000	0.256289062500000	0
32500		0.42404	0.28632	0.37463	0.35738	0.221683782005310	1.000000000000000	0.256289062500000	0
33000		0.42370	0.28549	0.37490	0.35728	0.221683782005310	1.000000000000000	0.256289062500000	0
33500		0.42342	0.28484	0.37485	0.35712	0.221683782005310	1.000000000000000	0.256289062500000	0
34000		0.42384	0.28436	0.37440	0.35684	0.221683782005310	1.000000000000000	0.256289062500000	0
34500		0.42368	0.28427	0.37449	0.35675	0.221683782005310	1.000000000000000	0.256289062500000	0
35000		0.42286	0.28452	0.37477	0.35666	0.221683782005310	1.000000000000000	0.256289062500000	0
35500		0.42296	0.28401	0.37479	0.35664	0.221683782005310	1.000000000000000	0.256289062500000	0
36000		0.42264	0.28359	0.37472	0.35659	0.221683782005310	1.000000000000000	0.256289062500000	0
36500		0.42259	0.28338	0.37397	0.35661	0.221683782005310	1.000000000000000	0.256289062500000	0
37000		0.42284	0.28303	0.37421	0.35671	0.221683782005310	1.000000000000000	0.256289062500000	0
37500		0.42289	0.28294	0.37469	0.35673	0.221683782005310	1.000000000000000	0.256289062500000	0
38000		0.42235	0.28274	0.37444	0.35670	0.221683782005310	1.000000000000000	0.256289062500000	0
38500		0.42283	0.28268	0.37438	0.35656	0.221683782005310	1.000000000000000	0.256289062500000	0
39000		0.42281	0.28239	0.37423	0.35657	0.221683782005310	1.000000000000000	0.256289062500000	0
39500		0.42297	0.28239	0.37420	0.35658	0.221683782005310	1.000000000000000	0.256289062500000	0
40000		0.42259	0.28251	0.37417	0.35651	0.221683782005310	1.000000000000000	0.256289062500000	0
40500		0.42261	0.28285	0.37438	0.35664	0.221683782005310	1.000000000000000	0.256289062500000	0
41000		0.42317	0.28257	0.37446	0.35687	0.221683782005310	1.000000000000000	0.256289062500000	0
41500		0.42338	0.28246	0.37451	0.35692	0.221683782005310	1.000000000000000	0.256289062500000	0
42000		0.42354	0.28255	0.37489	0.35696	0.221683782005310	1.000000000000000	0.256289062500000	0
42500		0.42355	0.28274	0.37509	0.35692	0.221683782005310	1.000000000000000	0.256289062500000	0
