step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98397	0.21643	1.00000	0.36596	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.30800	0.93200	0.35658	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99000	0.32800	0.91600	0.35199	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99000	0.32200	0.86800	0.34520	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99000	0.32500	0.80800	0.34180	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98000	0.33360	0.69200	0.33891	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.97600	0.34333	0.50400	0.33575	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95600	0.34629	0.35800	0.33342	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.92600	0.34875	0.37000	0.33228	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.88000	0.34556	0.37800	0.33096	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.86600	0.34460	0.38300	0.33017	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.83200	0.34473	0.38880	0.32940	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.90200	0.34250	0.38433	0.32826	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.86600	0.34062	0.37743	0.32680	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.83200	0.33857	0.38175	0.32667	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.77800	0.33680	0.38756	0.32620	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.72200	0.33363	0.38740	0.32641	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.65000	0.33071	0.38509	0.32544	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.48600	0.32978	0.38300	0.32412	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.51700	0.32726	0.38231	0.32330	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.52600	0.32570	0.37900	0.32189	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.51350	0.32314	0.37853	0.32148	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.52320	0.32173	0.37975	0.32064	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.53067	0.32070	0.37894	0.32021	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.53086	0.31958	0.37933	0.31984	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.52725	0.31856	0.38295	0.31976	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.52400	0.31638	0.38180	0.31992	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.52180	0.31474	0.38076	0.31979	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.52055	0.31379	0.37855	0.31887	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.52100	0.31152	0.37922	0.31886	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.52031	0.31160	0.38083	0.31887	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.52286	0.31123	0.38144	0.31885	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.52213	0.31056	0.38315	0.31903	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.52538	0.31121	0.38333	0.31879	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.52576	0.31076	0.38164	0.31858	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.52322	0.31011	0.38021	0.31836	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.52337	0.30844	0.38073	0.31863	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.52060	0.30832	0.38226	0.31865	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.52010	0.30726	0.38225	0.31866	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.51855	0.30687	0.38188	0.31860	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.51948	0.30670	0.38247	0.31861	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.52067	0.30702	0.38223	0.31859	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.52208	0.30757	0.38094	0.31821	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.52231	0.30777	0.38092	0.31825	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.52230	0.30668	0.38142	0.31817	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.52271	0.30671	0.38231	0.31807	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.52200	0.30626	0.38445	0.31800	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.52200	0.30655	0.38463	0.31796	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.52297	0.30733	0.38452	0.31780	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.52263	0.30755	0.38386	0.31757	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.52370	0.30732	0.38355	0.31748	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.52376	0.30631	0.38378	0.31738	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.52480	0.30577	0.38335	0.31733	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.52344	0.30479	0.38281	0.31725	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.52292	0.30519	0.38279	0.31728	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.52353	0.30571	0.38143	0.31706	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.52308	0.30554	0.38180	0.31705	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.52410	0.30582	0.38114	0.31696	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.52420	0.30555	0.37977	0.31675	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.52471	0.30556	0.38030	0.31652	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.52563	0.30470	0.37970	0.31637	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.52536	0.30521	0.37960	0.31633	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.52560	0.30513	0.37946	0.31619	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.52626	0.30632	0.37877	0.31613	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.52702	0.30656	0.37976	0.31626	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.52700	0.30631	0.38031	0.31615	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.52649	0.30582	0.38007	0.31613	0.147789188003540	0.666666666666667	0.170859375000000	0
34000		0.52528	0.30558	0.38105	0.31629	0.147789188003540	0.666666666666667	0.170859375000000	0
34500		0.52494	0.30588	0.38132	0.31618	0.147789188003540	0.666666666666667	0.170859375000000	0
35000		0.52485	0.30591	0.38127	0.31624	0.147789188003540	0.666666666666667	0.170859375000000	0
35500		0.52581	0.30646	0.38041	0.31592	0.147789188003540	0.666666666666667	0.170859375000000	0
36000		0.52548	0.30642	0.37963	0.31582	0.147789188003540	0.666666666666667	0.170859375000000	0
36500		0.52542	0.30608	0.37936	0.31558	0.147789188003540	0.666666666666667	0.170859375000000	0
37000		0.52561	0.30592	0.38000	0.31557	0.147789188003540	0.666666666666667	0.170859375000000	0
37500		0.52628	0.30559	0.37962	0.31548	0.147789188003540	0.666666666666667	0.170859375000000	0
38000		0.52593	0.30493	0.38006	0.31555	0.147789188003540	0.666666666666667	0.170859375000000	0
38500		0.52597	0.30468	0.38011	0.31537	0.147789188003540	0.666666666666667	0.170859375000000	0
39000		0.52667	0.30522	0.37975	0.31525	0.147789188003540	0.666666666666667	0.170859375000000	0
39500		0.52708	0.30541	0.38028	0.31539	0.147789188003540	0.666666666666667	0.170859375000000	0
40000		0.52726	0.30537	0.38025	0.31534	0.147789188003540	0.666666666666667	0.170859375000000	0
40500		0.52711	0.30567	0.38097	0.31534	0.147789188003540	0.666666666666667	0.170859375000000	0
41000		0.52716	0.30563	0.38061	0.31515	0.147789188003540	0.666666666666667	0.170859375000000	0
41500		0.52732	0.30583	0.38000	0.31501	0.147789188003540	0.666666666666667	0.170859375000000	0
42000		0.52676	0.30484	0.37997	0.31499	0.147789188003540	0.666666666666667	0.170859375000000	0
