step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-2652.124598383975808	-2650.662516299456911	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.479144521452586	0	2	6	4	5	7	6	5	7	6	8	9	7	8	9	9	9	9	8	12	9	10	11	10	11	10	12	11	11	12	11	13	12	12	11	11	12	12	12	13	13	14	13	14	15	16	14	14	14	15	14	14	15	15	15	16	15	15	15	15	15	17	16	16	16	18	16	18	17	16	17	19	18	17	18	19	17	18	19	18	18	18	17	18	19	21	21	20	20	21	20	19	21	21	21	21	20	20	22	22	22	22	22	23	24	24	24	25	24	26	27	27	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	3	3	4	3	4	5	4	4	5	5	5	5	4	6	5	5	6	5	6	5	6	6	6	6	6	7	6	6	6	6	6	6	6	7	7	7	7	7	8	8	7	7	7	8	7	7	8	8	8	8	8	8	8	8	8	9	8	8	8	9	8	9	9	8	9	10	9	9	9	10	9	9	10	9	9	9	9	9	10	11	11	10	10	11	10	10	11	11	11	11	10	10	11	11	11	11	11	12	12	12	12	13	12	13	14	14	14
500	-1139.783198181786929	-1136.946188117657812	-2.837010064129136	0.000010029894237	0.000048953589619	4.880768277421159	0.323922521076858	0	3	7	4	5	7	6	5	8	6	6	10	8	7	9	7	8	9	8	13	7	11	11	9	11	10	13	11	11	12	11	12	13	12	10	12	12	11	10	10	12	15	14	13	15	17	15	14	14	14	12	13	16	16	14	15	16	16	14	16	16	17	15	17	16	17	17	18	17	16	16	19	18	17	19	19	16	18	18	18	18	17	17	18	20	21	22	19	19	21	19	20	21	21	21	18	20	20	21	22	22	22	22	23	22	24	23	24	23	26	27	27	29	0	1	5	1	4	2	4	4	14	8	4	13	3	4	7	5	5	3	5	6	5	11	11	5	6	5	9	3	17	22	19	17	13	31	24	26	35	18	18	17	14	43	24	6	17	24	17	3	25	30	25	10	48	43	8	21	43	27	35	19	26	20	36	26	55	48	25	30	24	26	50	49	24	77	65	67	50	56	2	70	53	48	37	30	42	82	40	43	70	51	12	84	27	50	84	26	40	55	14	72	35	54	55	40	46	101	24	76	3	54	3	27	23	1	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	1	2	2	4	1	3	2	2	2	3	2	2	1	1	2	1	3	1	1	1	1	1	1	1	2	1	4	3	3	6	3	2	1	2	1	3	1	1	5	6	1	2	2	3	3	2	1	3	1	2	3	4	6	5	1	3	5	1	2	1	1	2	6	1	1	1	3	3	2	2	10	3	2	4	5	1	5	4	2	4	7	3	7	3	6	4	5	5	3	1	10	3	7	4	7	5	13
1000	-1306.843574526601515	-1304.215058119045125	-2.628516407556380	0.000010061822223	0.000041955242917	4.169745994862605	0.427909362118457	1	3	5	3	5	7	6	5	6	6	9	9	7	8	10	9	9	10	8	12	9	10	11	9	12	10	12	11	11	12	11	13	13	12	10	12	13	12	12	11	11	14	13	13	14	17	15	14	13	14	14	14	13	16	15	16	15	15	14	16	16	18	15	16	16	18	15	18	17	16	18	19	18	16	18	19	17	18	18	17	18	17	16	19	19	19	22	20	20	21	20	19	22	22	21	21	20	20	23	22	23	23	23	23	23	23	25	25	25	26	28	27	27	0	1	1	1	2	2	3	4	4	8	13	6	8	1	11	13	6	8	13	12	2	10	24	19	23	17	41	15	17	15	17	17	36	7	24	26	40	41	12	17	19	29	23	6	40	57	19	5	25	34	38	31	30	53	30	25	23	49	43	41	26	37	32	34	47	56	25	30	24	45	50	66	24	48	50	25	50	70	49	37	58	58	63	47	41	51	3	73	71	79	19	12	75	50	47	72	40	34	91	44	35	33	79	81	14	92	43	50	98	87	44	19	57	1	1	2	1	1	2	1	1	2	1	1	1	1	3	1	1	2	3	1	3	3	2	2	1	1	1	1	1	2	1	1	3	1	3	1	1	1	1	1	1	2	2	1	2	1	1	5	2	1	2	1	2	1	2	2	2	3	1	1	2	2	3	1	3	1	2	2	4	2	2	3	1	4	1	2	3	1	1	2	2	1	1	1	2	5	2	11	2	1	3	8	7	2	3	3	1	5	4	1	3	10	6	4	2	10	2	8	5	2	2	7	10	6
1500	-1099.957668638034420	-1097.130462427431894	-2.827206210602560	0.000010055202553	0.000048727753008	4.846024010902366	0.547605902041865	0	2	7	4	5	7	6	5	7	6	8	9	7	9	7	8	9	10	9	13	9	11	11	10	11	10	12	11	12	12	12	13	11	11	11	11	13	12	11	13	13	14	13	13	15	16	13	14	14	16	14	14	16	15	16	15	14	15	16	15	14	18	17	15	17	19	16	18	17	16	17	19	17	17	18	18	16	19	19	19	18	18	18	18	19	22	21	20	19	19	21	19	22	22	20	21	20	19	23	22	21	20	22	22	23	21	24	25	24	26	26	27	28	0	1	5	1	1	7	5	4	8	8	10	13	7	10	7	7	4	14	15	39	10	9	11	11	16	17	26	3	21	22	17	17	19	18	24	26	31	23	24	17	9	25	35	25	40	57	6	36	25	61	29	44	39	43	30	32	33	37	35	22	27	54	44	26	22	48	49	55	16	49	60	43	37	48	77	45	8	68	76	71	52	48	28	50	59	81	27	73	57	77	33	84	75	77	84	66	40	56	101	59	35	8	77	40	79	92	59	87	103	81	101	91	100	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	4	1	2	1	1	1	3	1	3	1	1	1	5	2	1	2	2	4	3	2	1	1	6	1	1	3	2	2	1	2	5	1	1	1	2	3	3	1	2	2	4	2	2	2	5	1	2	4	1	1	4	3	1	4	4	4	3	4	2	1	6	2	1	4	2	3	3
2000	-993.255612315378244	-990.404728760836633	-2.850883554541663	0.000010058566887	0.000049590363476	4.930161923860711	0.585808399993620	0	2	7	5	5	7	6	4	7	6	9	10	7	8	10	10	9	9	8	12	9	10	12	9	11	8	13	11	11	12	11	12	12	11	11	10	13	11	13	13	13	13	13	14	15	17	14	14	14	14	15	15	15	16	15	16	15	14	15	15	16	17	15	15	17	17	17	17	18	16	16	19	18	18	18	19	17	19	20	18	18	19	18	19	19	21	21	19	20	21	20	20	21	21	20	20	20	20	22	23	22	22	22	20	25	24	24	24	25	25	26	26	28	0	1	5	2	2	4	5	2	7	8	19	14	7	5	9	6	6	19	8	14	19	10	22	3	6	6	28	19	17	22	14	17	26	12	24	26	34	10	8	17	18	16	38	43	17	57	30	27	25	22	42	37	43	44	30	64	24	34	35	40	58	40	31	37	50	27	49	5	3	51	49	68	24	56	61	73	45	59	83	56	33	36	42	65	46	77	40	71	52	85	50	84	75	30	84	66	40	68	76	35	76	91	98	6	101	99	35	90	107	62	100	58	111	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	3	2	2	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	2	2	5	6	1	1	1	5	1	1	1	1	2	1	1	3	5	2	1	1	1	5	1	1	1	2	1	2	3	1	1	4	2	2	6	2	1	1	4	1	1	8	1	1	3	2	6	1
2500	-1067.633812879651032	-1065.168493976462059	-2.465318903189062	0.000010321858863	0.000037697391671	3.652190188959286	0.497236107222148	0	2	6	5	4	6	6	5	7	7	8	10	8	9	9	7	9	10	7	12	10	10	12	10	12	10	13	11	11	11	11	11	12	12	11	11	12	13	11	13	12	14	11	14	14	13	15	13	14	15	13	15	16	16	15	17	15	15	15	16	16	16	15	16	13	18	16	17	15	17	18	18	19	17	17	19	17	16	20	18	18	18	17	17	19	21	21	19	20	22	20	20	20	22	20	21	21	19	22	23	22	21	22	22	24	23	23	26	23	24	26	27	28	0	1	2	5	2	4	5	2	8	8	5	4	8	19	16	8	11	16	7	15	19	16	21	15	12	15	32	15	17	16	17	17	39	15	24	26	43	31	16	39	18	31	24	22	11	43	23	36	25	30	24	38	43	39	65	58	43	30	35	55	48	44	46	36	30	27	49	55	43	44	42	83	46	23	65	46	65	44	69	67	33	48	64	62	34	50	45	27	58	58	30	84	50	75	84	66	40	75	70	12	27	44	98	45	101	102	27	104	30	85	100	28	111	1	1	3	1	1	1	2	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	3	1	1	1	1	2	3	1	2	1	1	2	1	2	4	3	1	2	2	1	3	1	1	1	1	3	2	3	1	1	2	1	3	1	4	2	3	3	3	2	3	1	4	4	1	1	4	2	2	2	2	5	4	2	2	4	3	2	5	1	3	6	3	4	2	5	1	1	3	2	6	2	1	8	1
3000	-976.748309896723981	-974.060018754745784	-2.688291141978142	0.000010402763464	0.000045436303473	4.367714755015744	0.674904306294373	1	3	7	4	6	7	5	5	8	6	8	9	8	9	9	8	10	10	8	12	9	10	11	11	9	10	12	11	11	13	12	12	12	12	12	11	13	11	13	13	13	14	13	14	15	16	15	14	14	16	14	13	15	16	14	15	12	16	16	15	16	18	16	16	16	17	17	18	17	16	17	20	18	17	19	18	17	19	20	18	18	18	17	18	18	21	21	20	20	22	20	20	21	21	19	22	20	19	22	23	22	21	22	22	24	23	25	25	24	24	25	27	28	0	1	7	2	4	10	2	4	5	8	3	8	4	5	5	10	13	12	8	13	13	9	9	21	9	21	23	10	5	22	17	17	17	25	24	26	29	10	57	17	18	27	24	28	29	57	55	36	25	30	32	38	34	47	16	52	21	34	27	29	41	67	57	26	55	51	49	65	24	44	47	85	46	49	50	70	50	63	63	48	52	37	64	70	50	85	97	44	41	70	61	84	75	77	84	66	40	77	102	57	56	55	98	97	101	98	51	102	90	102	101	5	111	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	1	2	1	1	2	1	1	1	1	1	1	1	3	5	1	1	1	1	1	1	1	1	3	1	2	2	1	1	2	3	2	1	1	3	1	1	1	1	1	3	1	2	2	1	3	1	1	2	4	1	1	2	1	3	1	1	1	1	1	3	1	1	1	2	1	2	3	1	1	2	2	1	5	2	3	2	1	1	2	1	2	2	1	1	4	5	4	1	1	1	2	6	2	1	1	1	5	1
3500	-838.094045856325806	-835.856435933712532	-2.237609922613221	0.000010908201191	0.000032534092036	2.982535017965479	0.501140428951565	0	2	6	4	4	6	7	6	7	7	8	9	8	9	10	8	9	10	8	12	9	10	11	9	11	10	12	11	11	12	11	14	13	9	11	12	12	13	12	13	13	13	13	14	14	16	14	14	13	15	15	15	15	15	15	15	15	15	15	16	16	16	15	17	16	18	15	18	17	17	17	19	18	18	19	20	16	18	18	18	19	19	16	18	19	21	22	21	20	21	20	19	22	21	20	21	20	19	21	23	22	22	21	23	24	23	25	25	24	27	27	27	25	0	1	5	1	2	4	5	4	4	8	6	13	8	9	11	7	4	12	10	14	10	21	24	13	5	17	7	11	17	34	17	27	35	9	24	26	14	31	14	17	3	25	24	31	17	24	34	15	25	21	36	41	49	32	22	47	24	44	35	67	57	47	42	26	14	26	49	12	24	83	60	73	43	71	77	68	55	62	77	53	61	48	36	65	80	65	97	73	77	68	55	84	14	76	84	66	13	77	75	78	46	42	98	97	101	76	100	105	44	108	108	102	101	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	4	1	2	1	3	5	3	2	1	2	1	1	1	1	3	1	2	1	1	1	1	1	1	4	4	3	1	4	4	1	1	1	3	1	1	1	1	1	1	2	1	2	2	2	1	3	1	2	2	1	2	1	7	1	1	1	7	2	1	3	3	3	2	2	2	2	1	1	5	1	1	2	1
4000	-886.758661935413556	-884.504872177103607	-2.253789758309909	0.000012169563981	0.000036852183713	3.028225478750493	0.528008450316146	-1	2	6	3	5	7	7	4	8	6	8	10	7	8	10	7	9	10	9	12	8	11	11	10	11	9	12	11	11	12	12	13	11	12	11	11	12	11	11	14	13	14	13	14	16	16	15	13	14	15	14	15	16	15	16	16	15	15	15	15	15	17	16	17	16	17	13	18	16	16	17	20	19	18	18	20	17	18	19	18	18	18	17	17	19	21	21	21	21	21	20	19	21	21	21	20	20	20	22	22	22	22	22	23	24	23	24	24	22	24	27	28	27	0	1	4	2	2	3	3	4	3	8	3	10	3	8	4	3	14	10	10	12	3	15	9	6	16	4	12	7	17	22	17	17	18	23	24	26	17	12	21	17	23	24	24	35	17	24	43	36	13	30	38	32	49	32	30	43	42	48	35	26	30	54	59	38	50	39	25	30	43	48	41	53	81	66	55	78	30	45	41	59	46	36	55	39	78	92	97	73	80	77	74	84	51	22	84	66	17	16	96	24	59	21	98	97	101	68	100	104	51	88	105	102	101	1	2	1	1	2	1	1	1	1	1	1	2	1	1	3	1	1	3	2	1	1	1	1	1	2	3	1	3	1	1	1	4	1	1	1	1	1	1	1	2	1	2	2	2	3	5	1	1	4	1	2	1	1	1	2	2	1	1	2	4	3	1	1	3	1	5	1	3	2	1	2	3	1	1	1	1	2	1	4	2	1	6	1	4	1	1	1	2	3	2	1	1	3	5	3	1	5	3	1	4	5	6	1	2	2	2	1	1	3	1	2	2	3
4500	-816.903326967834118	-815.048998768285514	-1.854328199548548	0.000015476727980	0.000030529120775	1.972582371081121	0.554936077836245	0	2	7	4	5	6	6	5	7	6	8	10	7	7	10	9	9	10	8	12	9	10	11	10	12	9	12	12	10	13	11	13	12	12	12	11	11	11	12	14	14	14	12	15	15	13	15	15	15	15	13	14	15	15	14	16	15	16	14	14	15	17	16	17	15	19	16	19	18	16	17	20	19	17	15	20	17	15	20	18	18	19	18	17	20	20	21	20	20	22	20	19	21	21	22	21	19	20	21	21	23	21	22	23	25	23	25	24	24	27	26	26	27	0	1	2	2	2	4	4	4	10	2	10	19	7	5	11	10	19	10	9	10	3	8	24	3	15	3	17	19	17	8	6	17	18	19	24	26	21	14	12	17	34	34	24	30	17	43	43	36	25	39	33	34	35	29	22	48	46	54	35	19	60	58	55	51	30	26	49	52	43	40	46	65	74	60	30	67	39	11	81	53	60	36	70	65	77	53	97	73	54	98	16	84	75	77	92	66	78	28	69	53	55	16	98	97	100	94	100	68	101	85	101	102	101	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	1	2	1	2	1	1	1	2	1	3	3	2	1	3	2	1	1	3	1	3	2	1	1	1	3	1	1	3	2	1	1	1	2	2	2	1	2	1	1	2	1	1	1	2	1	5	1	2	4	1	2	3	1	2	1	1	2	4	1	2	3	5	1	1	2	3	1	1	2	1	5	1	3	1	2	1	2	3	1	2	5	6	1	2	2	1	2	3	1	4	2	1	2
