step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99198	0.23046	1.00000	0.36205	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.31400	0.94600	0.35631	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.97400	0.32300	0.89000	0.34939	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.97600	0.32733	0.81200	0.34398	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97000	0.33250	0.73200	0.34201	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.93800	0.33480	0.59200	0.33870	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.91600	0.33233	0.48200	0.33728	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.90600	0.33514	0.49700	0.33474	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.88000	0.33350	0.49667	0.33323	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.82800	0.33644	0.49500	0.33182	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.83000	0.34240	0.49520	0.33077	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.77800	0.33982	0.49500	0.33086	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.87600	0.33483	0.49743	0.33158	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.83600	0.33462	0.50050	0.33286	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.79000	0.32971	0.42800	0.33354	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.69400	0.32733	0.39800	0.33389	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.61000	0.32500	0.39533	0.33444	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.60200	0.32435	0.39650	0.33470	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.47200	0.32233	0.39000	0.33486	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.47400	0.31958	0.38933	0.33511	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.48400	0.31900	0.38543	0.33522	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.47550	0.31800	0.38875	0.33529	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.47800	0.31755	0.39289	0.33544	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.48100	0.31713	0.39200	0.33566	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.47486	0.31608	0.39091	0.33582	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.47800	0.31512	0.38883	0.33594	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.47822	0.31462	0.38908	0.33602	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.47340	0.31370	0.39000	0.33620	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.47545	0.31279	0.39413	0.33655	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.47633	0.31345	0.39375	0.33667	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.47646	0.31340	0.39482	0.33689	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.47571	0.31303	0.39456	0.33689	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.47480	0.31231	0.39421	0.33676	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.47337	0.31018	0.39380	0.33720	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.47741	0.31071	0.39314	0.33725	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.47622	0.31154	0.39509	0.33734	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.47832	0.31206	0.39513	0.33718	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.47740	0.31173	0.39375	0.33721	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.47667	0.31132	0.39336	0.33708	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.47745	0.31021	0.39277	0.33706	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.47687	0.31035	0.39333	0.33712	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.47733	0.31063	0.39100	0.33703	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.47720	0.31195	0.39041	0.33698	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.47692	0.31205	0.39040	0.33723	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.47756	0.31205	0.38974	0.33720	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.47864	0.31262	0.38925	0.33754	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.47890	0.31278	0.38982	0.33765	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.47860	0.31230	0.39006	0.33768	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.47955	0.31217	0.39126	0.33795	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.48037	0.31331	0.39117	0.33789	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.48139	0.31348	0.39092	0.33799	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.48100	0.31365	0.39037	0.33808	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.48160	0.31350	0.39031	0.33817	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.48111	0.31313	0.38980	0.33799	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.48184	0.31270	0.39005	0.33819	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.48137	0.31262	0.38929	0.33822	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.48251	0.31314	0.38893	0.33809	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.48250	0.31323	0.38923	0.33796	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.48190	0.31245	0.38876	0.33801	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.48148	0.31278	0.38904	0.33804	0.147789188003540	0.666666666666667	0.170859375000000	0
30500		0.48140	0.31283	0.38983	0.33809	0.147789188003540	0.666666666666667	0.170859375000000	0
31000		0.48059	0.31289	0.38933	0.33826	0.147789188003540	0.666666666666667	0.170859375000000	0
31500		0.48071	0.31316	0.38963	0.33843	0.147789188003540	0.666666666666667	0.170859375000000	0
32000		0.48026	0.31321	0.38944	0.33856	0.147789188003540	0.666666666666667	0.170859375000000	0
32500		0.48060	0.31322	0.39000	0.33851	0.147789188003540	0.666666666666667	0.170859375000000	0
33000		0.48146	0.31305	0.38927	0.33849	0.147789188003540	0.666666666666667	0.170859375000000	0
33500		0.48253	0.31294	0.38928	0.33851	0.147789188003540	0.666666666666667	0.170859375000000	0
