step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99800	0.40281	1.00000	0.41505	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		1.00000	0.35435	0.96400	0.40438	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99800	0.34623	0.94200	0.39913	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.99600	0.31666	0.91600	0.39440	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.99000	0.30532	0.81000	0.39056	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.97400	0.30343	0.76200	0.38724	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.98600	0.30780	0.67400	0.38731	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.98000	0.30408	0.54400	0.38556	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.94200	0.30118	0.39000	0.38570	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.93000	0.29866	0.38500	0.38500	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		0.94000	0.29678	0.39533	0.38464	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		0.88200	0.29422	0.40650	0.38479	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.91600	0.28712	0.41160	0.38383	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.91200	0.28718	0.41067	0.38343	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.85600	0.28244	0.41657	0.38321	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.83800	0.27866	0.41550	0.38285	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.77800	0.27603	0.41711	0.38299	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.68600	0.27381	0.41520	0.38259	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.58400	0.27234	0.41418	0.38165	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.42600	0.26983	0.41567	0.38134	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.42400	0.26669	0.41385	0.38073	0.221683782005310	1.000000000000000	0.256289062500000	0
11000		0.45200	0.26575	0.41557	0.38040	0.221683782005310	1.000000000000000	0.256289062500000	0
11500		0.45050	0.26376	0.41613	0.37965	0.221683782005310	1.000000000000000	0.256289062500000	0
12000		0.45760	0.26327	0.41350	0.37905	0.221683782005310	1.000000000000000	0.256289062500000	0
12500		0.45800	0.26138	0.41071	0.37856	0.221683782005310	1.000000000000000	0.256289062500000	0
13000		0.46771	0.26087	0.41178	0.37834	0.221683782005310	1.000000000000000	0.256289062500000	0
13500		0.46650	0.25854	0.41189	0.37833	0.221683782005310	1.000000000000000	0.256289062500000	0
14000		0.46978	0.25880	0.41230	0.37838	0.221683782005310	1.000000000000000	0.256289062500000	0
14500		0.46940	0.25871	0.41114	0.37853	0.221683782005310	1.000000000000000	0.256289062500000	0
15000		0.47709	0.25955	0.40882	0.37868	0.221683782005310	1.000000000000000	0.256289062500000	0
15500		0.47667	0.26002	0.41096	0.37882	0.221683782005310	1.000000000000000	0.256289062500000	0
16000		0.47400	0.25752	0.41150	0.37881	0.221683782005310	1.000000000000000	0.256289062500000	0
16500		0.47586	0.25614	0.41168	0.37892	0.221683782005310	1.000000000000000	0.256289062500000	0
17000		0.47573	0.25472	0.41054	0.37874	0.221683782005310	1.000000000000000	0.256289062500000	0
17500		0.47613	0.25327	0.40933	0.37837	0.221683782005310	1.000000000000000	0.256289062500000	0
18000		0.47518	0.25285	0.40907	0.37821	0.221683782005310	1.000000000000000	0.256289062500000	0
18500		0.47233	0.25077	0.41034	0.37806	0.221683782005310	1.000000000000000	0.256289062500000	0
19000		0.47168	0.24954	0.40940	0.37769	0.221683782005310	1.000000000000000	0.256289062500000	0
19500		0.47230	0.24812	0.40884	0.37765	0.221683782005310	1.000000000000000	0.256289062500000	0
20000		0.47324	0.24801	0.40944	0.37762	0.221683782005310	1.000000000000000	0.256289062500000	0
20500		0.47555	0.24791	0.41024	0.37781	0.221683782005310	1.000000000000000	0.256289062500000	0
21000		0.47287	0.24663	0.40900	0.37814	0.221683782005310	1.000000000000000	0.256289062500000	0
21500		0.47175	0.24634	0.40983	0.37831	0.221683782005310	1.000000000000000	0.256289062500000	0
22000		0.47048	0.24633	0.41022	0.37817	0.221683782005310	1.000000000000000	0.256289062500000	0
22500		0.46931	0.24570	0.40941	0.37797	0.221683782005310	1.000000000000000	0.256289062500000	0
23000		0.47030	0.24536	0.40905	0.37792	0.221683782005310	1.000000000000000	0.256289062500000	0
23500		0.46786	0.24469	0.40892	0.37774	0.221683782005310	1.000000000000000	0.256289062500000	0
24000		0.46738	0.24451	0.40850	0.37771	0.221683782005310	1.000000000000000	0.256289062500000	0
24500		0.46727	0.24430	0.40883	0.37768	0.221683782005310	1.000000000000000	0.256289062500000	0
25000		0.46723	0.24381	0.41014	0.37769	0.221683782005310	1.000000000000000	0.256289062500000	0
25500		0.46744	0.24342	0.40921	0.37763	0.221683782005310	1.000000000000000	0.256289062500000	0
26000		0.46727	0.24259	0.40864	0.37747	0.221683782005310	1.000000000000000	0.256289062500000	0
26500		0.46818	0.24224	0.40889	0.37745	0.221683782005310	1.000000000000000	0.256289062500000	0
27000		0.46743	0.24242	0.40865	0.37725	0.221683782005310	1.000000000000000	0.256289062500000	0
27500		0.46678	0.24146	0.40885	0.37716	0.221683782005310	1.000000000000000	0.256289062500000	0
28000		0.46719	0.24144	0.40900	0.37729	0.221683782005310	1.000000000000000	0.256289062500000	0
28500		0.46674	0.24085	0.40939	0.37733	0.221683782005310	1.000000000000000	0.256289062500000	0
29000		0.46656	0.24039	0.40956	0.37733	0.221683782005310	1.000000000000000	0.256289062500000	0
29500		0.46605	0.24062	0.40902	0.37745	0.221683782005310	1.000000000000000	0.256289062500000	0
30000		0.46585	0.24021	0.40954	0.37748	0.221683782005310	1.000000000000000	0.256289062500000	0
30500		0.46610	0.23981	0.40917	0.37732	0.221683782005310	1.000000000000000	0.256289062500000	0
31000		0.46586	0.23910	0.40878	0.37735	0.221683782005310	1.000000000000000	0.256289062500000	0
31500		0.46545	0.23823	0.40833	0.37736	0.221683782005310	1.000000000000000	0.256289062500000	0
32000		0.46533	0.23819	0.40868	0.37742	0.221683782005310	1.000000000000000	0.256289062500000	0
32500		0.46483	0.23788	0.40923	0.37734	0.221683782005310	1.000000000000000	0.256289062500000	0
33000		0.46447	0.23734	0.40990	0.37737	0.221683782005310	1.000000000000000	0.256289062500000	0
33500		0.46363	0.23735	0.40963	0.37739	0.221683782005310	1.000000000000000	0.256289062500000	0
34000		0.46416	0.23742	0.40913	0.37743	0.221683782005310	1.000000000000000	0.256289062500000	0
34500		0.46408	0.23624	0.40925	0.37733	0.221683782005310	1.000000000000000	0.256289062500000	0
35000		0.46506	0.23595	0.40923	0.37723	0.221683782005310	1.000000000000000	0.256289062500000	0
35500		0.46554	0.23556	0.40879	0.37707	0.221683782005310	1.000000000000000	0.256289062500000	0
36000		0.46600	0.23537	0.40875	0.37718	0.221683782005310	1.000000000000000	0.256289062500000	0
36500		0.46593	0.23524	0.40862	0.37726	0.221683782005310	1.000000000000000	0.256289062500000	0
37000		0.46560	0.23498	0.40855	0.37722	0.221683782005310	1.000000000000000	0.256289062500000	0
37500		0.46496	0.23462	0.40845	0.37725	0.221683782005310	1.000000000000000	0.256289062500000	0
38000		0.46470	0.23395	0.40841	0.37714	0.221683782005310	1.000000000000000	0.256289062500000	0
38500		0.46386	0.23343	0.40814	0.37711	0.221683782005310	1.000000000000000	0.256289062500000	0
39000		0.46431	0.23406	0.40840	0.37716	0.221683782005310	1.000000000000000	0.256289062500000	0
39500		0.46413	0.23421	0.40831	0.37707	0.221683782005310	1.000000000000000	0.256289062500000	0
40000		0.46449	0.23373	0.40839	0.37693	0.221683782005310	1.000000000000000	0.256289062500000	0
40500		0.46532	0.23329	0.40814	0.37677	0.221683782005310	1.000000000000000	0.256289062500000	0
41000		0.46479	0.23342	0.40803	0.37661	0.221683782005310	1.000000000000000	0.256289062500000	0
41500		0.46469	0.23374	0.40821	0.37649	0.221683782005310	1.000000000000000	0.256289062500000	0
42000		0.46452	0.23334	0.40855	0.37641	0.221683782005310	1.000000000000000	0.256289062500000	0
42500		0.46455	0.23342	0.40896	0.37649	0.221683782005310	1.000000000000000	0.256289062500000	0
43000		0.46460	0.23342	0.40915	0.37653	0.221683782005310	1.000000000000000	0.256289062500000	0
43500		0.46471	0.23295	0.40927	0.37669	0.221683782005310	1.000000000000000	0.256289062500000	0
44000		0.46455	0.23255	0.40973	0.37675	0.221683782005310	1.000000000000000	0.256289062500000	0
44500		0.46423	0.23248	0.40946	0.37669	0.221683782005310	1.000000000000000	0.256289062500000	0
45000		0.46425	0.23245	0.40941	0.37656	0.221683782005310	1.000000000000000	0.256289062500000	0
45500		0.46433	0.23269	0.40952	0.37658	0.221683782005310	1.000000000000000	0.256289062500000	0
46000		0.46504	0.23270	0.40983	0.37653	0.221683782005310	1.000000000000000	0.256289062500000	0
46500		0.46478	0.23231	0.40969	0.37650	0.221683782005310	1.000000000000000	0.256289062500000	0
47000		0.46491	0.23209	0.40947	0.37644	0.221683782005310	1.000000000000000	0.256289062500000	0
47500		0.46461	0.23186	0.40926	0.37639	0.221683782005310	1.000000000000000	0.256289062500000	0
48000		0.46460	0.23161	0.40927	0.37636	0.221683782005310	1.000000000000000	0.256289062500000	0
48500		0.46467	0.23137	0.40957	0.37626	0.221683782005310	1.000000000000000	0.256289062500000	0
49000		0.46478	0.23113	0.40969	0.37609	0.221683782005310	1.000000000000000	0.256289062500000	0
49500		0.46422	0.23126	0.40969	0.37602	0.221683782005310	1.000000000000000	0.256289062500000	0
50000		0.46383	0.23104	0.40909	0.37588	0.221683782005310	1.000000000000000	0.256289062500000	0
50500		0.46393	0.23096	0.40912	0.37583	0.221683782005310	1.000000000000000	0.256289062500000	0
51000		0.46383	0.23114	0.40906	0.37579	0.221683782005310	1.000000000000000	0.256289062500000	0
51500		0.46381	0.23103	0.40878	0.37578	0.221683782005310	1.000000000000000	0.256289062500000	0
52000		0.46344	0.23058	0.40883	0.37565	0.221683782005310	1.000000000000000	0.256289062500000	0
52500		0.46379	0.23101	0.40909	0.37564	0.221683782005310	1.000000000000000	0.256289062500000	0
53000		0.46425	0.23116	0.40931	0.37559	0.221683782005310	1.000000000000000	0.256289062500000	0
53500		0.46411	0.23109	0.40909	0.37562	0.221683782005310	1.000000000000000	0.256289062500000	0
54000		0.46454	0.23086	0.40894	0.37569	0.221683782005310	1.000000000000000	0.256289062500000	0
54500		0.46438	0.23079	0.40863	0.37561	0.221683782005310	1.000000000000000	0.256289062500000	0
55000		0.46418	0.23070	0.40853	0.37561	0.221683782005310	1.000000000000000	0.256289062500000	0
55500		0.46396	0.23065	0.40882	0.37563	0.221683782005310	1.000000000000000	0.256289062500000	0
56000		0.46415	0.23088	0.40885	0.37564	0.221683782005310	1.000000000000000	0.256289062500000	0
56500		0.46394	0.23075	0.40853	0.37559	0.221683782005310	1.000000000000000	0.256289062500000	0
57000		0.46341	0.23085	0.40832	0.37558	0.221683782005310	1.000000000000000	0.256289062500000	0
57500		0.46348	0.23046	0.40806	0.37544	0.221683782005310	1.000000000000000	0.256289062500000	0
58000		0.46357	0.23006	0.40769	0.37533	0.221683782005310	1.000000000000000	0.256289062500000	0
