step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-2058.821204533409855	-2065.676692484369141	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748350294930256	-1	2	5	5	6	4	7	8	9	10	9	12	12	12	11	14	12	12	14	14	15	14	17	17	16	16	16	16	17	16	17	18	17	20	18	18	19	18	19	19	19	19	19	19	20	20	20	22	22	22	22	23	23	22	23	25	25	26	24	24	28	26	26	27	28	27	27	28	28	27	28	29	29	28	29	30	31	30	31	30	32	31	30	31	34	32	32	34	33	32	33	33	32	34	35	34	35	37	36	35	36	38	37	38	38	39	38	40	41	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	4	5	5	6	5	7	7	7	6	8	7	7	8	8	8	8	9	9	9	9	9	9	9	9	9	10	9	11	10	10	10	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	12	12	12	13	13	14	13	13	15	14	14	14	15	14	14	15	15	14	15	15	15	15	15	16	16	16	16	16	17	16	16	16	18	17	17	18	17	17	17	17	17	18	18	18	18	19	19	18	19	20	19	20	20	20	20	21	21	21
500	-729.343764319242609	-736.199252270202010	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.165186762726048	0	2	4	6	6	4	7	8	8	10	9	12	13	11	11	14	12	12	14	15	16	14	16	17	13	17	16	16	15	16	16	19	18	20	18	18	20	18	18	19	18	19	19	19	21	18	20	22	22	22	21	23	24	22	22	24	26	24	23	24	29	25	25	27	28	26	26	29	28	27	28	28	28	28	29	30	32	31	32	29	33	30	31	31	33	32	31	35	33	33	31	34	31	35	36	35	35	37	37	35	37	39	37	38	38	39	38	40	41	39	0	1	1	3	6	1	1	7	1	7	1	8	12	11	1	1	11	8	15	14	18	5	15	16	1	16	1	10	14	15	1	1	19	41	8	20	19	27	30	27	12	25	39	1	33	1	6	44	1	42	32	27	54	29	38	50	49	1	51	48	1	29	6	59	17	1	0	0	64	33	25	1	10	8	70	23	67	1	57	1	72	1	17	0	19	57	1	44	43	45	1	25	62	1	45	17	1	2	1	14	1	1	15	55	2	107	1	97	1	0	1	1	2	1	1	2	3	1	3	2	6	2	1	1	4	9	1	3	2	2	2	3	3	2	7	1	6	4	3	2	10	9	1	1	5	2	3	1	1	1	2	3	1	10	1	9	10	2	12	2	1	4	1	3	3	1	2	12	1	1	16	5	11	3	8	11	1	1	1	6	9	11	7	10	1	7	3	18	4	12	3	15	15	1	8	3	15	10	6	6	15	15	3	18	9	13	18	17	19	14	18	20	14	8	17	1	22	3	22	1
1000	-687.752052835577274	-694.607540786536674	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.219182863986580	0	2	6	4	6	4	7	9	9	11	9	12	11	12	12	15	10	12	14	15	15	15	17	17	17	16	17	17	18	16	16	19	17	21	18	19	20	19	19	19	18	20	19	19	18	21	20	21	22	23	23	23	22	22	24	25	23	26	25	24	29	25	26	28	28	27	27	29	28	27	28	29	29	28	30	30	30	30	31	29	32	31	29	31	35	32	32	34	34	32	33	32	32	35	35	34	35	38	35	36	36	36	37	39	39	40	38	41	42	41	0	1	4	2	2	1	2	4	1	1	1	1	8	8	1	9	8	5	12	10	10	12	1	1	15	22	22	19	4	9	1	1	22	40	18	24	33	18	22	24	9	30	41	11	28	24	26	40	38	46	6	43	15	39	47	60	23	52	32	33	1	50	41	50	42	37	0	0	43	45	44	59	39	31	71	21	56	1	70	1	39	23	1	0	29	18	47	91	29	50	1	31	58	1	61	53	69	49	1	3	24	1	59	83	44	102	5	105	1	0	1	1	1	1	2	2	3	3	4	6	5	5	1	2	6	4	1	2	1	2	2	2	8	9	3	1	1	1	7	4	7	9	1	1	3	1	2	3	2	1	6	2	1	6	1	1	2	2	3	1	10	2	5	3	2	1	3	3	3	3	15	1	5	2	4	4	1	1	4	5	5	3	5	7	1	6	3	18	2	15	6	7	15	1	9	10	6	1	9	3	14	6	3	18	2	6	3	9	18	17	9	16	7	5	11	3	19	1	22	1
1500	-670.545824378335283	-677.401312329294683	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.292087241908956	0	2	5	4	7	4	5	9	10	9	10	11	12	11	12	15	12	11	13	15	16	14	18	18	17	15	16	16	18	15	18	18	18	20	19	18	17	18	20	18	19	20	20	20	20	17	20	21	22	22	22	24	22	21	24	23	26	26	24	25	28	26	25	27	28	28	28	27	27	28	28	29	29	28	30	28	31	31	31	30	33	30	30	31	33	33	33	32	33	32	33	32	32	35	35	34	35	36	35	35	37	38	37	37	39	39	37	40	41	42	0	1	1	1	6	1	1	5	7	7	1	9	11	5	1	1	8	9	13	22	16	15	8	14	15	18	22	22	26	6	4	7	22	29	9	25	26	30	38	18	8	18	29	40	19	26	32	24	47	29	47	40	54	43	53	37	59	59	38	39	1	7	54	47	23	53	0	0	50	56	56	31	45	18	51	50	76	39	83	7	15	74	63	0	45	73	61	79	55	83	70	61	58	1	90	80	55	78	1	40	88	20	80	75	94	60	4	87	18	0	1	1	2	2	2	2	2	1	3	2	6	1	1	2	6	6	1	1	1	1	1	1	5	4	3	2	1	1	2	6	8	5	2	1	4	1	1	2	1	4	4	5	1	1	4	1	1	2	1	2	1	2	1	1	1	3	1	1	3	2	16	9	2	4	5	4	1	1	3	3	2	5	3	10	4	3	2	6	1	12	9	1	1	1	7	1	2	1	4	2	3	2	3	17	1	2	6	2	17	9	3	11	4	3	2	7	14	4	20	1
2000	-671.863379075484659	-678.718867026444059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.297782735600065	-1	2	6	4	7	5	8	8	10	9	8	10	12	12	12	14	12	12	13	14	16	14	16	18	16	16	15	15	18	17	17	18	15	21	18	18	20	18	19	19	19	20	19	19	20	19	21	23	23	21	21	23	23	22	22	26	25	26	24	24	29	26	27	27	28	27	27	29	29	28	28	30	28	27	29	30	32	30	30	30	31	31	29	32	32	31	33	35	33	33	33	33	30	34	35	34	34	35	36	36	37	39	37	38	38	39	37	40	40	40	0	1	1	2	6	1	2	3	1	1	1	7	7	12	6	10	12	4	2	17	12	17	13	31	22	6	22	14	27	14	1	17	18	41	25	15	20	9	35	25	20	38	27	32	40	22	22	45	47	30	10	51	40	29	32	60	51	26	34	39	1	54	21	24	11	1	0	0	73	16	57	66	42	62	65	48	42	70	57	65	71	63	47	0	71	73	15	96	48	93	93	66	37	1	91	83	78	94	1	88	97	93	95	99	70	96	46	93	1	0	1	2	3	1	1	4	3	1	5	5	4	1	1	1	3	2	1	3	5	1	3	1	4	1	1	5	1	2	2	2	10	3	2	1	1	4	2	4	1	1	2	2	2	1	1	3	3	1	1	2	4	2	2	3	2	1	2	5	1	2	16	2	5	5	12	9	1	1	1	7	2	1	4	1	1	3	5	1	2	2	2	4	3	1	2	2	9	1	4	1	2	3	4	16	1	3	2	1	16	1	2	6	2	1	3	3	7	5	22	1
2500	-654.245611557659913	-661.101099508619313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.353523405605799	0	3	5	5	6	3	7	9	8	10	9	13	13	12	11	14	10	13	14	14	16	11	17	16	17	17	17	16	18	16	17	19	17	20	19	18	18	18	19	19	19	18	19	18	20	21	20	22	23	22	21	23	23	23	22	25	25	27	24	24	28	26	27	27	28	27	26	28	28	27	29	29	28	29	29	30	32	28	32	30	32	31	31	31	33	33	33	34	32	31	34	33	33	34	35	33	35	37	36	35	34	37	37	38	37	39	39	41	41	41	0	1	1	6	3	1	4	3	1	7	1	22	15	10	9	17	5	17	13	14	15	1	1	12	12	15	15	20	13	15	1	9	14	42	38	19	13	11	28	22	27	1	16	25	13	45	43	34	46	42	28	27	29	43	42	32	13	59	48	40	1	35	8	36	60	45	0	0	63	40	78	64	45	63	63	78	83	63	74	34	78	23	71	0	59	82	62	78	66	75	90	73	71	50	83	83	81	88	31	61	84	63	73	103	48	103	97	80	1	0	1	2	3	1	1	2	1	2	4	2	4	1	1	2	1	2	2	1	1	1	1	5	7	2	3	2	3	1	1	3	10	7	2	1	1	2	3	3	1	3	1	6	3	1	4	1	1	1	1	1	2	2	2	2	2	3	7	2	1	3	12	4	8	5	3	3	1	1	1	3	1	1	4	1	1	1	1	1	1	3	2	6	2	1	4	1	3	3	2	1	2	2	3	7	2	1	2	1	10	2	1	5	4	1	7	1	2	4	21	1
3000	-666.186508815602792	-673.041996766562193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392224242273807	-2	3	4	4	7	5	7	9	8	11	10	10	13	12	11	14	12	12	14	14	16	14	17	18	15	17	17	17	18	14	18	18	18	20	18	18	19	19	19	19	20	19	19	20	21	20	20	23	22	21	23	23	23	22	22	25	25	26	25	24	28	26	26	28	28	27	27	28	28	28	28	30	28	27	28	30	32	31	31	30	32	31	30	31	35	32	32	35	34	31	33	34	30	31	35	34	35	36	36	34	36	36	37	39	39	38	38	40	41	41	0	1	1	1	6	1	6	5	1	1	1	9	8	5	9	10	15	11	5	13	19	12	9	8	22	25	25	20	5	9	6	23	19	36	27	19	27	16	27	30	37	25	24	39	38	21	31	39	46	40	54	23	39	33	46	29	28	50	25	41	1	31	41	24	58	53	0	0	56	23	57	70	45	40	55	71	68	71	71	56	72	73	57	0	77	72	80	78	64	72	31	82	69	61	87	70	56	89	24	69	89	74	92	85	80	77	65	101	1	0	1	2	3	4	1	3	1	1	4	5	6	1	2	2	2	1	1	1	4	1	1	2	5	6	1	1	1	2	6	2	7	1	2	1	1	3	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	4	2	2	1	3	4	3	6	2	16	4	4	4	1	2	1	1	1	5	1	1	3	3	3	1	2	1	1	2	1	1	2	1	2	1	1	2	2	1	6	3	1	1	2	3	4	1	8	3	1	3	2	2	5	4	6	3	23	1
3500	-666.234629332069971	-673.090117283029372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.350043907789457	0	3	5	6	6	4	7	7	10	11	10	13	12	12	11	14	12	12	14	15	14	14	18	17	15	16	16	17	17	16	15	18	16	20	18	19	20	18	20	20	18	19	19	19	20	21	21	21	21	21	19	23	24	22	23	25	24	26	25	24	28	25	23	28	28	27	24	28	29	28	28	29	27	29	29	30	30	30	30	31	32	31	30	31	34	32	33	34	33	32	31	32	32	33	36	34	36	37	35	35	36	39	38	38	37	38	38	40	41	41	0	1	2	2	6	1	3	6	7	1	8	10	5	6	8	1	5	9	15	9	6	10	30	27	9	13	22	18	17	22	1	30	8	24	20	19	16	10	30	32	33	21	26	20	33	43	51	35	41	29	12	30	37	39	46	31	35	63	44	26	1	54	54	23	29	43	0	0	62	60	62	41	59	57	70	37	65	64	63	70	26	62	19	0	91	71	49	78	79	70	34	82	75	83	76	93	89	96	37	87	88	85	65	91	85	105	100	102	1	0	1	1	1	2	1	2	1	1	3	5	2	1	3	3	2	6	3	1	1	3	5	1	1	1	3	2	1	2	3	1	7	2	5	2	1	4	3	5	2	1	1	3	2	3	1	2	1	2	1	3	3	3	3	1	1	4	4	2	2	4	15	2	1	5	6	3	1	1	2	2	2	6	1	3	1	5	1	1	4	1	7	4	8	1	2	2	6	2	1	2	6	1	1	1	2	1	1	1	5	1	2	2	5	5	2	1	1	1	22	1
4000	-664.789171522688321	-671.644659473647721	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379691026835154	-1	3	5	5	5	5	7	8	9	9	9	12	12	13	11	14	13	11	14	14	15	15	16	16	15	16	16	16	18	17	15	18	16	20	19	19	18	18	18	20	20	19	20	19	20	20	20	23	21	23	23	22	22	22	23	25	24	25	24	25	27	26	27	28	29	26	27	29	27	25	26	29	30	28	29	30	30	29	29	30	32	31	30	31	34	32	32	34	32	32	33	33	32	34	35	34	36	37	36	32	36	38	37	38	38	39	38	41	42	40	0	1	1	2	2	1	3	5	6	1	1	15	15	7	8	18	11	11	9	5	18	9	12	11	14	19	25	7	18	23	6	25	18	13	38	21	31	16	19	32	25	12	36	22	27	37	28	40	31	27	38	30	39	35	22	41	31	44	49	54	1	46	58	52	62	51	0	0	66	57	31	31	61	70	24	51	53	56	57	75	21	34	78	0	80	50	43	78	68	84	31	61	69	81	87	87	86	96	94	63	78	94	86	91	97	102	65	101	31	0	1	1	3	1	1	3	1	1	2	4	4	1	1	3	1	1	2	1	3	5	2	3	1	3	1	1	1	4	4	1	5	2	2	5	1	1	2	3	2	1	2	4	1	2	2	1	2	1	3	5	2	2	2	1	5	3	3	3	1	2	15	2	1	3	1	1	1	1	1	1	5	7	2	1	8	4	4	2	2	1	5	6	1	1	2	4	4	3	1	1	8	3	2	2	2	1	1	1	1	2	4	2	2	2	1	1	3	2	19	1
4500	-617.080945968356446	-623.936433919315846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.474232736956087	0	2	3	6	6	2	7	8	9	10	9	10	11	13	12	15	13	11	15	14	15	14	17	16	15	15	17	13	16	17	17	18	18	20	17	19	19	18	19	19	20	19	18	19	20	21	21	21	22	20	20	23	22	23	24	23	24	26	23	25	27	26	25	28	29	27	24	29	28	27	27	29	29	29	29	30	31	29	31	30	31	32	29	31	34	32	33	34	33	32	34	33	33	34	34	34	35	37	37	36	35	39	36	38	38	40	39	39	41	42	0	1	1	3	2	1	4	4	7	1	1	9	12	11	11	10	12	11	22	28	15	15	19	25	22	17	25	7	17	25	21	30	29	24	21	31	27	30	11	35	37	20	16	27	29	33	43	39	34	37	36	50	51	41	49	53	53	52	36	40	1	57	59	55	71	54	0	0	42	54	62	39	63	57	70	72	83	71	71	69	72	61	71	0	90	84	70	71	60	71	69	82	59	80	64	82	64	89	88	84	95	94	91	62	97	102	99	103	56	0	1	1	3	1	2	1	1	1	1	5	5	1	1	2	2	5	1	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	3	1	1	3	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	3	13	1	2	2	1	2	1	1	3	2	1	4	2	2	1	1	1	1	2	2	1	3	1	1	1	1	2	4	3	3	4	1	4	2	3	2	3	2	1	2	1	2	1	6	2	1	1	2	9	1
