step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-4485.667889297284091	-4484.205807212765649	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.850501177623138	-1	3	6	8	10	10	9	12	11	10	11	14	12	12	11	11	13	12	13	13	13	13	15	14	13	14	14	15	15	17	15	15	14	14	14	15	18	15	15	15	15	16	16	16	16	15	16	16	15	16	17	18	17	19	17	17	16	19	18	17	17	18	17	18	19	18	19	21	19	19	20	20	19	21	22	19	20	19	21	21	21	20	21	23	22	23	23	23	26	26	26	28	30	29	30	32	31	32	35	33	33	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	6	6	5	7	6	6	6	8	7	7	6	6	7	7	7	7	7	7	8	8	7	8	8	8	8	9	8	8	8	8	8	8	10	8	8	8	8	9	9	9	9	8	9	9	8	9	9	10	9	10	9	9	9	10	10	9	9	10	9	10	10	10	10	11	10	10	11	11	10	11	12	10	11	10	11	11	11	11	11	12	12	12	12	12	14	14	14	15	16	15	16	17	16	17	18	17	17	18
500	-840.026330839915886	-838.176652545195225	-1.849678294720653	0.000010019487979	0.000019648698917	1.961048205122930	0.289354001714512	0	4	6	8	9	10	6	12	12	10	11	14	12	12	12	11	11	12	11	13	13	14	16	12	14	13	13	16	15	18	15	15	15	14	15	14	19	16	15	16	16	17	14	16	17	16	14	15	16	17	18	18	18	19	17	17	17	18	18	17	16	19	17	18	19	19	20	21	19	20	21	20	18	19	23	19	20	20	21	22	20	21	20	23	23	23	23	23	25	27	26	28	31	30	31	30	32	32	34	34	33	35	0	1	2	7	3	4	2	1	7	5	7	6	2	17	4	7	7	19	7	16	13	16	11	16	9	19	19	1	22	20	11	20	21	24	7	9	24	47	43	43	36	22	24	27	12	24	11	7	27	27	7	35	61	64	20	12	5	28	12	2	22	61	11	29	26	48	7	60	28	55	23	51	42	23	54	24	57	59	78	70	44	44	52	37	74	7	7	39	81	86	0	1	58	87	0	75	91	0	0	38	13	0	1	1	1	2	2	1	1	7	3	1	2	3	3	1	2	2	2	1	2	1	1	2	3	1	1	1	1	6	1	2	2	1	2	1	6	1	6	1	1	1	2	2	2	3	1	2	1	6	1	2	5	2	1	1	4	2	4	1	3	6	1	1	3	1	3	1	11	2	1	1	4	1	1	1	2	4	1	1	1	1	2	4	1	2	2	12	12	4	2	4	1	14	10	3	1	3	3	1	1	9	12	1
1000	-667.720001606202231	-665.574143402719415	-2.145858203482814	0.000010018939182	0.000027337210251	2.728553368372132	0.603037503871194	0	3	6	8	10	11	9	12	10	11	12	15	13	11	11	11	13	12	12	13	13	12	14	14	12	14	14	15	15	18	15	15	14	13	15	16	18	15	16	16	15	16	16	16	16	13	16	16	16	16	16	17	16	18	17	18	15	20	18	17	17	19	17	19	17	19	19	21	18	19	20	20	20	20	22	20	20	19	22	21	21	20	21	22	23	24	23	22	26	26	26	29	31	28	30	31	30	32	35	33	33	35	0	1	2	3	3	5	4	6	4	1	7	34	4	7	9	7	14	16	14	8	8	16	15	7	5	19	19	23	46	39	34	17	8	25	14	33	53	14	32	27	14	20	24	27	12	22	33	25	19	27	14	35	46	53	23	44	34	62	39	12	53	57	27	18	27	11	7	49	53	55	55	37	59	32	60	64	27	65	76	54	67	27	40	73	74	81	45	64	76	59	0	91	86	91	0	95	62	0	0	86	73	0	1	1	1	1	2	1	1	1	1	5	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	3	1	2	8	2	1	1	2	1	1	3	2	1	4	1	1	2	1	4	2	1	2	2	4	1	3	2	1	2	4	1	1	1	5	1	1	4	6	1
1500	-725.694159367906309	-723.462172217806142	-2.231987150100129	0.000010108391054	0.000029988780376	2.966721431389104	0.644006184017730	-1	4	7	8	8	9	9	13	10	10	11	15	12	13	11	12	12	11	13	11	13	13	14	14	13	15	15	16	15	17	14	15	15	13	15	15	18	15	14	16	16	16	16	17	16	16	16	14	14	16	18	17	16	19	16	17	17	18	17	16	17	18	18	16	18	19	19	21	20	20	19	21	17	21	21	19	20	19	22	22	22	21	21	23	21	23	21	23	25	26	27	28	31	26	31	32	31	33	35	34	31	35	0	1	2	2	3	3	5	20	5	5	7	49	9	11	7	7	7	9	10	7	18	7	15	16	20	20	19	48	22	19	11	19	8	3	11	31	53	31	3	21	36	32	24	27	38	29	23	11	16	27	31	35	22	53	15	13	29	36	32	27	22	43	50	4	44	42	34	62	51	55	55	37	64	23	39	57	65	44	68	20	82	77	78	61	62	59	34	75	81	75	0	80	86	42	0	91	92	0	0	92	94	0	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	3	2	1	1	3	3	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	4	2	1	1	1	1	2	1	1	3	1	2	5	1	1	2	1	1	1	3	3	1	1	1	1	5	1	1	1	3	2	2	3	1	1	2	1	2	3	6	1	3	2	1	1	2	4	1
2000	-643.622192824805552	-641.992113016591475	-1.630079808214103	0.000010174754177	0.000014507818116	1.425864238408142	0.564593947934994	-1	4	6	8	10	8	9	12	11	10	12	14	11	11	11	12	12	13	13	14	13	13	16	14	13	14	14	15	15	18	15	16	14	15	15	14	18	15	16	14	16	15	16	16	15	15	16	16	13	16	16	18	16	19	17	16	15	19	18	17	17	18	18	17	18	18	19	20	19	19	21	19	19	21	22	19	20	19	21	20	19	20	21	23	21	24	21	23	26	26	26	27	30	29	30	32	32	33	35	32	32	35	0	1	2	2	6	3	6	14	4	6	7	11	7	6	10	13	9	4	13	11	15	13	25	49	8	19	19	33	22	44	20	36	17	40	49	13	53	8	49	14	36	14	33	27	25	22	20	25	13	27	31	35	22	37	23	11	17	64	35	5	53	53	18	28	27	51	38	57	47	55	70	32	48	25	28	49	65	41	9	59	53	65	63	53	68	24	13	78	85	59	0	91	90	73	0	93	91	0	0	95	95	0	1	3	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	3	3	1	1	3	1	3	1	2	4	1	2	1	1	2	4	3	3	1	1	4	1	1	1	2	5	1	6	5	2	2	4	1	1	1	5	1	1	2	1	1	1	1	1
2500	-616.674136197529833	-613.614234926184622	-3.059901271345179	0.000010041079192	0.000057307965056	5.707351168052586	0.682362365385474	-1	3	6	8	8	11	10	12	10	11	12	13	13	12	9	12	14	12	13	14	12	14	15	14	10	14	14	16	16	17	14	16	14	13	14	14	18	16	16	13	15	16	16	17	17	15	17	15	16	15	17	18	16	18	18	16	16	20	18	17	17	18	18	18	19	19	19	21	19	19	20	20	19	21	23	19	20	19	20	20	21	21	22	23	22	23	22	22	26	27	25	27	31	29	31	33	31	32	35	32	33	35	0	1	2	3	3	15	15	7	5	9	7	7	8	6	4	7	6	25	14	21	7	16	10	16	4	19	19	24	46	48	11	22	19	21	21	21	53	19	8	15	36	12	16	27	19	22	31	14	36	27	17	21	22	53	21	31	24	18	45	57	22	48	28	28	26	51	52	73	51	55	70	43	28	23	76	43	65	56	55	55	29	65	62	53	74	81	63	77	83	34	0	76	90	91	0	71	69	0	0	93	93	0	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	2	1	2	1	2	2	1	1	1	3	1	1	3	1	1	4	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	2	3	1	2	2	1	2	4	1	4	2	3	1	5	4	1	1	1	1	1
3000	-621.080175246631370	-619.124197455685476	-1.955977790945838	0.000010168169719	0.000022658117821	2.228337886495073	0.635104303396106	-1	3	6	8	10	10	10	12	12	11	12	12	13	13	9	11	14	12	14	13	13	13	15	13	13	15	14	14	16	18	14	16	14	15	12	14	18	15	15	14	16	17	14	16	16	15	15	16	15	17	17	18	17	19	16	16	16	20	17	16	17	17	16	18	16	19	20	20	19	19	19	21	20	21	23	19	20	19	21	21	22	21	21	23	22	24	23	23	26	26	27	28	30	29	31	32	31	32	34	34	32	35	0	1	2	3	4	4	15	6	15	6	10	7	7	18	3	7	12	6	12	10	8	16	15	16	9	19	9	20	46	62	11	43	6	5	7	7	53	20	24	10	36	24	18	27	23	22	33	31	20	27	31	31	22	37	18	33	40	37	31	18	22	8	13	31	27	31	52	59	64	55	55	66	59	23	68	63	65	33	64	53	70	77	29	61	74	73	59	79	61	86	0	72	90	81	0	87	83	0	0	95	93	0	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	3	1	4	1	1	1	2	1	3	1	1	1	1	1	2	1	1	2	4	2	1	2	1	2	1	2	2	2	2	1	2	1	2	1	1	1	2	1	1	1	3	2	2	3	2	1	2	1	1	2	3	1	2	3	1	3	1	1	2	2	3	1	3	5	1	1	1	1	1
3500	-563.061380308254343	-560.835812892440799	-2.225567415813543	0.000010194639126	0.000030061003345	2.948706960062678	0.813542645497202	0	3	6	8	10	10	9	12	12	11	11	11	13	12	10	12	13	12	12	12	14	13	15	14	13	14	14	15	16	18	15	15	14	14	14	14	17	14	15	15	16	16	15	16	16	15	17	16	14	16	17	18	16	19	17	17	15	18	17	17	18	18	17	19	17	18	19	21	20	19	19	20	17	21	22	19	21	19	22	21	21	19	20	22	22	23	24	23	24	27	26	29	29	29	29	31	31	32	35	33	34	34	0	1	2	3	4	7	4	12	11	15	7	7	15	5	7	7	10	5	12	6	9	16	49	16	10	19	19	49	46	29	11	24	10	16	7	7	53	16	26	10	36	33	16	27	49	22	42	11	20	27	31	59	22	53	21	49	5	63	35	39	53	48	33	73	27	31	52	37	37	55	55	58	28	73	55	38	82	47	68	58	46	65	70	63	74	59	86	85	84	86	0	90	90	90	0	92	54	0	0	97	94	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	4	2	2	2	1	1	2	2	1	1	3	1	2	1	1	1	1	1	1	1	1	1	2	5	1	1	1	2	1
4000	-563.319271633360472	-561.403268946827211	-1.916002686533233	0.000010886043699	0.000023153378008	2.126886373736269	0.758556619824522	-1	4	6	8	9	10	9	12	11	11	11	14	12	10	12	11	10	13	12	13	13	12	15	14	14	14	14	15	14	17	14	15	14	15	14	13	19	16	15	16	15	15	16	16	16	15	16	16	15	16	18	17	17	19	18	17	17	19	18	17	14	18	17	18	19	18	18	21	19	19	20	20	20	21	22	19	20	19	21	21	20	21	22	23	22	23	24	24	26	26	26	28	29	30	30	32	31	32	35	34	33	36	0	1	2	3	3	7	4	9	6	7	7	8	6	4	6	7	7	13	6	14	22	16	15	16	13	19	19	10	22	23	16	36	13	33	6	7	53	32	18	13	36	8	33	27	31	21	13	39	35	27	49	8	61	53	23	24	43	46	18	46	22	28	8	63	27	40	28	37	32	55	55	67	40	42	51	35	40	21	70	70	64	65	67	60	74	59	42	76	82	86	0	91	83	92	0	94	92	0	0	98	94	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	2	3	1	2	2	1	1	2	1	1	1	1	4	2	2	2	3	1	1	1	1	2	4	1	1	2	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1
4500	-588.352445295827124	-586.541524020270344	-1.810921275556813	0.000011706230051	0.000021836717006	1.865392778940655	0.645851777117415	0	4	7	8	10	10	10	12	11	10	12	14	11	12	11	12	13	12	12	12	13	14	15	14	14	13	14	16	15	18	15	14	14	14	13	13	18	16	14	16	15	16	16	16	16	16	17	15	16	17	16	17	16	19	18	17	17	20	19	17	18	18	18	19	19	19	19	21	19	17	20	19	19	20	22	19	21	19	21	22	20	20	21	23	22	22	22	23	27	27	27	28	30	29	29	32	30	32	35	34	34	34	0	1	2	2	3	3	3	3	4	4	7	17	4	7	7	7	3	6	7	5	9	16	18	16	15	19	26	35	22	25	35	14	8	18	7	7	22	13	11	36	36	23	16	27	34	29	11	11	29	27	11	35	22	53	70	5	7	62	60	51	22	45	60	49	50	60	52	58	38	23	55	38	20	23	74	40	65	37	62	78	54	27	61	37	74	30	57	87	84	88	0	68	90	89	0	97	95	0	0	95	98	0	1	2	1	2	1	2	2	2	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	1	2	1	1	2	1	1	1	3	2	1	2	1	2	1	1	1	2	3	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	1	3	2	2	1	2	4	1	2	2	1	3	2	1	1	1	1	1	1	2	1	1
