step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-1912.088235373611951	-1910.626153289093054	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.520087384827908	0	2	2	2	4	4	4	5	5	6	7	6	7	7	6	7	6	9	8	8	9	9	10	10	9	11	10	10	12	11	11	11	10	12	12	14	11	13	13	14	13	13	12	13	14	14	14	14	14	13	14	15	14	15	15	14	15	14	15	14	15	16	15	15	16	17	16	15	16	19	17	19	17	17	16	16	19	18	18	17	18	17	18	18	18	19	19	18	20	20	20	19	19	21	22	22	21	21	21	23	26	24	24	25	25	24	27	26	28	28	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	3	4	4	3	4	3	5	4	4	5	5	5	5	5	6	5	5	6	6	6	6	5	6	6	7	6	7	7	7	7	7	6	7	7	7	7	7	7	7	7	8	7	8	8	7	8	7	8	7	8	8	8	8	8	9	8	8	8	10	9	10	9	9	8	8	10	9	9	9	9	9	9	9	9	10	10	9	10	10	10	10	10	11	11	11	11	11	11	12	13	12	12	13	13	12	14	13	14	14	16
500	-801.395246672794997	-798.887063541917883	-2.508183130877121	0.000009992322458	0.000037820501028	3.784956018540613	0.367870379487722	-1	1	2	2	3	3	5	5	5	6	8	5	7	6	6	5	6	7	8	9	9	8	9	11	9	11	9	11	10	10	11	11	9	12	12	14	12	12	13	12	11	11	11	13	14	14	14	14	15	13	15	15	14	16	16	13	15	14	15	13	15	14	15	14	15	17	13	15	17	18	17	20	17	15	17	16	18	18	17	16	19	17	18	17	18	19	19	17	20	20	19	20	18	22	22	23	21	21	21	21	26	25	24	26	25	25	27	26	29	28	30	0	1	1	2	3	3	4	3	5	16	14	3	9	7	12	5	5	10	7	10	11	17	8	25	18	21	14	19	7	22	23	33	13	43	22	25	21	41	21	19	19	29	23	15	27	11	30	21	32	3	39	64	41	50	47	41	11	67	43	22	15	44	31	41	24	24	13	62	21	65	5	2	22	60	40	42	57	75	67	30	1	52	67	30	68	67	58	24	74	81	26	55	67	71	85	100	73	22	41	83	93	37	67	103	41	79	93	78	100	91	90	1	1	1	1	1	1	3	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	1	1	3	1	1	2	2	2	1	1	4	3	2	3	4	3	5	1	1	2	1	1	1	5	1	1	2	4	1	1	1	2	3	3	1	4	2	7	8	4	1	3	3	1	1	2	3	8	1	2	4	1	4	3	3	2	1	5	1	3	4	3	1	3	6	7	2	5	4	7	1	7	5	4	4	4	5	5
1000	-704.401409975036813	-702.113280665254592	-2.288129309782174	0.000009956430940	0.000031125031426	3.126123368283726	0.478483305413707	0	1	2	2	4	4	4	5	4	7	7	6	6	7	6	8	7	9	8	8	9	10	8	7	9	10	10	10	12	12	11	10	11	13	12	14	11	13	14	13	13	13	12	13	15	13	15	14	15	14	15	15	14	15	15	14	16	15	16	15	13	16	15	16	15	16	13	15	17	19	17	20	17	17	16	16	19	18	18	16	19	16	19	18	19	19	20	18	19	20	20	19	19	19	22	23	20	20	22	24	27	25	24	25	25	24	27	27	27	27	31	0	1	1	1	2	3	3	3	2	15	12	8	4	15	3	10	12	10	4	6	3	25	14	9	14	15	14	23	12	20	14	14	8	43	22	27	18	16	30	31	19	6	17	37	53	8	61	24	42	8	39	38	46	36	34	31	50	67	34	42	14	29	41	63	41	35	24	9	60	71	37	92	76	46	63	20	63	60	67	11	62	39	79	48	67	67	78	48	74	93	88	64	67	42	97	95	77	70	25	67	93	99	67	106	42	79	99	104	106	74	54	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	3	2	2	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	2	3	1	1	2	4	2	1	1	4	1	3	1	5	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	4	1	1	3	1	1	3	1	4	2	2	3	4	1	1	1	2	2	4	1	1	1	1	1	2	3	3	1	1	1	1	7	8	3	3	4	1	4	3	3	1	2	3	9
1500	-695.127095985653000	-693.130956465655800	-1.996139519997159	0.000009905392522	0.000023094597865	2.331517687428475	0.598227238456630	0	3	2	3	5	5	3	5	6	4	7	7	8	5	7	6	7	10	8	8	9	9	10	11	10	12	10	11	12	12	11	10	10	13	12	15	11	13	13	14	13	14	11	12	15	15	14	14	14	13	14	15	14	16	15	14	16	15	15	13	13	16	14	16	16	18	13	15	16	19	16	19	17	18	17	16	20	17	15	18	18	17	16	18	18	19	18	17	20	20	20	19	20	19	21	22	22	21	21	24	25	23	24	26	26	25	27	26	28	26	31	0	1	1	1	4	2	3	3	1	2	14	6	8	4	2	10	7	11	11	8	12	6	13	21	11	33	13	22	21	23	13	8	12	43	27	35	17	32	22	31	31	31	22	25	35	41	14	44	13	37	39	53	28	36	44	41	67	67	61	24	11	5	41	46	56	61	18	34	42	75	50	54	63	73	63	33	71	24	67	83	13	58	79	30	65	67	47	71	74	72	71	17	55	79	42	82	93	36	92	67	93	98	79	92	102	83	103	75	106	100	107	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	2	4	2	1	1	1	1	1	1	4	1	2	1	1	1	1	1	1	1	2	1	1	1	3	5	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	2	1	1	5	1	1	3	1	3	1	1	1	1	1	7	3	2	4	2	2	3	2	6	2	1	5	3	2	5	2	5	2	1	2
2000	-676.892528156741264	-674.667974739806596	-2.224553416934672	0.000009907824284	0.000029187117805	2.945865506644468	0.630902891037679	0	2	2	2	5	4	5	4	5	6	4	6	8	8	6	7	7	10	8	8	9	10	11	10	9	12	11	11	12	11	11	10	9	12	12	15	11	14	12	15	14	14	13	13	14	15	15	15	13	10	14	16	15	15	16	15	16	14	16	14	14	15	16	15	17	18	13	14	16	19	18	20	16	16	17	14	18	16	18	15	16	17	18	19	18	20	20	18	19	20	21	20	20	20	22	21	21	21	21	23	23	25	24	24	24	23	26	26	29	28	30	0	1	1	1	3	4	8	3	2	11	1	6	12	12	8	10	5	14	1	10	16	14	22	20	14	20	14	50	11	14	14	20	12	23	32	34	16	35	18	41	31	44	34	14	27	37	44	42	13	17	39	58	76	41	38	41	67	67	38	29	37	11	41	31	46	78	29	35	60	53	81	89	68	36	63	27	75	24	67	49	17	80	61	30	75	73	71	63	57	75	94	40	83	83	97	72	70	71	42	67	93	99	83	66	99	79	75	104	103	101	110	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	2	1	4	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	5	1	2	1	1	1	1	1	3	1	1	1	1	1	2	1	2	3	1	3	1	2	4	1	3	1	1	1	2	1	3	1	2	1	1	1	2	5	6	1	4	2	3	2	3	4	1	2	2	1
2500	-683.487001193833180	-681.058289899145507	-2.428711294687629	0.000009873151539	0.000034956288663	3.540540072425950	0.591397631502337	0	2	3	3	4	4	3	5	5	6	6	6	6	8	6	7	5	9	8	8	8	10	10	10	9	11	10	11	11	12	11	11	9	12	12	14	11	14	13	14	13	13	13	13	14	13	15	14	15	13	15	15	15	15	16	14	15	15	15	13	15	15	14	16	15	18	14	16	17	19	17	18	15	17	16	16	18	18	19	16	19	16	19	19	19	18	19	19	21	20	20	20	19	20	22	22	21	22	21	22	26	24	23	25	26	24	27	27	28	29	31	0	1	1	2	2	7	1	3	5	5	6	4	1	13	9	6	4	11	8	9	11	20	14	10	21	33	25	11	21	37	4	17	21	32	27	29	12	34	18	31	31	11	34	18	35	33	30	30	46	20	39	38	34	8	36	41	67	67	31	19	41	18	41	41	35	75	17	54	60	71	4	48	39	76	63	28	57	68	67	63	61	53	58	54	71	67	77	74	79	59	83	54	67	79	69	66	84	94	61	53	87	99	79	26	102	79	52	105	106	105	109	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	2	1	1	1	2	1	1	4	3	1	1	1	1	3	2	2	2	1	3	1	2	1	2	1	1	1	2	1	1	1	5	1	1	1	1	2	2	1	3	1	1	2	1	4	1	3	1	6	1	1	1	1	2	1	1	3	1	1	1	2	3	1	2	1	1	1	3	1	2	2	1	3	2	1	1	5	2	5	1	2	6	1	4	4	1	1	1	1
3000	-654.073150671849817	-651.720185995675365	-2.352964676174417	0.000009733038505	0.000032259916326	3.314475362492618	0.709664263704205	0	1	1	3	5	5	4	3	4	5	8	6	7	8	6	8	6	8	9	9	8	9	9	10	10	11	10	10	11	11	11	10	11	13	12	12	10	13	13	14	13	13	11	11	14	14	15	14	12	12	14	14	15	15	15	14	16	12	15	14	15	14	16	16	17	17	15	14	16	20	17	18	16	18	15	15	20	19	18	17	16	17	17	18	18	19	19	18	20	20	21	18	20	22	22	20	21	21	22	23	27	24	24	26	26	23	28	25	27	25	31	0	1	1	2	8	9	4	1	2	2	6	7	17	15	3	5	10	17	6	18	9	14	18	11	14	20	18	22	13	23	14	23	17	43	27	22	11	26	29	31	31	25	23	16	35	11	48	12	24	20	39	43	42	39	39	41	18	25	42	11	34	50	40	41	69	53	58	39	60	51	29	69	75	53	41	34	66	51	67	76	50	37	67	55	59	83	82	80	92	79	72	65	67	79	79	92	79	86	74	93	79	99	100	110	102	90	104	100	108	77	101	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	2	1	1	1	1	2	1	2	1	3	1	1	1	2	1	1	1	1	4	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	2	2	1	1	1	1	1	1	1	4	3	1	1	2	1	2	2	7	2	1	1	1	1	1	1	1	2	2
3500	-593.564117112568056	-591.254472530864518	-2.309644581703518	0.000010073219651	0.000032114551930	3.188111948536858	0.714745036893600	0	2	2	3	3	4	4	5	6	5	8	7	8	7	6	6	5	9	8	8	10	9	10	10	9	12	10	11	11	11	11	10	10	12	12	15	12	13	13	13	13	14	11	13	15	14	15	14	12	13	14	14	14	16	14	13	16	15	14	14	15	16	15	14	17	15	16	15	16	19	16	20	17	17	16	14	20	18	18	17	18	17	18	18	18	19	19	18	20	20	21	18	20	22	22	23	22	22	22	23	26	23	24	26	25	25	26	25	27	29	32	0	1	1	2	2	4	3	5	17	6	16	8	10	6	7	10	3	20	16	8	15	14	22	19	14	33	9	18	18	22	25	17	9	25	27	52	23	43	30	31	31	41	22	43	27	37	35	30	23	37	39	33	32	46	26	37	18	23	38	49	34	32	41	41	45	24	58	35	60	82	53	79	61	52	41	56	87	47	67	30	50	68	67	30	73	79	80	65	69	92	54	75	67	83	47	89	72	72	82	45	93	99	100	102	102	103	103	89	100	109	108	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	4	3	1	1	1	3	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	1	2	1	2	1	1	2	3	1	1	1	2	2	3	1	1	2	1	1	1	1	3	1	5
4000	-607.981649420495728	-605.929158544435268	-2.052490876060511	0.000010743630648	0.000026628833864	2.478569371562837	0.729670409713942	1	2	2	3	4	4	4	6	5	5	8	6	6	8	7	7	6	9	7	8	8	10	10	9	9	10	10	11	13	11	11	11	11	10	13	15	11	12	13	13	13	12	12	13	15	14	15	13	15	14	15	16	15	16	16	14	15	14	16	15	15	16	15	16	17	16	16	16	17	18	17	19	17	17	16	16	18	19	18	18	18	18	19	18	19	20	19	17	20	20	18	19	19	21	23	21	20	22	20	23	26	22	25	25	25	24	28	25	29	28	31	0	1	1	3	4	4	3	5	4	4	6	3	6	13	7	10	6	19	5	19	12	14	14	15	17	21	24	25	32	25	25	19	26	14	27	43	25	25	30	38	31	27	37	27	44	31	37	21	13	29	39	56	56	35	58	41	37	20	43	5	28	37	31	63	49	56	58	27	49	52	21	82	59	62	63	41	49	88	67	60	54	88	67	68	57	83	50	51	59	28	62	69	67	89	102	72	55	60	41	77	93	99	106	94	95	100	95	95	103	105	107	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	3	2	4	1	1	1	1	1	1	1	2	2	2	5	1	2	3	1	1	1	1	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	1	3	1	1	1	1	1	1	1	3	3	3	3	1	1	2	2	1	2	2	2	1	2
4500	-621.201486894443292	-618.965865131915962	-2.235621762527303	0.000013296129322	0.000039581775052	2.976939686103059	0.568625386404046	1	2	3	3	3	4	5	5	4	7	7	6	7	8	6	8	5	8	9	8	8	10	10	11	9	11	10	11	9	12	10	11	10	12	11	14	11	13	12	13	13	14	11	11	14	15	14	14	13	13	14	16	12	15	15	14	14	14	14	13	16	14	15	15	17	16	16	15	16	18	17	20	18	17	16	16	20	19	18	16	18	17	19	18	17	20	20	19	20	21	21	18	20	22	22	23	21	21	21	23	25	23	25	26	23	24	27	26	28	28	31	0	1	1	1	2	4	9	5	1	15	12	6	12	13	2	13	4	10	2	15	6	25	25	12	14	33	20	25	13	22	17	20	6	12	27	26	22	34	21	44	37	35	25	31	27	10	24	37	21	29	39	64	35	7	40	41	25	19	14	12	30	19	40	41	34	47	58	28	60	57	50	55	58	61	41	38	76	71	67	34	66	43	67	37	54	83	65	67	68	84	84	56	88	67	71	86	69	89	41	67	93	99	106	105	99	100	69	94	106	83	104	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	4	1	3	1	1	3	1	1	1	1	1	1	3	1	3	3	1	1	1	1	3	1	1	2	1	1	1	3	1	1	3	2	1	1	1	5	1	1	2	2	4	3	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	3	1	1	2	1	3	1	3	1	1	1	2	2	2	1	2	1	3	2	1	3	1	4	4	2	1	1	1	1	1	4	2	2	3	2
