step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.19038	1.00000	0.33979	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98600	0.25200	0.92400	0.32791	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.26700	0.87000	0.32423	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.99600	0.27733	0.80600	0.32191	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97000	0.28550	0.69400	0.31824	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.96600	0.28280	0.57800	0.31497	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.93000	0.28167	0.44800	0.31394	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.93000	0.27714	0.40600	0.31273	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.86800	0.27700	0.41467	0.31024	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.85400	0.27822	0.42250	0.30908	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.80600	0.28000	0.42440	0.30812	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.79800	0.27891	0.43067	0.30743	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.87800	0.27583	0.43486	0.30709	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.81200	0.27200	0.44450	0.30760	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.78000	0.26886	0.44889	0.30865	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.71400	0.26493	0.45220	0.30926	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.60800	0.26262	0.45436	0.30949	0.065684083557129	0.666666666666667	0.113906250000000	0
9000		0.51200	0.26047	0.45633	0.30986	0.098526125335693	0.666666666666667	0.113906250000000	0
9500		0.40000	0.26022	0.45769	0.31017	0.147789188003540	0.666666666666667	0.113906250000000	0
10000		0.40700	0.25726	0.46314	0.31083	0.147789188003540	0.666666666666667	0.113906250000000	0
10500		0.41267	0.25780	0.46320	0.31086	0.147789188003540	0.666666666666667	0.113906250000000	0
11000		0.41400	0.25495	0.46513	0.31140	0.147789188003540	0.666666666666667	0.113906250000000	0
11500		0.41880	0.25382	0.46494	0.31142	0.147789188003540	0.666666666666667	0.113906250000000	0
12000		0.41700	0.25348	0.46456	0.31152	0.147789188003540	0.666666666666667	0.113906250000000	0
12500		0.41486	0.25242	0.46516	0.31171	0.147789188003540	0.666666666666667	0.113906250000000	0
13000		0.41825	0.25216	0.46700	0.31199	0.147789188003540	0.666666666666667	0.113906250000000	0
13500		0.42089	0.25185	0.46876	0.31230	0.147789188003540	0.666666666666667	0.113906250000000	0
14000		0.41780	0.25022	0.46991	0.31225	0.147789188003540	0.666666666666667	0.113906250000000	0
14500		0.41673	0.24936	0.47104	0.31251	0.147789188003540	0.666666666666667	0.113906250000000	0
15000		0.41783	0.24876	0.47117	0.31254	0.147789188003540	0.666666666666667	0.113906250000000	0
15500		0.41877	0.24760	0.47232	0.31263	0.147789188003540	0.666666666666667	0.113906250000000	0
16000		0.41986	0.24690	0.47277	0.31267	0.147789188003540	0.666666666666667	0.113906250000000	0
16500		0.41707	0.24544	0.47348	0.31283	0.147789188003540	0.666666666666667	0.113906250000000	0
17000		0.41625	0.24521	0.47357	0.31303	0.147789188003540	0.666666666666667	0.113906250000000	0
17500		0.41612	0.24418	0.47510	0.31302	0.147789188003540	0.666666666666667	0.113906250000000	0
18000		0.41678	0.24360	0.47393	0.31307	0.147789188003540	0.666666666666667	0.113906250000000	0
18500		0.41642	0.24300	0.47232	0.31305	0.147789188003540	0.666666666666667	0.113906250000000	0
19000		0.41770	0.24292	0.47113	0.31292	0.147789188003540	0.666666666666667	0.113906250000000	0
19500		0.41695	0.24242	0.47176	0.31296	0.147789188003540	0.666666666666667	0.113906250000000	0
20000		0.41673	0.24128	0.47218	0.31292	0.147789188003540	0.666666666666667	0.113906250000000	0
20500		0.41765	0.24110	0.47286	0.31309	0.147789188003540	0.666666666666667	0.113906250000000	0
21000		0.41692	0.24024	0.47261	0.31310	0.147789188003540	0.666666666666667	0.113906250000000	0
21500		0.41712	0.24019	0.47351	0.31332	0.147789188003540	0.666666666666667	0.113906250000000	0
22000		0.41777	0.23958	0.47426	0.31348	0.147789188003540	0.666666666666667	0.113906250000000	0
22500		0.41778	0.23950	0.47323	0.31365	0.147789188003540	0.666666666666667	0.113906250000000	0
23000		0.41800	0.23902	0.47415	0.31376	0.147789188003540	0.666666666666667	0.113906250000000	0
23500		0.41703	0.23835	0.47502	0.31384	0.147789188003540	0.666666666666667	0.113906250000000	0
24000		0.41740	0.23757	0.47548	0.31391	0.147789188003540	0.666666666666667	0.113906250000000	0
24500		0.41806	0.23729	0.47595	0.31396	0.147789188003540	0.666666666666667	0.113906250000000	0
25000		0.41850	0.23698	0.47627	0.31404	0.147789188003540	0.666666666666667	0.113906250000000	0
25500		0.41891	0.23660	0.47689	0.31407	0.147789188003540	0.666666666666667	0.113906250000000	0
26000		0.41906	0.23584	0.47691	0.31404	0.147789188003540	0.666666666666667	0.113906250000000	0
26500		0.41954	0.23627	0.47723	0.31405	0.147789188003540	0.666666666666667	0.113906250000000	0
27000		0.41950	0.23615	0.47746	0.31400	0.147789188003540	0.666666666666667	0.113906250000000	0
27500		0.42086	0.23581	0.47645	0.31396	0.147789188003540	0.666666666666667	0.113906250000000	0
28000		0.42237	0.23476	0.47648	0.31388	0.147789188003540	0.666666666666667	0.113906250000000	0
28500		0.42400	0.23421	0.47675	0.31392	0.147789188003540	0.666666666666667	0.113906250000000	0
29000		0.42420	0.23382	0.47696	0.31404	0.147789188003540	0.666666666666667	0.113906250000000	0
29500		0.42361	0.23341	0.47664	0.31402	0.147789188003540	0.666666666666667	0.113906250000000	0
30000		0.42381	0.23322	0.47641	0.31398	0.147789188003540	0.666666666666667	0.113906250000000	0
30500		0.42423	0.23270	0.47673	0.31410	0.147789188003540	0.666666666666667	0.113906250000000	0
31000		0.42436	0.23269	0.47682	0.31428	0.147789188003540	0.666666666666667	0.113906250000000	0
31500		0.42382	0.23210	0.47712	0.31437	0.147789188003540	0.666666666666667	0.113906250000000	0
32000		0.42383	0.23165	0.47597	0.31438	0.147789188003540	0.666666666666667	0.113906250000000	0
32500		0.42340	0.23172	0.47512	0.31433	0.147789188003540	0.666666666666667	0.113906250000000	0
33000		0.42400	0.23074	0.47507	0.31429	0.147789188003540	0.666666666666667	0.113906250000000	0
33500		0.42400	0.23094	0.47567	0.31432	0.147789188003540	0.666666666666667	0.113906250000000	0
34000		0.42436	0.23084	0.47561	0.31433	0.147789188003540	0.666666666666667	0.113906250000000	0
34500		0.42396	0.23062	0.47581	0.31426	0.147789188003540	0.666666666666667	0.113906250000000	0
35000		0.42431	0.23061	0.47547	0.31412	0.147789188003540	0.666666666666667	0.113906250000000	0
35500		0.42389	0.23037	0.47572	0.31422	0.147789188003540	0.666666666666667	0.113906250000000	0
36000		0.42381	0.23039	0.47576	0.31422	0.147789188003540	0.666666666666667	0.113906250000000	0
36500		0.42429	0.23039	0.47627	0.31430	0.147789188003540	0.666666666666667	0.113906250000000	0
37000		0.42468	0.22986	0.47553	0.31420	0.147789188003540	0.666666666666667	0.113906250000000	0
37500		0.42498	0.22949	0.47539	0.31416	0.147789188003540	0.666666666666667	0.113906250000000	0
38000		0.42569	0.22952	0.47511	0.31423	0.147789188003540	0.666666666666667	0.113906250000000	0
38500		0.42597	0.22961	0.47428	0.31425	0.147789188003540	0.666666666666667	0.113906250000000	0
39000		0.42583	0.22904	0.47422	0.31418	0.147789188003540	0.666666666666667	0.113906250000000	0
39500		0.42620	0.22900	0.47433	0.31421	0.147789188003540	0.666666666666667	0.113906250000000	0
40000		0.42655	0.22957	0.47449	0.31420	0.147789188003540	0.666666666666667	0.113906250000000	0
40500		0.42695	0.22962	0.47427	0.31425	0.147789188003540	0.666666666666667	0.113906250000000	0
41000		0.42766	0.22978	0.47405	0.31413	0.147789188003540	0.666666666666667	0.113906250000000	0
41500		0.42769	0.22961	0.47447	0.31413	0.147789188003540	0.666666666666667	0.113906250000000	0
42000		0.42733	0.22952	0.47428	0.31418	0.147789188003540	0.666666666666667	0.113906250000000	0
42500		0.42782	0.22902	0.47415	0.31419	0.147789188003540	0.666666666666667	0.113906250000000	0
43000		0.42835	0.22929	0.47365	0.31421	0.147789188003540	0.666666666666667	0.113906250000000	0
43500		0.42832	0.22958	0.47353	0.31419	0.147789188003540	0.666666666666667	0.113906250000000	0
44000		0.42869	0.22943	0.47385	0.31425	0.147789188003540	0.666666666666667	0.113906250000000	0
44500		0.42870	0.22930	0.47467	0.31425	0.147789188003540	0.666666666666667	0.113906250000000	0
45000		0.42889	0.22903	0.47460	0.31428	0.147789188003540	0.666666666666667	0.113906250000000	0
45500		0.42849	0.22927	0.47506	0.31431	0.147789188003540	0.666666666666667	0.113906250000000	0
46000		0.42854	0.22925	0.47551	0.31429	0.147789188003540	0.666666666666667	0.113906250000000	0
46500		0.42816	0.22902	0.47566	0.31430	0.147789188003540	0.666666666666667	0.113906250000000	0
47000		0.42771	0.22869	0.47539	0.31424	0.147789188003540	0.666666666666667	0.113906250000000	0
47500		0.42782	0.22864	0.47582	0.31426	0.147789188003540	0.666666666666667	0.113906250000000	0
48000		0.42759	0.22838	0.47582	0.31431	0.147789188003540	0.666666666666667	0.113906250000000	0
48500		0.42762	0.22846	0.47615	0.31440	0.147789188003540	0.666666666666667	0.113906250000000	0
49000		0.42738	0.22821	0.47593	0.31433	0.147789188003540	0.666666666666667	0.113906250000000	0
49500		0.42760	0.22843	0.47576	0.31432	0.147789188003540	0.666666666666667	0.113906250000000	0
50000		0.42741	0.22871	0.47562	0.31431	0.147789188003540	0.666666666666667	0.113906250000000	0
50500		0.42773	0.22856	0.47549	0.31428	0.147789188003540	0.666666666666667	0.113906250000000	0
51000		0.42762	0.22851	0.47544	0.31427	0.147789188003540	0.666666666666667	0.113906250000000	0
51500		0.42758	0.22843	0.47491	0.31427	0.147789188003540	0.666666666666667	0.113906250000000	0
52000		0.42791	0.22812	0.47512	0.31428	0.147789188003540	0.666666666666667	0.113906250000000	0
