step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		1.00000	0.60120	1.00000	0.31864	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		1.00000	0.58800	0.95400	0.31331	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		1.00000	0.58200	0.91400	0.30698	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		1.00000	0.60600	0.90400	0.30990	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		1.00000	0.58800	0.79600	0.30752	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.99800	0.59800	0.78400	0.30883	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.99800	0.63800	0.70600	0.30490	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.99400	0.60600	0.56400	0.30137	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.99200	0.61000	0.48800	0.30007	0.002562890625000	1.000000000000000	0.256289062500000	0
5000		0.98800	0.58800	0.48700	0.29993	0.003844335937500	1.000000000000000	0.256289062500000	0
5500		0.98800	0.56200	0.48000	0.29772	0.005766503906250	1.000000000000000	0.256289062500000	0
6000		0.97000	0.59200	0.48000	0.29688	0.008649755859375	1.000000000000000	0.256289062500000	0
6500		0.97600	0.62600	0.47960	0.29661	0.012974633789063	1.000000000000000	0.256289062500000	0
7000		0.94200	0.60800	0.47633	0.29776	0.019461950683594	1.000000000000000	0.256289062500000	0
7500		0.95200	0.55600	0.47657	0.29748	0.029192926025391	1.000000000000000	0.256289062500000	0
8000		0.95200	0.56000	0.48000	0.29687	0.043789389038086	1.000000000000000	0.256289062500000	0
8500		0.92400	0.50600	0.48911	0.29768	0.065684083557129	1.000000000000000	0.256289062500000	0
9000		0.88600	0.56600	0.48100	0.29726	0.098526125335693	1.000000000000000	0.256289062500000	0
9500		0.86200	0.58000	0.48200	0.29793	0.147789188003540	1.000000000000000	0.256289062500000	0
10000		0.76200	0.53400	0.48033	0.29746	0.221683782005310	1.000000000000000	0.256289062500000	0
10500		0.69200	0.55000	0.48646	0.29765	0.332525673007965	1.000000000000000	0.256289062500000	0
11000		0.59800	0.53200	0.48900	0.29801	0.498788509511948	1.000000000000000	0.256289062500000	0
11500		0.49000	0.56600	0.48893	0.29830	0.748182764267921	1.000000000000000	0.256289062500000	0
12000		0.46800	0.54000	0.48938	0.29864	0.748182764267921	1.000000000000000	0.256289062500000	0
12500		0.45733	0.55800	0.49212	0.29857	0.748182764267921	1.000000000000000	0.256289062500000	0
13000		0.45150	0.57200	0.49122	0.29823	0.748182764267921	1.000000000000000	0.256289062500000	0
13500		0.44880	0.56600	0.49274	0.29817	0.748182764267921	1.000000000000000	0.256289062500000	0
14000		0.45033	0.56920	0.49280	0.29838	0.748182764267921	1.000000000000000	0.256289062500000	0
