step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-540.085367593105730	-538.623285508586832	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.037380264275647	1	0	5	5	8	6	7	7	6	8	9	8	7	8	8	9	12	12	11	12	15	15	14	15	16	17	17	16	17	17	19	18	19	19	20	22	21	22	22	21	22	22	24	23	23	24	24	23	24	25	25	24	25	26	26	28	25	27	27	28	27	28	27	29	28	28	30	31	30	31	29	30	29	30	31	32	31	32	33	36	40	42	42	44	46	48	48	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	4	3	4	4	3	4	5	4	4	4	4	5	6	6	6	6	8	8	7	8	8	9	9	8	9	9	10	9	10	10	10	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	13	12	13	13	13	14	13	14	14	14	14	14	14	15	14	14	15	16	15	16	15	15	15	15	16	16	16	16	17	18	20	21	21	22	23	24	24
500	-796.614947915562993	-794.431956234822451	-2.182991680740584	0.000010003086580	0.000028311875012	2.830313902009965	0.081955514212584	2	0	6	6	8	6	6	5	6	8	9	8	8	7	9	8	13	10	10	11	13	15	13	12	16	17	17	17	18	18	19	17	19	20	20	20	21	21	21	22	22	20	23	22	23	24	21	23	25	25	26	23	25	27	24	28	26	27	27	27	27	28	27	29	28	29	31	32	29	32	30	30	26	30	32	31	29	32	33	35	41	42	42	43	44	46	49	2	0	2	1	3	2	2	2	8	6	3	2	9	2	6	7	5	2	2	12	13	21	3	3	19	22	2	16	2	2	17	14	32	9	2	21	3	23	29	20	2	30	2	2	0	13	34	3	30	12	13	2	3	11	16	7	14	2	2	53	9	14	47	49	25	34	33	40	16	16	2	23	14	3	58	10	2	5	15	9	0	54	29	16	1	56	3	1	1	3	2	1	3	3	3	1	1	1	3	2	4	2	1	3	3	5	2	2	1	3	3	3	1	8	5	8	8	2	3	1	5	13	5	9	4	1	4	12	1	13	13	1	9	1	7	4	9	12	6	10	10	8	11	13	12	13	1	10	9	4	2	5	6	5	7	14	15	14	9	10	11	3	10	12	11	11	14	1	10	14	17	21	8	21
1000	-1134.229633941342854	-1130.936764078117449	-3.292869863225412	0.000010020506701	0.000066639011339	6.650263637166339	0.174354226938766	1	0	5	5	8	7	4	7	6	8	9	8	7	9	8	10	11	12	11	13	16	15	12	16	14	18	17	13	17	18	19	18	19	20	20	21	20	21	22	21	23	23	24	20	23	24	25	23	23	25	25	24	25	25	26	28	26	27	27	28	26	27	26	30	29	29	30	31	31	32	27	31	29	30	31	33	31	32	33	36	40	43	43	44	44	47	48	2	0	1	7	2	4	2	3	2	13	13	9	4	15	8	2	13	16	6	5	12	2	13	16	1	2	25	2	2	16	25	28	19	21	2	25	3	30	4	30	2	40	2	28	0	29	2	11	37	31	25	15	27	16	2	24	13	17	2	63	20	53	52	55	57	43	60	29	3	58	2	71	51	29	43	22	28	74	59	76	0	59	32	38	20	72	74	1	1	3	1	5	2	2	1	3	1	1	1	1	1	1	5	2	2	3	3	5	7	1	6	7	6	1	3	9	7	3	2	5	2	13	2	7	1	8	1	12	1	12	3	1	4	14	7	1	3	4	6	4	7	16	7	9	7	16	1	6	1	1	2	1	3	1	6	17	3	12	2	2	9	3	11	14	1	2	1	1	8	14	10	15	10	10
1500	-762.532834863302924	-760.212218634162241	-2.320616229140674	0.000010007646159	0.000032223805739	3.219918573071463	0.206003322680446	2	1	6	4	9	5	7	7	5	8	10	7	7	7	8	10	13	12	11	10	16	16	14	15	15	15	17	16	18	17	19	19	19	19	21	22	21	22	21	21	22	22	24	23	23	23	24	24	23	26	25	25	25	26	26	29	24	27	27	29	24	28	26	29	26	28	30	31	30	32	30	30	29	31	31	32	31	33	32	36	40	43	42	44	46	48	47	2	0	9	1	7	2	2	2	2	8	9	6	4	6	14	6	15	2	2	2	16	20	16	2	20	6	2	20	2	17	2	18	24	5	30	5	2	29	18	31	24	35	3	37	0	7	15	21	19	29	21	43	41	42	8	45	2	40	2	57	35	27	39	42	19	36	12	51	2	4	38	48	62	65	60	2	51	69	65	69	0	54	62	61	72	82	32	1	1	1	1	1	2	3	3	2	1	3	1	2	1	1	2	4	4	5	5	4	4	2	8	3	5	8	2	11	4	7	4	2	5	2	6	7	2	3	1	3	1	9	1	1	6	11	3	5	5	3	1	2	2	12	3	13	2	15	2	1	6	2	3	7	2	11	3	16	14	7	3	1	3	1	12	3	1	3	3	1	6	7	11	7	2	13
2000	-627.210126605417258	-625.120057722782235	-2.090068882634973	0.000009986108605	0.000025746172880	2.578198765650758	0.244931336482328	2	1	6	6	8	5	7	7	6	9	9	8	8	8	8	10	12	12	10	12	15	14	14	14	15	17	18	13	18	17	19	18	20	19	18	22	22	22	22	21	23	22	24	23	24	24	23	23	24	24	26	24	25	26	26	28	25	28	28	29	28	27	27	28	29	28	28	32	30	31	29	31	29	30	31	32	30	31	32	35	40	42	42	44	45	49	48	2	0	2	6	3	2	2	2	2	5	2	2	8	9	3	7	2	2	3	19	10	10	14	3	19	5	15	15	2	22	24	13	23	25	18	32	32	32	26	11	33	5	32	2	0	32	36	29	17	39	43	36	17	39	2	54	3	41	28	25	38	15	13	51	57	47	50	59	2	55	27	34	58	34	39	2	59	57	66	79	0	68	77	42	65	82	83	1	1	2	1	1	2	3	3	2	1	5	3	1	1	1	2	6	5	2	1	2	2	3	4	3	5	6	2	11	2	3	6	3	2	5	2	2	2	3	5	1	5	3	7	1	3	1	3	6	1	1	1	4	2	10	1	7	2	9	7	3	7	7	2	2	3	2	2	17	2	4	5	1	4	5	11	1	3	2	1	1	6	5	10	10	4	4
2500	-864.606902158120874	-861.691031704616762	-2.915870453504064	0.000010116744107	0.000052254086103	5.165109006659641	0.290906863463940	2	0	4	6	7	6	8	7	7	7	10	8	8	9	8	9	11	11	9	11	16	15	14	12	16	17	17	16	17	17	19	18	19	18	20	21	20	22	22	20	21	22	24	20	23	24	23	22	25	25	26	25	24	26	26	29	24	27	25	28	28	27	28	29	27	27	30	29	31	32	30	30	30	28	31	33	32	31	34	36	41	43	43	43	47	49	49	2	0	1	1	2	2	4	2	6	1	4	6	5	5	6	6	4	16	2	15	24	2	13	2	24	18	25	18	2	2	24	18	25	23	22	28	32	30	18	27	27	40	28	33	0	45	5	30	34	42	49	43	31	41	2	58	24	14	2	49	28	31	42	50	55	11	34	59	21	61	50	57	41	36	68	59	74	55	75	69	0	67	39	41	77	83	81	2	1	1	1	3	3	2	4	1	3	2	1	1	1	1	1	1	2	6	2	2	8	3	8	2	3	1	3	7	9	4	2	2	2	2	3	2	2	5	1	1	1	4	1	1	1	8	3	3	1	1	1	2	3	14	2	6	8	11	2	4	4	3	2	1	9	5	3	10	1	3	2	5	4	1	4	2	2	2	2	1	6	11	11	8	3	3
3000	-664.573418750320343	-662.161020843853180	-2.412397906467115	0.000010185002397	0.000035558830602	3.491293297276139	0.373935839738936	2	1	6	5	8	6	8	7	6	8	9	9	8	9	6	10	10	13	12	11	15	15	15	14	17	17	16	15	18	17	20	18	19	19	20	22	21	22	23	22	22	21	24	23	24	24	24	24	24	25	26	25	24	26	27	29	25	27	27	29	27	29	26	28	29	28	31	31	30	32	29	30	28	31	30	33	29	32	33	36	39	42	43	44	46	47	48	2	0	4	2	3	2	8	2	4	9	2	4	4	2	1	4	2	17	15	16	12	18	2	3	28	22	16	2	11	14	3	21	26	30	16	31	32	5	19	33	31	26	33	38	0	27	4	28	44	33	43	43	41	38	2	46	31	41	2	40	31	36	19	54	61	46	29	48	48	60	58	43	41	59	54	78	59	77	64	68	0	61	74	56	56	84	86	1	1	1	2	1	3	1	2	1	1	4	2	1	4	2	2	5	2	2	1	2	1	7	4	1	1	5	5	5	4	7	1	1	1	5	1	2	5	9	1	1	3	2	1	1	4	8	2	1	4	1	1	1	3	15	2	2	3	11	4	3	2	7	1	2	2	7	3	4	2	1	3	2	1	2	1	1	2	2	1	1	8	8	7	8	1	1
3500	-750.119762268023578	-747.023315710011957	-3.096446558011610	0.000010668412688	0.000062407882428	5.849781429637128	0.328805533601900	2	1	5	6	9	5	7	7	5	6	7	9	7	8	9	9	13	13	12	12	15	16	14	14	14	18	17	17	16	18	20	19	19	19	20	23	21	22	22	21	22	22	23	24	23	24	25	23	25	26	25	22	26	26	27	29	26	27	27	27	27	28	27	29	27	28	30	31	29	32	29	29	29	30	31	31	32	32	33	36	40	42	43	45	46	47	48	2	0	1	1	14	2	2	2	2	1	2	9	4	6	14	6	14	2	10	5	6	5	15	15	4	18	16	29	18	18	23	28	28	28	26	42	32	23	2	22	25	37	28	37	0	22	34	23	35	49	36	32	23	47	24	55	41	27	2	46	25	57	45	42	24	60	44	43	52	73	60	58	49	36	64	51	74	53	59	67	0	54	63	12	23	84	84	1	1	1	2	1	3	2	2	2	3	3	2	1	1	1	2	3	7	3	2	6	3	2	2	4	2	4	1	2	3	3	1	1	1	1	1	2	4	8	4	4	1	3	1	1	3	2	4	3	1	1	1	6	1	11	1	2	4	15	1	6	1	2	3	6	1	3	3	6	1	1	1	2	5	1	3	1	3	3	3	1	8	8	16	16	1	2
4000	-675.376606302578693	-673.139003506720201	-2.237602795858540	0.000010852335795	0.000032367253790	2.982514953526725	0.316653206206372	2	1	6	4	9	6	7	6	4	9	8	8	7	9	9	10	13	12	11	12	14	14	14	12	15	17	16	15	14	16	18	18	18	17	21	22	21	22	22	21	22	20	23	24	24	24	24	24	25	25	23	25	22	27	26	29	25	27	28	27	27	27	28	28	28	29	30	31	31	32	27	30	30	30	31	32	32	33	34	37	39	42	43	44	47	48	49	2	0	9	1	2	2	2	2	2	1	2	4	6	9	13	5	24	8	3	8	24	2	16	16	5	18	23	2	20	25	27	14	9	13	16	29	32	35	8	27	33	26	29	37	0	51	28	41	24	43	2	28	2	55	27	63	21	2	2	57	50	57	33	40	41	57	58	46	42	61	57	45	37	59	56	51	74	74	50	78	0	80	50	51	56	84	85	1	1	1	1	3	3	4	3	1	3	4	3	1	3	1	1	1	2	2	3	1	6	3	1	2	3	1	8	1	1	1	2	8	3	4	4	2	1	7	2	3	1	5	2	1	1	4	1	5	1	10	6	6	1	9	1	4	8	14	1	1	1	5	3	2	3	2	4	4	2	1	2	5	2	1	3	1	1	5	2	1	3	9	9	7	2	1
4500	-627.562785879794319	-625.063015255386745	-2.499770624407615	0.000012871622662	0.000048380884503	3.758724581329091	0.271067216421343	2	1	5	6	8	5	7	7	6	9	9	8	4	9	6	9	11	12	10	12	15	15	14	15	16	16	16	15	17	18	20	16	19	17	21	22	22	21	22	21	22	22	24	24	23	24	23	24	24	26	26	25	24	27	26	29	24	27	26	26	27	27	27	29	28	28	30	32	30	31	30	30	29	30	31	32	32	32	34	37	38	40	42	44	46	48	48	2	0	2	13	13	2	15	2	13	6	2	7	2	6	2	4	13	2	2	16	1	4	4	14	13	13	5	14	2	26	3	5	28	20	22	30	40	28	25	34	11	23	20	25	0	37	40	3	17	52	34	14	14	39	25	46	40	2	2	26	49	49	50	61	53	51	44	34	29	53	64	54	54	58	56	74	74	52	74	63	0	81	65	79	68	81	80	1	1	2	2	2	2	1	4	1	2	3	1	2	3	2	2	4	6	5	1	5	3	5	2	6	6	3	2	4	2	8	4	2	3	3	2	1	3	3	2	6	5	5	4	1	1	1	11	5	1	6	9	6	2	6	2	3	16	11	4	2	3	1	1	2	1	2	6	6	3	1	1	1	2	1	1	1	4	2	5	1	1	7	5	7	5	4
