step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	0.50000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.18838	0.83600	0.35675	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98400	0.29000	0.95200	0.34645	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.33000	0.90000	0.34010	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98400	0.34400	0.83800	0.33403	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97800	0.35700	0.74000	0.33176	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.95800	0.35520	0.63800	0.32789	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.94400	0.35367	0.47400	0.32614	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.92800	0.35257	0.48100	0.32474	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.89000	0.35175	0.49533	0.32331	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.87200	0.35178	0.49750	0.32269	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.82000	0.34960	0.50240	0.32166	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.78600	0.34727	0.39800	0.32127	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.86800	0.33833	0.38700	0.32181	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.87200	0.33323	0.41133	0.32325	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.75000	0.32814	0.41050	0.32340	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.73600	0.32333	0.40520	0.32359	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.65400	0.32050	0.40167	0.32374	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.54000	0.31788	0.39171	0.32372	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.42400	0.31589	0.39100	0.32371	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.43000	0.31305	0.39311	0.32346	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.43667	0.31080	0.39120	0.32383	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.43250	0.30781	0.39309	0.32373	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.42960	0.30573	0.38983	0.32337	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.43333	0.30409	0.39062	0.32337	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.43686	0.30333	0.39129	0.32345	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.44025	0.30296	0.39133	0.32355	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.43978	0.30200	0.39175	0.32383	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.43540	0.30148	0.39329	0.32413	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.43709	0.30007	0.39578	0.32430	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.43700	0.30048	0.39621	0.32429	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.43754	0.29933	0.39600	0.32425	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.43700	0.29858	0.39552	0.32414	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.43480	0.29781	0.39573	0.32416	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.43250	0.29648	0.39643	0.32425	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.43188	0.29465	0.39633	0.32467	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.43300	0.29371	0.39648	0.32493	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.43368	0.29272	0.39723	0.32543	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.43600	0.29135	0.39785	0.32555	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.43771	0.29063	0.39771	0.32575	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.43536	0.29046	0.39738	0.32579	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.43617	0.29040	0.39887	0.32593	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.43667	0.28961	0.39735	0.32580	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.43744	0.28924	0.39787	0.32572	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.43738	0.28879	0.39885	0.32573	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.43652	0.28914	0.39982	0.32566	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.43600	0.29013	0.40006	0.32568	0.147789188003540	0.666666666666667	0.170859375000000	0
23500		0.43552	0.28957	0.39944	0.32557	0.147789188003540	0.666666666666667	0.170859375000000	0
24000		0.43680	0.28881	0.39941	0.32558	0.147789188003540	0.666666666666667	0.170859375000000	0
24500		0.43671	0.28863	0.39842	0.32528	0.147789188003540	0.666666666666667	0.170859375000000	0
25000		0.43694	0.28816	0.39795	0.32519	0.147789188003540	0.666666666666667	0.170859375000000	0
25500		0.43642	0.28804	0.39790	0.32524	0.147789188003540	0.666666666666667	0.170859375000000	0
26000		0.43618	0.28776	0.39785	0.32510	0.147789188003540	0.666666666666667	0.170859375000000	0
26500		0.43566	0.28688	0.39800	0.32512	0.147789188003540	0.666666666666667	0.170859375000000	0
27000		0.43644	0.28596	0.39753	0.32507	0.147789188003540	0.666666666666667	0.170859375000000	0
27500		0.43741	0.28607	0.39655	0.32500	0.147789188003540	0.666666666666667	0.170859375000000	0
28000		0.43642	0.28607	0.39751	0.32501	0.147789188003540	0.666666666666667	0.170859375000000	0
28500		0.43595	0.28554	0.39761	0.32510	0.147789188003540	0.666666666666667	0.170859375000000	0
29000		0.43555	0.28484	0.39783	0.32528	0.147789188003540	0.666666666666667	0.170859375000000	0
29500		0.43517	0.28448	0.39813	0.32523	0.147789188003540	0.666666666666667	0.170859375000000	0
30000		0.43429	0.28414	0.39841	0.32505	0.147789188003540	0.666666666666667	0.170859375000000	0
