step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-1653.339841845228193	-1660.195329796187480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.127048667017530	0	2	2	2	6	3	5	6	4	6	5	5	6	7	5	6	7	10	8	9	8	9	7	8	8	10	8	10	9	10	9	9	9	10	9	10	9	10	9	12	11	12	10	13	13	13	12	12	13	13	15	12	14	13	12	14	14	14	15	16	16	14	17	14	15	14	15	16	16	16	17	18	17	17	17	16	19	20	18	19	19	17	18	17	20	21	20	20	19	22	20	20	23	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	2	3	3	3	3	4	3	3	4	5	4	5	4	5	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	7	7	7	6	6	7	7	8	6	7	7	6	7	7	7	8	8	8	7	9	7	8	7	8	8	8	8	9	9	9	9	9	8	10	10	9	10	10	9	9	9	10	11	10	10	10	11	10	10	12	11
500	-657.523488098482403	-664.378976049441803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.367781305074438	1	3	2	2	4	4	6	5	5	6	6	4	6	7	5	7	7	9	8	8	7	9	6	9	8	10	7	10	9	9	9	9	9	11	8	11	9	11	6	12	11	13	11	12	13	14	11	12	14	12	15	10	15	12	11	14	14	13	14	16	16	14	16	12	14	15	15	14	16	16	18	18	17	18	18	17	20	21	18	18	19	16	19	17	21	20	20	19	20	21	20	19	24	22	0	1	1	0	3	3	8	4	2	3	5	2	0	13	2	1	2	7	8	11	0	21	15	27	6	24	9	23	23	13	20	23	23	4	0	15	0	10	2	19	37	29	32	6	26	54	0	6	24	14	3	15	58	10	19	2	31	31	38	65	58	0	65	25	11	48	33	26	39	57	62	17	70	42	84	48	63	67	64	52	3	30	69	0	73	80	79	73	72	87	56	18	84	15	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	4	2	1	2	1	1	1	1	1	1	1	2	2	2	3	1	2	1	4	1	3	1	2	1	2	1	2	1	4	1	1	1	4	3	3	7	2	1	3	2	6	2	2	1	1	1	1	1	2	3	1	2	2	6	1	2	5	1	1	1	2	2	3	4	4	9	2	1	1	2	1	1	1	1	1	3	5	4	9
1000	-742.178546263896692	-749.034034214856092	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522540189444586	1	3	2	2	6	4	6	6	5	7	5	5	6	6	6	6	6	10	7	8	6	8	7	8	8	11	8	10	8	10	10	9	9	11	10	10	10	11	10	10	12	9	10	13	13	13	12	13	13	12	16	12	13	12	12	12	14	14	15	17	15	15	18	14	15	15	15	17	16	16	17	19	17	15	18	17	19	21	18	20	18	15	19	18	21	21	21	21	20	22	20	21	23	23	0	1	1	0	12	2	6	12	6	11	2	3	0	11	6	1	3	22	14	7	0	5	5	17	6	32	12	25	15	13	25	7	19	22	0	8	0	16	19	16	32	10	27	50	42	26	0	32	27	15	59	37	23	14	39	36	39	42	45	40	49	0	64	7	48	46	49	66	57	41	70	56	44	42	59	55	74	71	59	53	62	49	64	0	81	64	81	73	62	91	10	77	84	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	2	2	1	2	1	2	1	2	1	3	2	2	1	1	1	1	2	1	1	2	3	3	1	1	2	3	2	1	2	2	1	3	1	1	2	3	1	1	1	1	1	1	1	4	2	3	1	3	2	2	2	4	3	1	4	1	2	3	1	2	2	1	6	1	2	1
1500	-515.996255187388442	-522.851743138347842	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546043849783663	0	2	2	3	7	4	5	5	4	5	5	6	5	7	6	7	7	8	8	9	9	8	7	9	5	9	9	9	9	10	10	9	9	10	10	11	9	11	8	12	11	12	10	14	14	14	10	13	14	12	16	12	14	13	12	14	15	13	15	16	16	13	17	14	15	15	15	17	15	16	16	19	18	16	17	16	19	20	18	18	18	17	17	18	19	21	19	20	19	21	20	20	24	23	0	1	1	0	8	2	3	4	3	6	1	9	0	4	9	10	25	16	3	23	0	6	6	16	9	12	17	18	16	26	7	23	3	8	0	43	0	16	6	12	15	39	8	42	29	41	0	10	19	47	6	30	35	33	19	52	48	42	38	40	41	0	65	31	12	41	35	22	26	48	56	19	75	46	76	66	48	87	59	61	62	69	15	0	83	88	82	81	37	73	49	82	91	66	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	4	2	1	1	1	3	2	3	2	2	3	1	3	2	1	4	3	1	5	1	2	1	2	1	2	1	2	1	2	1	1	2	4	3	3	3	4	2	1	5	1	1	1	1	3	1	1	2	2	1	3	1	1	1	1	1	7	2	3	1	2	2
2000	-761.282019069228113	-768.137507020187513	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600052799812342	0	2	3	3	6	4	6	5	5	7	6	5	5	6	6	7	7	8	8	10	8	9	6	9	7	9	8	10	9	10	9	10	9	10	7	10	9	11	10	11	10	11	9	13	14	13	12	12	13	13	15	11	13	12	12	15	14	14	15	16	17	14	17	13	15	13	14	15	17	16	17	19	17	18	16	17	18	21	18	19	18	16	18	17	20	21	19	20	20	22	21	20	23	22	0	1	2	0	13	3	3	4	3	9	6	4	0	4	6	23	8	10	9	7	0	16	6	10	6	12	15	33	9	13	9	25	21	4	0	19	0	37	16	36	26	30	35	40	43	14	0	28	31	38	47	26	25	34	7	42	42	48	27	40	56	0	50	42	52	20	38	67	56	45	58	38	57	37	68	70	56	55	59	69	62	49	56	0	68	83	45	74	81	92	24	79	61	92	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	3	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	2	1	2	1	3	2	2	1	3	3	1	1	2	1	2	1	1	1	1	2	1	4	1	6	1	1	1	5	1	1	2	1	2	1	1	2	1	1	2	1	4	1	3	1
2500	-796.604331324253963	-803.459819275213363	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619236766937001	1	3	2	1	7	3	5	5	3	6	5	4	5	8	6	7	7	11	8	10	8	9	7	8	8	10	9	10	10	10	9	9	9	10	9	10	7	11	10	11	12	12	7	13	13	14	11	13	13	12	15	12	14	11	12	15	14	14	15	15	16	14	17	14	16	14	15	16	17	16	16	18	18	15	17	16	19	20	16	18	20	18	17	16	20	20	20	21	19	22	21	21	23	22	0	4	1	0	15	3	6	4	1	9	6	1	0	16	11	13	4	32	17	21	0	11	11	23	15	19	15	3	17	35	13	23	7	35	0	10	0	15	17	25	7	30	12	5	36	55	0	42	36	47	52	25	41	28	26	32	28	42	22	29	58	0	67	5	48	55	45	54	68	46	64	54	44	50	54	54	74	76	66	69	36	58	57	0	69	19	72	63	62	62	73	65	84	51	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	3	2	1	2	1	2	1	1	1	1	2	1	1	4	1	1	3	1	1	1	1	1	1	2	2	1	1	1	2	3	1	2	2	1	1	2	2	1	1	1	3	1	1	1	3	1	2	3	4	2	3	1	1	6	3	1	1	2	5	1	2	2	5	2	2	5	2
3000	-654.675648728448550	-661.531136679407950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.571087013859595	0	3	2	2	6	4	5	6	5	6	6	4	6	6	6	7	7	11	9	10	8	10	7	9	9	9	8	11	10	11	8	10	9	9	9	9	6	10	9	12	11	12	10	13	13	14	13	11	14	14	15	13	13	13	12	13	14	14	15	16	15	14	17	11	15	15	13	16	15	16	16	17	15	17	17	17	20	18	17	18	19	17	18	16	21	22	21	20	17	22	20	20	24	22	0	3	1	0	12	3	2	12	4	6	6	4	0	12	6	9	5	35	31	23	0	35	15	17	11	21	8	24	31	19	13	23	8	16	0	10	0	16	17	6	39	25	9	19	6	40	0	15	52	54	47	28	26	29	48	15	10	30	62	47	44	0	56	10	58	55	33	69	48	55	46	62	48	73	54	57	46	70	69	70	41	52	46	0	59	73	63	44	48	91	9	78	84	75	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	4	1	1	2	1	2	1	1	3	1	1	1	1	2	1	1	3	4	2	1	2	1	1	2	2	1	2	2	1	2	2	1	2	2	1	1	2	2	1	1	1	2	2	4	1	3	5	2	3	5	1	8	1	5	2
3500	-583.122170145301652	-589.977658096261052	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.807198001195858	1	2	2	2	5	3	5	4	4	5	6	5	5	8	5	7	7	11	7	10	8	10	8	8	8	10	8	10	9	10	9	10	9	10	10	11	9	11	9	12	12	13	11	14	12	13	12	11	14	12	14	13	13	12	13	15	15	13	15	17	17	14	17	14	13	14	15	17	15	17	17	18	18	18	16	16	17	20	17	19	17	16	18	16	19	21	20	19	19	22	19	20	22	22	0	1	1	0	6	2	2	4	3	9	12	8	0	13	6	9	13	30	15	5	0	39	6	11	10	14	16	16	17	27	17	23	24	11	0	26	0	9	23	29	34	48	32	53	9	35	0	39	36	36	40	26	28	30	20	45	66	30	50	47	59	0	76	40	48	45	53	56	20	57	56	81	44	71	46	55	5	71	59	68	56	34	41	0	46	83	83	82	72	61	84	72	84	85	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	4	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	4	3	1	1	1	2	3	1	3	1	1	1	1	3	1	1	4	1
4000	-648.543277363811626	-655.398765314771026	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580411437721391	0	2	3	0	7	3	6	7	4	6	5	5	7	8	5	7	8	10	9	8	8	7	6	8	8	10	8	10	9	9	8	10	10	11	9	10	8	9	9	11	12	11	10	12	13	12	13	12	14	13	15	12	13	14	11	13	15	14	15	17	16	14	16	15	16	14	16	15	16	17	17	18	17	18	16	17	19	20	19	20	20	18	18	18	19	21	20	19	19	23	20	20	21	21	0	1	2	0	11	2	4	3	4	2	2	9	0	9	6	15	10	5	25	6	0	10	15	11	6	27	5	13	22	5	10	23	7	19	0	10	0	5	16	33	15	39	29	38	19	17	0	25	30	55	58	13	39	48	31	28	22	17	49	30	49	0	52	24	32	20	44	41	48	57	59	62	47	25	52	46	65	57	70	88	67	75	31	0	70	83	74	66	62	80	84	74	71	80	1	1	1	1	1	1	4	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	2	2	2	1	2	2	1	1	2	3	1	1	1	4	2	1	5	1	1	2	5	4	3	2	2	2	1	1	2	2	4	1	3	3	4	1	1	3	1	3	1	1	2	1	2	3	1	1	1	2	1
4500	-691.257191318707783	-698.112679269667183	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552088834366643	0	2	2	3	6	3	6	7	5	4	6	5	6	8	5	7	7	10	7	9	8	7	7	9	8	10	7	9	9	11	10	9	8	9	8	9	6	10	8	12	11	10	10	14	13	12	12	12	13	13	16	13	14	13	11	14	11	15	15	17	17	14	17	14	15	14	16	16	16	16	18	19	16	18	18	14	19	20	19	18	18	17	18	18	20	21	20	20	20	22	19	19	24	22	0	1	1	0	15	2	6	4	4	2	9	1	0	9	6	37	3	17	15	9	0	9	15	23	5	35	13	7	19	36	19	7	5	8	0	33	0	28	5	18	24	15	28	8	41	26	0	15	42	7	56	48	40	43	17	41	33	20	55	28	58	0	59	25	48	6	20	43	49	20	23	62	55	20	34	57	67	48	68	70	43	53	5	0	74	83	91	45	62	41	84	45	91	77	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	4	2	3	1	1	1	2	1	2	2	2	2	3	1	1	1	4	1	7	3	2	1	3	5	4	2	2	4	2	1	4	1	1	5	1	4	1	2	2	1	4	4	6	1	2	5	1
5000	-420.187486005664198	-427.042973956623598	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741977068581587	0	3	2	2	7	4	5	5	4	6	6	5	7	7	6	6	7	10	8	9	8	8	7	9	7	11	9	9	8	11	10	9	9	11	9	9	10	9	8	12	11	13	11	12	13	14	12	10	13	12	15	12	14	14	12	15	14	14	16	16	17	14	17	15	15	15	15	16	16	16	17	16	17	18	17	16	19	18	17	18	19	18	17	17	18	21	20	21	19	21	19	19	23	20	0	3	1	0	7	3	2	4	1	7	6	9	0	4	6	9	9	21	17	15	0	17	11	25	12	24	5	14	5	24	14	23	29	35	0	16	0	11	15	25	20	52	19	27	7	48	0	15	55	28	49	30	30	52	36	42	55	27	53	47	54	0	62	53	27	54	43	56	53	57	54	67	27	65	51	57	46	54	54	66	72	69	44	0	70	83	56	89	72	56	84	83	84	51	1	1	1	1	1	2	1	2	2	1	1	1	1	4	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	3	1	1	1	1	1	1	2	1	1	2	1	3	1	1	1	1	3	1	2	1	1	1	1	1	2	2	1	1	3	1	2	2	2	2	3	1	1	2	2	1	1	3	1	1	2	2
5500	-647.587521995995303	-654.443009946954703	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612963718335701	1	2	3	3	5	3	6	6	4	7	5	6	6	8	5	7	8	11	7	10	7	10	7	7	8	10	8	8	9	11	10	9	9	9	9	10	8	10	10	12	11	13	11	13	14	14	11	13	14	13	16	12	13	13	13	14	14	15	15	17	16	14	17	14	14	15	12	17	16	15	17	19	17	16	14	15	19	19	19	17	19	16	19	18	20	21	20	20	19	22	20	21	23	22	0	1	2	0	3	1	15	4	4	11	2	11	0	5	6	11	8	33	5	29	0	5	15	4	7	24	19	3	23	36	37	10	3	4	0	14	0	16	28	22	19	27	33	18	48	37	0	30	30	31	32	38	67	43	12	24	39	42	67	40	65	0	51	52	39	55	36	39	67	27	45	16	82	70	50	75	54	75	59	42	5	22	7	0	84	83	71	80	75	88	84	78	84	92	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	3	2	1	1	1	2	1	1	2	2	1	2	1	3	1	1	1	1	3	1	1	1	4	3	3	1	1	3	1	1	1	1	2	2	1	3	2	3	2	5	1	1	1	1	2	3	2	1	6	3	3	1	2	1	1	1	3	1	2	1	3	1
