step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98597	0.19439	1.00000	0.35661	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98400	0.30000	0.90800	0.34808	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98600	0.29400	0.89400	0.34046	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.97400	0.28600	0.85000	0.33403	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.96200	0.29200	0.68200	0.33061	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.94000	0.29960	0.62400	0.32911	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.95200	0.30100	0.46400	0.32594	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.90800	0.29800	0.47900	0.32381	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.85400	0.30175	0.48200	0.32118	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.83200	0.30311	0.49550	0.31980	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.77600	0.30100	0.49680	0.31881	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.75800	0.30000	0.50000	0.31849	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.82800	0.29567	0.50229	0.31905	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.83000	0.29046	0.43400	0.32034	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.72400	0.28186	0.41100	0.32245	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.70200	0.27613	0.41000	0.32366	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.59800	0.27087	0.42100	0.32474	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.51400	0.26718	0.42600	0.32556	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.39400	0.26544	0.42933	0.32627	0.147789188003540	0.666666666666667	0.170859375000000	0
10000		0.41300	0.26337	0.42971	0.32726	0.147789188003540	0.666666666666667	0.170859375000000	0
10500		0.41200	0.26230	0.42475	0.32756	0.147789188003540	0.666666666666667	0.170859375000000	0
11000		0.42100	0.26076	0.41933	0.32773	0.147789188003540	0.666666666666667	0.170859375000000	0
11500		0.42240	0.25909	0.42120	0.32823	0.147789188003540	0.666666666666667	0.170859375000000	0
12000		0.42700	0.25783	0.41673	0.32845	0.147789188003540	0.666666666666667	0.170859375000000	0
12500		0.42086	0.25883	0.41300	0.32830	0.147789188003540	0.666666666666667	0.170859375000000	0
13000		0.42075	0.25848	0.41400	0.32887	0.147789188003540	0.666666666666667	0.170859375000000	0
13500		0.41978	0.25808	0.41614	0.32890	0.147789188003540	0.666666666666667	0.170859375000000	0
14000		0.42120	0.25881	0.41373	0.32921	0.147789188003540	0.666666666666667	0.170859375000000	0
14500		0.42127	0.25721	0.41225	0.32913	0.147789188003540	0.666666666666667	0.170859375000000	0
15000		0.41767	0.25648	0.41424	0.32908	0.147789188003540	0.666666666666667	0.170859375000000	0
15500		0.41738	0.25573	0.41578	0.32973	0.147789188003540	0.666666666666667	0.170859375000000	0
16000		0.41814	0.25406	0.41495	0.33010	0.147789188003540	0.666666666666667	0.170859375000000	0
16500		0.41720	0.25212	0.41720	0.33083	0.147789188003540	0.666666666666667	0.170859375000000	0
17000		0.41437	0.25012	0.41829	0.33134	0.147789188003540	0.666666666666667	0.170859375000000	0
17500		0.41459	0.24982	0.41773	0.33107	0.147789188003540	0.666666666666667	0.170859375000000	0
18000		0.41567	0.25017	0.41635	0.33122	0.147789188003540	0.666666666666667	0.170859375000000	0
18500		0.41516	0.24894	0.41467	0.33152	0.147789188003540	0.666666666666667	0.170859375000000	0
19000		0.41520	0.24795	0.41648	0.33174	0.147789188003540	0.666666666666667	0.170859375000000	0
19500		0.41562	0.24695	0.41592	0.33176	0.147789188003540	0.666666666666667	0.170859375000000	0
20000		0.41591	0.24559	0.41622	0.33177	0.147789188003540	0.666666666666667	0.170859375000000	0
20500		0.41565	0.24475	0.41700	0.33190	0.147789188003540	0.666666666666667	0.170859375000000	0
21000		0.41483	0.24424	0.41710	0.33223	0.147789188003540	0.666666666666667	0.170859375000000	0
21500		0.41632	0.24395	0.41560	0.33221	0.147789188003540	0.666666666666667	0.170859375000000	0
22000		0.41654	0.24344	0.41548	0.33248	0.147789188003540	0.666666666666667	0.170859375000000	0
22500		0.41674	0.24314	0.41594	0.33267	0.147789188003540	0.666666666666667	0.170859375000000	0
23000		0.41814	0.24338	0.41606	0.33272	0.147789188003540	0.666666666666667	0.170859375000000	0
