step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-2882.990473636027218	-2889.845961586986505	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672468883215949	0	0	2	1	2	1	4	3	4	3	5	7	6	9	8	9	9	10	11	12	11	11	13	12	12	12	13	14	13	14	15	16	14	16	16	15	16	16	17	17	16	17	18	18	18	17	18	17	18	17	20	19	18	19	19	19	20	21	19	21	19	22	20	21	21	22	21	22	22	22	23	25	24	25	26	26	26	26	28	28	28	27	27	28	30	30	31	30	29	30	31	31	32	33	32	31	33	33	36	37	37	40	39	42	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	3	5	4	5	5	5	6	6	6	6	7	6	6	6	7	7	7	7	8	8	7	8	8	8	8	8	9	9	8	9	9	9	9	9	9	9	9	9	10	10	9	10	10	10	10	11	10	11	10	11	10	11	11	11	11	11	11	11	12	13	12	13	13	13	13	13	14	14	14	14	14	14	15	15	16	15	15	15	16	16	16	17	16	16	17	17	18	19	19	20	20	21
500	-702.616257039835091	-709.471744990794491	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.189895813953963	1	0	3	1	2	2	3	4	4	3	5	8	6	8	8	9	9	10	10	12	12	12	13	11	11	12	13	14	13	14	14	16	15	13	15	15	16	16	17	15	16	17	17	18	18	17	18	17	18	17	21	20	19	19	20	20	20	21	20	21	19	22	18	21	21	21	22	23	21	22	24	23	24	26	24	27	26	26	28	28	27	26	28	28	29	30	30	31	30	31	32	31	33	33	32	32	32	34	36	37	36	38	39	42	2	0	4	2	2	2	2	2	2	1	6	10	10	2	13	2	2	6	13	2	10	17	19	19	2	3	18	16	2	17	19	31	23	2	17	23	36	23	31	2	30	24	30	2	36	21	34	35	16	31	23	41	41	35	2	16	44	31	2	38	2	2	30	15	2	2	2	58	55	69	0	2	2	15	2	34	2	71	55	2	40	2	59	2	0	2	2	0	69	2	30	2	2	20	2	2	68	72	2	86	59	2	74	2	1	1	1	1	1	1	2	2	2	1	2	2	2	3	1	4	4	4	2	5	5	1	2	1	4	5	2	3	7	4	2	1	1	7	3	1	1	2	1	6	1	4	1	11	2	3	2	1	5	2	3	2	1	2	11	5	1	4	8	3	7	11	2	8	10	10	11	2	1	1	1	12	11	7	12	11	13	1	3	11	6	11	4	12	1	12	11	1	4	16	13	16	16	10	16	15	4	6	15	4	11	15	7	16
1000	-747.307503648954935	-754.162991599914335	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.210405357409274	1	0	3	2	2	1	5	4	4	4	2	5	6	9	8	8	8	8	10	12	11	11	12	13	12	12	14	14	13	14	16	17	14	16	16	15	16	15	18	17	15	18	18	19	19	18	18	17	18	18	21	19	19	19	18	18	19	21	18	21	19	23	21	21	22	22	18	22	23	22	22	25	24	25	27	27	25	27	28	29	28	27	27	28	30	30	31	30	29	31	31	31	32	33	32	32	33	34	37	37	36	39	37	43	2	0	1	2	2	2	5	4	2	2	2	2	6	3	13	13	3	7	17	2	15	14	2	22	2	18	24	19	22	17	30	19	24	24	36	17	22	17	24	18	17	24	36	26	32	32	21	29	30	24	59	41	32	40	16	33	23	59	17	24	32	2	53	54	39	2	2	45	46	52	0	2	2	43	16	2	2	71	39	2	58	2	71	55	0	54	55	0	69	2	67	2	2	91	2	2	41	73	30	97	55	2	60	84	1	1	1	1	1	1	2	1	2	2	1	2	2	3	1	2	3	1	1	5	1	1	5	1	6	2	1	3	1	4	1	3	1	1	1	3	2	2	3	4	4	3	2	3	1	1	4	2	2	2	2	2	1	1	7	2	3	2	3	4	1	8	1	1	2	11	8	2	3	1	1	13	12	4	11	9	12	4	5	14	4	14	2	5	1	5	7	1	3	15	8	14	14	1	14	14	10	5	12	2	8	14	7	10
1500	-751.111988123487095	-757.967476074446495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.237741584325811	1	0	2	1	3	1	4	3	3	4	6	6	7	9	7	9	9	11	12	12	12	11	13	12	10	11	13	14	13	14	15	17	14	16	16	15	16	16	17	17	16	17	19	18	19	18	18	18	18	17	21	19	19	20	19	19	20	22	18	21	19	22	19	20	19	22	21	22	22	23	22	22	25	25	24	25	27	27	27	29	27	27	28	29	31	30	30	30	29	30	31	29	31	33	31	31	34	33	36	37	37	39	39	42	2	0	6	2	2	2	2	2	1	5	2	4	1	12	6	2	2	7	2	2	3	14	2	26	2	1	18	21	18	26	23	36	24	28	30	16	25	15	38	36	17	24	30	2	26	14	16	14	19	18	56	36	41	47	37	39	50	44	30	63	19	64	20	63	47	2	2	64	34	53	0	2	2	55	2	2	2	72	75	2	39	2	81	64	0	79	38	0	74	2	73	2	3	69	2	26	79	67	72	55	72	84	78	84	1	1	1	1	1	1	2	1	2	1	3	2	2	1	3	4	4	4	6	7	5	1	5	1	5	5	1	1	1	2	1	1	1	1	1	4	3	4	1	1	4	3	3	6	3	4	5	5	4	2	1	1	2	2	2	1	2	1	2	1	3	1	4	1	1	10	10	1	2	2	1	12	14	4	9	11	12	2	1	14	5	13	1	5	1	2	10	1	2	15	3	12	15	6	15	9	4	5	8	10	9	7	5	7
2000	-769.539279782954168	-776.394767733913568	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.227969666155545	1	0	1	1	2	2	4	3	4	1	5	7	7	10	8	10	9	9	11	12	12	11	12	11	13	12	14	15	13	14	16	17	14	17	16	16	16	15	18	17	16	16	16	17	19	17	18	18	18	15	19	20	17	20	19	19	19	20	18	21	18	22	21	22	21	23	21	23	22	22	23	26	25	25	26	25	25	26	29	28	28	27	27	29	30	29	31	30	29	30	31	32	31	33	32	31	33	34	34	37	37	40	39	42	2	0	2	2	2	3	1	3	2	2	2	11	1	2	5	18	2	6	16	13	13	14	19	13	2	3	25	17	7	19	25	50	24	42	17	2	3	21	16	28	17	33	17	2	30	22	29	15	37	24	19	59	30	39	28	29	22	53	26	59	2	53	33	55	32	2	2	30	12	46	0	18	17	67	24	25	2	36	52	17	70	17	45	72	0	75	77	0	77	2	73	2	37	90	2	44	96	79	81	90	99	81	78	73	1	1	1	1	1	1	2	2	1	1	2	1	3	4	4	1	5	4	1	2	2	1	1	2	8	5	1	4	6	2	2	2	2	1	3	9	7	2	3	1	2	1	3	7	2	4	2	5	1	2	4	1	2	1	2	3	5	2	4	1	9	3	2	2	2	9	11	4	7	2	1	11	12	2	7	6	7	5	4	13	4	9	5	1	1	1	3	1	2	15	3	13	10	2	14	7	1	3	3	4	3	6	7	7
2500	-727.768434270418652	-734.623922221378052	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.292372032820930	1	0	2	1	3	2	5	4	4	4	6	7	6	9	9	10	9	11	10	13	12	12	13	11	12	12	14	15	14	14	16	16	14	16	17	15	15	17	17	16	16	17	17	19	18	18	18	16	18	17	20	19	17	18	20	19	20	21	20	20	19	22	18	22	21	23	21	22	21	22	22	24	24	25	26	26	26	25	26	29	28	27	26	28	30	29	31	31	29	31	31	31	31	34	32	32	33	34	35	36	37	38	39	41	2	0	1	2	2	2	9	2	2	1	10	10	9	2	12	2	2	3	12	2	15	3	19	19	17	12	14	25	2	22	16	2	2	27	26	30	2	34	2	27	27	25	36	45	36	50	48	30	33	24	30	32	33	48	32	42	34	45	36	53	16	37	43	59	32	46	30	45	39	30	0	2	2	41	46	71	2	64	46	2	58	76	71	72	0	82	72	0	81	17	84	37	37	71	16	74	92	91	46	84	96	93	80	93	1	1	1	1	2	1	1	2	2	1	1	1	1	5	1	6	4	4	1	8	1	5	1	1	3	3	4	1	6	1	2	5	6	1	3	1	6	1	6	1	1	2	2	1	1	1	1	1	2	4	3	2	1	1	2	1	2	2	3	2	4	4	1	1	2	3	3	3	2	3	1	13	12	4	5	3	8	1	4	13	3	1	2	2	1	1	4	1	1	15	1	9	6	5	13	4	1	2	8	3	2	5	3	5
3000	-686.773915932853129	-693.629403883812529	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.313231260211659	1	0	2	2	3	2	4	3	3	4	5	7	6	9	9	9	8	10	11	12	11	12	13	12	12	13	13	14	12	15	15	17	14	16	15	15	16	14	16	17	16	17	19	18	18	16	18	17	17	17	21	19	18	19	20	19	20	22	19	19	19	23	21	21	20	22	22	21	22	21	22	26	24	25	27	27	26	26	26	28	28	26	28	27	31	31	28	31	29	30	31	32	32	34	33	31	32	32	37	36	34	40	39	43	2	0	2	2	3	2	3	3	3	3	3	3	2	3	3	2	3	15	18	2	10	16	18	17	2	12	17	16	15	23	23	23	24	17	2	26	30	21	28	22	22	17	37	36	36	28	29	26	22	33	36	47	30	42	30	44	40	57	30	24	25	36	56	50	54	65	53	32	65	23	0	2	2	39	48	71	2	57	66	3	56	71	40	72	0	82	78	0	70	2	84	84	73	70	2	72	86	91	72	83	96	101	88	101	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	5	3	1	1	8	3	1	2	2	3	4	2	2	2	1	1	2	1	3	9	1	1	1	1	2	2	5	1	2	2	1	2	2	1	1	2	1	1	1	3	1	3	1	2	4	2	5	1	2	1	1	3	2	1	3	1	11	11	4	5	3	8	3	1	11	4	3	6	1	1	3	1	1	5	16	2	4	5	7	11	2	1	1	6	4	1	4	4	5
3500	-693.440378187500528	-700.295866138459928	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.326369774417686	1	0	3	2	3	2	4	2	4	2	3	8	6	9	8	9	9	9	11	12	11	11	14	12	13	12	14	15	13	14	15	15	15	16	16	16	13	16	17	15	16	16	18	19	17	18	18	18	18	18	20	17	18	20	19	19	21	22	18	22	20	22	20	20	21	22	21	22	21	21	22	25	24	24	27	26	24	27	28	29	27	27	26	28	31	30	31	30	29	30	32	31	32	32	32	32	34	32	37	37	37	40	37	41	2	0	4	2	2	2	1	1	3	2	2	6	6	10	4	15	2	10	2	2	15	2	24	15	17	1	26	16	3	37	16	30	17	25	2	37	24	18	16	19	17	24	33	19	30	26	38	42	17	16	30	19	2	36	38	24	48	70	38	59	33	52	31	52	47	24	59	55	44	55	0	2	2	66	56	71	2	56	70	19	62	71	51	72	0	82	76	0	28	2	84	84	72	79	78	56	77	84	72	97	98	72	80	96	1	1	1	1	2	1	2	1	1	1	1	4	2	3	3	1	5	4	5	7	1	6	2	3	2	4	1	3	5	1	4	1	3	1	8	2	1	2	5	2	2	2	1	4	2	3	1	1	6	5	4	4	7	2	1	3	2	1	2	3	2	1	3	1	1	3	2	2	2	1	1	14	10	1	3	2	8	5	5	7	2	3	3	1	1	1	3	1	7	16	2	2	4	2	2	7	6	2	6	1	2	7	4	5
4000	-716.267642976000275	-723.123130926959675	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.367423952402248	1	0	3	1	2	2	4	4	4	3	6	8	7	8	9	9	10	10	10	11	12	11	14	12	12	12	13	15	14	13	15	16	14	14	16	16	16	15	18	16	17	16	19	18	16	18	18	15	17	17	20	19	19	19	19	19	18	22	20	21	20	23	21	22	21	22	22	22	23	21	23	25	24	25	25	26	27	27	27	28	28	27	27	26	31	29	32	29	30	31	30	32	33	34	32	30	33	34	37	37	36	38	39	43	2	0	1	2	2	1	1	2	6	1	9	3	8	2	12	2	2	3	2	18	22	19	18	18	22	19	19	3	3	26	19	24	26	2	17	30	18	23	19	18	2	3	34	48	28	25	32	4	2	38	37	2	16	48	36	17	42	48	55	41	50	48	44	55	28	61	26	37	63	55	0	2	17	52	71	71	2	71	52	28	69	75	14	60	0	82	86	0	66	2	72	84	84	87	78	18	73	91	98	93	98	54	100	99	1	1	1	1	1	1	1	2	1	1	1	2	2	4	1	3	5	4	4	1	1	1	2	1	1	1	2	5	5	1	2	1	1	7	2	2	3	1	4	2	5	6	2	2	1	3	1	8	7	1	2	9	5	1	1	5	1	6	1	3	2	3	1	1	6	2	4	3	1	1	1	10	8	2	1	3	9	2	3	6	2	1	7	3	1	1	1	1	4	15	2	2	4	1	2	12	4	2	2	2	1	6	1	3
4500	-634.894590819810105	-641.750078770769505	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.361257955717248	1	0	2	1	2	2	3	2	5	3	4	7	6	8	8	7	9	11	11	12	10	12	13	12	13	10	13	15	13	13	15	16	14	17	16	15	17	17	17	17	16	17	18	18	17	17	18	17	18	16	20	19	16	19	20	19	20	19	19	21	19	23	20	21	21	22	21	22	20	21	23	23	24	25	24	27	27	25	28	29	28	28	27	27	29	28	31	30	30	30	31	32	33	32	33	31	32	31	36	37	35	40	38	42	2	0	1	2	2	2	6	2	5	3	2	3	10	2	6	2	2	2	2	2	2	18	26	16	14	8	16	22	26	17	22	24	18	22	17	25	17	28	31	25	19	24	30	35	30	33	50	27	2	33	49	2	18	31	45	33	47	36	36	34	48	60	47	36	61	24	58	55	36	59	0	63	57	64	71	71	22	75	14	75	71	78	78	73	0	18	78	0	75	2	73	84	79	90	87	73	36	84	98	89	98	101	93	102	1	1	1	1	1	1	1	1	1	1	2	2	1	4	3	3	6	6	4	5	6	1	1	2	4	4	3	2	2	2	1	3	2	3	3	1	4	2	1	2	3	3	3	2	2	1	1	2	8	1	1	10	3	2	1	4	1	1	2	2	2	1	2	4	1	5	1	2	3	1	1	1	3	1	1	1	10	1	9	4	4	2	1	1	1	7	3	1	3	15	4	2	2	1	1	3	8	2	4	3	3	3	2	1
