step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98397	0.14629	1.00000	0.34477	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.98600	0.21600	0.95600	0.34182	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.99400	0.32000	0.92000	0.34374	0.000225000000000	0.444444444444444	0.022500000000000	0
2000		0.98400	0.32400	0.83600	0.33771	0.000337500000000	0.444444444444444	0.033750000000000	0
2500		0.96600	0.33000	0.81400	0.33657	0.000506250000000	0.444444444444444	0.050625000000000	0
3000		0.96800	0.34650	0.70200	0.33335	0.000759375000000	0.444444444444444	0.075937500000000	0
3500		0.94400	0.35880	0.56800	0.33018	0.001139062500000	0.444444444444444	0.113906250000000	0
4000		0.93800	0.36400	0.39200	0.32757	0.001708593750000	0.444444444444444	0.170859375000000	0
4500		0.88200	0.36314	0.40600	0.32673	0.002562890625000	0.444444444444444	0.170859375000000	0
5000		0.85800	0.37000	0.39800	0.32556	0.003844335937500	0.444444444444444	0.170859375000000	0
5500		0.84600	0.37733	0.38500	0.32327	0.005766503906250	0.444444444444444	0.170859375000000	0
6000		0.80800	0.38440	0.38040	0.32175	0.008649755859375	0.444444444444444	0.170859375000000	0
6500		0.82600	0.38273	0.38267	0.32094	0.012974633789063	0.444444444444444	0.170859375000000	0
7000		0.89000	0.38400	0.37886	0.32038	0.019461950683594	0.444444444444444	0.170859375000000	0
7500		0.77800	0.38338	0.38325	0.32117	0.029192926025391	0.444444444444444	0.170859375000000	0
8000		0.70600	0.38286	0.38733	0.32118	0.043789389038086	0.444444444444444	0.170859375000000	0
8500		0.65400	0.38200	0.38660	0.32165	0.065684083557129	0.444444444444444	0.170859375000000	0
9000		0.55000	0.37925	0.38836	0.32253	0.098526125335693	0.444444444444444	0.170859375000000	0
9500		0.42800	0.37671	0.38833	0.32306	0.147789188003540	0.444444444444444	0.170859375000000	0
10000		0.44400	0.37778	0.39062	0.32289	0.147789188003540	0.444444444444444	0.170859375000000	0
10500		0.43867	0.37632	0.39071	0.32268	0.147789188003540	0.444444444444444	0.170859375000000	0
11000		0.43750	0.37560	0.39293	0.32328	0.147789188003540	0.444444444444444	0.170859375000000	0
11500		0.43680	0.37714	0.39263	0.32292	0.147789188003540	0.444444444444444	0.170859375000000	0
12000		0.43467	0.37509	0.39529	0.32304	0.147789188003540	0.444444444444444	0.170859375000000	0
12500		0.43200	0.37548	0.39344	0.32299	0.147789188003540	0.444444444444444	0.170859375000000	0
13000		0.42975	0.37350	0.39442	0.32336	0.147789188003540	0.444444444444444	0.170859375000000	0
13500		0.43311	0.37304	0.39510	0.32328	0.147789188003540	0.444444444444444	0.170859375000000	0
14000		0.42940	0.37092	0.39533	0.32372	0.147789188003540	0.444444444444444	0.170859375000000	0
14500		0.42455	0.36926	0.39645	0.32459	0.147789188003540	0.444444444444444	0.170859375000000	0
15000		0.42217	0.36707	0.39739	0.32469	0.147789188003540	0.444444444444444	0.170859375000000	0
15500		0.42123	0.36772	0.39608	0.32501	0.147789188003540	0.444444444444444	0.170859375000000	0
16000		0.42257	0.36700	0.39664	0.32531	0.147789188003540	0.444444444444444	0.170859375000000	0
16500		0.42120	0.36581	0.39862	0.32559	0.147789188003540	0.444444444444444	0.170859375000000	0
