step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99599	0.26052	1.00000	0.42606	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99200	0.24625	0.95800	0.41985	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.99400	0.33800	0.91200	0.41409	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98600	0.32400	0.85600	0.40862	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.97400	0.32467	0.77600	0.40379	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.98400	0.32700	0.73400	0.39999	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.94600	0.32640	0.64200	0.39756	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.93600	0.32367	0.45600	0.39658	0.001708593750000	0.666666666666667	0.170859375000000	0
4500		0.92800	0.32257	0.44800	0.39451	0.002562890625000	0.666666666666667	0.170859375000000	0
5000		0.82400	0.31575	0.44267	0.39279	0.003844335937500	0.666666666666667	0.170859375000000	0
5500		0.81600	0.31222	0.44500	0.39021	0.005766503906250	0.666666666666667	0.170859375000000	0
6000		0.82600	0.30860	0.45120	0.38893	0.008649755859375	0.666666666666667	0.170859375000000	0
6500		0.85200	0.29836	0.44333	0.38741	0.012974633789063	0.666666666666667	0.170859375000000	0
7000		0.82400	0.28950	0.44486	0.38742	0.019461950683594	0.666666666666667	0.170859375000000	0
7500		0.71800	0.28154	0.44275	0.38741	0.029192926025391	0.666666666666667	0.170859375000000	0
8000		0.68400	0.27129	0.44289	0.38722	0.043789389038086	0.666666666666667	0.170859375000000	0
8500		0.56000	0.26227	0.44220	0.38761	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.41800	0.25425	0.44055	0.38816	0.098526125335693	0.666666666666667	0.170859375000000	0
9500		0.43500	0.24765	0.44267	0.38890	0.098526125335693	0.666666666666667	0.170859375000000	0
10000		0.42400	0.24156	0.44631	0.38894	0.098526125335693	0.666666666666667	0.170859375000000	0
10500		0.41550	0.23642	0.44971	0.38917	0.098526125335693	0.666666666666667	0.170859375000000	0
11000		0.41920	0.23230	0.45053	0.38979	0.098526125335693	0.666666666666667	0.170859375000000	0
11500		0.41767	0.22857	0.45337	0.38999	0.098526125335693	0.666666666666667	0.170859375000000	0
12000		0.41571	0.22491	0.45341	0.38972	0.098526125335693	0.666666666666667	0.170859375000000	0
12500		0.41800	0.22278	0.45289	0.38961	0.098526125335693	0.666666666666667	0.170859375000000	0
13000		0.42644	0.22125	0.45368	0.38943	0.098526125335693	0.666666666666667	0.170859375000000	0
13500		0.42640	0.21776	0.45430	0.38923	0.098526125335693	0.666666666666667	0.170859375000000	0
14000		0.42764	0.21569	0.45438	0.38944	0.098526125335693	0.666666666666667	0.170859375000000	0
14500		0.42700	0.21259	0.45491	0.38924	0.098526125335693	0.666666666666667	0.170859375000000	0
15000		0.42569	0.20986	0.45496	0.38943	0.098526125335693	0.666666666666667	0.170859375000000	0
15500		0.42771	0.20772	0.45633	0.38963	0.098526125335693	0.666666666666667	0.170859375000000	0
16000		0.42907	0.20667	0.45528	0.38971	0.098526125335693	0.666666666666667	0.170859375000000	0
16500		0.43000	0.20542	0.45592	0.38974	0.098526125335693	0.666666666666667	0.170859375000000	0
17000		0.43118	0.20419	0.45600	0.38957	0.098526125335693	0.666666666666667	0.170859375000000	0
17500		0.43011	0.20261	0.45643	0.38954	0.098526125335693	0.666666666666667	0.170859375000000	0
18000		0.43032	0.20194	0.45552	0.38928	0.098526125335693	0.666666666666667	0.170859375000000	0
18500		0.42990	0.20126	0.45713	0.38950	0.098526125335693	0.666666666666667	0.170859375000000	0
19000		0.43152	0.20033	0.45652	0.38980	0.098526125335693	0.666666666666667	0.170859375000000	0
19500		0.43218	0.19941	0.45700	0.38988	0.098526125335693	0.666666666666667	0.170859375000000	0
20000		0.43217	0.19821	0.45709	0.39002	0.098526125335693	0.666666666666667	0.170859375000000	0
20500		0.43067	0.19615	0.45765	0.39006	0.098526125335693	0.666666666666667	0.170859375000000	0
21000		0.42984	0.19545	0.45800	0.39010	0.098526125335693	0.666666666666667	0.170859375000000	0
21500		0.42908	0.19444	0.45783	0.38996	0.098526125335693	0.666666666666667	0.170859375000000	0
22000		0.42911	0.19367	0.45886	0.38997	0.098526125335693	0.666666666666667	0.170859375000000	0
22500		0.42807	0.19293	0.45884	0.39013	0.098526125335693	0.666666666666667	0.170859375000000	0
23000		0.42834	0.19186	0.45790	0.39016	0.098526125335693	0.666666666666667	0.170859375000000	0
23500		0.42960	0.19204	0.45750	0.39027	0.098526125335693	0.666666666666667	0.170859375000000	0
24000		0.42903	0.19113	0.45751	0.39031	0.098526125335693	0.666666666666667	0.170859375000000	0
24500		0.43006	0.19060	0.45719	0.39029	0.098526125335693	0.666666666666667	0.170859375000000	0
25000		0.43097	0.18954	0.45735	0.39034	0.098526125335693	0.666666666666667	0.170859375000000	0
25500		0.43218	0.18922	0.45795	0.39014	0.098526125335693	0.666666666666667	0.170859375000000	0
26000		0.43211	0.18888	0.45716	0.39011	0.098526125335693	0.666666666666667	0.170859375000000	0
26500		0.43267	0.18914	0.45713	0.38997	0.098526125335693	0.666666666666667	0.170859375000000	0
27000		0.43292	0.18881	0.45766	0.38991	0.098526125335693	0.666666666666667	0.170859375000000	0
27500		0.43226	0.18781	0.45829	0.38986	0.098526125335693	0.666666666666667	0.170859375000000	0
28000		0.43210	0.18689	0.45873	0.38983	0.098526125335693	0.666666666666667	0.170859375000000	0
28500		0.43255	0.18629	0.45880	0.38994	0.098526125335693	0.666666666666667	0.170859375000000	0
29000		0.43312	0.18579	0.45804	0.38983	0.098526125335693	0.666666666666667	0.170859375000000	0
29500		0.43405	0.18463	0.45812	0.38960	0.098526125335693	0.666666666666667	0.170859375000000	0
30000		0.43316	0.18431	0.45804	0.38975	0.098526125335693	0.666666666666667	0.170859375000000	0
30500		0.43282	0.18444	0.45819	0.38974	0.098526125335693	0.666666666666667	0.170859375000000	0
31000		0.43204	0.18420	0.45800	0.38966	0.098526125335693	0.666666666666667	0.170859375000000	0
31500		0.43196	0.18380	0.45843	0.38956	0.098526125335693	0.666666666666667	0.170859375000000	0
32000		0.43281	0.18339	0.45839	0.38964	0.098526125335693	0.666666666666667	0.170859375000000	0
32500		0.43242	0.18276	0.45800	0.38963	0.098526125335693	0.666666666666667	0.170859375000000	0
33000		0.43245	0.18209	0.45780	0.38967	0.098526125335693	0.666666666666667	0.170859375000000	0
33500		0.43312	0.18175	0.45710	0.38953	0.098526125335693	0.666666666666667	0.170859375000000	0
34000		0.43310	0.18148	0.45679	0.38931	0.098526125335693	0.666666666666667	0.170859375000000	0
34500		0.43231	0.18093	0.45710	0.38916	0.098526125335693	0.666666666666667	0.170859375000000	0
35000		0.43249	0.18024	0.45733	0.38918	0.098526125335693	0.666666666666667	0.170859375000000	0
35500		0.43311	0.17968	0.45769	0.38924	0.098526125335693	0.666666666666667	0.170859375000000	0
36000		0.43258	0.17894	0.45714	0.38930	0.098526125335693	0.666666666666667	0.170859375000000	0
36500		0.43304	0.17862	0.45779	0.38941	0.098526125335693	0.666666666666667	0.170859375000000	0
37000		0.43196	0.17811	0.45815	0.38961	0.098526125335693	0.666666666666667	0.170859375000000	0
37500		0.43166	0.17767	0.45815	0.38959	0.098526125335693	0.666666666666667	0.170859375000000	0
38000		0.43153	0.17724	0.45846	0.38957	0.098526125335693	0.666666666666667	0.170859375000000	0
38500		0.43163	0.17685	0.45849	0.38944	0.098526125335693	0.666666666666667	0.170859375000000	0
39000		0.43164	0.17650	0.45893	0.38950	0.098526125335693	0.666666666666667	0.170859375000000	0
39500		0.43145	0.17605	0.45925	0.38957	0.098526125335693	0.666666666666667	0.170859375000000	0
40000		0.43114	0.17567	0.45915	0.38959	0.098526125335693	0.666666666666667	0.170859375000000	0
