step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-13721.965908721596861	-13720.503826637077509	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.579271479059934	0	2	1	3	4	4	4	5	7	7	6	8	7	7	8	8	7	8	9	9	8	10	10	10	10	10	11	12	11	11	12	13	11	13	11	12	14	13	13	12	14	14	15	15	15	14	17	16	19	16	18	17	18	19	18	17	19	20	20	21	20	21	23	21	20	21	20	21	22	23	22	22	23	21	22	22	23	26	23	25	25	26	26	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	3	4	4	4	4	4	4	4	5	5	4	5	5	5	5	5	6	6	6	6	6	7	6	7	6	6	7	7	7	6	7	7	8	8	8	7	9	8	10	8	9	9	9	10	9	9	10	10	10	11	10	11	12	11	10	11	10	11	11	12	11	11	12	11	11	11	12	13	12	13	13	13	13	14	16
500	-743.140945574960483	-741.617703678094472	-1.523241896865973	0.000010020287075	0.000011640886616	1.161731847505349	0.378286144295799	0	3	1	4	5	4	3	5	7	5	5	8	7	8	8	9	7	7	9	9	6	10	9	10	9	10	12	12	10	11	12	11	11	12	11	12	14	14	13	12	13	14	14	16	14	14	17	16	19	17	18	18	18	20	16	18	17	21	21	21	20	22	24	21	19	22	19	21	23	24	21	23	23	20	22	23	22	26	23	25	25	26	26	29	33	0	1	0	7	3	3	3	4	7	3	6	5	11	13	13	5	1	7	8	18	4	13	11	9	7	18	19	19	18	18	13	3	20	26	15	22	33	32	19	32	9	33	24	40	29	41	48	45	32	43	55	44	28	55	25	41	45	56	51	45	55	47	24	45	26	58	56	57	26	43	67	77	61	26	57	24	67	69	59	25	65	45	69	57	0	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	4	2	2	1	1	1	2	2	3	3	1	2	2	3	2	7	1	2	2	1	2	2	2	1	4	1	3	2	2	1	1	1	7	2	1	1	3	3	2	3	3	1	1	3	2	3	7	3	4	1	1	2	6	7	1	1	1	5	3	8	1	2	1	12	4	9	1	9	1
1000	-646.332297847989707	-644.536514871657914	-1.795782976331745	0.000010027191542	0.000018332164223	1.828245141854254	0.387953929767783	0	2	1	2	4	4	4	5	5	7	6	9	7	8	8	9	7	8	9	10	8	10	8	10	8	9	11	11	11	10	12	13	12	13	11	13	14	14	13	13	13	14	13	14	13	14	16	17	19	16	17	16	16	20	18	18	16	20	20	21	20	21	24	21	20	19	20	21	23	23	21	20	22	21	23	23	23	26	22	26	26	27	26	29	33	0	1	0	3	3	3	4	4	6	5	6	17	6	13	9	2	2	7	8	7	17	25	6	8	7	7	19	19	22	25	13	23	30	18	19	29	18	23	20	23	29	20	20	26	26	41	44	45	51	43	24	36	29	47	45	46	44	66	39	44	55	57	50	55	57	37	24	57	62	43	45	56	49	26	65	57	58	69	38	57	71	57	76	57	0	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	4	3	2	3	3	1	1	2	3	2	2	1	1	1	1	2	5	1	3	2	1	4	3	2	3	1	2	2	3	2	1	1	2	2	2	2	1	3	2	3	1	1	1	3	3	1	2	6	2	1	1	5	3	1	6	3	2	1	9	3	6	2	1	5	4	4	8	1	8	1
1500	-559.476151692159647	-557.534886045404505	-1.941265646755145	0.000010022254984	0.000021957360573	2.190860301269981	0.451897432742466	0	1	1	3	3	5	4	5	8	7	7	8	7	8	9	7	8	9	6	8	9	11	10	10	11	10	11	12	11	11	12	14	12	14	11	13	14	13	13	12	15	14	14	14	15	14	17	16	19	16	18	17	18	18	17	17	16	20	19	21	21	20	23	21	21	22	19	19	21	24	22	23	24	21	22	22	24	26	23	25	25	27	27	29	32	0	1	0	3	3	5	4	4	19	5	7	13	6	13	13	7	4	16	8	11	10	8	10	7	20	7	19	19	11	20	15	38	18	26	15	11	11	23	15	23	18	33	29	40	30	24	48	34	32	43	57	45	57	47	45	46	45	56	45	45	55	57	43	55	53	56	44	57	68	50	41	22	69	58	65	57	66	68	74	62	75	53	76	57	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	1	3	2	3	3	2	3	2	1	1	2	3	1	2	3	2	2	1	3	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	1	2	3	2	2	2	5	3	2	3	5	2	1	5	2	6	1	1	1	6	1	3	1	2	2	4	3	7	1
2000	-632.541829480082242	-630.742009331216877	-1.799820148865402	0.000010089569175	0.000018546051148	1.838141037089759	0.506125928912588	-1	3	1	3	3	3	4	6	8	6	6	9	7	8	9	9	7	9	9	8	9	11	10	11	11	10	11	11	12	10	11	13	11	13	11	12	14	12	13	12	13	14	16	16	16	15	17	17	19	16	19	17	16	20	19	18	17	20	20	21	20	20	24	21	19	21	20	20	22	22	21	22	23	22	22	22	23	27	23	25	25	26	26	28	33	0	1	0	3	3	3	4	4	8	5	4	13	4	13	13	4	2	7	11	7	8	23	5	16	30	7	12	19	33	20	13	38	7	25	9	33	30	23	27	22	36	20	26	42	29	29	45	45	38	26	43	43	46	47	48	46	45	56	53	48	55	57	43	47	57	56	11	57	68	43	34	58	49	58	65	57	74	53	66	72	75	69	62	57	0	1	2	1	2	1	1	1	2	1	2	2	1	1	1	1	3	1	2	2	2	1	1	4	1	1	3	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	3	3	1	2	2	1	1	4	3	2	1	1	2	2	2	1	1	2	2	1	2	3	2	1	2	6	1	1	2	3	1	3	1	2	3	1	3	1	1	2	3	3	6	1
2500	-652.712586797374001	-650.782275066659054	-1.930311730714986	0.000010198585352	0.000022060186480	2.163063377798792	0.653694490920497	0	3	2	4	4	5	5	6	6	7	6	9	7	8	8	8	4	7	8	8	8	10	9	10	10	10	12	12	11	11	12	13	11	13	11	11	13	12	12	12	13	13	14	15	15	15	17	17	19	16	19	17	19	19	19	17	18	20	20	21	21	20	20	22	20	21	21	22	22	22	23	23	23	21	22	23	23	27	23	24	25	24	27	28	32	0	1	0	3	3	3	4	4	5	5	5	10	3	13	13	7	1	7	4	18	7	19	17	14	18	20	19	22	25	20	3	23	16	30	26	7	18	23	33	23	33	30	25	32	42	41	45	45	38	43	52	40	48	57	47	46	37	56	54	45	55	57	43	55	57	58	58	62	62	50	66	59	69	58	65	62	58	82	61	54	75	69	69	80	0	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	5	2	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	3	1	1	3	1	1	1	1	3	2	1	3	1	1	3	2	1	1	1	1	1	4	1	1	1	1	2	2	2	2	1	2	1	1	3	3	1
3000	-501.317678083561646	-499.684138836453201	-1.633539247108439	0.000010472424148	0.000015020225747	1.434264458243277	0.686499557434073	-1	2	1	3	4	5	5	6	7	6	6	8	6	8	9	8	7	9	9	9	8	10	10	10	9	10	9	12	11	11	13	13	11	13	12	12	14	14	12	12	13	15	13	15	15	15	16	16	18	17	18	17	18	17	19	17	19	20	20	21	21	22	24	20	20	20	20	21	22	24	22	22	23	21	22	21	23	26	23	23	26	25	26	29	32	0	1	0	3	3	5	4	4	5	3	4	3	5	13	16	13	11	7	8	7	11	12	17	11	17	20	8	19	25	25	16	23	25	18	20	8	25	23	19	23	18	33	36	41	37	41	20	45	38	43	45	41	52	47	47	46	51	56	56	51	55	57	43	55	57	56	42	57	68	50	65	59	60	58	65	57	58	82	62	62	75	69	82	80	0	1	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	2	1	2	1	1	2	3	2	1	2	1	1	1	3	2	1	2	2	4	3	2	1	1	2	2	1	1	1	1	4	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	7	1	1	2	2	1	1	3	1	1	1	1	1	1	2	1	1	1	2	1	1	3	1
3500	-603.676521363910524	-601.860396523665258	-1.816124840245281	0.000010791654404	0.000020268757263	1.878188135321331	0.639820567968139	0	2	1	3	4	5	5	5	8	8	6	9	7	8	9	8	8	9	10	9	8	10	11	10	9	10	11	12	11	9	12	13	11	13	11	12	14	13	13	12	14	15	16	15	15	15	16	16	19	15	18	15	18	18	18	16	18	20	21	21	20	21	24	21	19	21	20	22	21	24	23	22	24	22	21	22	24	27	23	24	25	25	27	27	32	0	1	0	3	3	5	4	4	11	11	6	17	6	13	13	13	5	7	17	7	8	16	16	7	7	7	24	19	7	7	9	23	30	25	15	21	33	23	31	23	26	25	25	36	25	18	35	33	23	18	43	33	46	12	47	46	47	56	48	47	45	57	50	55	57	56	54	57	54	50	75	62	60	41	65	57	66	82	65	76	75	67	82	80	0	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	4	2	3	1	1	3	1	2	1	1	2	1	3	2	2	1	1	2	3	2	1	3	3	2	2	5	2	1	2	1	3	1	1	1	1	2	2	3	2	3	1	1	4	2	2	1	5	1	1	1	4	1	2	2	1	2	1	2	2	2	2	1
4000	-523.041693867052345	-521.595985647439079	-1.445708219613299	0.000011916112026	0.000011363471788	0.953622436864571	0.696365115306907	0	2	1	4	4	5	5	6	8	8	6	8	8	8	6	9	7	7	9	9	9	8	10	10	11	11	11	13	12	9	12	13	11	13	9	12	13	11	12	12	14	15	14	15	15	15	16	16	18	16	18	16	17	17	18	17	19	21	19	21	19	21	22	20	20	22	21	22	23	23	22	21	22	20	22	22	23	26	24	25	25	25	26	28	31	0	1	0	3	3	5	4	4	15	5	4	15	17	15	6	15	6	7	17	18	3	8	13	14	30	35	4	19	7	18	13	38	7	25	18	35	35	23	23	23	36	37	29	40	36	26	45	45	32	43	48	32	41	47	47	46	54	56	49	46	55	57	43	55	57	67	42	57	62	50	72	57	67	56	65	72	58	82	67	72	75	69	82	80	0	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	4	1	1	1	1	1	3	3	4	1	2	1	3	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	3	1	1	1	3	2	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1
4500	-476.473818599197500	-474.814345794206986	-1.659472804990530	0.000014022040852	0.000020992815424	1.497129814811632	0.720990477803572	0	2	2	4	4	5	5	6	7	6	6	8	6	8	8	8	8	9	8	9	9	9	9	11	10	10	10	12	12	11	12	13	8	13	10	13	14	13	14	13	15	14	15	16	15	14	16	17	18	17	17	18	18	18	18	17	19	20	19	21	20	22	23	20	20	22	21	22	23	24	23	22	24	22	22	22	23	26	23	26	26	26	27	28	32	0	1	0	3	3	3	4	4	11	5	4	11	5	13	13	11	5	33	8	7	8	9	16	20	33	33	9	9	18	20	13	23	7	25	18	29	36	23	30	23	46	36	24	32	36	20	45	45	44	43	44	50	48	47	45	46	54	56	55	53	55	57	50	55	59	58	51	57	76	50	64	61	72	58	65	57	58	57	66	62	62	69	78	80	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	1	5	2	1	1	1	1	1	2	1	2	1	1	3	1	1	3	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	2	3	1	1	1	2	1	1	3	1	1	1	1	1	1	1	3	1	2	2	2	1	1	1
