step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-730.786491853943176	-729.324409769424278	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.504580040844427	0	2	3	4	5	5	6	5	7	10	8	9	9	9	8	11	10	10	10	9	11	10	11	11	13	13	11	12	12	11	12	11	11	13	11	11	12	13	12	12	13	13	14	14	13	12	13	13	14	14	15	15	14	15	15	14	16	16	16	16	17	16	17	17	20	18	19	19	20	20	20	20	20	21	21	21	22	22	22	22	23	22	24	23	25	26	28	28	27	29	31	31	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	5	4	5	5	5	4	6	5	5	5	5	6	5	6	6	7	7	6	6	6	6	6	6	6	7	6	6	6	7	6	6	7	7	7	7	7	6	7	7	7	7	8	8	7	8	8	7	8	8	8	8	9	8	9	9	10	9	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	11	12	12	13	13	14	14	14	15	16	16	17
500	-818.512653405472861	-816.960995331122490	-1.551658074350345	0.000010006507696	0.000012341412789	1.233338659547311	0.217244240329711	0	2	3	3	6	4	7	5	6	8	8	10	8	8	7	11	9	10	8	10	12	11	11	11	14	12	11	12	12	12	13	11	11	13	11	11	10	11	9	13	14	13	12	14	13	12	13	11	13	14	16	15	14	15	15	14	14	17	17	17	16	17	17	17	20	17	17	20	20	21	21	21	19	22	21	21	23	22	22	22	23	23	25	24	26	27	29	29	27	30	31	29	33	0	1	1	1	4	1	4	1	6	1	1	1	15	3	1	1	15	11	5	2	1	15	1	39	1	15	1	0	1	1	1	12	5	1	9	14	3	1	1	20	14	1	17	1	19	1	36	1	1	38	17	43	1	22	26	0	17	1	44	55	25	10	14	55	59	34	1	51	59	1	37	62	1	49	1	37	68	42	1	25	55	1	1	1	75	13	46	67	82	86	1	42	1	1	1	1	1	2	2	2	3	1	4	5	5	1	1	4	7	2	2	1	6	5	3	4	1	7	3	4	1	6	5	7	1	2	6	2	1	4	5	2	1	5	9	1	6	2	8	2	6	7	1	5	2	8	2	2	1	3	9	1	1	1	6	5	2	2	1	11	2	2	10	7	3	11	6	9	5	1	4	11	5	3	10	6	11	2	14	14	11	3	2	15	8	11
1000	-912.232735446164384	-910.239866915513289	-1.992868530651106	0.000010002846140	0.000023237262209	2.323065043999604	0.253659569510094	1	3	4	4	6	5	7	5	7	9	8	8	8	9	7	12	11	9	10	9	11	11	11	11	12	14	11	13	11	11	12	10	8	13	12	10	12	13	9	13	13	12	12	13	13	13	11	13	15	14	14	14	15	16	16	14	17	17	16	16	17	16	18	18	20	19	19	19	21	19	18	20	19	21	20	21	21	22	22	22	23	22	24	22	24	26	29	29	27	29	32	31	34	0	1	1	1	3	1	3	1	3	3	1	6	2	9	1	5	20	5	3	13	10	15	1	9	24	9	5	0	1	1	3	1	7	43	22	6	21	22	9	23	11	47	5	1	42	14	18	1	23	27	3	40	10	44	26	0	34	13	3	34	52	5	16	62	73	19	1	53	64	44	1	64	62	63	18	18	65	63	45	1	54	1	5	1	71	71	10	1	16	85	30	86	68	1	1	2	2	1	2	1	2	1	3	3	2	2	2	4	3	2	2	5	1	1	2	2	1	1	3	2	1	5	5	5	5	1	1	1	2	1	2	1	1	2	1	4	6	1	3	1	5	2	2	5	1	3	2	1	1	2	7	4	2	2	2	3	1	1	4	10	2	2	3	9	1	2	3	6	8	1	2	6	11	3	10	10	8	3	5	12	10	8	3	11	2	7
1500	-724.881492824769339	-723.374232553296679	-1.507260271472705	0.000010003034495	0.000011210390484	1.120698972823676	0.324447310422593	1	2	4	5	5	5	7	5	7	10	8	9	8	7	9	11	10	9	11	10	12	11	11	12	11	13	12	12	13	11	12	9	11	12	11	11	10	13	12	10	13	13	14	14	13	13	13	14	14	14	15	16	15	15	15	14	17	16	14	17	17	16	17	17	21	19	19	19	21	20	20	20	19	19	21	20	23	23	21	21	23	20	23	23	26	26	29	28	27	29	32	31	35	0	1	2	1	2	1	5	1	5	14	1	2	6	6	5	1	15	14	13	15	37	15	40	16	10	33	15	0	32	9	1	1	11	23	4	14	14	1	11	11	23	40	40	15	11	1	37	34	18	39	1	43	36	26	26	0	18	55	26	55	52	59	19	59	64	62	1	28	72	66	1	62	59	10	1	1	65	53	40	1	23	37	36	1	67	57	79	86	74	67	67	83	87	1	1	1	2	2	2	1	2	1	3	4	4	1	1	1	6	1	1	2	1	1	1	1	1	1	1	2	1	2	2	5	3	2	1	3	1	3	5	1	1	2	1	2	2	3	6	2	1	2	1	8	1	3	2	2	1	3	1	1	1	1	2	3	2	2	2	12	4	1	1	9	2	4	4	9	8	1	3	5	7	8	3	5	9	5	4	7	2	3	3	9	3	3
2000	-631.664047087809308	-630.233485156720349	-1.430561931088936	0.000010119700362	0.000009196176837	0.908740032658253	0.414795251562767	1	2	3	4	5	5	6	4	7	10	8	9	8	9	8	9	11	10	10	10	11	9	9	12	13	13	12	12	10	10	13	12	12	12	12	9	11	13	11	12	13	11	12	14	13	12	14	13	14	14	15	15	14	15	15	14	17	16	17	16	17	15	18	18	21	18	19	19	20	21	20	20	20	21	21	22	22	23	21	22	23	23	24	21	25	26	28	28	27	30	31	31	34	0	1	1	1	3	1	1	1	5	14	1	6	5	3	1	8	3	15	1	36	23	1	1	14	10	15	22	0	1	1	12	1	20	23	14	15	9	36	1	23	10	1	42	1	20	23	4	23	46	24	5	23	43	33	26	0	48	44	62	53	52	26	43	58	64	15	9	58	59	66	37	64	62	23	14	71	32	70	1	37	65	80	71	1	83	83	75	83	70	87	67	87	92	1	1	1	2	1	1	2	1	1	1	2	4	2	2	4	2	3	1	3	1	2	2	4	1	2	2	1	1	4	3	3	5	1	2	2	1	3	2	5	1	1	5	1	6	1	2	3	2	1	1	6	3	2	1	1	1	2	1	1	1	2	1	3	1	1	4	12	1	2	2	5	1	2	6	5	1	5	1	7	8	1	1	2	7	1	1	5	2	3	2	7	2	1
2500	-657.059326221088554	-655.529220684271991	-1.530105536816533	0.000010020296529	0.000011815621174	1.179168814003283	0.459521093497802	1	3	4	5	6	5	6	5	8	10	9	10	9	9	8	11	10	11	10	9	11	9	11	12	13	14	11	12	11	10	11	10	11	12	10	11	12	13	12	12	13	14	14	15	14	13	14	12	14	15	15	14	15	15	13	14	16	16	17	15	17	15	18	18	21	18	19	19	21	21	21	19	19	22	22	20	22	22	22	22	22	23	24	20	25	26	29	27	26	30	30	32	34	0	1	1	1	1	3	6	1	2	14	1	6	9	1	3	20	11	11	20	5	1	3	14	30	1	5	1	0	6	3	3	6	35	20	22	35	10	27	35	35	1	40	35	3	39	14	39	20	5	35	38	1	43	35	22	0	34	26	62	16	23	22	58	59	73	44	36	46	66	66	36	44	62	21	3	67	18	84	36	76	76	67	74	35	83	83	86	86	64	87	86	87	92	1	1	2	2	3	1	1	4	2	1	4	2	1	4	2	2	1	1	1	1	5	4	1	1	5	5	6	1	2	4	4	3	1	2	1	1	1	1	2	1	5	2	2	5	1	3	1	2	4	3	1	5	1	3	1	1	1	1	1	3	2	3	1	1	1	2	3	2	2	2	7	1	2	3	8	1	5	1	6	1	1	3	1	4	1	1	2	1	4	1	2	2	2
3000	-573.375609454559140	-571.972854633535917	-1.402754821023185	0.000010199112082	0.000008345743935	0.818281421712252	0.472232009495177	1	2	4	5	6	5	7	5	8	11	7	10	10	9	8	11	11	8	10	8	10	10	12	12	13	12	12	12	10	11	13	10	11	14	12	11	12	10	12	11	13	13	14	14	13	13	13	13	12	15	15	16	13	15	15	14	16	16	16	17	17	15	17	17	20	18	19	19	20	20	20	21	19	21	21	22	23	21	23	22	23	22	24	23	25	27	28	29	27	29	32	31	34	0	1	1	3	4	3	1	3	3	9	3	20	2	3	1	1	2	5	9	4	9	15	40	32	40	38	22	0	3	32	20	20	20	48	20	2	21	3	3	14	40	23	14	26	13	40	33	23	14	3	38	1	3	1	9	0	48	22	38	48	52	1	43	62	73	58	37	61	59	66	3	65	26	48	3	71	65	66	75	37	67	71	74	74	83	85	83	86	85	86	87	86	92	1	1	2	1	1	1	3	1	2	2	1	1	5	2	3	4	5	1	2	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	2	5	1	3	4	1	1	1	2	1	2	1	1	1	2	7	2	3	4	4	3	1	1	3	2	1	1	5	2	1	1	1	3	1	2	1	5	1	5	6	8	1	2	1	1	7	2	1	2	1	1	2	2	1	1	1	1	2	1
3500	-724.245209558368288	-722.657616080701814	-1.587593477666478	0.000010720622110	0.000014174866647	1.322205605450529	0.426199618187587	1	3	2	4	5	5	4	6	6	8	9	8	9	9	9	11	10	10	8	9	12	8	11	10	14	12	10	13	13	11	13	11	11	12	11	11	12	13	13	10	14	12	14	13	12	13	12	14	14	11	15	13	14	15	13	13	16	15	15	15	17	16	17	18	21	17	19	19	20	17	20	19	21	21	21	21	22	20	23	22	24	22	24	24	25	26	28	27	27	28	30	31	34	0	3	1	1	7	1	3	1	7	5	1	1	7	3	3	8	5	4	6	1	1	1	14	22	10	1	10	0	13	19	47	3	22	20	20	27	40	22	1	1	1	20	10	17	14	35	35	17	23	15	39	23	35	26	1	0	36	13	1	49	1	55	25	59	59	11	21	21	62	1	17	59	59	1	21	67	59	11	61	76	73	67	67	74	83	85	86	86	74	86	89	87	89	1	1	1	1	1	2	1	2	1	2	3	4	2	4	4	1	2	3	2	4	4	3	2	1	4	5	1	1	3	2	1	4	2	2	1	1	1	2	5	6	4	2	2	1	1	1	1	2	2	1	1	1	2	2	5	1	3	4	6	1	6	3	1	1	3	3	2	3	2	6	4	2	5	9	4	1	3	5	3	1	1	2	2	1	1	1	1	1	3	1	2	2	3
4000	-755.977827405274070	-754.246290839973653	-1.731536565300360	0.000011299481022	0.000018888828201	1.671654491409379	0.425071093500041	1	2	4	3	5	6	7	6	7	11	8	8	9	8	9	11	11	10	10	8	10	11	10	11	14	13	12	12	13	11	12	10	10	13	10	11	13	14	12	9	13	13	15	15	13	13	12	12	15	15	16	12	14	16	14	13	15	15	17	17	17	16	16	18	20	17	19	18	18	20	20	20	21	18	21	22	21	23	20	23	23	21	23	22	25	26	29	29	27	30	32	32	35	0	1	2	1	4	1	1	1	2	14	1	6	9	6	1	1	11	7	12	5	14	6	1	13	23	15	17	0	32	32	3	12	11	40	12	23	3	15	23	11	40	14	14	55	28	14	35	13	42	15	38	3	52	58	26	0	34	22	20	51	52	22	15	62	69	22	25	62	1	66	36	69	59	37	13	71	79	70	1	76	75	71	79	33	83	83	89	86	86	86	87	87	89	1	1	1	1	1	2	4	2	2	1	4	1	1	1	2	5	1	1	1	1	1	3	3	1	2	2	1	1	1	1	2	1	2	2	1	1	3	2	2	1	2	4	4	1	1	2	1	2	1	3	1	6	1	1	1	1	2	1	7	1	2	3	3	1	1	3	3	2	5	2	5	1	3	2	5	1	1	2	7	1	1	1	2	7	1	1	1	2	1	2	2	2	4
4500	-658.817911620709992	-657.396495591741655	-1.421416028968384	0.000011164255027	0.000009828947782	0.880394415811694	0.484893326846245	1	3	3	3	5	6	6	5	8	11	7	8	8	9	9	9	10	10	10	8	11	11	11	11	14	13	12	11	12	11	12	12	11	13	11	10	12	13	10	10	13	13	14	14	13	11	11	14	14	15	15	15	14	16	15	14	16	14	17	16	18	13	17	18	19	17	20	17	20	21	21	21	20	20	19	21	23	22	20	23	22	23	23	23	26	26	28	28	27	29	31	31	34	0	1	1	1	3	1	1	1	6	14	5	5	8	1	5	1	11	12	3	6	40	1	14	39	37	27	22	0	2	36	19	5	20	14	18	9	11	12	9	3	14	24	1	17	30	6	6	34	40	7	38	43	5	62	26	0	34	11	62	29	52	1	50	59	59	22	37	36	1	66	74	69	65	75	33	67	76	58	1	76	73	71	67	1	83	83	85	86	69	85	90	90	92	1	1	1	1	1	3	3	2	1	1	1	2	1	4	3	3	1	1	4	1	1	5	1	1	1	1	1	1	5	1	1	4	1	2	1	1	2	3	1	2	3	1	5	2	1	2	3	1	2	6	1	1	4	2	1	1	2	3	2	2	1	3	1	1	1	3	4	4	8	2	1	1	1	1	4	1	1	4	7	1	1	1	2	15	1	1	1	1	3	2	1	2	2
