step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.99399	0.38677	1.00000	0.40995	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99800	0.35435	0.95200	0.39416	0.000150000000000	1.000000000000000	0.015000000000000	0
1500		0.98600	0.33956	0.92400	0.38758	0.000225000000000	1.000000000000000	0.022500000000000	0
2000		0.98800	0.33217	0.90200	0.38001	0.000337500000000	1.000000000000000	0.033750000000000	0
2500		0.97800	0.32693	0.74400	0.37511	0.000506250000000	1.000000000000000	0.050625000000000	0
3000		0.96600	0.32344	0.67000	0.36978	0.000759375000000	1.000000000000000	0.075937500000000	0
3500		0.94200	0.31609	0.61000	0.36593	0.001139062500000	1.000000000000000	0.113906250000000	0
4000		0.94200	0.31358	0.44000	0.36387	0.001708593750000	1.000000000000000	0.170859375000000	0
4500		0.93000	0.31407	0.45100	0.36169	0.002562890625000	1.000000000000000	0.170859375000000	0
5000		0.88800	0.31506	0.45667	0.35868	0.003844335937500	1.000000000000000	0.170859375000000	0
5500		0.86200	0.31297	0.45250	0.35671	0.005766503906250	1.000000000000000	0.170859375000000	0
6000		0.83800	0.30955	0.45600	0.35551	0.008649755859375	1.000000000000000	0.170859375000000	0
6500		0.81200	0.30682	0.45500	0.35502	0.012974633789063	1.000000000000000	0.170859375000000	0
7000		0.81400	0.30147	0.45914	0.35504	0.019461950683594	1.000000000000000	0.170859375000000	0
7500		0.76600	0.29577	0.46625	0.35623	0.029192926025391	1.000000000000000	0.170859375000000	0
8000		0.67800	0.29066	0.47156	0.35682	0.043789389038086	1.000000000000000	0.170859375000000	0
8500		0.58800	0.28968	0.47340	0.35794	0.065684083557129	1.000000000000000	0.170859375000000	0
9000		0.54600	0.28581	0.47564	0.35845	0.098526125335693	1.000000000000000	0.170859375000000	0
9500		0.44800	0.28361	0.47583	0.35910	0.147789188003540	1.000000000000000	0.170859375000000	0
10000		0.45400	0.27973	0.47815	0.35987	0.147789188003540	1.000000000000000	0.170859375000000	0
10500		0.44867	0.27603	0.47557	0.36046	0.147789188003540	1.000000000000000	0.170859375000000	0
11000		0.45350	0.27357	0.47693	0.36065	0.147789188003540	1.000000000000000	0.170859375000000	0
11500		0.45280	0.27046	0.47887	0.36133	0.147789188003540	1.000000000000000	0.170859375000000	0
12000		0.44833	0.26794	0.47765	0.36188	0.147789188003540	1.000000000000000	0.170859375000000	0
12500		0.44400	0.26538	0.47822	0.36258	0.147789188003540	1.000000000000000	0.170859375000000	0
13000		0.44600	0.26248	0.47758	0.36311	0.147789188003540	1.000000000000000	0.170859375000000	0
13500		0.44644	0.26024	0.47770	0.36320	0.147789188003540	1.000000000000000	0.170859375000000	0
14000		0.45060	0.25666	0.47733	0.36372	0.147789188003540	1.000000000000000	0.170859375000000	0
14500		0.45200	0.25498	0.47864	0.36402	0.147789188003540	1.000000000000000	0.170859375000000	0
15000		0.45033	0.25408	0.47817	0.36443	0.147789188003540	1.000000000000000	0.170859375000000	0
15500		0.45123	0.25324	0.48125	0.36486	0.147789188003540	1.000000000000000	0.170859375000000	0
16000		0.45357	0.25152	0.48120	0.36479	0.147789188003540	1.000000000000000	0.170859375000000	0
16500		0.45467	0.24995	0.47923	0.36505	0.147789188003540	1.000000000000000	0.170859375000000	0
17000		0.45463	0.24854	0.47904	0.36516	0.147789188003540	1.000000000000000	0.170859375000000	0
17500		0.45294	0.24750	0.48107	0.36600	0.147789188003540	1.000000000000000	0.170859375000000	0
18000		0.45122	0.24712	0.48221	0.36645	0.147789188003540	1.000000000000000	0.170859375000000	0
18500		0.45011	0.24526	0.48300	0.36692	0.147789188003540	1.000000000000000	0.170859375000000	0
19000		0.44930	0.24475	0.48310	0.36726	0.147789188003540	1.000000000000000	0.170859375000000	0
19500		0.44933	0.24340	0.48419	0.36773	0.147789188003540	1.000000000000000	0.170859375000000	0
20000		0.44745	0.24306	0.48521	0.36804	0.147789188003540	1.000000000000000	0.170859375000000	0
20500		0.44687	0.24196	0.48612	0.36842	0.147789188003540	1.000000000000000	0.170859375000000	0
21000		0.44608	0.24139	0.48651	0.36874	0.147789188003540	1.000000000000000	0.170859375000000	0
21500		0.44776	0.24071	0.48544	0.36857	0.147789188003540	1.000000000000000	0.170859375000000	0
22000		0.44877	0.24037	0.48649	0.36843	0.147789188003540	1.000000000000000	0.170859375000000	0
22500		0.44881	0.23890	0.48521	0.36864	0.147789188003540	1.000000000000000	0.170859375000000	0
23000		0.44836	0.23779	0.48533	0.36905	0.147789188003540	1.000000000000000	0.170859375000000	0
23500		0.44793	0.23754	0.48605	0.36917	0.147789188003540	1.000000000000000	0.170859375000000	0
24000		0.44820	0.23622	0.48561	0.36944	0.147789188003540	1.000000000000000	0.170859375000000	0
24500		0.44890	0.23491	0.48571	0.36964	0.147789188003540	1.000000000000000	0.170859375000000	0
25000		0.44775	0.23505	0.48600	0.36982	0.147789188003540	1.000000000000000	0.170859375000000	0
25500		0.44861	0.23507	0.48600	0.36999	0.147789188003540	1.000000000000000	0.170859375000000	0
26000		0.44888	0.23486	0.48578	0.36999	0.147789188003540	1.000000000000000	0.170859375000000	0
26500		0.44903	0.23439	0.48583	0.36995	0.147789188003540	1.000000000000000	0.170859375000000	0
27000		0.44883	0.23360	0.48630	0.36978	0.147789188003540	1.000000000000000	0.170859375000000	0
27500		0.44903	0.23270	0.48550	0.36974	0.147789188003540	1.000000000000000	0.170859375000000	0
28000		0.44821	0.23247	0.48576	0.36976	0.147789188003540	1.000000000000000	0.170859375000000	0
28500		0.44882	0.23215	0.48520	0.36956	0.147789188003540	1.000000000000000	0.170859375000000	0
29000		0.44860	0.23180	0.48510	0.36948	0.147789188003540	1.000000000000000	0.170859375000000	0
29500		0.44824	0.23170	0.48438	0.36951	0.147789188003540	1.000000000000000	0.170859375000000	0
30000		0.44767	0.23137	0.48442	0.36932	0.147789188003540	1.000000000000000	0.170859375000000	0
30500		0.44795	0.23155	0.48433	0.36949	0.147789188003540	1.000000000000000	0.170859375000000	0
31000		0.44805	0.23110	0.48476	0.36966	0.147789188003540	1.000000000000000	0.170859375000000	0
31500		0.44818	0.23144	0.48496	0.36974	0.147789188003540	1.000000000000000	0.170859375000000	0
32000		0.44865	0.23129	0.48484	0.36998	0.147789188003540	1.000000000000000	0.170859375000000	0
32500		0.44847	0.23099	0.48479	0.37003	0.147789188003540	1.000000000000000	0.170859375000000	0
33000		0.44808	0.23079	0.48495	0.37028	0.147789188003540	1.000000000000000	0.170859375000000	0
33500		0.44857	0.23034	0.48547	0.37060	0.147789188003540	1.000000000000000	0.170859375000000	0
34000		0.44888	0.23024	0.48551	0.37067	0.147789188003540	1.000000000000000	0.170859375000000	0
34500		0.44910	0.22963	0.48535	0.37077	0.147789188003540	1.000000000000000	0.170859375000000	0
35000		0.44931	0.22912	0.48571	0.37093	0.147789188003540	1.000000000000000	0.170859375000000	0
35500		0.44921	0.22947	0.48550	0.37109	0.147789188003540	1.000000000000000	0.170859375000000	0
36000		0.44922	0.22906	0.48591	0.37105	0.147789188003540	1.000000000000000	0.170859375000000	0
36500		0.44920	0.22894	0.48609	0.37105	0.147789188003540	1.000000000000000	0.170859375000000	0
37000		0.44996	0.22841	0.48570	0.37093	0.147789188003540	1.000000000000000	0.170859375000000	0
37500		0.44979	0.22833	0.48562	0.37089	0.147789188003540	1.000000000000000	0.170859375000000	0
38000		0.44983	0.22814	0.48591	0.37089	0.147789188003540	1.000000000000000	0.170859375000000	0
38500		0.44986	0.22788	0.48629	0.37107	0.147789188003540	1.000000000000000	0.170859375000000	0
39000		0.45017	0.22770	0.48583	0.37108	0.147789188003540	1.000000000000000	0.170859375000000	0
39500		0.44970	0.22737	0.48569	0.37114	0.147789188003540	1.000000000000000	0.170859375000000	0
40000		0.44968	0.22713	0.48586	0.37122	0.147789188003540	1.000000000000000	0.170859375000000	0
