step	p_accept_mu1	p_accept_gamma	p_accept_pi	p_accept_Tinf	sigma_mu1	sigma_gamma	sigma_pi	n_like_zero
1		1.00000	1.00000	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0
500		0.98798	0.20441	1.00000	0.34371	0.000100000000000	1.000000000000000	0.010000000000000	0
1000		0.99000	0.28800	0.92600	0.32882	0.000150000000000	0.666666666666667	0.015000000000000	0
1500		0.98800	0.32100	0.90000	0.31907	0.000225000000000	0.666666666666667	0.022500000000000	0
2000		0.98800	0.33733	0.81800	0.31515	0.000337500000000	0.666666666666667	0.033750000000000	0
2500		0.99200	0.35700	0.74200	0.30984	0.000506250000000	0.666666666666667	0.050625000000000	0
3000		0.99000	0.36320	0.60400	0.30623	0.000759375000000	0.666666666666667	0.075937500000000	0
3500		0.96200	0.36700	0.48600	0.30417	0.001139062500000	0.666666666666667	0.113906250000000	0
4000		0.95200	0.36914	0.49100	0.30164	0.001708593750000	0.666666666666667	0.113906250000000	0
4500		0.94000	0.37025	0.48400	0.30070	0.002562890625000	0.666666666666667	0.113906250000000	0
5000		0.88200	0.36867	0.49600	0.29997	0.003844335937500	0.666666666666667	0.113906250000000	0
5500		0.87400	0.37020	0.49000	0.29927	0.005766503906250	0.666666666666667	0.113906250000000	0
6000		0.85000	0.36491	0.48700	0.29911	0.008649755859375	0.666666666666667	0.113906250000000	0
6500		0.88600	0.36283	0.48429	0.29989	0.012974633789063	0.666666666666667	0.113906250000000	0
7000		0.85200	0.35662	0.48775	0.30100	0.019461950683594	0.666666666666667	0.113906250000000	0
7500		0.80000	0.35114	0.49089	0.30193	0.029192926025391	0.666666666666667	0.113906250000000	0
8000		0.73400	0.34533	0.50020	0.30351	0.043789389038086	0.666666666666667	0.113906250000000	0
8500		0.68600	0.33975	0.40000	0.30404	0.065684083557129	0.666666666666667	0.170859375000000	0
9000		0.55400	0.33635	0.42500	0.30528	0.098526125335693	0.666666666666667	0.170859375000000	0
